Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,QZ #,Speaker,Cue,Transliteration,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
143,143,JP,9781508235958,Japanese 5,8,01Q,N,How long did he stay in Hokkaido?,,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_143.mp3,"9,17,18"
144,144,JP,9781508235958,Japanese 5,8,01R,M,どのくらい北海道にいましたか？,donogurai hokkaido ni imashita ka?,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_144.mp3,"9,17,18"
145,145,JP,9781508235958,Japanese 5,8,02Q,N,It says he stayed for eight and a half months.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_145.mp3,"9,12,17,18"
146,146,JP,9781508235958,Japanese 5,8,02R,M,八カ月半いたそうです。,hachi ka getsu han ita soo desu.,7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_146.mp3,"9,12,17,18"
147,147,JP,9781508235958,Japanese 5,8,03Q,N,It’s said he gave an immeasurable influence.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_147.mp3,9
148,148,JP,9781508235958,Japanese 5,8,03R,F,計り知れない影響を与えたと言われています。,hakarishirenai eikyoo o ataeta to iwarete imasu。,7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_148.mp3,9
149,149,JP,9781508235958,Japanese 5,8,04Q,N,Katakana was the most difficult. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_149.mp3,"9,15"
150,150,JP,9781508235958,Japanese 5,8,04R,F,カタカナが一番難しかった。,katakana ga ichiban muzukashikatta.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_150.mp3,"9,15"
151,151,JP,9781508235958,Japanese 5,8,05Q,N,"It was short, wasn’t it.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_151.mp3,"7,9"
152,152,JP,9781508235958,Japanese 5,8,05R,F,短かったですね。,mijikakatta desu ne.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_152.mp3,"7,9"
153,153,JP,9781508235958,Japanese 5,8,06Q,N,"It was short, wasn’t it. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_153.mp3,"7,9"
154,154,JP,9781508235958,Japanese 5,8,06R,F,短かったね。,mijikakatta ne.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_154.mp3,"7,9"
155,155,JP,9781508235958,Japanese 5,8,07Q,N,Did your wife also come? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_155.mp3,"5,9"
156,156,JP,9781508235958,Japanese 5,8,07R,F,奥さんも来たの？,okusan mo kita no?,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_156.mp3,"5,9"
157,157,JP,9781508235958,Japanese 5,8,08Q,N,during that short time,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_157.mp3,17
158,158,JP,9781508235958,Japanese 5,8,08R,M,その短い間に,sono mijikai aida ni,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_158.mp3,17
159,159,JP,9781508235958,Japanese 5,8,09Q,N,It says he went in 1876.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_159.mp3,"9,17"
160,160,JP,9781508235958,Japanese 5,8,09R,M,1876年に行ったそうです。,sen happyaku nana juu roku nen ni itta soo desu.,10,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_160.mp3,"9,17"
161,161,JP,9781508235958,Japanese 5,8,010Q,N,He just came today. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_161.mp3,"9,17,18"
162,162,JP,9781508235958,Japanese 5,8,010R,M,ちょうど今日来た。,choodo kyoo kita.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_162.mp3,"9,17,18"
163,163,JP,9781508235958,Japanese 5,9,01Q,N,They invited various scholars.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_163.mp3,9
164,164,JP,9781508235958,Japanese 5,9,01R,M,色々な学者を招きました。,iroiro na gakusha o manekimashita.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_164.mp3,9
165,165,JP,9781508235958,Japanese 5,9,02Q,N,"It was about shortly after they opened the country, wasn’t it. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_165.mp3,9
166,166,JP,9781508235958,Japanese 5,9,02R,M,開国して間もないあたりだったね。,kaikoku shite mamonai atari datta ne.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_166.mp3,9
167,167,JP,9781508235958,Japanese 5,9,03Q,N,the father of agriculture in modern Japan,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_167.mp3,9
168,168,JP,9781508235958,Japanese 5,9,03R,F,近代日本の農業の父,kindai nihon no noogyoo no chichi,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_168.mp3,9
169,169,JP,9781508235958,Japanese 5,9,04Q,N,in order to obtain new knowledge,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_169.mp3,9
170,170,JP,9781508235958,Japanese 5,9,04R,F,新しい知識を取り入れるために,atarashii chishiki o toriireru tame ni,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_170.mp3,9
171,171,JP,9781508235958,Japanese 5,9,05Q,N,Clark was one of them.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_171.mp3,9
172,172,JP,9781508235958,Japanese 5,9,05R,F,クラークはそのうちの一人でした。,kuraaku wa sonouchi no hitori deshita.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_172.mp3,9
173,173,JP,9781508235958,Japanese 5,9,06Q,N,according to the data,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_173.mp3,9
174,174,JP,9781508235958,Japanese 5,9,06R,F,資料によると,shiryoo ni yoru to,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_174.mp3,9
175,175,JP,9781508235958,Japanese 5,9,07Q,N,Japan had taken a closed country policy. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_175.mp3,9
176,176,JP,9781508235958,Japanese 5,9,07R,F,日本は鎖国をしていた。,nihon wa sakoku o shiteita.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_176.mp3,9
177,177,JP,9781508235958,Japanese 5,9,08Q,N,But it was fun. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_177.mp3,7
178,178,JP,9781508235958,Japanese 5,9,08R,M,でも面白かった。,demo omoshirokatta.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_178.mp3,7
179,179,JP,9781508235958,Japanese 5,9,09Q,N,Last year’s business trip was short. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_179.mp3,"18,20"
180,180,JP,9781508235958,Japanese 5,9,09R,M,去年の出張は短かった。,kyo nen no shucchoo wa mijikakatta.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_180.mp3,"18,20"
181,181,JP,9781508235958,Japanese 5,9,010Q,N,"For two and a half months, I stayed in Hawaii, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_181.mp3,"12,17,18"
182,182,JP,9781508235958,Japanese 5,9,010R,M,二か月半　ハワイにいたよ。,ni ka getsu han hawai ni ita yo.,8,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_182.mp3,"12,17,18"
183,183,JP,9781508235958,Japanese 5,10,01Q,N,"It’s better to say, isn’t it.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_183.mp3,"7,9"
184,184,JP,9781508235958,Japanese 5,10,01R,M,と言ったほうがいいですね。,to itta hoo ga ii desu ne.,7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_184.mp3,"7,9"
185,185,JP,9781508235958,Japanese 5,10,02Q,N,"I’m interested in the Ainu, though. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_185.mp3,"9,18"
186,186,JP,9781508235958,Japanese 5,10,02R,M,アイヌに興味があるんだけど。,ainu ni kyoomi ga aru n da kedo.,8,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_186.mp3,"9,18"
187,187,JP,9781508235958,Japanese 5,10,03Q,N,school for men only,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_187.mp3,9
188,188,JP,9781508235958,Japanese 5,10,03R,F,男子だけの学校,danshi dake no gakkoo,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_188.mp3,9
189,189,JP,9781508235958,Japanese 5,10,04Q,N,Do you know where they came from? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_189.mp3,9
190,190,JP,9781508235958,Japanese 5,10,04R,F,どこから来たか知ってる？,doko kara kita ka shitteru?,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_190.mp3,9
191,191,JP,9781508235958,Japanese 5,10,05Q,N,It seems there are various theories. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_191.mp3,9
192,192,JP,9781508235958,Japanese 5,10,05R,F,色々な説があるみたい。,iroiro na setsu ga aru mitai.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_192.mp3,9
193,193,JP,9781508235958,Japanese 5,10,06Q,N,I don’t know. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_193.mp3,"7,16"
194,194,JP,9781508235958,Japanese 5,10,06R,F,知らない。,shiranai.,1,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_194.mp3,"7,16"
195,195,JP,9781508235958,Japanese 5,10,07Q,N,co-education,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_195.mp3,9
196,196,JP,9781508235958,Japanese 5,10,07R,F,男女共学,danjo kyoogaku,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_196.mp3,9
197,197,JP,9781508235958,Japanese 5,10,08Q,N,I don’t know well. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_197.mp3,"7,16"
198,198,JP,9781508235958,Japanese 5,10,08R,M,よく知らない。,yoku shiranai.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_198.mp3,"7,16"
199,199,JP,9781508235958,Japanese 5,10,09Q,N,Although I don’t know well. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_199.mp3,7
200,200,JP,9781508235958,Japanese 5,10,09R,M,よく知らないけど。,yoku shiranai kedo.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_200.mp3,7
201,201,JP,9781508235958,Japanese 5,10,010Q,N,"Boys and Girls, be ambitious.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_201.mp3,7
202,202,JP,9781508235958,Japanese 5,10,010R,M,少年少女よ、大志を抱け。,"shoonen shoojo yo, taishi o idake.",6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_202.mp3,7
203,203,JP,9781508235958,Japanese 5,11,01Q,N,if you want to know [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_203.mp3,"7,9"
204,204,JP,9781508235958,Japanese 5,11,01R,M,知りたいなら,shiritai nara,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_204.mp3,"7,9"
205,205,JP,9781508235958,Japanese 5,11,02Q,N,"It’s better to go to the Museum, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_205.mp3,"1,7,17"
206,206,JP,9781508235958,Japanese 5,11,02R,M,博物館に行ったらいいよ。,hakubutsu kan ni ittara ii yo.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_206.mp3,"1,7,17"
207,207,JP,9781508235958,Japanese 5,11,03Q,N,You can do hands-on learning.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_207.mp3,"1,7,18"
208,208,JP,9781508235958,Japanese 5,11,03R,F,体験学習ができます。,taiken gakushuu ga dekimasu.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_208.mp3,"1,7,18"
209,209,JP,9781508235958,Japanese 5,11,04Q,N,What kinds of hands-on learning are there? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_209.mp3,"1,7,18"
210,210,JP,9781508235958,Japanese 5,11,04R,F,どんな体験学習があるの?,donna taiken gakushuu ga aru no?,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_210.mp3,"1,7,18"
211,211,JP,9781508235958,Japanese 5,11,05Q,N,"For instance, there’s a musical instrument called Mukkuri.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_211.mp3,9
212,212,JP,9781508235958,Japanese 5,11,05R,F,例えば、ムックリという楽器があります。,"tatoeba, mukkuri to iu gakki ga arimasu.",7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_212.mp3,9
213,213,JP,9781508235958,Japanese 5,11,06Q,N,"For instance, you can do hands-on learning of Mukkuri, for sure.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_213.mp3,1
214,214,JP,9781508235958,Japanese 5,11,06R,F,例えば、ムックリの体験学習ができますよ。,"tatoeba, mukkuri no taiken gakushuu ga dekimasu yo.",8,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_214.mp3,1
215,215,JP,9781508235958,Japanese 5,11,07Q,N,"I, also am interested in the musical instrument.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_215.mp3,"7,9"
216,216,JP,9781508235958,Japanese 5,11,07R,F,私も楽器に興味があります。,watashi mo gakki ni kyoomi ga arimasu.,7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_216.mp3,"7,9"
217,217,JP,9781508235958,Japanese 5,11,08Q,N,I also want to try to experience. [female/informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_217.mp3,"1,7"
218,218,JP,9781508235958,Japanese 5,11,08R,F,あたしも体験してみたい。,atashi mo taiken shite mitai.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_218.mp3,"1,7"
219,219,JP,9781508235958,Japanese 5,11,09Q,N,"For instance, do you know the musical instrument called Mukkuri? [informal]",,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_219.mp3,9
220,220,JP,9781508235958,Japanese 5,11,09R,M,例えば、ムックリと言う楽器 を知ってる? ,"tatoeba, mukkuri to iu gakki o shitteru?",7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_220.mp3,9
221,221,JP,9781508235958,Japanese 5,11,010Q,N,I also want to try to experience. [male/informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_221.mp3,"1,7"
222,222,JP,9781508235958,Japanese 5,11,010R,M,僕も体験してみたい。,boku mo taiken shite mitai.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_222.mp3,"1,7"
223,223,JP,9781508235958,Japanese 5,12,01Q,N,I’m interested in music. [explanation],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_223.mp3,"7,9"
224,224,JP,9781508235958,Japanese 5,12,01R,M,音楽に興味があるんです。,ongaku ni kyoomi ga aru n desu.,7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_224.mp3,"7,9"
225,225,JP,9781508235958,Japanese 5,12,02Q,N,because I play the guitar,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_225.mp3,"1,9"
226,226,JP,9781508235958,Japanese 5,12,02R,M,私はギターを弾くので,watashi wa gitaa o hiku node,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_226.mp3,"1,9"
227,227,JP,9781508235958,Japanese 5,12,03Q,N,"By all means, I want to try doing it.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_227.mp3,"1,7"
228,228,JP,9781508235958,Japanese 5,12,03R,M,ぜひ やってみたいです。,zehi yatte mitai desu.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_228.mp3,"1,7"
229,229,JP,9781508235958,Japanese 5,12,04Q,N,What kinds of things are there?,,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_229.mp3,"7,9"
230,230,JP,9781508235958,Japanese 5,12,04R,M,どんなものがありますか? ,donna mono ga arimasu ka?,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_230.mp3,"7,9"
231,231,JP,9781508235958,Japanese 5,12,05Q,N,What kinds of things are there? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_231.mp3,"7,9"
232,232,JP,9781508235958,Japanese 5,12,05R,F,どんなものがあるの?,donna mono ga aru no?,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_232.mp3,"7,9"
233,233,JP,9781508235958,Japanese 5,12,06Q,N,basic wood carving technique,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_233.mp3,1
234,234,JP,9781508235958,Japanese 5,12,06R,F,基本的な彫刻技法 ,kihonteki na chookoku gihoo,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_234.mp3,1
235,235,JP,9781508235958,Japanese 5,12,07Q,N,There’s a famous Ainu dance.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_235.mp3,9
236,236,JP,9781508235958,Japanese 5,12,07R,F,有名なアイヌの踊りがあります。,yuumei na ainu no odori ga arimasu.,7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_236.mp3,9
237,237,JP,9781508235958,Japanese 5,12,08Q,N,I too want to try doing wood carving.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_237.mp3,"1,18"
238,238,JP,9781508235958,Japanese 5,12,08R,F,私も 彫刻をやってみたいです。,watashi mo chookoku o yatte mitai desu.,7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_238.mp3,"1,18"
239,239,JP,9781508235958,Japanese 5,12,09Q,N,"As for me, I want to try doing dance also.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_239.mp3,"1,9"
240,240,JP,9781508235958,Japanese 5,12,09R,F,私は 踊りもやってみたいです。,watashi wa odori mo yatte mitai desu.,7,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_240.mp3,"1,9"
241,241,JP,9781508235958,Japanese 5,12,010Q,N,I’m interested in embroidery also. [explanation],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_241.mp3,"1,9"
242,242,JP,9781508235958,Japanese 5,12,010R,M,刺繍にも興味があるんです。,shishuu ni mo kyoomi ga aru n desu.,8,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_242.mp3,"1,9"
243,243,JP,9781508235958,Japanese 5,13,01Q,N,"Wow, by all means, I want to try to experience.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_243.mp3,7
244,244,JP,9781508235958,Japanese 5,13,01R,M,うわあ、ぜひ体験してみたいです。,"uwaa, zehi taiken shite mitai desu.",6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_244.mp3,7
245,245,JP,9781508235958,Japanese 5,13,02Q,N,"We can do many hands-on learning, can’t we.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_245.mp3,1
246,246,JP,9781508235958,Japanese 5,13,02R,M,たくさん体験学習ができますね。,takusan taiken gakushuu ga dekimasu ne.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_246.mp3,1
247,247,JP,9781508235958,Japanese 5,13,03Q,N,Where do you discard this? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_247.mp3,"9,16"
248,248,JP,9781508235958,Japanese 5,13,03R,M,これ、どこに捨てるの? ,"kore, doko ni suteru no?",5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_248.mp3,"9,16"
249,249,JP,9781508235958,Japanese 5,13,04Q,N,"These are all trash bins, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_249.mp3,9
250,250,JP,9781508235958,Japanese 5,13,04R,M,これ、みんなゴミ箱だよ。,"kore, minna gomi bako da yo.",6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_250.mp3,9
251,251,JP,9781508235958,Japanese 5,13,05Q,N,Depending on the type of trash,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_251.mp3,9
252,252,JP,9781508235958,Japanese 5,13,05R,F,ゴミの種類によって ,gomi no shurui ni yotte,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_252.mp3,9
253,253,JP,9781508235958,Japanese 5,13,06Q,N,You have to put in.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_253.mp3,9
254,254,JP,9781508235958,Japanese 5,13,06R,F,入れなくてはいけません。,irenakutewa ikemasen.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_254.mp3,9
255,255,JP,9781508235958,Japanese 5,13,07Q,N,"You have to put in, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_255.mp3,9
256,256,JP,9781508235958,Japanese 5,13,07R,F,入れなくちゃいけないよ。,irenakucha ikenai yo.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_256.mp3,9
257,257,JP,9781508235958,Japanese 5,13,08Q,N,"As for this, to which trash bin do I discard? [informal]",,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_257.mp3,9
258,258,JP,9781508235958,Japanese 5,13,08R,F,これはどのゴミ箱に捨てるの? ,kore wa dono gomi bako ni suteru no?,8,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_258.mp3,9
259,259,JP,9781508235958,Japanese 5,13,09Q,N,"As for the newspaper, because it’s combustible trash [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_259.mp3,9
260,260,JP,9781508235958,Japanese 5,13,09R,F,新聞は燃えるゴミだから ,shinbun wa moeru gomi da kara,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_260.mp3,9
261,261,JP,9781508235958,Japanese 5,13,010Q,N,"We separate combustible trash from incombustible trash, for sure. [explanation/informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_261.mp3,9
262,262,JP,9781508235958,Japanese 5,13,010R,M,燃えるゴミと燃えないゴミに分けるんだよ。,moeru gomi to moenai gomi ni wakeru n da yo.,10,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_262.mp3,9
263,263,JP,9781508235958,Japanese 5,14,01Q,N,"As for the magazine, do I discard here? [informal]",,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_263.mp3,9
264,264,JP,9781508235958,Japanese 5,14,01R,M,雑誌はここに捨てるの?,zasshi wa koko ni suteru no?,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_264.mp3,9
265,265,JP,9781508235958,Japanese 5,14,02Q,N,"As for a PET bottle, put in there. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_265.mp3,9
266,266,JP,9781508235958,Japanese 5,14,02R,M,ペットボトルは、そこに入れて。,petto botoru wa soko ni irete.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_266.mp3,9
267,267,JP,9781508235958,Japanese 5,14,03Q,N,I got a Christmas card. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_267.mp3,"3,9"
268,268,JP,9781508235958,Japanese 5,14,03R,M,クリスマスカードを貰った。,kurisumasu kaado o moratta.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_268.mp3,"3,9"
269,269,JP,9781508235958,Japanese 5,14,04Q,N,"We were together at the college, weren’t we. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_269.mp3,9
270,270,JP,9781508235958,Japanese 5,14,04R,M,大学で一緒だったね。,daigaku de issho datta ne.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_270.mp3,9
271,271,JP,9781508235958,Japanese 5,14,05Q,N,From whom did you get? [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_271.mp3,"7,9"
272,272,JP,9781508235958,Japanese 5,14,05R,M,誰から貰ったの? ,dare kara moratta no?,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_272.mp3,"7,9"
273,273,JP,9781508235958,Japanese 5,14,06Q,N,She is working for sure. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_273.mp3,"9,20"
274,274,JP,9781508235958,Japanese 5,14,06R,F,働いてるよ。,hataraiteru yo.,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_274.mp3,"9,20"
275,275,JP,9781508235958,Japanese 5,14,07Q,N,What kind of magazine? [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_275.mp3,9
276,276,JP,9781508235958,Japanese 5,14,07R,F,どんな雑誌? ,donna zasshi?,2,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_276.mp3,9
277,277,JP,9781508235958,Japanese 5,14,08Q,N,"There’s a picture of the child on the card, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_277.mp3,"5,9"
278,278,JP,9781508235958,Japanese 5,14,08R,F,カードに子供の写真があるよ。,kaado ni kodomo no shashin ga aru yo.,8,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_278.mp3,"5,9"
279,279,JP,9781508235958,Japanese 5,14,09Q,N,"Wow, she’s cute, isn’t she. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_279.mp3,"5,7"
280,280,JP,9781508235958,Japanese 5,14,09R,F,うわあ、可愛いね。,"uwaa, kawaii ne.",3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_280.mp3,"5,7"
281,281,JP,9781508235958,Japanese 5,14,010Q,N,Do Japanese people also send Christmas cards? [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_281.mp3,"3,9"
282,282,JP,9781508235958,Japanese 5,14,010R,F,日本人もクリスマスカードを送る? ,nihonjin mo kurisumasu kaado o okuru?,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_282.mp3,"3,9"
