Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,Cluster,QZ #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
526,526,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-02,02R_C,F,Os traços são semelhantes.,,S,Portuguese (Brazilian) Level 5,,5
527,527,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-02,02Q_D,N,The eyebrows are similar.,,S,Portuguese (Brazilian) Level 5,,5
528,528,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-02,02R_D,F, As sobrancelhas são semelhantes.,,S,Portuguese (Brazilian) Level 5,,5
529,529,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-03,03Q_A,N,Look at the cheekbones.,,S,Portuguese (Brazilian) Level 5,,7
530,530,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-03,03R_A,F,Olhe as maçãs do rosto.,,S,Portuguese (Brazilian) Level 5,,7
531,531,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-03,03Q_B,N,Look at the portraits.,,S,Portuguese (Brazilian) Level 5,,7
532,532,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-03,03R_B,F,Olhe os retratos.,,S,Portuguese (Brazilian) Level 5,,7
533,533,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-03,03Q_C,N,Look at the photographs.,,S,Portuguese (Brazilian) Level 5,,7
534,534,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-03,03R_C,M,Olhe as fotografias.,,S,Portuguese (Brazilian) Level 5,,7
535,535,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-03,03Q_D,N,Look at the details.,,S,Portuguese (Brazilian) Level 5,,7
536,536,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-03,03R_D,M,Olhe os detalhes.,,S,Portuguese (Brazilian) Level 5,,7
537,537,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-04,04Q_A,N,The cheekbones are very pronounced.,,S,Portuguese (Brazilian) Level 5,,7
538,538,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-04,04R_A,M,As maçãs do rosto são muito pronunciadas.,,S,Portuguese (Brazilian) Level 5,,7
539,539,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-04,04Q_B,N,Her gaze is very penetrating.,,S,Portuguese (Brazilian) Level 5,,7
540,540,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-04,04R_B,M,Seu olhar é muito penetrante.,,S,Portuguese (Brazilian) Level 5,,7
541,541,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-04,04Q_C,N,Her cheekbones are very pronounced.,,S,Portuguese (Brazilian) Level 5,,7
542,542,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-04,04R_C,M,Suas maçãs do rosto são muito pronunciadas.,,S,Portuguese (Brazilian) Level 5,,7
543,543,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-04,04Q_D,N,The gaze is very penetrating.,,S,Portuguese (Brazilian) Level 5,,"5,7"
544,544,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-04,04R_D,F,O olhar é muito penetrante.,,S,Portuguese (Brazilian) Level 5,,"5,7"
545,545,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-05,05Q_A,N,They all have similar ears.,,S,Portuguese (Brazilian) Level 5,,5
546,546,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-05,05R_A,F,Elas todas têm orelhas semelhantes.,,S,Portuguese (Brazilian) Level 5,,5
547,547,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-05,05Q_B,N,They all do not have similar ears.,,S,Portuguese (Brazilian) Level 5,,5
548,548,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-05,05R_B,F,Elas todas não têm orelhas semelhantes.,,S,Portuguese (Brazilian) Level 5,,5
549,549,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-05,05Q_C,N,They all have similar features.,,S,Portuguese (Brazilian) Level 5,,5
550,550,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-05,05R_C,F,Elas todas têm traços semelhantes. ,,S,Portuguese (Brazilian) Level 5,,5
551,551,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-05,05Q_D,N,They all do not have similar features.,,S,Portuguese (Brazilian) Level 5,,5
552,552,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-05,05R_D,F,Elas todas não têm traços semelhantes. ,,S,Portuguese (Brazilian) Level 5,,5
553,553,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-06,06Q_A,N,My father's best friend.,,S,Portuguese (Brazilian) Level 5,,5
554,554,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-06,06R_A,M,O melhor amigo do meu pai.,,S,Portuguese (Brazilian) Level 5,,5
555,555,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-06,06Q_B,N,My mother's best friend.,,S,Portuguese (Brazilian) Level 5,,5
556,556,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-06,06R_B,M,A melhor amiga da minha mãe.,,S,Portuguese (Brazilian) Level 5,,5
557,557,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-06,06Q_C,N,My father's old friend.,,S,Portuguese (Brazilian) Level 5,,5
558,558,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-06,06R_C,M,O velho amigo do meu pai.,,S,Portuguese (Brazilian) Level 5,,5
559,559,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-06,06Q_D,N,My mother's old friend.,,S,Portuguese (Brazilian) Level 5,,5
560,560,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-06,06R_D,M,A velha amiga da minha mãe.,,S,Portuguese (Brazilian) Level 5,,5
561,561,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-07,07Q_A,N,She looks like my mother’s friend.,,S,Portuguese (Brazilian) Level 5,,5
562,562,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-07,07R_A,M,Ela se parece com a amiga da minha mãe.,,S,Portuguese (Brazilian) Level 5,,5
563,563,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-07,07Q_B,N,He looks like my mother's friend.,,S,Portuguese (Brazilian) Level 5,,5
564,564,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-07,07R_B,F,Ele se parece com o amigo da minha mãe.,,S,Portuguese (Brazilian) Level 5,,5
565,565,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-07,07Q_C,N,She looks like my father’s friend.,,S,Portuguese (Brazilian) Level 5,,5
566,566,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-07,07R_C,F,Ela se parece com a amiga do meu pai.,,S,Portuguese (Brazilian) Level 5,,5
567,567,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-07,07Q_D,N,He looks like my father's friend.,,S,Portuguese (Brazilian) Level 5,,5
568,568,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-07,07R_D,F,Ele se parece com o amigo do meu pai.,,S,Portuguese (Brazilian) Level 5,,5
569,569,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-08,08Q_A,N,My brothers have the chin of father.,,S,Portuguese (Brazilian) Level 5,,5
570,570,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-08,08R_A,F,Meus irmãos têm o queixo do pai.,,S,Portuguese (Brazilian) Level 5,,5
571,571,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-08,08Q_B,N,My brothers have the chin of mother.,,S,Portuguese (Brazilian) Level 5,,5
572,572,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-08,08R_B,F,Meus irmãos têm o queixo da mãe.,,S,Portuguese (Brazilian) Level 5,,5
573,573,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-08,08Q_C,N,My brothers have the nose of father.,,S,Portuguese (Brazilian) Level 5,,5
574,574,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-08,08R_C,M,Meus irmãos têm o nariz do pai.,,S,Portuguese (Brazilian) Level 5,,5
575,575,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-08,08Q_D,N,My brothers have the nose of mother.,,S,Portuguese (Brazilian) Level 5,,5
576,576,BP,9781508286752,Brazilian Portuguese 5,9,,,U09-08,08R_D,M,Meus irmãos têm o nariz da mãe.,,S,Portuguese (Brazilian) Level 5,,5
577,577,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-01,01Q_A,N,I wake up at eight during the week.,,S,Portuguese (Brazilian) Level 5,,"12,17"
578,578,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-01,01R_A,M,Acordo às oito durante a semana.,,S,Portuguese (Brazilian) Level 5,,"12,17"
579,579,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-01,01Q_B,N,I wake up at seven during the week.,,S,Portuguese (Brazilian) Level 5,,"12,17"
580,580,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-01,01R_B,M,Acordo às sete durante a semana.,,S,Portuguese (Brazilian) Level 5,,"12,17"
581,581,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-01,01Q_C,N,I wake up at six during the week.,,S,Portuguese (Brazilian) Level 5,,"12,17"
582,582,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-01,01R_C,F,Acordo às seis durante a semana.,,S,Portuguese (Brazilian) Level 5,,"12,17"
583,583,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-01,01Q_D,N,I wake up at nine during the week.,,S,Portuguese (Brazilian) Level 5,,"12,17"
584,584,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-01,01R_D,F,Acordo às nove durante a semana.,,S,Portuguese (Brazilian) Level 5,,"12,17"
585,585,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-02,02Q_A,N,"At night, she takes another shower.",,S,Portuguese (Brazilian) Level 5,,17
586,586,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-02,02R_A,F,"À noite, ela toma outro banho.",,S,Portuguese (Brazilian) Level 5,,17
587,587,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-02,02Q_B,N,"At night, he takes another shower.",,S,Portuguese (Brazilian) Level 5,,17
588,588,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-02,02R_B,F,"À noite, ele toma outro banho.",,S,Portuguese (Brazilian) Level 5,,17
589,589,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-02,02Q_C,N,"At night, she brushes her teeth.",,S,Portuguese (Brazilian) Level 5,,17
590,590,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-02,02R_C,F,"À noite, ela escova os dentes.",,S,Portuguese (Brazilian) Level 5,,17
591,591,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-02,02Q_D,N,"At night, he brushes his teeth.",,S,Portuguese (Brazilian) Level 5,,17
592,592,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-02,02R_D,M,"À noite, ele escova os dentes.",,S,Portuguese (Brazilian) Level 5,,17
593,593,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-03,03Q_A,N,She gets up at seven thirty.,,S,Portuguese (Brazilian) Level 5,,"12,17"
594,594,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-03,03R_A,M,Ela se levanta às sete e meia.,,S,Portuguese (Brazilian) Level 5,,"12,17"
595,595,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-03,03Q_B,N,She wakes up at seven thirty.,,S,Portuguese (Brazilian) Level 5,,"12,17"
596,596,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-03,03R_B,M,Ela acorda às sete e meia.,,S,Portuguese (Brazilian) Level 5,,"12,17"
597,597,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-03,03Q_C,N,My daughter gets up at seven thirty.,,S,Portuguese (Brazilian) Level 5,,"5,12"
598,598,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-03,03R_C,M,Minha filha se levanta às sete e meia.,,S,Portuguese (Brazilian) Level 5,,"5,12"
599,599,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-03,03Q_D,N,My daughter wakes up at seven thirty.,,S,Portuguese (Brazilian) Level 5,,"5,12"
600,600,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-03,03R_D,M,Minha filha acorda às sete e meia.,,S,Portuguese (Brazilian) Level 5,,"5,12"
601,601,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-04,04Q_A,N,My wife gets up at ten.,,S,Portuguese (Brazilian) Level 5,,"5,12"
602,602,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-04,04R_A,F,Minha esposa se levanta às dez.,,S,Portuguese (Brazilian) Level 5,,"5,12"
603,603,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-04,04Q_B,N,My husband gets up at ten.,,S,Portuguese (Brazilian) Level 5,,"5,12"
604,604,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-04,04R_B,F,Meu marido se levanta às dez.,,S,Portuguese (Brazilian) Level 5,,"5,12"
605,605,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-04,04Q_C,N,My wife gets up at noon.,,S,Portuguese (Brazilian) Level 5,,5
606,606,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-04,04R_C,F,Minha esposa se levanta ao meio-dia. ,,S,Portuguese (Brazilian) Level 5,,5
607,607,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-04,04Q_D,N,My husband gets up at noon.,,S,Portuguese (Brazilian) Level 5,,5
608,608,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-04,04R_D,F,Meu marido se levanta ao meio-dia.,,S,Portuguese (Brazilian) Level 5,,5
609,609,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-05,05Q_A,N,She takes a shower and then has breakfast.,,S,Portuguese (Brazilian) Level 5,,6
610,610,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-05,05R_A,F,Ela toma banho e depois toma café da manhã.,,S,Portuguese (Brazilian) Level 5,,6
611,611,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-05,05Q_B,N,She has breakfast and then takes a shower.,,S,Portuguese (Brazilian) Level 5,,6
612,612,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-05,05R_B,M,Ela toma café da manhã e depois toma banho.,,S,Portuguese (Brazilian) Level 5,,6
613,613,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-05,05Q_C,N,She takes a shower and then styles her hair.,,S,Portuguese (Brazilian) Level 5,,7
614,614,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-05,05R_C,M,Ela toma banho e depois arruma o cabelo. ,,S,Portuguese (Brazilian) Level 5,,7
615,615,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-05,05Q_D,N,She takes a shower and then dries her hair.,,S,Portuguese (Brazilian) Level 5,,7
616,616,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-05,05R_D,M,Ela toma banho e depois seca o cabelo. ,,S,Portuguese (Brazilian) Level 5,,7
617,617,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-06,06Q_A,N,For her it’s difficult to wake up early.,,S,Portuguese (Brazilian) Level 5,,17
618,618,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-06,06R_A,M,"Para ela, é difícil acordar cedo.",,S,Portuguese (Brazilian) Level 5,,17
619,619,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-06,06Q_B,N,For her it’s not difficult to wake up early.,,S,Portuguese (Brazilian) Level 5,,17
620,620,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-06,06R_B,M,"Para ela, não é difícil acordar cedo.",,S,Portuguese (Brazilian) Level 5,,17
621,621,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-06,06Q_C,N,For her it’s easy to wake up early.,,S,Portuguese (Brazilian) Level 5,,17
622,622,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-06,06R_C,F,"Para ela, é fácil acordar cedo.",,S,Portuguese (Brazilian) Level 5,,17
623,623,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-06,06Q_D,N,For her it’s not easy to wake up early.,,S,Portuguese (Brazilian) Level 5,,17
624,624,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-06,06R_D,F,"Para ela, não é fácil acordar cedo.",,S,Portuguese (Brazilian) Level 5,,17
625,625,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-07,07Q_A,N,"For me, it's easy to wake up early.",,S,Portuguese (Brazilian) Level 5,,17
626,626,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-07,07R_A,F,"Para mim, é fácil acordar cedo.",,S,Portuguese (Brazilian) Level 5,,17
627,627,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-07,07Q_B,N,"For me, it's easy to wake up late.",,S,Portuguese (Brazilian) Level 5,,17
628,628,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-07,07R_B,F,"Para mim, é fácil acordar tarde.",,S,Portuguese (Brazilian) Level 5,,17
629,629,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-07,07Q_C,N,"For me, it's difficult to wake up early.",,S,Portuguese (Brazilian) Level 5,,17
630,630,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-07,07R_C,F,"Para mim, é difícil acordar cedo.",,S,Portuguese (Brazilian) Level 5,,17
631,631,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-07,07Q_D,N,"For me, it's difficult to wake up late.",,S,Portuguese (Brazilian) Level 5,,17
632,632,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-07,07R_D,M,"Para mim, é difícil acordar tarde.",,S,Portuguese (Brazilian) Level 5,,17
633,633,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-08,08Q_A,N,Like those of my daughter.,,S,Portuguese (Brazilian) Level 5,,5
634,634,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-08,08R_A,M,Como os da minha filha. ,,S,Portuguese (Brazilian) Level 5,,5
635,635,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-08,08Q_B,N,Like those of my mother.,,S,Portuguese (Brazilian) Level 5,,5
636,636,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-08,08R_B,M,Como os da minha mãe. ,,S,Portuguese (Brazilian) Level 5,,5
637,637,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-08,08Q_C,N,Like those of my father.,,S,Portuguese (Brazilian) Level 5,,5
638,638,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-08,08R_C,M,Como os do meu pai. ,,S,Portuguese (Brazilian) Level 5,,5
639,639,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-08,08Q_D,N,Like those of my uncle.,,S,Portuguese (Brazilian) Level 5,,5
640,640,BP,9781508286752,Brazilian Portuguese 5,10,,,U10-08,08R_D,M,Como os do meu tio. ,,S,Portuguese (Brazilian) Level 5,,5
641,641,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-01,01Q_A,N,I wake up at six sharp.,,S,Portuguese (Brazilian) Level 5,,"12,17"
642,642,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-01,01R_A,F,Acordo às seis em ponto.,,S,Portuguese (Brazilian) Level 5,,"12,17"
643,643,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-01,01Q_B,N,I wake up at eight sharp.,,S,Portuguese (Brazilian) Level 5,,"12,17"
644,644,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-01,01R_B,F,Acordo às oito em ponto.,,S,Portuguese (Brazilian) Level 5,,"12,17"
645,645,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-01,01Q_C,N,I wake up at seven sharp.,,S,Portuguese (Brazilian) Level 5,,"12,17"
646,646,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-01,01R_C,F,Acordo às sete em ponto.,,S,Portuguese (Brazilian) Level 5,,"12,17"
647,647,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-01,01Q_D,N,I wake up at nine sharp.,,S,Portuguese (Brazilian) Level 5,,"12,17"
648,648,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-01,01R_D,F,Acordo às nove em ponto.,,S,Portuguese (Brazilian) Level 5,,"12,17"
649,649,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-02,02Q_A,N,She styles her hair every day.,,S,Portuguese (Brazilian) Level 5,,"7,17"
650,650,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-02,02R_A,M,Ela arruma o cabelo todos os dias.,,S,Portuguese (Brazilian) Level 5,,"7,17"
651,651,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-02,02Q_B,N,She styles her hair.,,S,Portuguese (Brazilian) Level 5,,7
652,652,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-02,02R_B,M,Ela arruma o cabelo.,,S,Portuguese (Brazilian) Level 5,,7
653,653,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-02,02Q_C,N,She dries her hair every day.,,S,Portuguese (Brazilian) Level 5,,"7,17"
654,654,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-02,02R_C,M,Ela seca o cabelo todos os dias. ,,S,Portuguese (Brazilian) Level 5,,"7,17"
655,655,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-02,02Q_D,N,She dries her hair.,,S,Portuguese (Brazilian) Level 5,,7
656,656,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-02,02R_D,M,Ela seca o cabelo. ,,S,Portuguese (Brazilian) Level 5,,7
657,657,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-03,03Q_A,N,She goes to work at eight sharp.,,S,Portuguese (Brazilian) Level 5,,"12,17,20"
658,658,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-03,03R_A,M,Ela vai para o trabalho às oito em ponto.,,S,Portuguese (Brazilian) Level 5,,"12,17,20"
659,659,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-03,03Q_B,N,He goes to work at eight sharp.,,S,Portuguese (Brazilian) Level 5,,"12,17,20"
660,660,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-03,03R_B,F,Ele vai para o trabalho às oito em ponto.,,S,Portuguese (Brazilian) Level 5,,"12,17,20"
661,661,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-03,03Q_C,N,She goes to work at seven sharp.,,S,Portuguese (Brazilian) Level 5,,"12,17,20"
662,662,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-03,03R_C,F,Ela vai para o trabalho às sete em ponto.,,S,Portuguese (Brazilian) Level 5,,"12,17,20"
663,663,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-03,03Q_D,N,He goes to work at seven sharp.,,S,Portuguese (Brazilian) Level 5,,"12,17,20"
664,664,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-03,03R_D,F,Ele vai para o trabalho às sete em ponto.,,S,Portuguese (Brazilian) Level 5,,"12,17,20"
665,665,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-04,04Q_A,N,He always styles his hair.,,S,Portuguese (Brazilian) Level 5,,7
666,666,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-04,04R_A,F,Ele sempre arruma o cabelo.,,S,Portuguese (Brazilian) Level 5,,7
667,667,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-04,04Q_B,N,He never styles his hair.,,S,Portuguese (Brazilian) Level 5,,7
668,668,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-04,04R_B,F,Ele nunca arruma o cabelo.,,S,Portuguese (Brazilian) Level 5,,7
669,669,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-04,04Q_C,N,He sometimes styles his hair.,,S,Portuguese (Brazilian) Level 5,,7
670,670,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-04,04R_C,M, Ele às vezes arruma o cabelo.,,S,Portuguese (Brazilian) Level 5,,7
671,671,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-04,04Q_D,N,He always dries his hair.,,S,Portuguese (Brazilian) Level 5,,7
672,672,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-04,04R_D,M,Ele sempre seca o cabelo.,,S,Portuguese (Brazilian) Level 5,,7
673,673,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-05,05Q_A,N,My daughter is interested in fashion.,,S,Portuguese (Brazilian) Level 5,,5
674,674,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-05,05R_A,M,Minha filha se interessa por moda.,,S,Portuguese (Brazilian) Level 5,,5
675,675,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-05,05Q_B,N,My daughter likes fashion.,,S,Portuguese (Brazilian) Level 5,,5
676,676,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-05,05R_B,M,Minha filha gosta de moda.,,S,Portuguese (Brazilian) Level 5,,5
677,677,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-05,05Q_C,N,I imagine that my daughter likes fashion.,,S,Portuguese (Brazilian) Level 5,,5
678,678,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-05,05R_C,M,Imagino que minha filha goste de moda.,,S,Portuguese (Brazilian) Level 5,,5
679,679,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-05,05Q_D,N,I imagine that my son likes fashion.,,S,Portuguese (Brazilian) Level 5,,5
680,680,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-05,05R_D,F,Imagino que meu filho goste de moda.,,S,Portuguese (Brazilian) Level 5,,5
681,681,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-06,06Q_A,N,I only put on makeup when I go to a party.,,S,Portuguese (Brazilian) Level 5,,1
682,682,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-06,06R_A,F,Eu só me maquio quando vou a uma festa.,,S,Portuguese (Brazilian) Level 5,,1
683,683,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-06,06Q_B,N,I never put on makeup when I go to a party.,,S,Portuguese (Brazilian) Level 5,,1
684,684,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-06,06R_B,F,Eu nunca me maquio quando vou a uma festa.,,S,Portuguese (Brazilian) Level 5,,1
685,685,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-06,06Q_C,N,I always put on makeup when I go to a party.,,S,Portuguese (Brazilian) Level 5,,1
686,686,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-06,06R_C,F,Eu sempre me maquio quando vou a uma festa.,,S,Portuguese (Brazilian) Level 5,,1
687,687,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-06,06Q_D,N,I sometimes put on makeup when I go to a party.,,S,Portuguese (Brazilian) Level 5,,1
688,688,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-06,06R_D,F,Eu às vezes me maquio quando vou a uma festa.,,S,Portuguese (Brazilian) Level 5,,1
689,689,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-07,07Q_A,N,She puts on makeup every day.,,S,Portuguese (Brazilian) Level 5,,"7,17"
690,690,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-07,07R_A,M,Ela se maquia todos os dias. ,,S,Portuguese (Brazilian) Level 5,,"7,17"
691,691,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-07,07Q_B,N,She dries her hair every day.,,S,Portuguese (Brazilian) Level 5,,"7,17"
692,692,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-07,07R_B,M,Ela seca o cabelo todos os dias.,,S,Portuguese (Brazilian) Level 5,,"7,17"
693,693,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-07,07Q_C,N,She wears makeup every day.,,S,Portuguese (Brazilian) Level 5,,"7,17"
694,694,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-07,07R_C,M,Ela usa maquiagem todos os dias.,,S,Portuguese (Brazilian) Level 5,,"7,17"
695,695,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-07,07Q_D,N,She styles her hair every day.,,S,Portuguese (Brazilian) Level 5,,"7,17"
696,696,BP,9781508286752,Brazilian Portuguese 5,11,,,U11-07,07R_D,M,Ela arruma o cabelo todos os dias.,,S,Portuguese (Brazilian) Level 5,,"7,17"
