Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills
176,FR,978-1-4423-4864-6,French 1,10,0:16:10,0:16:12,07R,186,M,Je vais manger à cinq heures.,6,S,"French Phase 1, Units 1-30 (2001)","6,12,17"
177,FR,978-1-4423-4864-6,French 1,10,0:18:15,0:18:16,08Q,206,N,What time is it now?,,,"French Phase 1, Units 1-30 (2001)","16,17"
178,FR,978-1-4423-4864-6,French 1,10,0:18:19,0:18:21,08R,207,M,Quelle heure est-il maintenant?,4,Q,"French Phase 1, Units 1-30 (2001)","16,17"
179,FR,978-1-4423-4864-6,French 1,10,0:18:29,0:18:30,09Q,209,N,It’s one o’clock now.,,,"French Phase 1, Units 1-30 (2001)","12,17"
180,FR,978-1-4423-4864-6,French 1,10,0:18:34,0:18:35,09R,210,F,Il est une heure maintenant.,5,S,"French Phase 1, Units 1-30 (2001)","12,17"
181,FR,978-1-4423-4864-6,French 1,10,0:22:40,0:22:42,10Q,252,N,I’m going to have lunch with you.,,,"French Phase 1, Units 1-30 (2001)",6
182,FR,978-1-4423-4864-6,French 1,10,0:22:46,0:22:48,10R,253,F,Je vais déjeuner avec vous.,5,S,"French Phase 1, Units 1-30 (2001)",6
183,FR,978-1-4423-4864-6,French 1,11,0:05:56,0:05:57,01Q,97,N,At six o’clock.,,,"French Phase 1, Units 1-30 (2001)","12,17"
184,FR,978-1-4423-4864-6,French 1,11,0:06:03,0:06:04,01R,99,M,A six heures.,3,S,"French Phase 1, Units 1-30 (2001)","12,17"
185,FR,978-1-4423-4864-6,French 1,11,0:09:17,0:09:19,02Q,127,N,I’m going to have dinner this evening.,,,"French Phase 1, Units 1-30 (2001)","6,17"
186,FR,978-1-4423-4864-6,French 1,11,0:09:22,0:09:24,02R,128,M,Je vais dîner ce soir.,5,S,"French Phase 1, Units 1-30 (2001)","6,17"
187,FR,978-1-4423-4864-6,French 1,11,0:09:33,0:09:35,03Q,129,N,I would like to have dinner this evening.,,,"French Phase 1, Units 1-30 (2001)","6,17"
188,FR,978-1-4423-4864-6,French 1,11,0:09:39,0:09:40,03R,130,M,Je voudrais dîner ce soir.,5,S,"French Phase 1, Units 1-30 (2001)","6,17"
189,FR,978-1-4423-4864-6,French 1,11,0:10:11,0:10:12,04Q,134,N,At ten o’clock.,,,"French Phase 1, Units 1-30 (2001)","12,17"
190,FR,978-1-4423-4864-6,French 1,11,0:10:15,0:10:16,04R,135,F,A dix heures.,3,S,"French Phase 1, Units 1-30 (2001)","12,17"
191,FR,978-1-4423-4864-6,French 1,11,0:11:37,0:11:39,05Q,148,N,"Tomorrow, I am going to have dinner with you.",,,"French Phase 1, Units 1-30 (2001)","6,9,17"
192,FR,978-1-4423-4864-6,French 1,11,0:11:43,0:11:45,05R,149,F,"Demain, je vais dîner avec vous.",6,S,"French Phase 1, Units 1-30 (2001)","6,9,17"
193,FR,978-1-4423-4864-6,French 1,11,0:12:38,0:12:39,06Q,160,N,Not at nine o’clock.,,,"French Phase 1, Units 1-30 (2001)","12,17"
194,FR,978-1-4423-4864-6,French 1,11,0:12:42,0:12:43,06R,161,M,Pas à neuf heures.,4,S,"French Phase 1, Units 1-30 (2001)","12,17"
195,FR,978-1-4423-4864-6,French 1,11,0:13:44,0:13:46,07Q,172,N,Tomorrow evening at seven o’clock.,,,"French Phase 1, Units 1-30 (2001)","12,17"
196,FR,978-1-4423-4864-6,French 1,11,0:13:50,0:13:52,07R,173,M,Demain soir à sept heures.,5,S,"French Phase 1, Units 1-30 (2001)","12,17"
197,FR,978-1-4423-4864-6,French 1,11,0:16:40,0:16:42,08Q,204,N,"Not today, tomorrow.",,,"French Phase 1, Units 1-30 (2001)",17
198,FR,978-1-4423-4864-6,French 1,11,0:16:45,0:16:47,08R,205,F,"Pas aujourd’hui, demain.",3,S,"French Phase 1, Units 1-30 (2001)",17
199,FR,978-1-4423-4864-6,French 1,11,0:18:44,0:18:46,09Q,226,N,"Not this evening, but tomorrow evening.",,,"French Phase 1, Units 1-30 (2001)",17
200,FR,978-1-4423-4864-6,French 1,11,0:18:51,0:18:53,09R,227,M,"Pas ce soir, mais demain soir.",6,S,"French Phase 1, Units 1-30 (2001)",17
201,FR,978-1-4423-4864-6,French 1,11,0:23:15,0:23:16,10Q,277,N,See you tomorrow.,,,"French Phase 1, Units 1-30 (2001)",17
202,FR,978-1-4423-4864-6,French 1,11,0:23:19,0:23:19,10R,279,M,A demain.,2,S,"French Phase 1, Units 1-30 (2001)",17
203,FR,978-1-4423-4864-6,French 1,12,0:02:42,0:02:43,01Q,48,N,Then at eight o’clock.,,,"French Phase 1, Units 1-30 (2001)","12,17"
204,FR,978-1-4423-4864-6,French 1,12,0:02:47,0:02:48,01R,49,M,Alors a huit heures.,4,S,"French Phase 1, Units 1-30 (2001)","12,17"
205,FR,978-1-4423-4864-6,French 1,12,0:04:53,0:04:54,02Q,71,N,You’re going to have dinner?,,,"French Phase 1, Units 1-30 (2001)",6
206,FR,978-1-4423-4864-6,French 1,12,0:04:57,0:04:58,02R,72,F,Vous allez dîner?,3,Q,"French Phase 1, Units 1-30 (2001)",6
207,FR,978-1-4423-4864-6,French 1,12,0:05:12,0:05:13,03Q,75,N,I’m going to eat with you.,,,"French Phase 1, Units 1-30 (2001)",6
208,FR,978-1-4423-4864-6,French 1,12,0:05:18,0:05:19,03R,76,M,Je vais manger avec vous.,5,S,"French Phase 1, Units 1-30 (2001)",6
209,FR,978-1-4423-4864-6,French 1,12,0:06:33,0:06:35,04Q,87,N,I’m not going to drink wine today.,,,"French Phase 1, Units 1-30 (2001)","6,17"
210,FR,978-1-4423-4864-6,French 1,12,0:06:39,0:06:41,04R,88,M,Je ne vais pas boire du vin aujourd’hui.,8,S,"French Phase 1, Units 1-30 (2001)","6,17"
211,FR,978-1-4423-4864-6,French 1,12,0:09:24,0:09:25,05Q,119,N,How much do I owe you?,,,"French Phase 1, Units 1-30 (2001)","14,16"
212,FR,978-1-4423-4864-6,French 1,12,0:09:28,0:09:29,05R,120,M,Je vous dois combien?,4,Q,"French Phase 1, Units 1-30 (2001)","14,16"
213,FR,978-1-4423-4864-6,French 1,12,0:11:16,0:11:18,06Q,138,N,How much do I owe you today?,,,"French Phase 1, Units 1-30 (2001)","14,17"
214,FR,978-1-4423-4864-6,French 1,12,0:11:21,0:11:23,06R,140,M,Je vous dois combien aujourd’hui?,5,Q,"French Phase 1, Units 1-30 (2001)","14,17"
215,FR,978-1-4423-4864-6,French 1,12,0:11:55,0:11:57,07Q,146,N,Eleven euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
216,FR,978-1-4423-4864-6,French 1,12,0:12:00,0:12:00,07R,147,F,Onze euros.,2,S,"French Phase 1, Units 1-30 (2001)","11,12"
217,FR,978-1-4423-4864-6,French 1,12,0:12:42,0:12:43,08Q,155,N,Twelve euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
218,FR,978-1-4423-4864-6,French 1,12,0:12:44,0:12:45,08R,156,F,Douze euros.,2,S,"French Phase 1, Units 1-30 (2001)","11,12"
219,FR,978-1-4423-4864-6,French 1,12,0:13:02,0:13:03,09Q,159,N,Two euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
220,FR,978-1-4423-4864-6,French 1,12,0:13:06,0:13:07,09R,160,F,Deux euros.,2,S,"French Phase 1, Units 1-30 (2001)","11,12"
221,FR,978-1-4423-4864-6,French 1,12,0:16:33,0:16:35,10Q,197,N,Do I owe you five euros?,,,"French Phase 1, Units 1-30 (2001)","11,12,14"
222,FR,978-1-4423-4864-6,French 1,12,0:16:39,0:16:40,10R,198,F,Est-ce que je vous dois cinq euros?,7,Q,"French Phase 1, Units 1-30 (2001)","11,12,14"
223,FR,978-1-4423-4864-6,French 1,12,0:19:01,0:19:03,11Q,222,N,I understand you now.,,,"French Phase 1, Units 1-30 (2001)","10,15,17"
224,FR,978-1-4423-4864-6,French 1,12,0:19:06,0:19:08,11R,223,F,Je vous comprends maintenant.,7,S,"French Phase 1, Units 1-30 (2001)","10,15,17"
225,FR,978-1-4423-4864-6,French 1,13,0:02:22,0:02:23,01Q,42,N,It’s eleven o’clock.,,,"French Phase 1, Units 1-30 (2001)","12,17"
226,FR,978-1-4423-4864-6,French 1,13,0:02:26,0:02:27,01R,43,F,Il est onze heures.,4,S,"French Phase 1, Units 1-30 (2001)","12,17"
227,FR,978-1-4423-4864-6,French 1,13,0:05:16,0:05:18,02Q,68,N,I’m listening.,,,"French Phase 1, Units 1-30 (2001)",7
228,FR,978-1-4423-4864-6,French 1,13,0:05:20,0:05:21,02R,69,M,J’écoute.,2,S,"French Phase 1, Units 1-30 (2001)",7
229,FR,978-1-4423-4864-6,French 1,13,0:07:53,0:07:54,03Q,94,N,Good evening.,,,"French Phase 1, Units 1-30 (2001)","7,10"
230,FR,978-1-4423-4864-6,French 1,13,0:08:00,0:08:01,03R,95,M,Bonsoir.,1,S,"French Phase 1, Units 1-30 (2001)","7,10"
231,FR,978-1-4423-4864-6,French 1,13,0:08:22,0:08:24,04Q,99,N,How many euros do you have?,,,"French Phase 1, Units 1-30 (2001)",11
232,FR,978-1-4423-4864-6,French 1,13,0:08:27,0:08:29,04R,100,F,Vous avez combien d’euros?,4,Q,"French Phase 1, Units 1-30 (2001)",11
233,FR,978-1-4423-4864-6,French 1,13,0:09:25,0:09:26,05Q,110,N,I have fourteen euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
234,FR,978-1-4423-4864-6,French 1,13,0:09:29,0:09:30,05R,111,M,J’ai quatorze euros.,3,S,"French Phase 1, Units 1-30 (2001)","11,12"
235,FR,978-1-4423-4864-6,French 1,13,0:10:20,0:10:22,06Q,119,N,How many dollars do you have?,,,"French Phase 1, Units 1-30 (2001)",11
236,FR,978-1-4423-4864-6,French 1,13,0:10:25,0:10:27,06R,120,F,Vous avez combien de dollars?,5,Q,"French Phase 1, Units 1-30 (2001)",11
237,FR,978-1-4423-4864-6,French 1,13,0:11:38,0:11:40,07Q,131,N,I have fifteen dollars.,,,"French Phase 1, Units 1-30 (2001)","11,12"
238,FR,978-1-4423-4864-6,French 1,13,0:11:42,0:11:43,07R,132,M,J’ai quinze dollars.,3,S,"French Phase 1, Units 1-30 (2001)","11,12"
239,FR,978-1-4423-4864-6,French 1,13,0:12:22,0:12:23,08Q,139,N,Do you have sixteen euros?,,,"French Phase 1, Units 1-30 (2001)","11,12"
240,FR,978-1-4423-4864-6,French 1,13,0:12:26,0:12:28,08R,140,F,Est-ce que vous avez seize euros?,6,Q,"French Phase 1, Units 1-30 (2001)","11,12"
241,FR,978-1-4423-4864-6,French 1,13,0:13:29,0:13:31,09Q,148,N,You don’t have sixteen dollars?,,,"French Phase 1, Units 1-30 (2001)","11,12"
242,FR,978-1-4423-4864-6,French 1,13,0:13:35,0:13:36,09R,149,F,Vous n’avez pas seize dollars?,5,Q,"French Phase 1, Units 1-30 (2001)","11,12"
243,FR,978-1-4423-4864-6,French 1,13,0:14:14,0:14:15,10Q,156,N,And in dollars?,,,"French Phase 1, Units 1-30 (2001)",11
244,FR,978-1-4423-4864-6,French 1,13,0:14:18,0:14:18,10R,157,M,Et en dollars?,3,Q,"French Phase 1, Units 1-30 (2001)",11
245,FR,978-1-4423-4864-6,French 1,13,0:22:24,0:22:26,11Q,232,N,You owe me two dollars.,,,"French Phase 1, Units 1-30 (2001)","11,12"
246,FR,978-1-4423-4864-6,French 1,13,0:22:29,0:22:31,11R,233,F,Vous me devez deux dollars.,5,S,"French Phase 1, Units 1-30 (2001)","11,12"
247,FR,978-1-4423-4864-6,French 1,14,0:01:14,0:01:15,01Q,26,N,How much is it in euros?,,,"French Phase 1, Units 1-30 (2001)","11,14,16"
248,FR,978-1-4423-4864-6,French 1,14,0:01:19,0:01:20,01R,27,M,C’est combien en euros?,4,Q,"French Phase 1, Units 1-30 (2001)","11,14,16"
249,FR,978-1-4423-4864-6,French 1,14,0:01:42,0:01:44,02Q,32,N,Here are thirteen euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
250,FR,978-1-4423-4864-6,French 1,14,0:01:47,0:01:49,02R,33,F,Voilà treize euros.,3,S,"French Phase 1, Units 1-30 (2001)","11,12"
251,FR,978-1-4423-4864-6,French 1,14,0:02:22,0:02:24,03Q,38,N,I owe you thirteen euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
252,FR,978-1-4423-4864-6,French 1,14,0:02:28,0:02:29,03R,39,M,Je vous dois treize euros.,5,S,"French Phase 1, Units 1-30 (2001)","11,12"
253,FR,978-1-4423-4864-6,French 1,14,0:04:09,0:04:10,04Q,54,N,Have you one euro?,,,"French Phase 1, Units 1-30 (2001)","11,12"
254,FR,978-1-4423-4864-6,French 1,14,0:04:13,0:04:14,04R,55,F,Avez-vous un euro?,4,Q,"French Phase 1, Units 1-30 (2001)","11,12"
255,FR,978-1-4423-4864-6,French 1,14,0:04:19,0:04:20,05Q,56,N,Do you want one euro?,,,"French Phase 1, Units 1-30 (2001)","11,12"
256,FR,978-1-4423-4864-6,French 1,14,0:04:23,0:04:24,05R,57,F,Voulez-vous un euro?,4,Q,"French Phase 1, Units 1-30 (2001)","11,12"
257,FR,978-1-4423-4864-6,French 1,14,0:04:53,0:04:55,06Q,62,N,How many dollars have you?,,,"French Phase 1, Units 1-30 (2001)",11
258,FR,978-1-4423-4864-6,French 1,14,0:04:58,0:05:00,06R,63,F,Combien de dollars avez-vous?,5,Q,"French Phase 1, Units 1-30 (2001)",11
259,FR,978-1-4423-4864-6,French 1,14,0:05:25,0:05:27,07Q,67,N,I have no dollars.,,,"French Phase 1, Units 1-30 (2001)","11,12"
260,FR,978-1-4423-4864-6,French 1,14,0:05:30,0:05:31,07R,68,M,Je n’ai pas de dollars.,5,S,"French Phase 1, Units 1-30 (2001)","11,12"
261,FR,978-1-4423-4864-6,French 1,14,0:05:53,0:05:54,08Q,72,N,I have many euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
262,FR,978-1-4423-4864-6,French 1,14,0:05:57,0:05:58,08R,73,M,J’ai beaucoup d’euros.,3,S,"French Phase 1, Units 1-30 (2001)","11,12"
263,FR,978-1-4423-4864-6,French 1,14,0:07:24,0:07:26,09Q,89,N,I have some euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
264,FR,978-1-4423-4864-6,French 1,14,0:07:29,0:07:30,09R,90,M,J’ai des euros.,3,S,"French Phase 1, Units 1-30 (2001)","11,12"
265,FR,978-1-4423-4864-6,French 1,14,0:08:08,0:08:09,10Q,96,N,Give me some euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
266,FR,978-1-4423-4864-6,French 1,14,0:08:12,0:08:13,10R,97,M,Donnez-moi des euros.,4,S,"French Phase 1, Units 1-30 (2001)","11,12"
267,FR,978-1-4423-4864-6,French 1,14,0:21:03,0:21:05,11Q,239,N,I’m giving you ten dollars.,,,"French Phase 1, Units 1-30 (2001)","11,12"
268,FR,978-1-4423-4864-6,French 1,14,0:21:08,0:21:09,11R,240,M,Je vous donne dix dollars.,5,S,"French Phase 1, Units 1-30 (2001)","11,12"
269,FR,978-1-4423-4864-6,French 1,14,0:21:44,0:21:46,12Q,247,N,You haven’t any euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
270,FR,978-1-4423-4864-6,French 1,14,0:21:48,0:21:49,12R,248,F,Vous n’avez pas d’euros.,4,S,"French Phase 1, Units 1-30 (2001)","11,12"
271,FR,978-1-4423-4864-6,French 1,15,0:02:54,0:02:55,01Q,46,N,You haven’t any wine?,,,"French Phase 1, Units 1-30 (2001)",6
272,FR,978-1-4423-4864-6,French 1,15,0:02:59,0:03:00,01R,47,F,Vous n’avez pas de vin?,5,Q,"French Phase 1, Units 1-30 (2001)",6
273,FR,978-1-4423-4864-6,French 1,15,0:04:11,0:04:13,02Q,58,N,"Yes, I have some euros, too.",,,"French Phase 1, Units 1-30 (2001)","11,12"
274,FR,978-1-4423-4864-6,French 1,15,0:04:19,0:04:22,02R,59,F,"Si, j’ai aussi des euros.",4,S,"French Phase 1, Units 1-30 (2001)","11,12"
275,FR,978-1-4423-4864-6,French 1,15,0:08:06,0:08:07,03Q,94,N,The wine is for you.,,,"French Phase 1, Units 1-30 (2001)",6
276,FR,978-1-4423-4864-6,French 1,15,0:08:11,0:08:13,03R,95,M,Le vin est pour vous.,5,S,"French Phase 1, Units 1-30 (2001)",6
277,FR,978-1-4423-4864-6,French 1,15,0:09:16,0:09:17,04Q,106,N,How much is a beer?,,,"French Phase 1, Units 1-30 (2001)","6,14"
278,FR,978-1-4423-4864-6,French 1,15,0:09:20,0:09:21,04R,107,F,"C’est combien, une bière?",4,Q,"French Phase 1, Units 1-30 (2001)","6,14"
279,FR,978-1-4423-4864-6,French 1,15,0:10:55,0:10:56,05Q,119,N,I can’t.,,,"French Phase 1, Units 1-30 (2001)",7
280,FR,978-1-4423-4864-6,French 1,15,0:10:59,0:11:00,05R,120,F,Je ne peux pas.,4,S,"French Phase 1, Units 1-30 (2001)",7
281,FR,978-1-4423-4864-6,French 1,15,0:12:00,0:12:01,06Q,130,N,Can you eat now?,,,"French Phase 1, Units 1-30 (2001)","6,17"
282,FR,978-1-4423-4864-6,French 1,15,0:12:05,0:12:07,06R,131,M,Est-ce que vous pouvez manger maintenant?,6,Q,"French Phase 1, Units 1-30 (2001)","6,17"
283,FR,978-1-4423-4864-6,French 1,15,0:13:36,0:13:37,07Q,147,N,I have some.,,,"French Phase 1, Units 1-30 (2001)","7,12"
284,FR,978-1-4423-4864-6,French 1,15,0:13:40,0:13:40,07R,148,F,J’en ai.,2,S,"French Phase 1, Units 1-30 (2001)","7,12"
285,FR,978-1-4423-4864-6,French 1,15,0:14:29,0:14:30,08Q,155,N,I haven’t any.,,,"French Phase 1, Units 1-30 (2001)","7,12"
286,FR,978-1-4423-4864-6,French 1,15,0:14:33,0:14:34,08R,156,F,Je n’en ai pas.,4,S,"French Phase 1, Units 1-30 (2001)","7,12"
287,FR,978-1-4423-4864-6,French 1,15,0:15:10,0:15:10,09Q,162,N,I have many.,,,"French Phase 1, Units 1-30 (2001)","7,12"
288,FR,978-1-4423-4864-6,French 1,15,0:15:14,0:15:15,09R,163,F,J’en ai beaucoup.,3,S,"French Phase 1, Units 1-30 (2001)","7,12"
289,FR,978-1-4423-4864-6,French 1,15,0:19:46,0:19:47,10Q,209,N,You have some euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
290,FR,978-1-4423-4864-6,French 1,15,0:19:51,0:19:52,10R,210,M,Vous avez des euros.,4,S,"French Phase 1, Units 1-30 (2001)","11,12"
291,FR,978-1-4423-4864-6,French 1,16,0:01:45,0:01:45,01Q,36,N,It’s for you.,,,"French Phase 1, Units 1-30 (2001)",7
292,FR,978-1-4423-4864-6,French 1,16,0:01:48,0:01:49,01R,37,M,C’est pour vous.,3,S,"French Phase 1, Units 1-30 (2001)",7
293,FR,978-1-4423-4864-6,French 1,16,0:04:14,0:04:16,02Q,60,N,Can you give me some euros?,,,"French Phase 1, Units 1-30 (2001)",11
294,FR,978-1-4423-4864-6,French 1,16,0:04:21,0:04:22,02R,61,M,Est-ce que vous pouvez me donner des euros?,8,Q,"French Phase 1, Units 1-30 (2001)",11
295,FR,978-1-4423-4864-6,French 1,16,0:04:28,0:04:29,03Q,62,N,"Give me some euros, please.",,,"French Phase 1, Units 1-30 (2001)","11,13"
296,FR,978-1-4423-4864-6,French 1,16,0:04:34,0:04:36,03R,63,M,"Donnez-moi des euros, s’il vous plaît.",7,S,"French Phase 1, Units 1-30 (2001)","11,13"
297,FR,978-1-4423-4864-6,French 1,16,0:05:23,0:05:25,04Q,72,N,I can give you some dollars.,,,"French Phase 1, Units 1-30 (2001)",11
298,FR,978-1-4423-4864-6,French 1,16,0:05:29,0:05:31,04R,73,F,Je peux vous donner des dollars.,6,S,"French Phase 1, Units 1-30 (2001)",11
299,FR,978-1-4423-4864-6,French 1,16,0:05:54,0:05:55,05Q,76,N,I don’t want any.,,,"French Phase 1, Units 1-30 (2001)",7
300,FR,978-1-4423-4864-6,French 1,16,0:05:58,0:05:59,05R,77,M,Je n’en veux pas.,4,S,"French Phase 1, Units 1-30 (2001)",7
301,FR,978-1-4423-4864-6,French 1,16,0:07:22,0:07:23,06Q,90,N,That’s a lot of money.,,,"French Phase 1, Units 1-30 (2001)","11,12"
302,FR,978-1-4423-4864-6,French 1,16,0:07:26,0:07:27,06R,91,M,C’est beaucoup d’argent.,3,S,"French Phase 1, Units 1-30 (2001)","11,12"
303,FR,978-1-4423-4864-6,French 1,16,0:08:42,0:08:43,07Q,102,N,It’s too much money.,,,"French Phase 1, Units 1-30 (2001)","11,12"
304,FR,978-1-4423-4864-6,French 1,16,0:08:47,0:08:48,07R,103,M,C’est trop d’argent.,3,S,"French Phase 1, Units 1-30 (2001)","11,12"
305,FR,978-1-4423-4864-6,French 1,16,0:09:38,0:09:39,08Q,110,N,I have twenty dollars.,,,"French Phase 1, Units 1-30 (2001)","11,12"
306,FR,978-1-4423-4864-6,French 1,16,0:09:42,0:09:43,08R,111,M,J’ai vingt dollars.,3,S,"French Phase 1, Units 1-30 (2001)","11,12"
307,FR,978-1-4423-4864-6,French 1,16,0:13:01,0:13:01,09Q,141,N,It’s not enough.,,,"French Phase 1, Units 1-30 (2001)","7,12"
308,FR,978-1-4423-4864-6,French 1,16,0:13:05,0:13:06,09R,142,F,Ça ne suffit pas.,4,S,"French Phase 1, Units 1-30 (2001)","7,12"
309,FR,978-1-4423-4864-6,French 1,16,0:14:45,0:14:47,10Q,156,N,Give me forty-seven euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
310,FR,978-1-4423-4864-6,French 1,16,0:14:51,0:14:53,10R,157,F,Donnez-moi quarante-sept euros.,5,S,"French Phase 1, Units 1-30 (2001)","11,12"
311,FR,978-1-4423-4864-6,French 1,17,0:03:15,0:03:16,01Q,53,N,I have a lot of money.,,,"French Phase 1, Units 1-30 (2001)","11,12"
312,FR,978-1-4423-4864-6,French 1,17,0:03:20,0:03:21,01R,54,F,J’ai beaucoup d’argent.,3,S,"French Phase 1, Units 1-30 (2001)","11,12"
313,FR,978-1-4423-4864-6,French 1,17,0:03:48,0:03:50,02Q,59,N,I can give you some money.,,,"French Phase 1, Units 1-30 (2001)",11
314,FR,978-1-4423-4864-6,French 1,17,0:03:54,0:03:56,02R,60,F,Je peux vous donner de l'argent.,6,S,"French Phase 1, Units 1-30 (2001)",11
315,FR,978-1-4423-4864-6,French 1,17,0:05:25,0:05:26,03Q,74,N,I have enough.,,,"French Phase 1, Units 1-30 (2001)","7,12"
316,FR,978-1-4423-4864-6,French 1,17,0:05:29,0:05:30,03R,75,F,J’en ai assez.,3,S,"French Phase 1, Units 1-30 (2001)","7,12"
317,FR,978-1-4423-4864-6,French 1,17,0:05:54,0:05:55,04Q,79,N,That’s a lot of money.,,,"French Phase 1, Units 1-30 (2001)","11,12"
318,FR,978-1-4423-4864-6,French 1,17,0:05:58,0:05:59,04R,80,M,C’est beaucoup d’argent.,3,S,"French Phase 1, Units 1-30 (2001)","11,12"
319,FR,978-1-4423-4864-6,French 1,17,0:06:40,0:06:42,05Q,88,N,Now I have forty-one euros.,,,"French Phase 1, Units 1-30 (2001)","11,12,17"
320,FR,978-1-4423-4864-6,French 1,17,0:06:45,0:06:47,05R,89,M,Maintenant j’ai quarante et un euros.,6,S,"French Phase 1, Units 1-30 (2001)","11,12,17"
321,FR,978-1-4423-4864-6,French 1,17,0:10:44,0:10:45,06Q,130,N,That’s too expensive.,,,"French Phase 1, Units 1-30 (2001)",14
322,FR,978-1-4423-4864-6,French 1,17,0:10:48,0:10:49,06R,131,M,C’est trop cher.,3,S,"French Phase 1, Units 1-30 (2001)",14
323,FR,978-1-4423-4864-6,French 1,17,0:11:18,0:11:19,07Q,135,N,It’s not too expensive.,,,"French Phase 1, Units 1-30 (2001)",14
324,FR,978-1-4423-4864-6,French 1,17,0:11:23,0:11:24,07R,136,F,Ce n’est pas trop cher.,5,S,"French Phase 1, Units 1-30 (2001)",14
325,FR,978-1-4423-4864-6,French 1,17,0:12:02,0:12:04,08Q,142,N,I’m giving you sixty-one euros.,,,"French Phase 1, Units 1-30 (2001)","11,12"
326,FR,978-1-4423-4864-6,French 1,17,0:12:09,0:12:11,08R,143,M,Je vous donne soixante et un euros.,7,S,"French Phase 1, Units 1-30 (2001)","11,12"
327,FR,978-1-4423-4864-6,French 1,17,0:15:09,0:15:10,09Q,170,N,You speak too fast.,,,"French Phase 1, Units 1-30 (2001)",15
328,FR,978-1-4423-4864-6,French 1,17,0:15:13,0:15:14,09R,171,M,Vous parlez trop vite.,4,S,"French Phase 1, Units 1-30 (2001)",15
329,FR,978-1-4423-4864-6,French 1,17,0:15:40,0:15:41,10Q,175,N,I don’t talk fast.,,,"French Phase 1, Units 1-30 (2001)",15
330,FR,978-1-4423-4864-6,French 1,17,0:15:45,0:15:46,10R,176,F,Je ne parle pas vite.,5,S,"French Phase 1, Units 1-30 (2001)",15
331,FR,978-1-4423-4864-6,French 1,18,0:06:49,0:06:51,01Q,87,N,"Here, it’s more expensive.",,,"French Phase 1, Units 1-30 (2001)",14
332,FR,978-1-4423-4864-6,French 1,18,0:06:55,0:06:57,01R,88,F,"Ici, c’est plus cher.",4,S,"French Phase 1, Units 1-30 (2001)",14
333,FR,978-1-4423-4864-6,French 1,18,0:07:32,0:07:33,02Q,94,N,Speak more quickly.,,,"French Phase 1, Units 1-30 (2001)",15
334,FR,978-1-4423-4864-6,French 1,18,0:07:36,0:07:37,02R,95,F,Parlez plus vite.,3,S,"French Phase 1, Units 1-30 (2001)",15
335,FR,978-1-4423-4864-6,French 1,18,0:08:07,0:08:08,03Q,100,N,My husband speaks quickly.,,,"French Phase 1, Units 1-30 (2001)","5,15"
336,FR,978-1-4423-4864-6,French 1,18,0:08:11,0:08:13,03R,101,F,Mon mari parle vite.,4,S,"French Phase 1, Units 1-30 (2001)","5,15"
337,FR,978-1-4423-4864-6,French 1,18,0:09:46,0:09:48,04Q,116,N,My wife would like to drink something.,,,"French Phase 1, Units 1-30 (2001)","5,6"
338,FR,978-1-4423-4864-6,French 1,18,0:09:53,0:09:55,04R,117,M,Ma femme voudrait boire quelque chose.,6,S,"French Phase 1, Units 1-30 (2001)","5,6"
339,FR,978-1-4423-4864-6,French 1,18,0:10:46,0:10:48,05Q,125,N,My husband wants to drink something.,,,"French Phase 1, Units 1-30 (2001)","5,6"
340,FR,978-1-4423-4864-6,French 1,18,0:10:52,0:10:54,05R,126,F,Mon mari veut boire quelque chose.,6,S,"French Phase 1, Units 1-30 (2001)","5,6"
341,FR,978-1-4423-4864-6,French 1,18,0:11:59,0:12:01,06Q,135,N,I would like to drink some tea.,,,"French Phase 1, Units 1-30 (2001)",6
342,FR,978-1-4423-4864-6,French 1,18,0:12:05,0:12:06,06R,136,F,Je voudrais boire du thé.,5,S,"French Phase 1, Units 1-30 (2001)",6
343,FR,978-1-4423-4864-6,French 1,18,0:12:30,0:12:31,07Q,140,N,I would like to drink some water.,,,"French Phase 1, Units 1-30 (2001)",6
344,FR,978-1-4423-4864-6,French 1,18,0:12:34,0:12:36,07R,141,M,Je voudrais boire de l’eau.,5,S,"French Phase 1, Units 1-30 (2001)",6
345,FR,978-1-4423-4864-6,French 1,18,0:14:39,0:14:41,08Q,160,N,Your wife isn’t here.,,,"French Phase 1, Units 1-30 (2001)",5
346,FR,978-1-4423-4864-6,French 1,18,0:14:45,0:14:46,08R,161,F,Votre femme n’est pas ici.,5,S,"French Phase 1, Units 1-30 (2001)",5
