"Control#","Rec #","Lang","Source Audio ISBN-13","Course","Unit Num","Start","Stop","QZ #","line #","Speaker","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"130","130","BP","9781442311718","BrazPort 2","7","","","05R","183","M","Nós trabalhamos juntos.","3","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_130.mp3","9,20"
"131","131","BP","9781442311718","BrazPort 2","7","","","06Q","","N","We are colleagues.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_131.mp3","9,20"
"132","132","BP","9781442311718","BrazPort 2","7","","","06R","186","M","Nós somos colegas.","3","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_132.mp3","9,20"
"133","133","BP","9781442311718","BrazPort 2","7","","","07Q","","N","Since when do you work with them?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_133.mp3","17,20"
"134","134","BP","9781442311718","BrazPort 2","7","","","07R","191","F","Desde quando você trabalha com eles?","6","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_134.mp3","17,20"
"135","135","BP","9781442311718","BrazPort 2","7","","","08Q","","N","They would like to stay two weeks.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_135.mp3","12,18"
"136","136","BP","9781442311718","BrazPort 2","7","","","08R","231","M","Eles gostariam de ficar duas semanas.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_136.mp3","12,18"
"137","137","BP","9781442311718","BrazPort 2","7","","","09Q","","N","Everything is ready for them.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_137.mp3","7"
"138","138","BP","9781442311718","BrazPort 2","7","","","09R","260","M","Tudo está pronto para eles.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_138.mp3","7"
"139","139","BP","9781442311718","BrazPort 2","7","","","10Q","","N","It has been two years that they work in Chicago.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_139.mp3","12,20"
"140","140","BP","9781442311718","BrazPort 2","7","","","10R","220","M","Faz dois anos que eles trabalham em Chicago.","8","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_140.mp3","12,20"
"141","141","BP","9781442311718","BrazPort 2","8","","","01Q","","N","I didn’t eat yet.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_141.mp3","6,17"
"142","142","BP","9781442311718","BrazPort 2","8","","","01R","88","M","Eu ainda não comi.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_142.mp3","6,17"
"143","143","BP","9781442311718","BrazPort 2","8","","","02Q","","N","Could you help me?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_143.mp3","13,16"
"144","144","BP","9781442311718","BrazPort 2","8","","","02R","115","M","Você poderia me ajudar?","4","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_144.mp3","13,16"
"145","145","BP","9781442311718","BrazPort 2","8","","","03Q","","N","But first, I need to buy a gift.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_145.mp3","1,14"
"146","146","BP","9781442311718","BrazPort 2","8","","","03R","129","M","Mas primeiro, eu preciso comprar um presente.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_146.mp3","1,14"
"147","147","BP","9781442311718","BrazPort 2","8","","","04Q","","N","Could you take me to a store?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_147.mp3","4,14"
"148","148","BP","9781442311718","BrazPort 2","8","","","04R","185","M","Você poderia me levar a uma loja?","7","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_148.mp3","4,14"
"149","149","BP","9781442311718","BrazPort 2","8","","","05Q","","N","We have to go to the stores before writing.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_149.mp3","1,14"
"150","150","BP","9781442311718","BrazPort 2","8","","","05R","267","F","Nós temos que ir às lojas antes de escrever.","9","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_150.mp3","1,14"
"151","151","BP","9781442311718","BrazPort 2","8","","","06Q","","N","I have to write a letter.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_151.mp3","1,3"
"152","152","BP","9781442311718","BrazPort 2","8","","","06R","255","M","Eu tenho que escrever uma carta.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_152.mp3","1,3"
"153","153","BP","9781442311718","BrazPort 2","8","","","07Q","","N","My children are not here with me.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_153.mp3","5,10"
"154","154","BP","9781442311718","BrazPort 2","8","","","07R","160","M","As minhas crianças não estão aqui comigo.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_154.mp3","5,10"
"155","155","BP","9781442311718","BrazPort 2","8","","","08Q","","N","Yes, they would like some T-shirts.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_155.mp3","14"
"156","156","BP","9781442311718","BrazPort 2","8","","","08R","175","M","Sim, eles gostariam de umas camisetas.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_156.mp3","14"
"157","157","BP","9781442311718","BrazPort 2","8","","","09Q","","N","Yes, I have a son and a daughter.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_157.mp3","5,10"
"158","158","BP","9781442311718","BrazPort 2","8","","","09R","154","M","Sim, eu tenho um filho e uma filha.","8","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_158.mp3","5,10"
"159","159","BP","9781442311718","BrazPort 2","8","","","10Q","","N","I ate.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_159.mp3","1,6"
"160","160","BP","9781442311718","BrazPort 2","8","","","10R","91","M","Eu comi.","2","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_160.mp3","1,6"
"161","161","BP","9781442311718","BrazPort 2","9","","","01Q","","N","We’re leaving by airplane.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_161.mp3","9,18"
"162","162","BP","9781442311718","BrazPort 2","9","","","01R","123","F","Nós vamos embora de avião.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_162.mp3","9,18"
"163","163","BP","9781442311718","BrazPort 2","9","","","02Q","","N","The stores are open until six.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_163.mp3","9,12,14"
"164","164","BP","9781442311718","BrazPort 2","9","","","02R","140","M","As lojas estão abertas até as seis.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_164.mp3","9,12,14"
"165","165","BP","9781442311718","BrazPort 2","9","","","03Q","","N","The airplane departs in the morning.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_165.mp3","17,18"
"166","166","BP","9781442311718","BrazPort 2","9","","","03R","178","F","O avião parte de manhã.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_166.mp3","17,18"
"167","167","BP","9781442311718","BrazPort 2","9","","","04Q","","N","Yes, and that is good.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_167.mp3","7"
"168","168","BP","9781442311718","BrazPort 2","9","","","04R","206","F","Sim, e isso é bom.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_168.mp3","7"
"169","169","BP","9781442311718","BrazPort 2","9","","","05Q","","N","You have to send a letter?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_169.mp3","1,3"
"170","170","BP","9781442311718","BrazPort 2","9","","","05R","232","M","Você tem que mandar uma carta?","6","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_170.mp3","1,3"
"171","171","BP","9781442311718","BrazPort 2","9","","","06Q","","N","Gifts for whom?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_171.mp3","14"
"172","172","BP","9781442311718","BrazPort 2","9","","","06R","148","M","Presentes para quem?","3","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_172.mp3","14"
"173","173","BP","9781442311718","BrazPort 2","9","","","07Q","","N","We have three sons.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_173.mp3","5,12"
"174","174","BP","9781442311718","BrazPort 2","9","","","07R","158","F","Nós temos três filhos.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_174.mp3","5,12"
"175","175","BP","9781442311718","BrazPort 2","9","","","08Q","","N","Therefore, I have to buy some gifts now.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_175.mp3","14,17"
"176","176","BP","9781442311718","BrazPort 2","9","","","08R","192","F","Então, eu tenho que comprar uns presentes agora.","8","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_176.mp3","14,17"
"177","177","BP","9781442311718","BrazPort 2","9","","","09Q","","N","I want to go to Porto Alegre.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_177.mp3","1,18"
"178","178","BP","9781442311718","BrazPort 2","9","","","09R","247","F","Eu quero ir a Porto Alegre.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_178.mp3","1,18"
"179","179","BP","9781442311718","BrazPort 2","10","","","01Q","","N","She’s leaving on Monday.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_179.mp3","17,18"
"180","180","BP","9781442311718","BrazPort 2","10","","","01R","199","F","Ela vai embora na segunda-feira.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_180.mp3","17,18"
"181","181","BP","9781442311718","BrazPort 2","10","","","02Q","","N","You can go to the movies with me on Saturday!","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_181.mp3","1,17"
"182","182","BP","9781442311718","BrazPort 2","10","","","02R","242","M","Você pode ir ao cinema comigo no sábado!","8","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_182.mp3","1,17"
"183","183","BP","9781442311718","BrazPort 2","10","","","03Q","","N","Hopefully so.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_183.mp3","7"
"184","184","BP","9781442311718","BrazPort 2","10","","","03R","233","F","Tomara que sim.","2","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_184.mp3","7"
"185","185","BP","9781442311718","BrazPort 2","10","","","04Q","","N","Would you like to go to the movies?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_185.mp3","1"
"186","186","BP","9781442311718","BrazPort 2","10","","","04R","111","M","Você gostaria de ir ao cinema?","6","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_186.mp3","1"
"187","187","BP","9781442311718","BrazPort 2","10","","","05Q","","N","The film ends at nine-thirty.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_187.mp3","1,12,17"
"188","188","BP","9781442311718","BrazPort 2","10","","","05R","149","M","O filme acaba às nove e meia.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_188.mp3","1,12,17"
"189","189","BP","9781442311718","BrazPort 2","10","","","06Q","","N","I can’t buy the hat on Monday.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_189.mp3","14,17"
"190","190","BP","9781442311718","BrazPort 2","10","","","06R","209","F","Eu não posso comprar o chapéu na segunda-feira.","8","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_190.mp3","14,17"
"191","191","BP","9781442311718","BrazPort 2","10","","","07Q","","N","The film starts late and ends late.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_191.mp3","1,17"
"192","192","BP","9781442311718","BrazPort 2","10","","","07R","164","F","O filme começa tarde e acaba tarde.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_192.mp3","1,17"
"193","193","BP","9781442311718","BrazPort 2","10","","","08Q","","N","Is it important?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_193.mp3","7"
"194","194","BP","9781442311718","BrazPort 2","10","","","08R","214","M","É importante?","2","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_194.mp3","7"
"195","195","BP","9781442311718","BrazPort 2","10","","","09Q","","N","Before Monday.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_195.mp3","17"
"196","196","BP","9781442311718","BrazPort 2","10","","","09R","177","F","Antes da segunda-feira.","3","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_196.mp3","17"
"197","197","BP","9781442311718","BrazPort 2","10","","","10Q","","N","He saw it on Monday.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_197.mp3","1,17"
"198","198","BP","9781442311718","BrazPort 2","10","","","10R","268","M","Ele o viu na segunda-feira.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_198.mp3","1,17"
"199","199","BP","9781442311718","BrazPort 2","10","","","11Q","","N","The title is, ‘A Beautiful Saturday.’","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_199.mp3","9,17"
"200","200","BP","9781442311718","BrazPort 2","10","","","11R","252","M","O nome é, ‘Um sábado bonito.’","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_200.mp3","9,17"
"201","201","BP","9781442311718","BrazPort 2","11","","","01Q","","N","He went to a restaurant.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_201.mp3","6"
"202","202","BP","9781442311718","BrazPort 2","11","","","01R","192","F","Ele foi a um restaurante.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_202.mp3","6"
"203","203","BP","9781442311718","BrazPort 2","11","","","02Q","","N","He went for lunch.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_203.mp3","6"
"204","204","BP","9781442311718","BrazPort 2","11","","","02R","183","F","Ele foi almoçar.","3","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_204.mp3","6"
"205","205","BP","9781442311718","BrazPort 2","11","","","03Q","","N","He didn’t see you.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_205.mp3","9"
"206","206","BP","9781442311718","BrazPort 2","11","","","03R","277","F","Ele não o viu.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_206.mp3","9"
"207","207","BP","9781442311718","BrazPort 2","11","","","04Q","","N","He isn’t here.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_207.mp3","7,9"
"208","208","BP","9781442311718","BrazPort 2","11","","","04R","194","F","Ele não está aqui.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_208.mp3","7,9"
"209","209","BP","9781442311718","BrazPort 2","11","","","05Q","","N","You don’t say!","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_209.mp3","7,13"
"210","210","BP","9781442311718","BrazPort 2","11","","","05R","268","F","Não me diga!","3","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_210.mp3","7,13"
"211","211","BP","9781442311718","BrazPort 2","11","","","06Q","","N","It doesn’t matter.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_211.mp3","7,13"
"212","212","BP","9781442311718","BrazPort 2","11","","","06R","102","M","Não faz mal.","3","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_212.mp3","7,13"
"213","213","BP","9781442311718","BrazPort 2","11","","","07Q","","N","I went to Caxias last year.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_213.mp3","17,18"
"214","214","BP","9781442311718","BrazPort 2","11","","","07R","230","M","Eu fui a Caxias no ano passado.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_214.mp3","17,18"
"215","215","BP","9781442311718","BrazPort 2","11","","","08Q","","N","When did Mr. Fernandes leave?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_215.mp3","17,20"
"216","216","BP","9781442311718","BrazPort 2","11","","","08R","243","M","Quando o Senhor Fernandes foi embora?","6","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_216.mp3","17,20"
"217","217","BP","9781442311718","BrazPort 2","11","","","09Q","","N","I went for lunch there last month.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_217.mp3","6,17"
"218","218","BP","9781442311718","BrazPort 2","11","","","09R","295","F","Eu fui almoçar lá no mês passado.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_218.mp3","6,17"
"219","219","BP","9781442311718","BrazPort 2","11","","","10Q","","N","Could you visit me?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_219.mp3","1,18"
"220","220","BP","9781442311718","BrazPort 2","11","","","10R","145","F","Você poderia me visitar?","4","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_220.mp3","1,18"
"221","221","BP","9781442311718","BrazPort 2","12","","","01Q","","N","Bahia is very beautiful.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_221.mp3","9,18"
"222","222","BP","9781442311718","BrazPort 2","12","","","01R","194","F","A Bahia é muito bonita.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_222.mp3","9,18"
"223","223","BP","9781442311718","BrazPort 2","12","","","02Q","","N","She’s going to leave on vacation.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_223.mp3","1,18"
"224","224","BP","9781442311718","BrazPort 2","12","","","02R","166","M","Ela vai sair de férias.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_224.mp3","1,18"
"225","225","BP","9781442311718","BrazPort 2","12","","","03Q","","N","I went to Bahia in January.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_225.mp3","17,18"
"226","226","BP","9781442311718","BrazPort 2","12","","","03R","185","F","Eu fui á Bahia em janeiro.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_226.mp3","17,18"
"227","227","BP","9781442311718","BrazPort 2","12","","","04Q","","N","I liked it.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_227.mp3","7"
"228","228","BP","9781442311718","BrazPort 2","12","","","04R","187","F","Eu gostei.","2","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_228.mp3","7"
"229","229","BP","9781442311718","BrazPort 2","12","","","05Q","","N","I went there six months ago.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_229.mp3","12,17"
"230","230","BP","9781442311718","BrazPort 2","12","","","05R","180","F","Eu fui lá faz seis meses.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_230.mp3","12,17"
"231","231","BP","9781442311718","BrazPort 2","12","","","06Q","","N","You (form, m) went there last Monday.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_231.mp3","1,17,18"
"232","232","BP","9781442311718","BrazPort 2","12","","","06R","119","F","O senhor foi lá na segunda-feira passada.","7","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_232.mp3","1,17,18"
"233","233","BP","9781442311718","BrazPort 2","12","","","07Q","","N","It’s a present for her.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_233.mp3","9,14"
"234","234","BP","9781442311718","BrazPort 2","12","","","07R","73","F","É um presente para ela.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_234.mp3","9,14"
"235","235","BP","9781442311718","BrazPort 2","12","","","08Q","","N","He was there with a colleague.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_235.mp3","9,20"
"236","236","BP","9781442311718","BrazPort 2","12","","","08R","150","M","Ele estava lá com um colega.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_236.mp3","9,20"
"237","237","BP","9781442311718","BrazPort 2","12","","","09Q","","N","Do you have an idea?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_237.mp3","7"
"238","238","BP","9781442311718","BrazPort 2","12","","","09R","209","M","Você tem uma idéia?","4","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_238.mp3","7"
"239","239","BP","9781442311718","BrazPort 2","12","","","10Q","","N","She’s going to travel to Bahia next Friday.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_239.mp3","17,18"
"240","240","BP","9781442311718","BrazPort 2","12","","","10R","249","M","Ela vai viajar à Bahia na sexta-feira que vem.","9","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_240.mp3","17,18"
"241","241","BP","9781442311718","BrazPort 2","13","","","01Q","","N","Not before?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_241.mp3","7,17"
"242","242","BP","9781442311718","BrazPort 2","13","","","01R","256","F","Antes não?","2","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_242.mp3","7,17"
"243","243","BP","9781442311718","BrazPort 2","13","","","02Q","","N","I arrived late to my work.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_243.mp3","17,18,20"
"244","244","BP","9781442311718","BrazPort 2","13","","","02R","224","M","Eu cheguei tarde ao meu trabalho.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_244.mp3","17,18,20"
"245","245","BP","9781442311718","BrazPort 2","13","","","03Q","","N","She didn’t like the film.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_245.mp3","1,9"
"246","246","BP","9781442311718","BrazPort 2","13","","","03R","154","M","Ela não gostou do filme.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_246.mp3","1,9"
"247","247","BP","9781442311718","BrazPort 2","13","","","04Q","","N","Did you like Bahia?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_247.mp3","9,18"
"248","248","BP","9781442311718","BrazPort 2","13","","","04R","281","M","Você gostou da Bahia?","4","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_248.mp3","9,18"
"249","249","BP","9781442311718","BrazPort 2","13","","","05Q","","N","How did the day end?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_249.mp3","1,17"
"250","250","BP","9781442311718","BrazPort 2","13","","","05R","243","F","Como o dia acabou?","4","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_250.mp3","1,17"
"251","251","BP","9781442311718","BrazPort 2","13","","","06Q","","N","The day started badly.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_251.mp3","9,17"
"252","252","BP","9781442311718","BrazPort 2","13","","","06R","235","M","O dia começou mal.","4","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_252.mp3","9,17"
"253","253","BP","9781442311718","BrazPort 2","13","","","07Q","","N","No, it wasn’t a shame.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_253.mp3","7"
"254","254","BP","9781442311718","BrazPort 2","13","","","07R","180","M","Não, não foi uma pena.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_254.mp3","7"
"255","255","BP","9781442311718","BrazPort 2","13","","","08Q","","N","More or less.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_255.mp3","7,12"
"256","256","BP","9781442311718","BrazPort 2","13","","","08R","106","M","Mais ou menos.","3","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_256.mp3","7,12"
"257","257","BP","9781442311718","BrazPort 2","13","","","09Q","","N","She didn’t see you?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_257.mp3","7,9"
"258","258","BP","9781442311718","BrazPort 2","13","","","09R","51","F","Ela não te viu?","4","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_258.mp3","7,9"
"259","259","BP","9781442311718","BrazPort 2","13","","","10Q","","N","We went together.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_259.mp3","1,9"
