Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills,
167,FR,978-1-4423-5032-8,French 2,8,0:22:11,0:22:13,11Q,233,N,Would you like to drink something first?,,,"French Phase 2, Units 1-30 (2004)",6,
168,FR,978-1-4423-5032-8,French 2,8,0:22:18,0:22:20,11R,234,M,Est-ce que tu voudrais boire quelque chose d’abord?,8,Q,"French Phase 2, Units 1-30 (2004)",6,
169,FR,978-1-4423-5032-8,French 2,9,0:03:58,0:04:00,01Q,56,N,"And then, we’re going to go into town.",,,"French Phase 2, Units 1-30 (2004)","1,9,18",
170,FR,978-1-4423-5032-8,French 2,9,0:04:06,0:04:08,01R,57,M,"Et puis, nous allons aller en ville.",7,S,"French Phase 2, Units 1-30 (2004)","1,9,18",
171,FR,978-1-4423-5032-8,French 2,9,0:04:33,0:04:35,02Q,61,N,Pierre wants to buy a T-shirt ---,,,"French Phase 2, Units 1-30 (2004)",14,
172,FR,978-1-4423-5032-8,French 2,9,0:04:40,0:04:42,02R,62,M,Pierre veut acheter un Tee-shirt ---,5,S,"French Phase 2, Units 1-30 (2004)",14,
173,FR,978-1-4423-5032-8,French 2,9,0:07:36,0:07:37,03Q,94,N,Do you need my car?,,,"French Phase 2, Units 1-30 (2004)",18,
174,FR,978-1-4423-5032-8,French 2,9,0:07:40,0:07:42,03R,95,M,Est-ce que tu as besoin de ma voiture?,8,Q,"French Phase 2, Units 1-30 (2004)",18,
175,FR,978-1-4423-5032-8,French 2,9,0:09:51,0:09:52,04Q,116,N,How about going into town together?,,,"French Phase 2, Units 1-30 (2004)","1,9",
176,FR,978-1-4423-5032-8,French 2,9,0:09:56,0:09:58,04R,118,M,Si on allait en ville ensemble?,6,Q,"French Phase 2, Units 1-30 (2004)","1,9",
177,FR,978-1-4423-5032-8,French 2,9,0:12:43,0:12:46,05Q,143,N,"In that case, how about going there by subway?",,,"French Phase 2, Units 1-30 (2004)","1,18",
178,FR,978-1-4423-5032-8,French 2,9,0:12:51,0:12:53,05R,145,M,"Alors, si on y allait en métro?",7,Q,"French Phase 2, Units 1-30 (2004)","1,18",
179,FR,978-1-4423-5032-8,French 2,9,0:15:30,0:15:31,06Q,171,N,They’re coming on Monday.,,,"French Phase 2, Units 1-30 (2004)","17,18",
180,FR,978-1-4423-5032-8,French 2,9,0:15:34,0:15:35,06R,172,M,Ils viennent lundi.,3,S,"French Phase 2, Units 1-30 (2004)","17,18",
181,FR,978-1-4423-5032-8,French 2,9,0:16:06,0:16:07,07Q,179,N,How long are they staying at your place?,,,"French Phase 2, Units 1-30 (2004)","17,18",
182,FR,978-1-4423-5032-8,French 2,9,0:16:13,0:16:15,07R,181,F,Combien de temps est-ce qu’ils restent chez toi?,8,Q,"French Phase 2, Units 1-30 (2004)","17,18",
183,FR,978-1-4423-5032-8,French 2,9,0:18:07,0:18:09,08Q,194,N,They’re arriving at ten to five.,,,"French Phase 2, Units 1-30 (2004)","12,18",
184,FR,978-1-4423-5032-8,French 2,9,0:18:13,0:18:16,08R,195,M,Ils arrivent à cinq heures moins dix.,7,S,"French Phase 2, Units 1-30 (2004)","12,18",
185,FR,978-1-4423-5032-8,French 2,9,0:20:24,0:20:25,09Q,221,F,What would you like to do on Tuesday?,,,"French Phase 2, Units 1-30 (2004)","1,17",
186,FR,978-1-4423-5032-8,French 2,9,0:20:29,0:20:31,09R,222,N,Qu’est-ce que tu voudrais faire mardi?,6,Q,"French Phase 2, Units 1-30 (2004)","1,17",
187,FR,978-1-4423-5032-8,French 2,9,0:24:38,0:24:39,10Q,265,N,See you on Tuesday.,,,"French Phase 2, Units 1-30 (2004)","7,17",
188,FR,978-1-4423-5032-8,French 2,9,0:24:41,0:24:42,10R,266,M,A mardi.,2,S,"French Phase 2, Units 1-30 (2004)","7,17",
189,FR,978-1-4423-5032-8,French 2,9,0:25:35,0:25:37,11Q,275,N,"Ah, it’s a letter from Marie Dupont.",,,"French Phase 2, Units 1-30 (2004)",3,
190,FR,978-1-4423-5032-8,French 2,9,0:25:42,0:25:44,11R,276,M,"Ah, c’est une lettre de Marie Dupont.",7,S,"French Phase 2, Units 1-30 (2004)",3,
191,FR,978-1-4423-5032-8,French 2,10,0:02:57,0:02:57,01Q,45,N,For whom?,,,"French Phase 2, Units 1-30 (2004)",7,
192,FR,978-1-4423-5032-8,French 2,10,0:03:00,0:03:00,01R,46,M,Pour qui?,2,Q,"French Phase 2, Units 1-30 (2004)",7,
193,FR,978-1-4423-5032-8,French 2,10,0:03:05,0:03:07,02Q,47,N,You’re going to buy a few T-shirts ---,,,"French Phase 2, Units 1-30 (2004)","12,14",
194,FR,978-1-4423-5032-8,French 2,10,0:03:11,0:03:12,02R,48,M,Tu vas acheter quelques Tee-shirts ---,5,S,"French Phase 2, Units 1-30 (2004)","12,14",
195,FR,978-1-4423-5032-8,French 2,10,0:04:26,0:04:28,03Q,61,N,Maybe they’re staying until Tuesday night.,,,"French Phase 2, Units 1-30 (2004)","17,18",
196,FR,978-1-4423-5032-8,French 2,10,0:04:36,0:04:39,03R,63,F,Peut-être qu’ils restent jusqu’à mardi soir.,6,S,"French Phase 2, Units 1-30 (2004)","17,18",
197,FR,978-1-4423-5032-8,French 2,10,0:07:09,0:07:10,04Q,87,N,Let’s go together.,,,"French Phase 2, Units 1-30 (2004)","1,7",
198,FR,978-1-4423-5032-8,French 2,10,0:07:13,0:07:15,04R,88,F,Allons-y ensemble.,2,S,"French Phase 2, Units 1-30 (2004)","1,7",
199,FR,978-1-4423-5032-8,French 2,10,0:11:13,0:11:15,05Q,127,N,I’m going to buy a T-shirt for him too.,,,"French Phase 2, Units 1-30 (2004)",14,
200,FR,978-1-4423-5032-8,French 2,10,0:11:20,0:11:22,05R,128,F,Je vais acheter un Tee-shirt pour lui aussi.,8,S,"French Phase 2, Units 1-30 (2004)",14,
201,FR,978-1-4423-5032-8,French 2,10,0:12:29,0:12:31,06Q,140,N,But maybe that you can have dinner with us later.,,,"French Phase 2, Units 1-30 (2004)","6,17",
202,FR,978-1-4423-5032-8,French 2,10,0:12:38,0:12:40,06R,142,F,Mais peut-être que vous pouvez dîner avec nous plus tard.,10,S,"French Phase 2, Units 1-30 (2004)","6,17",
203,FR,978-1-4423-5032-8,French 2,10,0:14:48,0:14:49,07Q,164,N,From whom?,,,"French Phase 2, Units 1-30 (2004)",7,
204,FR,978-1-4423-5032-8,French 2,10,0:14:51,0:14:51,07R,165,M,De qui?,2,Q,"French Phase 2, Units 1-30 (2004)",7,
205,FR,978-1-4423-5032-8,French 2,10,0:19:03,0:19:04,08Q,204,N,At ten after eight.,,,"French Phase 2, Units 1-30 (2004)","12,17",
206,FR,978-1-4423-5032-8,French 2,10,0:19:09,0:19:10,08R,205,F,A huit heures dix.,4,S,"French Phase 2, Units 1-30 (2004)","12,17",
207,FR,978-1-4423-5032-8,French 2,10,0:20:10,0:20:11,09Q,216,N,She likes to travel.,,,"French Phase 2, Units 1-30 (2004)","9,18",
208,FR,978-1-4423-5032-8,French 2,10,0:20:14,0:20:16,09R,217,F,Elle aime bien voyager.,4,S,"French Phase 2, Units 1-30 (2004)","9,18",
209,FR,978-1-4423-5032-8,French 2,10,0:21:01,0:21:03,10Q,225,N,He prefers to stay at home.,,,"French Phase 2, Units 1-30 (2004)","9,18",
210,FR,978-1-4423-5032-8,French 2,10,0:21:06,0:21:07,10R,226,F,Il préfère rester chez lui.,5,S,"French Phase 2, Units 1-30 (2004)","9,18",
211,FR,978-1-4423-5032-8,French 2,10,0:22:32,0:22:34,11Q,241,N,Would you like to go to the movies?,,,"French Phase 2, Units 1-30 (2004)",1,
212,FR,978-1-4423-5032-8,French 2,10,0:22:37,0:22:38,11R,243,M,Est-ce que tu voudrais aller au cinéma?,7,Q,"French Phase 2, Units 1-30 (2004)",1,
213,FR,978-1-4423-5032-8,French 2,11,0:04:30,0:04:31,01Q,63,N,From my friend Nicole.,,,"French Phase 2, Units 1-30 (2004)",5,
214,FR,978-1-4423-5032-8,French 2,11,0:04:34,0:04:36,01R,64,F,De mon amie Nicole.,4,S,"French Phase 2, Units 1-30 (2004)",5,
215,FR,978-1-4423-5032-8,French 2,11,0:06:21,0:06:25,02Q,82,N,My friend Nicole is going to leave at quarter past nine.,,,"French Phase 2, Units 1-30 (2004)","5,12,17",
216,FR,978-1-4423-5032-8,French 2,11,0:06:31,0:06:34,02R,84,F,Mon amie Nicole va partir à neuf heures et quart.,10,S,"French Phase 2, Units 1-30 (2004)","5,12,17",
217,FR,978-1-4423-5032-8,French 2,11,0:11:04,0:11:06,03Q,127,N,Her husband prefers to go to a concert.,,,"French Phase 2, Units 1-30 (2004)","1,5",
218,FR,978-1-4423-5032-8,French 2,11,0:11:12,0:11:15,03R,128,F,Son mari préfère aller à un concert.,7,S,"French Phase 2, Units 1-30 (2004)","1,5",
219,FR,978-1-4423-5032-8,French 2,11,0:13:06,0:13:08,04Q,147,N,I have the time on Saturday.,,,"French Phase 2, Units 1-30 (2004)","1,17",
220,FR,978-1-4423-5032-8,French 2,11,0:13:11,0:13:12,04R,148,F,J’ai le temps samedi.,4,S,"French Phase 2, Units 1-30 (2004)","1,17",
221,FR,978-1-4423-5032-8,French 2,11,0:13:16,0:13:17,05Q,149,N,When does the concert start?,,,"French Phase 2, Units 1-30 (2004)",1,
222,FR,978-1-4423-5032-8,French 2,11,0:13:20,0:13:22,05R,150,F,Quand est-ce que le concert commence?,6,Q,"French Phase 2, Units 1-30 (2004)",1,
223,FR,978-1-4423-5032-8,French 2,11,0:14:09,0:14:10,06Q,157,N,At half past eight.,,,"French Phase 2, Units 1-30 (2004)","12,17",
224,FR,978-1-4423-5032-8,French 2,11,0:14:13,0:14:14,06R,158,M,A huit heures et demie.,5,S,"French Phase 2, Units 1-30 (2004)","12,17",
225,FR,978-1-4423-5032-8,French 2,11,0:16:42,0:16:44,07Q,181,N,It starts at quarter to eight.,,,"French Phase 2, Units 1-30 (2004)","12,17",
226,FR,978-1-4423-5032-8,French 2,11,0:16:49,0:16:51,07R,182,M,Ça commence à huit heures moins le quart.,8,S,"French Phase 2, Units 1-30 (2004)","12,17",
227,FR,978-1-4423-5032-8,French 2,11,0:19:12,0:19:14,08Q,206,N,At my friend Pierre’s place.,,,"French Phase 2, Units 1-30 (2004)",5,
228,FR,978-1-4423-5032-8,French 2,11,0:19:17,0:19:19,08R,207,F,Chez mon ami Pierre.,4,S,"French Phase 2, Units 1-30 (2004)",5,
229,FR,978-1-4423-5032-8,French 2,11,0:21:24,0:21:26,09Q,227,N,I have to travel a lot.,,,"French Phase 2, Units 1-30 (2004)","12,18",
230,FR,978-1-4423-5032-8,French 2,11,0:21:30,0:21:31,09R,228,F,Je dois voyager beaucoup.,4,S,"French Phase 2, Units 1-30 (2004)","12,18",
231,FR,978-1-4423-5032-8,French 2,11,0:25:51,0:25:53,10Q,274,N,They’re coming to our place by taxi.,,,"French Phase 2, Units 1-30 (2004)","9,18",
232,FR,978-1-4423-5032-8,French 2,11,0:25:57,0:25:59,10R,275,M,Ils viennent chez nous en taxi.,6,S,"French Phase 2, Units 1-30 (2004)","9,18",
233,FR,978-1-4423-5032-8,French 2,12,0:02:59,0:03:00,01Q,45,N,How about going there Friday night?,,,"French Phase 2, Units 1-30 (2004)","1,17",
234,FR,978-1-4423-5032-8,French 2,12,0:03:06,0:03:08,01R,46,F,Si on y allait vendredi soir?,6,Q,"French Phase 2, Units 1-30 (2004)","1,17",
235,FR,978-1-4423-5032-8,French 2,12,0:05:22,0:05:26,02Q,67,N,I think that it starts at quarter after eight on Friday.,,,"French Phase 2, Units 1-30 (2004)","12,17",
236,FR,978-1-4423-5032-8,French 2,12,0:05:30,0:05:33,02R,69,F,"Je crois que ça commence à huit heures et quart, vendredi.",11,S,"French Phase 2, Units 1-30 (2004)","12,17",
237,FR,978-1-4423-5032-8,French 2,12,0:08:22,0:08:24,03Q,97,N,Would you like to come over to our place ---?,,,"French Phase 2, Units 1-30 (2004)",9,
238,FR,978-1-4423-5032-8,French 2,12,0:08:28,0:08:30,03R,98,F,Est-ce que vous voudriez venir chez nous ---?,7,Q,"French Phase 2, Units 1-30 (2004)",9,
239,FR,978-1-4423-5032-8,French 2,12,0:11:37,0:11:39,04Q,129,N,I can always stay at his place when I go to Nice.,,,"French Phase 2, Units 1-30 (2004)",18,
240,FR,978-1-4423-5032-8,French 2,12,0:11:44,0:11:46,04R,130,M,Je peux toujours rester chez lui quand je vais à Nice.,11,S,"French Phase 2, Units 1-30 (2004)",18,
241,FR,978-1-4423-5032-8,French 2,12,0:16:26,0:16:27,05Q,173,N,Not at the moment.,,,"French Phase 2, Units 1-30 (2004)",7,
242,FR,978-1-4423-5032-8,French 2,12,0:16:30,0:16:31,05R,174,F,Pas en ce moment.,4,S,"French Phase 2, Units 1-30 (2004)",7,
243,FR,978-1-4423-5032-8,French 2,12,0:18:05,0:18:06,06Q,189,N,Can you wait a few minutes?,,,"French Phase 2, Units 1-30 (2004)","7,17",
244,FR,978-1-4423-5032-8,French 2,12,0:18:10,0:18:13,06R,190,F,Est-ce que vous pouvez attendre quelques minutes?,7,Q,"French Phase 2, Units 1-30 (2004)","7,17",
245,FR,978-1-4423-5032-8,French 2,12,0:21:02,0:21:04,07Q,217,N,He’s not in his office at the moment.,,,"French Phase 2, Units 1-30 (2004)","5,20",
246,FR,978-1-4423-5032-8,French 2,12,0:21:08,0:21:09,07R,218,F,Il n’est pas dans son bureau en ce moment.,9,S,"French Phase 2, Units 1-30 (2004)","5,20",
247,FR,978-1-4423-5032-8,French 2,12,0:22:43,0:22:45,08Q,232,N,A cup of coffee with some sugar.,,,"French Phase 2, Units 1-30 (2004)","6,12",
248,FR,978-1-4423-5032-8,French 2,12,0:22:49,0:22:51,08R,234,M,Une tasse de café avec du sucre.,7,S,"French Phase 2, Units 1-30 (2004)","6,12",
249,FR,978-1-4423-5032-8,French 2,12,0:23:55,0:23:57,09Q,244,N,"With some milk, but without sugar.",,,"French Phase 2, Units 1-30 (2004)","6,12",
250,FR,978-1-4423-5032-8,French 2,12,0:24:01,0:24:03,09R,245,M,"Avec du lait, mais sans sucre.",6,S,"French Phase 2, Units 1-30 (2004)","6,12",
251,FR,978-1-4423-5032-8,French 2,12,0:26:32,0:26:33,10Q,269,N,How about going to drink a coffee?,,,"French Phase 2, Units 1-30 (2004)",6,
252,FR,978-1-4423-5032-8,French 2,12,0:26:38,0:26:40,10R,270,F,Si on allait boire un café?,6,Q,"French Phase 2, Units 1-30 (2004)",6,
253,FR,978-1-4423-5032-8,French 2,13,0:01:14,0:01:16,01Q,29,N,How would you ask someone his name?,,,"French Phase 2, Units 1-30 (2004)",7,
254,FR,978-1-4423-5032-8,French 2,13,0:01:19,0:01:20,01R,30,M,Comment vous appelez-vous?,4,Q,"French Phase 2, Units 1-30 (2004)",7,
255,FR,978-1-4423-5032-8,French 2,13,0:03:21,0:03:23,02Q,53,N,When does the movie start?,,,"French Phase 2, Units 1-30 (2004)","1,17",
256,FR,978-1-4423-5032-8,French 2,13,0:03:27,0:03:29,02R,54,F,Quand est-ce que le film commence?,6,Q,"French Phase 2, Units 1-30 (2004)","1,17",
257,FR,978-1-4423-5032-8,French 2,13,0:04:34,0:04:36,03Q,65,N,After half past five or at quarter to six.,,,"French Phase 2, Units 1-30 (2004)","12,17",
258,FR,978-1-4423-5032-8,French 2,13,0:04:43,0:04:46,03R,66,F,Après cinq heures et demie ou à six heures moins le quart.,11,S,"French Phase 2, Units 1-30 (2004)","12,17",
259,FR,978-1-4423-5032-8,French 2,13,0:06:22,0:06:23,04Q,82,N,"Today, it’s Thursday.",,,"French Phase 2, Units 1-30 (2004)",17,
260,FR,978-1-4423-5032-8,French 2,13,0:06:27,0:06:28,04R,83,M,"Aujourd’hui, c’est jeudi.",3,S,"French Phase 2, Units 1-30 (2004)",17,
261,FR,978-1-4423-5032-8,French 2,13,0:10:33,0:10:35,05Q,125,N,"Two pieces of chocolate cake, please.",,,"French Phase 2, Units 1-30 (2004)","6,12",
262,FR,978-1-4423-5032-8,French 2,13,0:10:41,0:10:43,05R,126,M,"Deux morceaux de gâteau au chocolat, s’il vous plaît.",9,S,"French Phase 2, Units 1-30 (2004)","6,12",
263,FR,978-1-4423-5032-8,French 2,13,0:11:37,0:11:38,06Q,134,N,"There’s no sugar,",,,"French Phase 2, Units 1-30 (2004)","6,12",
264,FR,978-1-4423-5032-8,French 2,13,0:11:42,0:11:43,06R,135,M,Il n’y a pas de sucre.,5,S,"French Phase 2, Units 1-30 (2004)","6,12",
265,FR,978-1-4423-5032-8,French 2,13,0:11:56,0:11:57,07Q,138,N,Here’s the sugar.,,,"French Phase 2, Units 1-30 (2004)",6,
266,FR,978-1-4423-5032-8,French 2,13,0:12:01,0:12:02,07R,139,F,Voilà le sucre.,2,S,"French Phase 2, Units 1-30 (2004)",6,
267,FR,978-1-4423-5032-8,French 2,13,0:14:38,0:14:40,08Q,165,N,When are you leaving on vacation?,,,"French Phase 2, Units 1-30 (2004)","17,18",
268,FR,978-1-4423-5032-8,French 2,13,0:14:43,0:14:44,08R,166,M,Quand est-ce que vous partez en vacances?,7,Q,"French Phase 2, Units 1-30 (2004)","17,18",
269,FR,978-1-4423-5032-8,French 2,13,0:16:58,0:17:00,09Q,187,N,In January or in February.,,,"French Phase 2, Units 1-30 (2004)",17,
270,FR,978-1-4423-5032-8,French 2,13,0:17:05,0:17:07,09R,188,F,En janvier ou en février.,5,S,"French Phase 2, Units 1-30 (2004)",17,
271,FR,978-1-4423-5032-8,French 2,13,0:18:00,0:18:01,10Q,196,N,I’m not leaving on vacation ---,,,"French Phase 2, Units 1-30 (2004)",18,
272,FR,978-1-4423-5032-8,French 2,13,0:18:05,0:18:07,10R,197,M,Je ne pars pas en vacances ---,6,S,"French Phase 2, Units 1-30 (2004)",18,
273,FR,978-1-4423-5032-8,French 2,13,0:23:53,0:23:55,11Q,251,N,"With some milk, but without sugar.",,,"French Phase 2, Units 1-30 (2004)","6,12",
274,FR,978-1-4423-5032-8,French 2,13,0:23:59,0:24:01,11R,252,M,"Avec du lait, mais sans sucre.",6,S,"French Phase 2, Units 1-30 (2004)","6,12",
275,FR,978-1-4423-5032-8,French 2,14,0:03:31,0:03:32,01Q,52,N,I’m going to Italy.,,,"French Phase 2, Units 1-30 (2004)",18,
276,FR,978-1-4423-5032-8,French 2,14,0:03:35,0:03:36,01R,53,F,Je vais en n-Italie.,4,S,"French Phase 2, Units 1-30 (2004)",18,
277,FR,978-1-4423-5032-8,French 2,14,0:04:51,0:04:53,02Q,67,N,I’m staying there until Saturday.,,,"French Phase 2, Units 1-30 (2004)","17,18",
278,FR,978-1-4423-5032-8,French 2,14,0:04:57,0:04:59,02R,68,F,J’y reste jusqu’à samedi.,4,S,"French Phase 2, Units 1-30 (2004)","17,18",
279,FR,978-1-4423-5032-8,French 2,14,0:06:45,0:06:46,03Q,86,N,Have a good trip.,,,"French Phase 2, Units 1-30 (2004)","7,18",
280,FR,978-1-4423-5032-8,French 2,14,0:06:51,0:06:52,03R,87,M,Bon voyage.,2,S,"French Phase 2, Units 1-30 (2004)","7,18",
281,FR,978-1-4423-5032-8,French 2,14,0:08:18,0:08:19,04Q,102,N,That’s really too bad.,,,"French Phase 2, Units 1-30 (2004)",7,
282,FR,978-1-4423-5032-8,French 2,14,0:08:22,0:08:24,04R,103,M,C’est vraiment dommage.,3,S,"French Phase 2, Units 1-30 (2004)",7,
283,FR,978-1-4423-5032-8,French 2,14,0:08:36,0:08:38,05Q,105,N,There’s no concert on Saturday night.,,,"French Phase 2, Units 1-30 (2004)","1,17",
284,FR,978-1-4423-5032-8,French 2,14,0:08:43,0:08:45,05R,106,F,Il n’y a pas de concert samedi soir.,8,S,"French Phase 2, Units 1-30 (2004)","1,17",
285,FR,978-1-4423-5032-8,French 2,14,0:11:12,0:11:14,06Q,129,N,Do you have a few minutes after work?,,,"French Phase 2, Units 1-30 (2004)","17,20",
286,FR,978-1-4423-5032-8,French 2,14,0:11:22,0:11:25,06R,130,F,Est-ce que vous avez quelques minutes après le travail?,9,Q,"French Phase 2, Units 1-30 (2004)","17,20",
287,FR,978-1-4423-5032-8,French 2,14,0:19:29,0:19:30,07Q,211,N,I haven’t seen him.,,,"French Phase 2, Units 1-30 (2004)",7,
288,FR,978-1-4423-5032-8,French 2,14,0:19:34,0:19:35,07R,212,F,Je ne l’ai pas vu.,5,S,"French Phase 2, Units 1-30 (2004)",7,
289,FR,978-1-4423-5032-8,French 2,14,0:22:24,0:22:25,08Q,240,N,It’s very hot and very good.,,,"French Phase 2, Units 1-30 (2004)",9,
290,FR,978-1-4423-5032-8,French 2,14,0:22:29,0:22:31,08R,241,F,Il est très chaud et très bon.,7,S,"French Phase 2, Units 1-30 (2004)",9,
291,FR,978-1-4423-5032-8,French 2,14,0:22:45,0:22:46,09Q,244,N,I never drink cold coffee.,,,"French Phase 2, Units 1-30 (2004)","6,17",
292,FR,978-1-4423-5032-8,French 2,14,0:22:50,0:22:52,09R,245,F,Je ne bois jamais de café froid.,7,S,"French Phase 2, Units 1-30 (2004)","6,17",
293,FR,978-1-4423-5032-8,French 2,14,0:26:21,0:26:23,10Q,280,N,Can you give it to Pascal?,,,"French Phase 2, Units 1-30 (2004)",9,
294,FR,978-1-4423-5032-8,French 2,14,0:26:27,0:26:29,10R,281,M,Est-ce que vous pouvez la donner à Pascal?,8,Q,"French Phase 2, Units 1-30 (2004)",9,
295,FR,978-1-4423-5032-8,French 2,15,0:02:58,0:03:00,01Q,44,N,"You’re leaving also on vacation, aren’t you?",,,"French Phase 2, Units 1-30 (2004)",18,
296,FR,978-1-4423-5032-8,French 2,15,0:03:05,0:03:08,01R,46,F,"Vous partez aussi en vacances, n’est-ce pas?",7,Q,"French Phase 2, Units 1-30 (2004)",18,
297,FR,978-1-4423-5032-8,French 2,15,0:05:18,0:05:19,02Q,65,N,There’s a lot to see over there.,,,"French Phase 2, Units 1-30 (2004)","4,18",
298,FR,978-1-4423-5032-8,French 2,15,0:05:22,0:05:24,02R,66,M,Il y a beaucoup à voir là-bas.,7,S,"French Phase 2, Units 1-30 (2004)","4,18",
299,FR,978-1-4423-5032-8,French 2,15,0:07:36,0:07:38,03Q,88,N,I’m leaving next week.,,,"French Phase 2, Units 1-30 (2004)","17,18",
300,FR,978-1-4423-5032-8,French 2,15,0:07:41,0:07:43,03R,89,M,Je pars la semaine prochaine.,5,S,"French Phase 2, Units 1-30 (2004)","17,18",
301,FR,978-1-4423-5032-8,French 2,15,0:09:03,0:09:04,04Q,102,N,I’m leaving next Thursday.,,,"French Phase 2, Units 1-30 (2004)","17,18",
302,FR,978-1-4423-5032-8,French 2,15,0:09:09,0:09:10,04R,103,M,Je pars jeudi prochain.,4,S,"French Phase 2, Units 1-30 (2004)","17,18",
303,FR,978-1-4423-5032-8,French 2,15,0:09:51,0:09:53,05Q,109,N,There’s a lot to see in Canada.,,,"French Phase 2, Units 1-30 (2004)","12,18",
304,FR,978-1-4423-5032-8,French 2,15,0:09:57,0:09:59,05R,110,M,Il y a beaucoup à voir au Canada.,8,S,"French Phase 2, Units 1-30 (2004)","12,18",
305,FR,978-1-4423-5032-8,French 2,15,0:11:37,0:11:38,06Q,127,N,How’s the weather?,,,"French Phase 2, Units 1-30 (2004)","16,19",
306,FR,978-1-4423-5032-8,French 2,15,0:11:41,0:11:42,06R,129,F,Quel temps fait-il?,3,Q,"French Phase 2, Units 1-30 (2004)","16,19",
307,FR,978-1-4423-5032-8,French 2,15,0:12:49,0:12:50,07Q,137,N,How’s the weather over there now?,,,"French Phase 2, Units 1-30 (2004)","4,17,19",
308,FR,978-1-4423-5032-8,French 2,15,0:12:55,0:12:57,07R,138,F,Quel temps fait-il là-bas maintenant?,5,Q,"French Phase 2, Units 1-30 (2004)","4,17,19",
309,FR,978-1-4423-5032-8,French 2,15,0:13:40,0:13:41,08Q,149,N,It’s very nice now.,,,"French Phase 2, Units 1-30 (2004)","17,19",
310,FR,978-1-4423-5032-8,French 2,15,0:13:45,0:13:46,08R,150,M,Il fait très beau maintenant.,5,S,"French Phase 2, Units 1-30 (2004)","17,19",
311,FR,978-1-4423-5032-8,French 2,15,0:21:11,0:21:12,09Q,223,N,There’s a lot to see in England.,,,"French Phase 2, Units 1-30 (2004)","12,18",
312,FR,978-1-4423-5032-8,French 2,15,0:21:18,0:21:20,09R,224,F,Il y a beaucoup à voir en Angleterre.,8,S,"French Phase 2, Units 1-30 (2004)","12,18",
313,FR,978-1-4423-5032-8,French 2,15,0:25:31,0:25:33,10Q,267,N,Would you like an ice cream or a cake?,,,"French Phase 2, Units 1-30 (2004)",6,
314,FR,978-1-4423-5032-8,French 2,15,0:25:39,0:25:42,10R,268,M,Est-ce que tu voudrais une glace ou un gâteau?,9,Q,"French Phase 2, Units 1-30 (2004)",6,
315,FR,978-1-4423-5032-8,French 2,16,0:07:56,0:07:58,01Q,88,N,He’s coming with his three children.,,,"French Phase 2, Units 1-30 (2004)","5,12",
316,FR,978-1-4423-5032-8,French 2,16,0:08:02,0:08:04,01R,89,F,Il vient avec ses trois enfants.,6,S,"French Phase 2, Units 1-30 (2004)","5,12",
317,FR,978-1-4423-5032-8,French 2,16,0:09:20,0:09:22,02Q,101,N,I know the older one very well.,,,"French Phase 2, Units 1-30 (2004)","5,12",
318,FR,978-1-4423-5032-8,French 2,16,0:09:27,0:09:29,02R,102,F,Je connais très bien l'aînée.,5,S,"French Phase 2, Units 1-30 (2004)","5,12",
319,FR,978-1-4423-5032-8,French 2,16,0:11:36,0:11:37,03Q,124,N,They don't come from France.,,,"French Phase 2, Units 1-30 (2004)","9,18",
320,FR,978-1-4423-5032-8,French 2,16,0:11:50,0:11:52,03R,127,F,Ils ne viennent pas de France.,6,S,"French Phase 2, Units 1-30 (2004)","9,18",
321,FR,978-1-4423-5032-8,French 2,16,0:12:23,0:12:24,04Q,131,N,They come from England.,,,"French Phase 2, Units 1-30 (2004)","9,18",
322,FR,978-1-4423-5032-8,French 2,16,0:12:28,0:12:30,04R,132,F,Ils viennent d'Angleterre.,3,S,"French Phase 2, Units 1-30 (2004)","9,18",
323,FR,978-1-4423-5032-8,French 2,16,0:17:20,0:17:22,05Q,179,N,She's going there without their children.,,,"French Phase 2, Units 1-30 (2004)","5,18",
324,FR,978-1-4423-5032-8,French 2,16,0:17:26,0:17:28,05R,180,F,Elle y va sans leurs enfants.,6,S,"French Phase 2, Units 1-30 (2004)","5,18",
325,FR,978-1-4423-5032-8,French 2,16,0:19:09,0:19:11,06Q,197,N,"Before, it was less expensive.",,,"French Phase 2, Units 1-30 (2004)","11,14,17",
326,FR,978-1-4423-5032-8,French 2,16,0:19:14,0:19:16,06R,199,F,"Avant, c'était moins cher.",4,S,"French Phase 2, Units 1-30 (2004)","11,14,17",
327,FR,978-1-4423-5032-8,French 2,16,0:20:22,0:20:24,07Q,210,N,"Before, it used to be expensive.",,,"French Phase 2, Units 1-30 (2004)","11,14,17",
328,FR,978-1-4423-5032-8,French 2,16,0:20:28,0:20:30,07R,211,M,"Avant, c'était cher.",3,S,"French Phase 2, Units 1-30 (2004)","11,14,17",
329,FR,978-1-4423-5032-8,French 2,16,0:23:58,0:23:59,08Q,241,N,"Paris, it's too expensive now.",,,"French Phase 2, Units 1-30 (2004)","14,17,18",
330,FR,978-1-4423-5032-8,French 2,16,0:24:04,0:24:05,08R,242,F,"Paris, c'est trop cher maintenant.",5,S,"French Phase 2, Units 1-30 (2004)","14,17,18",
331,FR,978-1-4423-5032-8,French 2,16,0:24:16,0:24:17,09Q,244,N,"Before, it was less expensive.",,,"French Phase 2, Units 1-30 (2004)","11,14,17",
