Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills
168,FR,978-1-4423-5033-5,French 3,9,0:06:30,0:06:32,02R,81,F,L’hôtel était près d’un bon restaurant.,6,S,"French Phase 3, Units 1-30 (2005)","5,18"
169,FR,978-1-4423-5033-5,French 3,9,0:08:21,0:08:23,03Q,98,N,I don’t remember how it’s called.,,,"French Phase 3, Units 1-30 (2005)",7
170,FR,978-1-4423-5033-5,French 3,9,0:08:27,0:08:30,03R,99,F,Je ne me souviens pas comment il s’appelle.,8,S,"French Phase 3, Units 1-30 (2005)",7
171,FR,978-1-4423-5033-5,French 3,9,0:15:27,0:15:29,04Q,165,N,I made the reservations this morning.,,,"French Phase 3, Units 1-30 (2005)","17,18"
172,FR,978-1-4423-5033-5,French 3,9,0:15:34,0:15:36,04R,166,F,J’ai fait les réservations ce matin.,6,S,"French Phase 3, Units 1-30 (2005)","17,18"
173,FR,978-1-4423-5033-5,French 3,9,0:21:51,0:21:53,05Q,223,N,It’s necessary to buy the plane tickets soon.,,,"French Phase 3, Units 1-30 (2005)","14,18"
174,FR,978-1-4423-5033-5,French 3,9,0:21:59,0:22:02,05R,224,F,Il faut acheter les billets d’avion bientôt.,7,S,"French Phase 3, Units 1-30 (2005)","14,18"
175,FR,978-1-4423-5033-5,French 3,9,0:24:32,0:24:34,06Q,247,N,I didn’t have my credit cards on me.,,,"French Phase 3, Units 1-30 (2005)","11,14"
176,FR,978-1-4423-5033-5,French 3,9,0:24:40,0:24:42,06R,248,M,Je n’avais pas mes cartes de crédit sur moi.,9,S,"French Phase 3, Units 1-30 (2005)","11,14"
177,FR,978-1-4423-5033-5,French 3,9,0:24:58,0:25:01,07Q,250,N,I thought that you wanted to buy the plane tickets today.,,,"French Phase 3, Units 1-30 (2005)","14,18"
178,FR,978-1-4423-5033-5,French 3,9,0:25:08,0:25:12,07R,251,F,Je croyais que tu voulais acheter les billets d’avion aujourd’hui.,10,S,"French Phase 3, Units 1-30 (2005)","14,18"
179,FR,978-1-4423-5033-5,French 3,9,0:28:35,0:28:36,08Q,281,N,I just bought them.,,,"French Phase 3, Units 1-30 (2005)",14
180,FR,978-1-4423-5033-5,French 3,9,0:28:42,0:28:44,08R,283,M,Je viens de les acheter.,5,S,"French Phase 3, Units 1-30 (2005)",14
181,FR,978-1-4423-5033-5,French 3,9,0:29:50,0:29:52,09Q,292,N,I thought that you wanted to drink some wine.,,,"French Phase 3, Units 1-30 (2005)",6
182,FR,978-1-4423-5033-5,French 3,9,0:29:56,0:29:58,09R,297,F,Je croyais que tu voulais boire du vin.,8,S,"French Phase 3, Units 1-30 (2005)",6
183,FR,978-1-4423-5033-5,French 3,10,0:02:07,0:02:08,01Q,31,N,I can pay for the tickets.,,,"French Phase 3, Units 1-30 (2005)","11,14,18"
184,FR,978-1-4423-5033-5,French 3,10,0:02:20,0:02:21,01R,32,M,Je peux payer les billets.,5,S,"French Phase 3, Units 1-30 (2005)","11,14,18"
185,FR,978-1-4423-5033-5,French 3,10,0:07:02,0:07:05,02Q,76,N,It’s really necessary to make the reservations.,,,"French Phase 3, Units 1-30 (2005)","16,18"
186,FR,978-1-4423-5033-5,French 3,10,0:07:13,0:07:16,02R,78,F,Il faut vraiment faire les réservations.,6,S,"French Phase 3, Units 1-30 (2005)","16,18"
187,FR,978-1-4423-5033-5,French 3,10,0:07:27,0:07:30,03Q,80,N,It would be necessary to make them soon.,,,"French Phase 3, Units 1-30 (2005)","9,17"
188,FR,978-1-4423-5033-5,French 3,10,0:07:35,0:07:37,03R,82,F,Il faudrait les faire bientôt.,5,S,"French Phase 3, Units 1-30 (2005)","9,17"
189,FR,978-1-4423-5033-5,French 3,10,0:08:21,0:08:23,04Q,90,N,Do they accept the American Express card?,,,"French Phase 3, Units 1-30 (2005)","11,14,18"
190,FR,978-1-4423-5033-5,French 3,10,0:08:29,0:08:32,04R,91,M,Est-ce qu’ils acceptent la carte American Express?,7,Q,"French Phase 3, Units 1-30 (2005)","11,14,18"
191,FR,978-1-4423-5033-5,French 3,10,0:16:24,0:16:25,05Q,163,N,Yesterday I wasn’t finding it.,,,"French Phase 3, Units 1-30 (2005)","9,17"
192,FR,978-1-4423-5033-5,French 3,10,0:16:29,0:16:31,05R,164,M,Hier je ne le trouvais pas.,6,S,"French Phase 3, Units 1-30 (2005)","9,17"
193,FR,978-1-4423-5033-5,French 3,10,0:20:51,0:20:53,06Q,203,N,I wasn’t finding my credit cards.,,,"French Phase 3, Units 1-30 (2005)","11,14"
194,FR,978-1-4423-5033-5,French 3,10,0:21:00,0:21:02,06R,204,M,Je ne trouvais pas mes cartes de crédit.,8,S,"French Phase 3, Units 1-30 (2005)","11,14"
195,FR,978-1-4423-5033-5,French 3,10,0:21:47,0:21:49,07Q,211,N,It’s really a magnificent apartment.,,,"French Phase 3, Units 1-30 (2005)",9
196,FR,978-1-4423-5033-5,French 3,10,0:21:52,0:21:54,07R,212,M,C’est vraiment un appartement magnifique.,5,S,"French Phase 3, Units 1-30 (2005)",9
197,FR,978-1-4423-5033-5,French 3,10,0:23:21,0:23:23,08Q,228,N,There’s a small yard in the back.,,,"French Phase 3, Units 1-30 (2005)",9
198,FR,978-1-4423-5033-5,French 3,10,0:23:27,0:23:29,08R,229,F,Il y a un petit jardin derrière.,7,S,"French Phase 3, Units 1-30 (2005)",9
199,FR,978-1-4423-5033-5,French 3,10,0:25:20,0:25:20,09Q,249,N,Where do you park?,,,"French Phase 3, Units 1-30 (2005)","9,18"
200,FR,978-1-4423-5033-5,French 3,10,0:25:24,0:25:25,09R,250,M,Où est-ce que tu te gares?,6,Q,"French Phase 3, Units 1-30 (2005)","9,18"
201,FR,978-1-4423-5033-5,French 3,10,0:25:30,0:25:31,10Q,251,N,In front of the apartment?,,,"French Phase 3, Units 1-30 (2005)",9
202,FR,978-1-4423-5033-5,French 3,10,0:25:34,0:25:36,10R,252,M,Devant l’appartement?,2,S,"French Phase 3, Units 1-30 (2005)",9
203,FR,978-1-4423-5033-5,French 3,11,0:01:08,0:01:09,01Q,23,N,I can pay by credit card.,,,"French Phase 3, Units 1-30 (2005)","11,14,18"
204,FR,978-1-4423-5033-5,French 3,11,0:01:14,0:01:16,01R,24,M,Je peux payer par carte de crédit.,7,S,"French Phase 3, Units 1-30 (2005)","11,14,18"
205,FR,978-1-4423-5033-5,French 3,11,0:03:12,0:03:14,02Q,41,N,I just arrived a month ago.,,,"French Phase 3, Units 1-30 (2005)","17,18"
206,FR,978-1-4423-5033-5,French 3,11,0:03:18,0:03:20,02R,42,F,Je viens d’arriver il y a un mois.,8,S,"French Phase 3, Units 1-30 (2005)","17,18"
207,FR,978-1-4423-5033-5,French 3,11,0:05:26,0:05:27,03Q,63,N,How about going to take a walk?,,,"French Phase 3, Units 1-30 (2005)","1,18"
208,FR,978-1-4423-5033-5,French 3,11,0:05:30,0:05:31,03R,64,M,Si on allait faire un tour?,6,Q,"French Phase 3, Units 1-30 (2005)","1,18"
209,FR,978-1-4423-5033-5,French 3,11,0:09:39,0:09:40,04Q,102,N,I think that they accept it.,,,"French Phase 3, Units 1-30 (2005)","9,14"
210,FR,978-1-4423-5033-5,French 3,11,0:09:46,0:09:47,04R,103,F,Je crois qu’ils l’acceptent.,4,S,"French Phase 3, Units 1-30 (2005)","9,14"
211,FR,978-1-4423-5033-5,French 3,11,0:10:12,0:10:14,05Q,108,N,If you still want to go to the concert.,,,"French Phase 3, Units 1-30 (2005)",1
212,FR,978-1-4423-5033-5,French 3,11,0:10:20,0:10:22,05R,109,M,Si tu veux toujours aller au concert.,7,S,"French Phase 3, Units 1-30 (2005)",1
213,FR,978-1-4423-5033-5,French 3,11,0:17:41,0:17:43,06Q,170,N,There’s a pretty yard in the back.,,,"French Phase 3, Units 1-30 (2005)","4,9"
214,FR,978-1-4423-5033-5,French 3,11,0:17:47,0:17:50,06R,171,F,Il y a un joli jardin derrière.,7,S,"French Phase 3, Units 1-30 (2005)","4,9"
215,FR,978-1-4423-5033-5,French 3,11,0:19:30,0:19:31,07Q,188,N,Where are my glasses?,,,"French Phase 3, Units 1-30 (2005)",7
216,FR,978-1-4423-5033-5,French 3,11,0:19:34,0:19:35,07R,189,M,Où sont mes lunettes?,4,Q,"French Phase 3, Units 1-30 (2005)",7
217,FR,978-1-4423-5033-5,French 3,11,0:22:05,0:22:07,08Q,210,N,At the public garden near the museum.,,,"French Phase 3, Units 1-30 (2005)","1,18"
218,FR,978-1-4423-5033-5,French 3,11,0:22:11,0:22:13,08R,211,F,Au jardin public près du musée.,6,S,"French Phase 3, Units 1-30 (2005)","1,18"
219,FR,978-1-4423-5033-5,French 3,11,0:25:22,0:25:24,09Q,239,N,I think that we can stay at my sister’s.,,,"French Phase 3, Units 1-30 (2005)","5,18"
220,FR,978-1-4423-5033-5,French 3,11,0:25:29,0:25:32,09R,240,F,Je crois qu’on peut rester chez ma soeur.,8,S,"French Phase 3, Units 1-30 (2005)","5,18"
221,FR,978-1-4423-5033-5,French 3,11,0:28:33,0:28:35,10Q,271,N,I’m looking for my glasses.,,,"French Phase 3, Units 1-30 (2005)",9
222,FR,978-1-4423-5033-5,French 3,11,0:28:38,0:28:39,10R,273,F,Je cherche mes lunettes.,4,S,"French Phase 3, Units 1-30 (2005)",9
223,FR,978-1-4423-5033-5,French 3,12,0:01:00,0:01:01,01Q,21,N,Did you just arrive here?,,,"French Phase 3, Units 1-30 (2005)",18
224,FR,978-1-4423-5033-5,French 3,12,0:01:05,0:01:07,01R,22,M,Est-ce que tu viens d’arriver ici?,6,Q,"French Phase 3, Units 1-30 (2005)",18
225,FR,978-1-4423-5033-5,French 3,12,0:02:31,0:02:32,02Q,36,N,Why don’t you park in the back?,,,"French Phase 3, Units 1-30 (2005)","4,9,18"
226,FR,978-1-4423-5033-5,French 3,12,0:02:37,0:02:39,02R,37,M,Pourquoi est-ce que tu ne te gares pas derrière?,9,Q,"French Phase 3, Units 1-30 (2005)","4,9,18"
227,FR,978-1-4423-5033-5,French 3,12,0:03:43,0:03:45,03Q,46,N,We can go to take a walk at the public garden.,,,"French Phase 3, Units 1-30 (2005)","1,18"
228,FR,978-1-4423-5033-5,French 3,12,0:03:54,0:03:56,03R,48,F,On peut aller faire un tour au jardin public.,9,S,"French Phase 3, Units 1-30 (2005)","1,18"
229,FR,978-1-4423-5033-5,French 3,12,0:06:06,0:06:08,04Q,71,N,It would be necessary to call the museum.,,,"French Phase 3, Units 1-30 (2005)","3,17"
230,FR,978-1-4423-5033-5,French 3,12,0:06:12,0:06:14,04R,72,F,Il faudrait appeler le musée.,5,S,"French Phase 3, Units 1-30 (2005)","3,17"
231,FR,978-1-4423-5033-5,French 3,12,0:10:00,0:10:01,05Q,110,N,It’s just across.,,,"French Phase 3, Units 1-30 (2005)",4
232,FR,978-1-4423-5033-5,French 3,12,0:10:04,0:10:06,05R,111,F,C’est juste en face.,4,S,"French Phase 3, Units 1-30 (2005)",4
233,FR,978-1-4423-5033-5,French 3,12,0:12:33,0:12:35,06Q,135,N,Do you want to have lunch outside?,,,"French Phase 3, Units 1-30 (2005)",6
234,FR,978-1-4423-5033-5,French 3,12,0:12:39,0:12:41,06R,136,F,Est-ce que vous voulez déjeuner dehors?,6,Q,"French Phase 3, Units 1-30 (2005)",6
235,FR,978-1-4423-5033-5,French 3,12,0:15:34,0:15:36,07Q,164,N,I’m not managing to read.,,,"French Phase 3, Units 1-30 (2005)","1,9"
236,FR,978-1-4423-5033-5,French 3,12,0:15:43,0:15:44,07R,166,F,Je n’arrive pas à lire.,5,S,"French Phase 3, Units 1-30 (2005)","1,9"
237,FR,978-1-4423-5033-5,French 3,12,0:19:22,0:19:24,08Q,200,N,Almost everyone is inside.,,,"French Phase 3, Units 1-30 (2005)",9
238,FR,978-1-4423-5033-5,French 3,12,0:19:28,0:19:30,08R,201,M,Presque tout le monde est dedans.,6,S,"French Phase 3, Units 1-30 (2005)",9
239,FR,978-1-4423-5033-5,French 3,12,0:23:19,0:23:20,09Q,232,N,I would like to come back here.,,,"French Phase 3, Units 1-30 (2005)",7
240,FR,978-1-4423-5033-5,French 3,12,0:23:24,0:23:26,09R,233,M,J’aimerais bien revenir ici.,4,S,"French Phase 3, Units 1-30 (2005)",7
241,FR,978-1-4423-5033-5,French 3,12,0:26:24,0:26:25,10Q,260,N,I don’t have my glasses on me.,,,"French Phase 3, Units 1-30 (2005)",9
242,FR,978-1-4423-5033-5,French 3,12,0:26:30,0:26:31,10R,261,M,Je n’ai pas mes lunettes sur moi.,7,S,"French Phase 3, Units 1-30 (2005)",9
243,FR,978-1-4423-5033-5,French 3,13,0:01:59,0:02:00,01Q,31,N,Everyone likes the museum.,,,"French Phase 3, Units 1-30 (2005)","1,18"
244,FR,978-1-4423-5033-5,French 3,13,0:02:04,0:02:06,01R,32,F,Tout le monde aime le musée.,6,S,"French Phase 3, Units 1-30 (2005)","1,18"
245,FR,978-1-4423-5033-5,French 3,13,0:02:48,0:02:50,02Q,39,N,How about going to eat something first?,,,"French Phase 3, Units 1-30 (2005)",6
246,FR,978-1-4423-5033-5,French 3,13,0:02:55,0:02:58,02R,40,F,Si on allait manger quelque chose d’abord?,7,Q,"French Phase 3, Units 1-30 (2005)",6
247,FR,978-1-4423-5033-5,French 3,13,0:03:34,0:03:36,03Q,47,N,There’s a pretty table over there.,,,"French Phase 3, Units 1-30 (2005)",4
248,FR,978-1-4423-5033-5,French 3,13,0:03:40,0:03:41,03R,48,M,Il y a une jolie table là-bas.,7,S,"French Phase 3, Units 1-30 (2005)",4
249,FR,978-1-4423-5033-5,French 3,13,0:09:42,0:09:44,04Q,104,N,It’s just across from my place.,,,"French Phase 3, Units 1-30 (2005)","4,9"
250,FR,978-1-4423-5033-5,French 3,13,0:09:48,0:09:50,04R,105,F,C’est juste en face de chez moi.,7,S,"French Phase 3, Units 1-30 (2005)","4,9"
251,FR,978-1-4423-5033-5,French 3,13,0:10:34,0:10:34,05Q,112,N,I’m going with you.,,,"French Phase 3, Units 1-30 (2005)","7,18"
252,FR,978-1-4423-5033-5,French 3,13,0:10:37,0:10:38,05R,113,F,Je t’accompagne.,2,S,"French Phase 3, Units 1-30 (2005)","7,18"
253,FR,978-1-4423-5033-5,French 3,13,0:12:03,0:12:05,06Q,126,N,There are some nice cafés.,,,"French Phase 3, Units 1-30 (2005)","6,9"
254,FR,978-1-4423-5033-5,French 3,13,0:12:09,0:12:10,06R,127,F,Il y a des cafés sympa.,6,S,"French Phase 3, Units 1-30 (2005)","6,9"
255,FR,978-1-4423-5033-5,French 3,13,0:19:16,0:19:17,07Q,194,N,Could I telephone?,,,"French Phase 3, Units 1-30 (2005)","3,16"
256,FR,978-1-4423-5033-5,French 3,13,0:19:21,0:19:22,07R,195,M,Est-ce que je pourrais téléphoner?,5,Q,"French Phase 3, Units 1-30 (2005)","3,16"
257,FR,978-1-4423-5033-5,French 3,13,0:23:08,0:23:09,08Q,230,N,Maybe that it’s not the right number.,,,"French Phase 3, Units 1-30 (2005)","3,12"
258,FR,978-1-4423-5033-5,French 3,13,0:23:13,0:23:16,08R,232,M,Peut-être que ce n’est pas le bon numéro.,8,S,"French Phase 3, Units 1-30 (2005)","3,12"
259,FR,978-1-4423-5033-5,French 3,13,0:24:07,0:24:09,09Q,239,N,It wasn’t the right area code.,,,"French Phase 3, Units 1-30 (2005)","3,12"
260,FR,978-1-4423-5033-5,French 3,13,0:24:13,0:24:15,09R,241,M,Ce n’était pas le bon indicatif.,6,S,"French Phase 3, Units 1-30 (2005)","3,12"
261,FR,978-1-4423-5033-5,French 3,13,0:27:26,0:27:27,10Q,270,N,I’d like to come back tomorrow.,,,"French Phase 3, Units 1-30 (2005)","17,18"
262,FR,978-1-4423-5033-5,French 3,13,0:27:31,0:27:33,10R,272,F,J’aimerais bien revenir demain.,4,S,"French Phase 3, Units 1-30 (2005)","17,18"
263,FR,978-1-4423-5033-5,French 3,14,0:03:13,0:03:15,01Q,38,N,I have a good book on the museums.,,,"French Phase 3, Units 1-30 (2005)","1,9,17"
264,FR,978-1-4423-5033-5,French 3,14,0:03:19,0:03:21,01R,39,M,J’ai un bon livre sur les musées.,7,S,"French Phase 3, Units 1-30 (2005)","1,9,17"
265,FR,978-1-4423-5033-5,French 3,14,0:08:02,0:08:04,02Q,88,N,I know a nice restaurant.,,,"French Phase 3, Units 1-30 (2005)","6,9"
266,FR,978-1-4423-5033-5,French 3,14,0:08:07,0:08:09,02R,89,F,Je connais un restaurant sympa.,5,S,"French Phase 3, Units 1-30 (2005)","6,9"
267,FR,978-1-4423-5033-5,French 3,14,0:09:22,0:09:24,03Q,103,N,I prefer to stay outside.,,,"French Phase 3, Units 1-30 (2005)","4,18"
268,FR,978-1-4423-5033-5,French 3,14,0:09:28,0:09:31,03R,104,F,Je préfère rester dehors.,4,S,"French Phase 3, Units 1-30 (2005)","4,18"
269,FR,978-1-4423-5033-5,French 3,14,0:14:52,0:14:53,04Q,157,N,No one phoned?,,,"French Phase 3, Units 1-30 (2005)","3,7"
270,FR,978-1-4423-5033-5,French 3,14,0:14:56,0:14:57,04R,158,M,Personne n’a téléphoné?,3,Q,"French Phase 3, Units 1-30 (2005)","3,7"
271,FR,978-1-4423-5033-5,French 3,14,0:16:24,0:16:26,05Q,172,N,Someone phoned a few minutes ago.,,,"French Phase 3, Units 1-30 (2005)","3,17"
272,FR,978-1-4423-5033-5,French 3,14,0:16:30,0:16:33,05R,173,F,Quelqu’un a téléphoné il y a quelques minutes.,8,S,"French Phase 3, Units 1-30 (2005)","3,17"
273,FR,978-1-4423-5033-5,French 3,14,0:17:21,0:17:21,06Q,181,N,Give or take.,,,"French Phase 3, Units 1-30 (2005)",7
274,FR,978-1-4423-5033-5,French 3,14,0:17:24,0:17:25,06R,182,F,A peu près.,3,S,"French Phase 3, Units 1-30 (2005)",7
275,FR,978-1-4423-5033-5,French 3,14,0:18:31,0:18:31,07Q,194,N,It was a woman?,,,"French Phase 3, Units 1-30 (2005)",9
276,FR,978-1-4423-5033-5,French 3,14,0:18:34,0:18:35,07R,195,M,C’était une femme?,3,Q,"French Phase 3, Units 1-30 (2005)",9
277,FR,978-1-4423-5033-5,French 3,14,0:20:48,0:20:49,08Q,218,N,He didn’t leave any message.,,,"French Phase 3, Units 1-30 (2005)","3,9"
278,FR,978-1-4423-5033-5,French 3,14,0:20:51,0:20:53,08R,219,F,Il n’a pas laissé de message.,6,S,"French Phase 3, Units 1-30 (2005)","3,9"
279,FR,978-1-4423-5033-5,French 3,14,0:23:04,0:23:06,09Q,239,N,The man didn’t leave any message.,,,"French Phase 3, Units 1-30 (2005)","3,9"
280,FR,978-1-4423-5033-5,French 3,14,0:23:10,0:23:13,09R,240,F,L’homme n’a pas laissé de message.,6,S,"French Phase 3, Units 1-30 (2005)","3,9"
281,FR,978-1-4423-5033-5,French 3,14,0:25:40,0:25:41,10Q,266,N,Did she leave a message?,,,"French Phase 3, Units 1-30 (2005)","3,9"
282,FR,978-1-4423-5033-5,French 3,14,0:25:45,0:25:46,10R,267,M,Est-ce qu’elle a laissé un message?,6,Q,"French Phase 3, Units 1-30 (2005)","3,9"
283,FR,978-1-4423-5033-5,French 3,15,0:01:18,0:01:19,01Q,23,N,Go right ahead.,,,"French Phase 3, Units 1-30 (2005)",4
284,FR,978-1-4423-5033-5,French 3,15,0:01:21,0:01:22,01R,24,F,Je vous en prie.,4,S,"French Phase 3, Units 1-30 (2005)",4
285,FR,978-1-4423-5033-5,French 3,15,0:06:55,0:06:56,02Q,76,N,No one else phoned?,,,"French Phase 3, Units 1-30 (2005)",3
286,FR,978-1-4423-5033-5,French 3,15,0:06:59,0:07:01,02R,77,M,Personne d’autre n’a téléphoné?,4,Q,"French Phase 3, Units 1-30 (2005)",3
287,FR,978-1-4423-5033-5,French 3,15,0:11:20,0:11:22,03Q,115,N,I will call him back a little later.,,,"French Phase 3, Units 1-30 (2005)","3,17"
288,FR,978-1-4423-5033-5,French 3,15,0:11:25,0:11:27,03R,116,M,Je le rappellerai un peu plus tard.,7,S,"French Phase 3, Units 1-30 (2005)","3,17"
289,FR,978-1-4423-5033-5,French 3,15,0:16:05,0:16:06,04Q,161,N,She phoned around two o’clock.,,,"French Phase 3, Units 1-30 (2005)","3,12,17"
290,FR,978-1-4423-5033-5,French 3,15,0:16:10,0:16:11,04R,162,F,Elle a téléphoné vers deux heures.,6,S,"French Phase 3, Units 1-30 (2005)","3,12,17"
291,FR,978-1-4423-5033-5,French 3,15,0:20:33,0:20:35,05Q,206,N,He will call you back this afternoon.,,,"French Phase 3, Units 1-30 (2005)","3,17"
292,FR,978-1-4423-5033-5,French 3,15,0:20:40,0:20:42,05R,207,F,Il vous rappellera cet après-midi.,6,S,"French Phase 3, Units 1-30 (2005)","3,17"
293,FR,978-1-4423-5033-5,French 3,15,0:20:56,0:20:57,06Q,209,N,Around what time?,,,"French Phase 3, Units 1-30 (2005)",17
294,FR,978-1-4423-5033-5,French 3,15,0:21:00,0:21:01,06R,210,M,Vers quelle heure?,3,Q,"French Phase 3, Units 1-30 (2005)",17
295,FR,978-1-4423-5033-5,French 3,15,0:26:18,0:26:19,07Q,262,N,How long is it going to last?,,,"French Phase 3, Units 1-30 (2005)","7,17"
296,FR,978-1-4423-5033-5,French 3,15,0:26:23,0:26:24,07R,263,M,Combien de temps est-ce que ça va durer?,8,Q,"French Phase 3, Units 1-30 (2005)","7,17"
297,FR,978-1-4423-5033-5,French 3,15,0:27:08,0:27:09,08Q,270,N,It’s a very important meeting.,,,"French Phase 3, Units 1-30 (2005)","9,20"
298,FR,978-1-4423-5033-5,French 3,15,0:27:13,0:27:15,08R,271,M,C’est une réunion très importante.,5,S,"French Phase 3, Units 1-30 (2005)","9,20"
299,FR,978-1-4423-5033-5,French 3,15,0:27:49,0:27:51,09Q,277,N,I think that it’s going to last an hour.,,,"French Phase 3, Units 1-30 (2005)","9,12,17"
300,FR,978-1-4423-5033-5,French 3,15,0:27:54,0:27:57,09R,279,F,Je crois que ça va durer une heure.,8,S,"French Phase 3, Units 1-30 (2005)","9,12,17"
301,FR,978-1-4423-5033-5,French 3,15,0:29:02,0:29:04,10Q,291,N,"It’s going to last half an hour, give or take.",,,"French Phase 3, Units 1-30 (2005)","9,12,17"
302,FR,978-1-4423-5033-5,French 3,15,0:29:08,0:29:10,10R,292,F,"Ça va durer une demi-heure, à peu près.",8,S,"French Phase 3, Units 1-30 (2005)","9,12,17"
303,FR,978-1-4423-5033-5,French 3,16,0:03:58,0:03:59,01Q,49,N,Someone else phoned?,,,"French Phase 3, Units 1-30 (2005)",3
304,FR,978-1-4423-5033-5,French 3,16,0:04:02,0:04:04,01R,50,M,Quelqu’un d’autre a téléphoné?,4,Q,"French Phase 3, Units 1-30 (2005)",3
305,FR,978-1-4423-5033-5,French 3,16,0:06:15,0:06:16,02Q,71,N,Everyone will be there.,,,"French Phase 3, Units 1-30 (2005)",9
306,FR,978-1-4423-5033-5,French 3,16,0:06:18,0:06:19,02R,72,F,Tout le monde sera là.,5,S,"French Phase 3, Units 1-30 (2005)",9
307,FR,978-1-4423-5033-5,French 3,16,0:07:26,0:07:27,03Q,81,N,I will be there.,,,"French Phase 3, Units 1-30 (2005)",7
308,FR,978-1-4423-5033-5,French 3,16,0:07:30,0:07:31,03R,82,F,Je serai là.,3,S,"French Phase 3, Units 1-30 (2005)",7
309,FR,978-1-4423-5033-5,French 3,16,0:09:31,0:09:33,04Q,100,N,This meeting starts at half past three.,,,"French Phase 3, Units 1-30 (2005)","12,17,20"
310,FR,978-1-4423-5033-5,French 3,16,0:09:38,0:09:41,04R,101,F,Cette réunion commence à trois heures et demie.,8,S,"French Phase 3, Units 1-30 (2005)","12,17,20"
311,FR,978-1-4423-5033-5,French 3,16,0:10:46,0:10:47,05Q,110,N,I’m hungry.,,,"French Phase 3, Units 1-30 (2005)",6
312,FR,978-1-4423-5033-5,French 3,16,0:10:49,0:10:50,05R,112,M,J’ai faim.,2,S,"French Phase 3, Units 1-30 (2005)",6
313,FR,978-1-4423-5033-5,French 3,16,0:13:36,0:13:38,06Q,135,N,Could you call him back as soon as possible?,,,"French Phase 3, Units 1-30 (2005)","3,17"
314,FR,978-1-4423-5033-5,French 3,16,0:13:40,0:13:43,06R,136,F,Est-ce que vous pourriez le rappeler le plus tôt possible?,10,Q,"French Phase 3, Units 1-30 (2005)","3,17"
315,FR,978-1-4423-5033-5,French 3,16,0:17:44,0:17:46,07Q,179,N,She will call you back in an hour.,,,"French Phase 3, Units 1-30 (2005)","3,17"
316,FR,978-1-4423-5033-5,French 3,16,0:17:50,0:17:51,07R,180,F,Elle vous rappellera dans une heure.,6,S,"French Phase 3, Units 1-30 (2005)","3,17"
317,FR,978-1-4423-5033-5,French 3,16,0:23:55,0:23:56,08Q,241,N,Is it going to be long?,,,"French Phase 3, Units 1-30 (2005)","7,17"
318,FR,978-1-4423-5033-5,French 3,16,0:23:59,0:24:01,08R,242,M,Est-ce que ça va être long?,6,Q,"French Phase 3, Units 1-30 (2005)","7,17"
319,FR,978-1-4423-5033-5,French 3,16,0:25:25,0:25:26,09Q,254,N,He’s an important client.,,,"French Phase 3, Units 1-30 (2005)",20
320,FR,978-1-4423-5033-5,French 3,16,0:25:33,0:25:34,09R,256,F,C’est un client important.,4,S,"French Phase 3, Units 1-30 (2005)",20
321,FR,978-1-4423-5033-5,French 3,16,0:27:09,0:27:11,10Q,271,N,It will be pretty long.,,,"French Phase 3, Units 1-30 (2005)","7,17"
322,FR,978-1-4423-5033-5,French 3,16,0:27:14,0:27:15,10R,272,F,Ça sera assez long.,4,S,"French Phase 3, Units 1-30 (2005)","7,17"
323,FR,978-1-4423-5033-5,French 3,17,0:01:46,0:01:49,01Q,29,N,How about going to have lunch in an hour?,,,"French Phase 3, Units 1-30 (2005)","6,17"
324,FR,978-1-4423-5033-5,French 3,17,0:01:52,0:01:55,01R,30,F,Si on allait déjeuner dans une heure?,7,Q,"French Phase 3, Units 1-30 (2005)","6,17"
325,FR,978-1-4423-5033-5,French 3,17,0:02:11,0:02:13,02Q,33,N,Excuse me for bothering you.,,,"French Phase 3, Units 1-30 (2005)","13,16"
326,FR,978-1-4423-5033-5,French 3,17,0:02:16,0:02:17,02R,35,M,Excusez-moi de vous déranger.,4,S,"French Phase 3, Units 1-30 (2005)","13,16"
327,FR,978-1-4423-5033-5,French 3,17,0:03:41,0:03:42,03Q,48,N,I think that it will be long.,,,"French Phase 3, Units 1-30 (2005)","7,17"
328,FR,978-1-4423-5033-5,French 3,17,0:03:46,0:03:47,03R,49,F,Je crois que ça sera long.,6,S,"French Phase 3, Units 1-30 (2005)","7,17"
329,FR,978-1-4423-5033-5,French 3,17,0:09:39,0:09:40,04Q,114,N,Do you know our client?,,,"French Phase 3, Units 1-30 (2005)",20
330,FR,978-1-4423-5033-5,French 3,17,0:09:44,0:09:46,04R,115,F,Est-ce que vous connaissez notre client?,6,Q,"French Phase 3, Units 1-30 (2005)",20
331,FR,978-1-4423-5033-5,French 3,17,0:11:26,0:11:28,05Q,127,N,He phoned half an hour ago.,,,"French Phase 3, Units 1-30 (2005)","3,17"
332,FR,978-1-4423-5033-5,French 3,17,0:11:32,0:11:34,05R,128,F,Il a téléphoné il y a une demi-heure.,8,S,"French Phase 3, Units 1-30 (2005)","3,17"
333,FR,978-1-4423-5033-5,French 3,17,0:15:10,0:15:12,06Q,167,N,We’d like to invite you to have dinner.,,,"French Phase 3, Units 1-30 (2005)","1,6"
334,FR,978-1-4423-5033-5,French 3,17,0:15:16,0:15:18,06R,168,F,On aimerait bien vous inviter à dîner.,7,S,"French Phase 3, Units 1-30 (2005)","1,6"
