Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,Cluster,Qz #,Spkr,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
461,461,RU,9781508236009,Russian 4,8,,,U08-02,02Q_C,N,I need to take you with me to the doctor.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0461.mp3,"8,9,16"
462,462,RU,9781508236009,Russian 4,8,,,U08-02,02R_C,M,Мне надо взять Вас с собой к врачу.,Mne nado vziat' Vas s soboij k vrachu.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0462.mp3,"8,9,16"
463,463,RU,9781508236009,Russian 4,8,,,U08-02,02Q_D,N,I need a doctor.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0463.mp3,"8,9,16"
464,464,RU,9781508236009,Russian 4,8,,,U08-02,02R_D,F,Мне нужен врач.,Mne nuzhen vrach.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0464.mp3,"8,9,16"
465,465,RU,9781508236009,Russian 4,8,,,U08-03,03Q_A,N,Are you signed up for an appointment with the doctor?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0465.mp3,"8,16"
466,466,RU,9781508236009,Russian 4,8,,,U08-03,03R_A,F,Вы записаны на приём к врачу?,Vy zapisany na priiom k vrachu?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0466.mp3,"8,16"
467,467,RU,9781508236009,Russian 4,8,,,U08-03,03Q_B,N,Are you supposed to visit the doctor?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0467.mp3,"8,16"
468,468,RU,9781508236009,Russian 4,8,,,U08-03,03R_B,M,Вы должны посетить врача?,Vy dolzhny posetit’ vracha?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0468.mp3,"8,16"
469,469,RU,9781508236009,Russian 4,8,,,U08-03,03Q_C,N,Are you supposed to be meeting with the doctor?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0469.mp3,"8,16"
470,470,RU,9781508236009,Russian 4,8,,,U08-03,03R_C,M,Вы должны встретиться с врачом?,Vy dolzhny vstretit’sia s vrachom?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0470.mp3,"8,16"
471,471,RU,9781508236009,Russian 4,8,,,U08-03,03Q_D,N,Do you have a meeting with the doctor?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0471.mp3,"16,20"
472,472,RU,9781508236009,Russian 4,8,,,U08-03,03R_D,M,У Вас есть встреча с врачом?,U Vas est’ vstrecha s vrachom?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0472.mp3,"16,20"
473,473,RU,9781508236009,Russian 4,8,,,U08-04,04Q_A,N,"Maybe, it’s better to call for a doctor?",,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0473.mp3,"3,7,8,16"
474,474,RU,9781508236009,Russian 4,8,,,U08-04,04R_A,F,"Может быть, лучше вызвать врача?","Mozhet byt’, luchshe vyzvat’ vracha?",,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0474.mp3,"3,7,8,16"
475,475,RU,9781508236009,Russian 4,8,,,U08-04,04Q_B,N,Maybe you can call the doctor?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0475.mp3,"3,8,16"
476,476,RU,9781508236009,Russian 4,8,,,U08-04,04R_B,F,"Может быть, Вы можете позвонить врачу?","Mozhet byt’, Vy mozhete pozvonit’ vrachu?",,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0476.mp3,"3,8,16"
477,477,RU,9781508236009,Russian 4,8,,,U08-04,04Q_C,N,Maybe to call for a taxi?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0477.mp3,"3,7,16"
478,478,RU,9781508236009,Russian 4,8,,,U08-04,04R_C,F,Может быть вызвать такси?,Mozhet byt’ vyzvat’ taksi?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0478.mp3,"3,7,16"
479,479,RU,9781508236009,Russian 4,8,,,U08-04,04Q_D,N,"Maybe, it’s better to take the doctor with you?",,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0479.mp3,"8,16"
480,480,RU,9781508236009,Russian 4,8,,,U08-04,04R_D,M,"Может быть, лучше взять с Вами врача?","Mozhet byt’, luchshe vziat’ s Vami vracha?",,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0480.mp3,"8,16"
481,481,RU,9781508236009,Russian 4,8,,,U08-05,05Q_A,N,You appear to be unwell.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0481.mp3,"8,16"
482,482,RU,9781508236009,Russian 4,8,,,U08-05,05R_A,M,Вы неважно выглядите.,Vy nevazhno vygliadite.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0482.mp3,"8,16"
483,483,RU,9781508236009,Russian 4,8,,,U08-05,05Q_B,N,You don’t look good.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0483.mp3,"8,16"
484,484,RU,9781508236009,Russian 4,8,,,U08-05,05R_B,F,Вы нехорошо выглядите.,Vy nehorosho vygliadite.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0484.mp3,"8,16"
485,485,RU,9781508236009,Russian 4,8,,,U08-05,05Q_C,N,It seems to me that it’s unimportant.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0485.mp3,9
486,486,RU,9781508236009,Russian 4,8,,,U08-05,05R_C,F,"Мне кажется, что это неважно.","Mne kazhetsia, chto ѐto nevazhno.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0486.mp3,9
487,487,RU,9781508236009,Russian 4,8,,,U08-05,05Q_D,N,"It is unimportant, how you look.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0487.mp3,"7,9"
488,488,RU,9781508236009,Russian 4,8,,,U08-05,05R_D,F,"Это неважно, как Вы выглядите.","Èto nevazhno, kak Vy vygliadite.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0488.mp3,"7,9"
489,489,RU,9781508236009,Russian 4,8,,,U08-06,06Q_A,N,Everything is in order,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0489.mp3,"7,9,16"
490,490,RU,9781508236009,Russian 4,8,,,U08-06,06R_A,M,Всё в порядке.,Vsio v poriadke.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0490.mp3,"7,9,16"
491,491,RU,9781508236009,Russian 4,8,,,U08-06,06Q_B,N,Everything is normal.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0491.mp3,"7,9"
492,492,RU,9781508236009,Russian 4,8,,,U08-06,06R_B,M,Всё нормально.,Vsio normal’no.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0492.mp3,"7,9"
493,493,RU,9781508236009,Russian 4,8,,,U08-06,06Q_C,N,Everything is going as planned.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0493.mp3,9
494,494,RU,9781508236009,Russian 4,8,,,U08-06,06R_C,F,Всё идёт по плану.,Vsio idiot po planu.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0494.mp3,9
495,495,RU,9781508236009,Russian 4,8,,,U08-06,06Q_D,N,Everything is on time.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0495.mp3,"7,16,17"
496,496,RU,9781508236009,Russian 4,8,,,U08-06,06R_D,F,Всё вовремя.,Vsio vovremia.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0496.mp3,"7,16,17"
497,497,RU,9781508236009,Russian 4,8,,,U08-07,07Q_A,N,Do you have a cold?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0497.mp3,"7,8,16"
498,498,RU,9781508236009,Russian 4,8,,,U08-07,07R_A,F,У Вас простуда?,U Vas prostuda?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0498.mp3,"7,8,16"
499,499,RU,9781508236009,Russian 4,8,,,U08-07,07Q_B,N,Do you have a cold beer?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0499.mp3,"6,9"
500,500,RU,9781508236009,Russian 4,8,,,U08-07,07R_B,M,У Вас есть холодное пиво?,U Vas est’ holodnoe pivo?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0500.mp3,"6,9"
501,501,RU,9781508236009,Russian 4,8,,,U08-07,07Q_C,N,Will it be cold here?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0501.mp3,"9,19"
502,502,RU,9781508236009,Russian 4,8,,,U08-07,07R_C,M,Здесь будет холодно?,Zdes' budet holodno?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0502.mp3,"9,19"
503,503,RU,9781508236009,Russian 4,8,,,U08-07,07Q_D,N,"At your place, will it be cold?",,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0503.mp3,9
504,504,RU,9781508236009,Russian 4,8,,,U08-07,07R_D,F,У Вас будет холодно?,U Vas budet holodno?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0504.mp3,9
505,505,RU,9781508236009,Russian 4,8,,,U08-08,08Q_A,N,Feel better!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0505.mp3,"7,8,16"
506,506,RU,9781508236009,Russian 4,8,,,U08-08,08R_A,F,Выздоравливайте!,Vyzdoravlivajte!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0506.mp3,"7,8,16"
507,507,RU,9781508236009,Russian 4,8,,,U08-08,08Q_B,N,You feel unwell!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0507.mp3,8
508,508,RU,9781508236009,Russian 4,8,,,U08-08,08R_B,M,Вы чувствуете себя неважно!,Vy chuvstvuete sebia nevazhno!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0508.mp3,8
509,509,RU,9781508236009,Russian 4,8,,,U08-08,08Q_C,N,You don’t feel bad!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0509.mp3,8
510,510,RU,9781508236009,Russian 4,8,,,U08-08,08R_C,M,Вы не чувствуете себя плохо!,Vy ne chuvstvuete sebia ploho!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0510.mp3,8
511,511,RU,9781508236009,Russian 4,8,,,U08-08,08Q_D,N,You feel not bad!,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0511.mp3,8
512,512,RU,9781508236009,Russian 4,8,,,U08-08,08R_D,M,Вы чувствуете себя неплохо!,Vy chuvstvuete sebia neploho!,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0512.mp3,8
513,513,RU,9781508236009,Russian 4,9,,,U09-01,01Q_A,N,I recommend hot tea with honey.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0513.mp3,"6,8,9"
514,514,RU,9781508236009,Russian 4,9,,,U09-01,01R_A,F,Я рекомендую горячий чай с мёдом.,Ia rekomenduiu goriachij chaj s miodom.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0514.mp3,"6,8,9"
515,515,RU,9781508236009,Russian 4,9,,,U09-01,01Q_B,N,I recommend hot tea with milk.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0515.mp3,"6,9"
516,516,RU,9781508236009,Russian 4,9,,,U09-01,01R_B,F,Я рекомендую горячий чай c молоком.,Ia rekomenduiu goriachij chaj s molokom.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0516.mp3,"6,9"
517,517,RU,9781508236009,Russian 4,9,,,U09-01,01Q_C,N,For you hot tea with honey is better.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0517.mp3,"6,8"
518,518,RU,9781508236009,Russian 4,9,,,U09-01,01R_C,F,Вам лучше горячий чай с мёдом.,Vam luchshe goriachij chaj s miodom.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0518.mp3,"6,8"
519,519,RU,9781508236009,Russian 4,9,,,U09-01,01Q_D,N,I recommend hot tea with sugar.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0519.mp3,9
520,520,RU,9781508236009,Russian 4,9,,,U09-01,01R_D,M,Я рекомендую горячий чай с сахаром.,Ia rekomenduiu goriachij chaj s saharom.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0520.mp3,9
521,521,RU,9781508236009,Russian 4,9,,,U09-02,02Q_A,N,(I) hope that I’m not sick.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0521.mp3,"7,8,16"
522,522,RU,9781508236009,Russian 4,9,,,U09-02,02R_A,M,"Надеюсь, я не заболел.","Nadeius’, ia ne zabolel.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0522.mp3,"7,8,16"
523,523,RU,9781508236009,Russian 4,9,,,U09-02,02Q_B,N,(I) hope everything is in order.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0523.mp3,"7,8,16"
524,524,RU,9781508236009,Russian 4,9,,,U09-02,02R_B,M,"Надеюсь, всё в порядке.","Nadeius’, vsio v poriadke.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0524.mp3,"7,8,16"
525,525,RU,9781508236009,Russian 4,9,,,U09-02,02Q_C,N,(I) hope I have medicine at home.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0525.mp3,"7,8"
526,526,RU,9781508236009,Russian 4,9,,,U09-02,02R_C,F,"Надеюсь, у меня есть лекарство дома.","Nadeius’, u menia doma est’ lekarstvo.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0526.mp3,"7,8"
527,527,RU,9781508236009,Russian 4,9,,,U09-02,02Q_D,N,(I) hope nothing to worry about.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0527.mp3,"7,8"
528,528,RU,9781508236009,Russian 4,9,,,U09-02,02R_D,F,"Надеюсь, ничего страшного.","Nadeius, nichego strashnogo.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0528.mp3,"7,8"
529,529,RU,9781508236009,Russian 4,9,,,U09-03,03Q_A,N,Do you have a fever?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0529.mp3,"7,8,16"
530,530,RU,9781508236009,Russian 4,9,,,U09-03,03R_A,F,У Вас высокая температура?,U Vas vysokaia temperatura?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0530.mp3,"7,8,16"
531,531,RU,9781508236009,Russian 4,9,,,U09-03,03Q_B,N,Is your temperature high?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0531.mp3,"8,16"
532,532,RU,9781508236009,Russian 4,9,,,U09-03,03R_B,M,Ваша температура высокая?,Vasha temperatura vysokaia?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0532.mp3,"8,16"
533,533,RU,9781508236009,Russian 4,9,,,U09-03,03Q_C,N,Did you have a fever?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0533.mp3,"7,8,16"
534,534,RU,9781508236009,Russian 4,9,,,U09-03,03R_C,M,У Вас была высокая температура?,U Vas byla vysokaia temperatura?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0534.mp3,"7,8,16"
535,535,RU,9781508236009,Russian 4,9,,,U09-03,03Q_D,N,Does she have a fever?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0535.mp3,"7,8"
536,536,RU,9781508236009,Russian 4,9,,,U09-03,03R_D,F,У неё высокая температура?,U neio vysokaia temperatura?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0536.mp3,"7,8"
537,537,RU,9781508236009,Russian 4,9,,,U09-04,04Q_A,N,You’re not allowed anything cold?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0537.mp3,"6,8"
538,538,RU,9781508236009,Russian 4,9,,,U09-04,04R_A,F,Вам нельзя ничего холодного?,Vam nel’zia nichego holodnogo?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0538.mp3,"6,8"
539,539,RU,9781508236009,Russian 4,9,,,U09-04,04Q_B,N,Do you not want to order a bottle of wine?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0539.mp3,"6,8"
540,540,RU,9781508236009,Russian 4,9,,,U09-04,04R_B,M,Вы не хотите заказать бутылку вина?,Vy ne hotite zakazat' butylku vina?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0540.mp3,"6,8"
541,541,RU,9781508236009,Russian 4,9,,,U09-04,04Q_C,N,You don’t have anything cold?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0541.mp3,"6,9"
542,542,RU,9781508236009,Russian 4,9,,,U09-04,04R_C,M,У вас нет ничего холодного?,U Vas net nichego holodnogo?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0542.mp3,"6,9"
543,543,RU,9781508236009,Russian 4,9,,,U09-04,04Q_D,N,Did you want to order a bottle of wine?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0543.mp3,"6,7"
544,544,RU,9781508236009,Russian 4,9,,,U09-04,04R_D,M,Вы хотели заказать бутылку вина?,Vy hoteli zakazat' butylku vina?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0544.mp3,"6,7"
545,545,RU,9781508236009,Russian 4,9,,,U09-05,05Q_A,N,I have a sore throat.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0545.mp3,"7,8,16"
546,546,RU,9781508236009,Russian 4,9,,,U09-05,05R_A,F,У меня болит горло.,U menia bolit gorlo.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0546.mp3,"7,8,16"
547,547,RU,9781508236009,Russian 4,9,,,U09-05,05Q_B,N,I have a problem with my throat.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0547.mp3,"8,16"
548,548,RU,9781508236009,Russian 4,9,,,U09-05,05R_B,F,У меня проблема с горлом.,U menia problema s gorlom.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0548.mp3,"8,16"
549,549,RU,9781508236009,Russian 4,9,,,U09-05,05Q_C,N,I have a headache.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0549.mp3,"6,8,16"
550,550,RU,9781508236009,Russian 4,9,,,U09-05,05R_C,F,У меня болит голова.,U menia bolit golova.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0550.mp3,"6,8,16"
551,551,RU,9781508236009,Russian 4,9,,,U09-05,05Q_D,N,Something is wrong with my throat.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0551.mp3,"8,16"
552,552,RU,9781508236009,Russian 4,9,,,U09-05,05R_D,M,Что-то не так с моим горлом.,Chto-to ne tak s moim gorlom.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0552.mp3,"8,16"
553,553,RU,9781508236009,Russian 4,9,,,U09-06,06Q_A,N,It’s better to be eating fruits and vegetables.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0553.mp3,"6,8"
554,554,RU,9781508236009,Russian 4,9,,,U09-06,06R_A,M,Лучще есть фрукты и овощи.,Luchshe est’ frukty i ovoschi.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0554.mp3,"6,8"
555,555,RU,9781508236009,Russian 4,9,,,U09-06,06Q_B,N,"It’s better to be eating vegetables, than chicken Kiev.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0555.mp3,"6,8"
556,556,RU,9781508236009,Russian 4,9,,,U09-06,06R_B,F,"Лучше есть овощи, чем котлету по-киевски.","Luchshe est’ ovoschi, chem kotletu po-kievski.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0556.mp3,"6,8"
557,557,RU,9781508236009,Russian 4,9,,,U09-06,06Q_C,N,"It’s better to to be eating fruits, than vegetables.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0557.mp3,"6,8"
558,558,RU,9781508236009,Russian 4,9,,,U09-06,06R_C,F,"Лучше есть фрукты, чем овощи.","Luchshe est’ frukty, chem ovoschi.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0558.mp3,"6,8"
559,559,RU,9781508236009,Russian 4,9,,,U09-06,06Q_D,N,It’s better to to be eating fruits and chocolate.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0559.mp3,"6,8"
560,560,RU,9781508236009,Russian 4,9,,,U09-06,06R_D,F,Лучше есть фрукты и шоколад.,Luchshe est’ frukty i shokolad.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0560.mp3,"6,8"
561,561,RU,9781508236009,Russian 4,9,,,U09-07,07Q_A,N,I have an allergy to chocolate.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0561.mp3,"6,8,16"
562,562,RU,9781508236009,Russian 4,9,,,U09-07,07R_A,M,У меня аллергия на шоколад.,U menia allergiia na shokolad.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0562.mp3,"6,8,16"
563,563,RU,9781508236009,Russian 4,9,,,U09-07,07Q_B,N,Earlier I had an allergy to everything.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0563.mp3,"8,9"
564,564,RU,9781508236009,Russian 4,9,,,U09-07,07R_B,M,Раньше у меня была аллергия на всё.,Ran’she u menia byla allergiia na vsio.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0564.mp3,"8,9"
565,565,RU,9781508236009,Russian 4,9,,,U09-07,07Q_C,N,"I have an allergy, but not to chocolate.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0565.mp3,"6,8,9"
566,566,RU,9781508236009,Russian 4,9,,,U09-07,07R_C,F,"У меня аллергия, но не на шоколад.","U menia allergiia, no ne na shokolad.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0566.mp3,"6,8,9"
567,567,RU,9781508236009,Russian 4,9,,,U09-07,07Q_D,N,I don’t have allergies any more.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0567.mp3,"8,9"
568,568,RU,9781508236009,Russian 4,9,,,U09-07,07R_D,F,У меня больше нет аллергии,U menia bol’she net allergii.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0568.mp3,"8,9"
569,569,RU,9781508236009,Russian 4,9,,,U09-08,08Q_A,N,You need vitamins.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0569.mp3,8
570,570,RU,9781508236009,Russian 4,9,,,U09-08,08R_A,M,Вам нужны витамины.,Vam nuzhny vitaminy.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0570.mp3,8
571,571,RU,9781508236009,Russian 4,9,,,U09-08,08Q_B,N,You have vitamins.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0571.mp3,8
572,572,RU,9781508236009,Russian 4,9,,,U09-08,08R_B,M,У вас есть витамины.,U Vas est’ vitaminy.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0572.mp3,8
573,573,RU,9781508236009,Russian 4,9,,,U09-08,08Q_C,N,You need medicine.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0573.mp3,"8,16"
574,574,RU,9781508236009,Russian 4,9,,,U09-08,08R_C,M,Вам нужно лекарство.,Vam nuzhno lekarstvo.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0574.mp3,"8,16"
575,575,RU,9781508236009,Russian 4,9,,,U09-08,08Q_D,N,You need to take vitamins.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0575.mp3,8
576,576,RU,9781508236009,Russian 4,9,,,U09-08,08R_D,F,Вам нaдo принять витамины.,Vam nado priniat vitaminy.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0576.mp3,8
577,577,RU,9781508236009,Russian 4,10,,,U10-01,01Q_A,N,I will be cheering for the Russian team.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0577.mp3,"1,9"
578,578,RU,9781508236009,Russian 4,10,,,U10-01,01R_A,F,Я буду болеть за команду России.,Ia budu bolet’ za komandu Rossiiu.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0578.mp3,"1,9"
579,579,RU,9781508236009,Russian 4,10,,,U10-01,01Q_B,N,I will be watching how the Russian team is playing.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0579.mp3,"1,9"
580,580,RU,9781508236009,Russian 4,10,,,U10-01,01R_B,F,Я буду смотреть как играет русская команда.,Ia budu smotret’ kak igraet russkaia komanda.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0580.mp3,"1,9"
581,581,RU,9781508236009,Russian 4,10,,,U10-01,01Q_C,N,I will be writing about the Russian team.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0581.mp3,"1,9"
582,582,RU,9781508236009,Russian 4,10,,,U10-01,01R_C,M,Я буду писать о российской команде.,Ia budu pisat o rossijskoj komande.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0582.mp3,"1,9"
583,583,RU,9781508236009,Russian 4,10,,,U10-01,01Q_D,N,I will talk with a friend about the Russian team.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0583.mp3,"3,5,9"
584,584,RU,9781508236009,Russian 4,10,,,U10-01,01R_D,M,Я поговорю с другом о российской команде.,Ia pogovoriu s drugom o rossijskij komande.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0584.mp3,"3,5,9"
585,585,RU,9781508236009,Russian 4,10,,,U10-02,02Q_A,N,Do you play American football?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0585.mp3,"1,7"
586,586,RU,9781508236009,Russian 4,10,,,U10-02,02R_A,F,Вы играете в американский футбол?,Vy igraete v amerikanskij futbol?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0586.mp3,"1,7"
587,587,RU,9781508236009,Russian 4,10,,,U10-02,02Q_B,N,Do you love American football?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0587.mp3,"1,7"
588,588,RU,9781508236009,Russian 4,10,,,U10-02,02R_B,F,Вы любите американский футбол?,Vy liubite amerikanskij futbol?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0588.mp3,"1,7"
589,589,RU,9781508236009,Russian 4,10,,,U10-02,02Q_C,N,Do you play soccer or American football?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0589.mp3,"1,7"
590,590,RU,9781508236009,Russian 4,10,,,U10-02,02R_C,F,Вы играете в футбол или американский футбол?,Vy igraete v futbol ili amerikanskij futbol?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0590.mp3,"1,7"
591,591,RU,9781508236009,Russian 4,10,,,U10-02,02Q_D,N,Do you prefer soccer or American football?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0591.mp3,"1,9"
592,592,RU,9781508236009,Russian 4,10,,,U10-02,02R_D,F,Вы предпочитаете футбол или американский футбол?,Vy predpochitaete futbol ili amerikanskij futbol?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0592.mp3,"1,9"
