Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,Cluster,Quiz #,Spkr,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
381,381,RU,9.78151E+12,Russian 5,6,,,U06-07,07Q_C,N,The driver didnÕt know road rules.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0381.mp3,18
382,382,RU,9.78151E+12,Russian 5,6,,,U06-07,07R_C,M,________ __ ____ _______ ________.,VoditelÕ ne znal pravila dvizheniia.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0382.mp3,18
383,383,RU,9.78151E+12,Russian 5,6,,,U06-07,07Q_D,N,The driver didnÕt follow road rules.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0383.mp3,18
384,384,RU,9.78151E+12,Russian 5,6,,,U06-07,07R_D,M,________ __ ________ _______ ________.,VoditelÕ ne sobliudal pravila dvizheniia.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0384.mp3,18
385,385,RU,9.78151E+12,Russian 5,6,,,U06-08,08Q_A,N,Hope heÕs in order.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0385.mp3,"7,8,13"
386,386,RU,9.78151E+12,Russian 5,6,,,U06-08,08R_A,M,"_______, __ _ _______.","NadeiusÕ, on v poriadke.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0386.mp3,"7,8,13"
387,387,RU,9.78151E+12,Russian 5,6,,,U06-08,08Q_B,N,Hope he didnÕt suffer.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0387.mp3,"8,13"
388,388,RU,9.78151E+12,Russian 5,6,,,U06-08,08R_B,F,"_______, __ __ _________.","NadeiusÕ, on ne postradal.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0388.mp3,"8,13"
389,389,RU,9.78151E+12,Russian 5,6,,,U06-08,08Q_C,N,Hope he didnÕt get lost.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0389.mp3,4
390,390,RU,9.78151E+12,Russian 5,6,,,U06-08,08R_C,F,"_______, __ __ __________.","NadeiusÕ, on ne zabludilsia.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0390.mp3,4
391,391,RU,9.78151E+12,Russian 5,6,,,U06-08,08Q_D,N,Hope he doesnÕt mind.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0391.mp3,7
392,392,RU,9.78151E+12,Russian 5,6,,,U06-08,08R_D,F,"_______, __ __ ______.","NadeiusÕ, on ne protiv.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0392.mp3,7
393,393,RU,9.78151E+12,Russian 5,7,,,U07-01,01Q_A,N,Bless you (after sneezing).,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0393.mp3,13
394,394,RU,9.78151E+12,Russian 5,7,,,U07-01,01R_A,F,______ _______.,BudÕte zdorovy.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0394.mp3,13
395,395,RU,9.78151E+12,Russian 5,7,,,U07-01,01Q_B,N,Be attentive.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0395.mp3,7
396,396,RU,9.78151E+12,Russian 5,7,,,U07-01,01R_B,F,______ ___________.,BudÕte vnimatelÕny.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0396.mp3,7
397,397,RU,9.78151E+12,Russian 5,7,,,U07-01,01Q_C,N,Be careful.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0397.mp3,7
398,398,RU,9.78151E+12,Russian 5,7,,,U07-01,01R_C,M,______ _________.,BudÕte ostorozhny.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0398.mp3,7
399,399,RU,9.78151E+12,Russian 5,7,,,U07-01,01Q_D,N,Be ready.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0399.mp3,7
400,400,RU,9.78151E+12,Russian 5,7,,,U07-01,01R_D,M,______ ______.,BudÕte gotovy.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0400.mp3,7
401,401,RU,9.78151E+12,Russian 5,7,,,U07-02,02Q_A,N,I didnÕt notice here -- pedestrian crosswalk. (f),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0401.mp3,18
402,402,RU,9.78151E+12,Russian 5,7,,,U07-02,02R_A,F,_ __ ________ _____ __________ _______.,Ia ne zametila zdesÕ peshehodnyj perehod.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0402.mp3,18
403,403,RU,9.78151E+12,Russian 5,7,,,U07-02,02Q_B,N,I didnÕt notice here the accident took place. (f),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0403.mp3,18
404,404,RU,9.78151E+12,Russian 5,7,,,U07-02,02R_B,F,_ __ ________ _____ _________ ______.,Ia ne zametila zdesÕ proizoshla avariia.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0404.mp3,18
405,405,RU,9.78151E+12,Russian 5,7,,,U07-02,02Q_C,N,I didnÕt notice here itÕs not allowed to cross the road.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0405.mp3,18
406,406,RU,9.78151E+12,Russian 5,7,,,U07-02,02R_C,M,_ __ ________ _____ ______ __________ ______.,Ia ne zametila zdesÕ nelÕzia perehooditÕ dorogu.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0406.mp3,18
407,407,RU,9.78151E+12,Russian 5,7,,,U07-02,02Q_D,N,I didnÕt notice here itÕs not allowed to drive at high speed.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0407.mp3,18
408,408,RU,9.78151E+12,Russian 5,7,,,U07-02,02R_D,F,_ __ ________ _____ ______ ______ __ _______ ________.,Ia ne zametila zdesÕ nelÕzia voditÕ na vysokoj skorosti.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0408.mp3,18
409,409,RU,9.78151E+12,Russian 5,7,,,U07-03,03Q_A,N,IÕm simply afraid of high speed.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0409.mp3,18
410,410,RU,9.78151E+12,Russian 5,7,,,U07-03,03R_A,F,_ ______ _____ _______ ________.,Ia prosto boiusÕ vysokoj skorosti.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0410.mp3,18
411,411,RU,9.78151E+12,Russian 5,7,,,U07-03,03Q_B,N,IÕm simply afraid weÕll get charged a fine.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0411.mp3,18
412,412,RU,9.78151E+12,Russian 5,7,,,U07-03,03R_B,F,_ ______ _____ ___ _______ _____.,Ia prosto boiusÕ nam vypishut shtraf.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0412.mp3,18
413,413,RU,9.78151E+12,Russian 5,7,,,U07-03,03Q_C,N,IÕm badly afraid of high speed.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0413.mp3,18
414,414,RU,9.78151E+12,Russian 5,7,,,U07-03,03R_C,F,_ ______ _____ _______ ________.,Ia silÕno boiusÕ vysokoj skorosti.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0414.mp3,18
415,415,RU,9.78151E+12,Russian 5,7,,,U07-03,03Q_D,N,IÕm badly afraid to go there by myself.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0415.mp3,18
416,416,RU,9.78151E+12,Russian 5,7,,,U07-03,03R_D,F,_ ______ _____ _______ ____ ____.,Ia silÕno boiusÕ poehatÕ tuda odna.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0416.mp3,18
417,417,RU,9.78151E+12,Russian 5,7,,,U07-04,04Q_A,N,IÕm inattentive today.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0417.mp3,17
418,418,RU,9.78151E+12,Russian 5,7,,,U07-04,04R_A,F,_ _______ ______________.,Ia sevodnia nevnimatelÕnaia.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0418.mp3,17
419,419,RU,9.78151E+12,Russian 5,7,,,U07-04,04Q_B,N,I feel unwell today.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0419.mp3,"8,17"
420,420,RU,9.78151E+12,Russian 5,7,,,U07-04,04R_B,F,_ _______ _______ ____ ________.,Ia sevodnia nevazhno sebia chuvstvuiu.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0420.mp3,"8,17"
421,421,RU,9.78151E+12,Russian 5,7,,,U07-04,04Q_C,N,IÕm attentive today.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0421.mp3,17
422,422,RU,9.78151E+12,Russian 5,7,,,U07-04,04R_C,F,_ _______ ____________.,Ia sevodnia vnimatelÕnaia.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0422.mp3,17
423,423,RU,9.78151E+12,Russian 5,7,,,U07-04,04Q_D,N,IÕm busy today.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0423.mp3,"1,17"
424,424,RU,9.78151E+12,Russian 5,7,,,U07-04,04R_D,F,_ _______ ______.,Ia sevodnia zaniata.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0424.mp3,"1,17"
425,425,RU,9.78151E+12,Russian 5,7,,,U07-05,05Q_A,N,Here itÕs not allowed to drive a car at high speed.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0425.mp3,18
426,426,RU,9.78151E+12,Russian 5,7,,,U07-05,05R_A,F,_____ ______ ______ ______ __ _______ ________.,ZdesÕ nelÕzia voditÕ mashinu na vysokoj skorosti.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0426.mp3,18
427,427,RU,9.78151E+12,Russian 5,7,,,U07-05,05Q_B,N,Here itÕs not allowed to cross the road.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0427.mp3,18
428,428,RU,9.78151E+12,Russian 5,7,,,U07-05,05R_B,M,_____ ______ __________ ______.,ZdesÕ nelÕzia perehoditÕ dorogu.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0428.mp3,18
429,429,RU,9.78151E+12,Russian 5,7,,,U07-05,05Q_C,N,Here itÕs not allowed to park.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0429.mp3,18
430,430,RU,9.78151E+12,Russian 5,7,,,U07-05,05R_C,M,_____ ______ ___________.,ZdesÕ nelÕzia parkovatÕsia.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0430.mp3,18
431,431,RU,9.78151E+12,Russian 5,7,,,U07-05,05Q_D,N,Here itÕs not allowed to be waiting.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0431.mp3,7
432,432,RU,9.78151E+12,Russian 5,7,,,U07-05,05R_D,M,_____ ______ _____.,ZdesÕ nelÕzia zhdatÕ.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0432.mp3,7
433,433,RU,9.78151E+12,Russian 5,7,,,U07-06,06Q_A,N,I heard the driver didnÕt badly suffer.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0433.mp3,"8,18"
434,434,RU,9.78151E+12,Russian 5,7,,,U07-06,06R_A,M,"_ ______, ________ __ ______ _________.","Ia slyshal, voditelÕ ne silÕno postradal.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0434.mp3,"8,18"
435,435,RU,9.78151E+12,Russian 5,7,,,U07-06,06Q_B,N,I heard the driver didnÕt notice the red light.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0435.mp3,18
436,436,RU,9.78151E+12,Russian 5,7,,,U07-06,06R_B,M,"_ ______, ________ __ _______ _______ ____.","Ia slyshal, voditelÕ ne zametil krasnyj svet.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0436.mp3,18
437,437,RU,9.78151E+12,Russian 5,7,,,U07-06,06Q_C,N,I heard the driver didnÕt know the road rules.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0437.mp3,"8,18"
438,438,RU,9.78151E+12,Russian 5,7,,,U07-06,06R_C,M,"_ ______, ________ __ ____ _______ ________.","Ia slyshal, voditelÕ ne znal pravila dvizheniia.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0438.mp3,"8,18"
439,439,RU,9.78151E+12,Russian 5,7,,,U07-06,06Q_D,N,I heard the young driver badly suffered.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0439.mp3,"8,18"
440,440,RU,9.78151E+12,Russian 5,7,,,U07-06,06R_D,M,"_ ______, _______ ________ ______ _________.","Ia slyshal, molodoj voditelÕ silÕno postradal.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0440.mp3,"8,18"
441,441,RU,9.78151E+12,Russian 5,7,,,U07-07,07Q_A,N,"Here, weÕll not get charged a fine.",,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0441.mp3,18
442,442,RU,9.78151E+12,Russian 5,7,,,U07-07,07R_A,M,_____ ___ __ _______ _____.,ZdesÕ nam ne vypishut shtraf.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0442.mp3,18
443,443,RU,9.78151E+12,Russian 5,7,,,U07-07,07Q_B,N,"Here, weÕre not allowed to drive through.",,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0443.mp3,18
444,444,RU,9.78151E+12,Russian 5,7,,,U07-07,07R_B,M,_____ ___ ______ ________.,ZdesÕ nam nelÕzia proehatÕ.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0444.mp3,18
445,445,RU,9.78151E+12,Russian 5,7,,,U07-07,07Q_C,N,"Here, weÕre not allowed to drive at high speed.",,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0445.mp3,18
446,446,RU,9.78151E+12,Russian 5,7,,,U07-07,07R_C,F,_____ ___ ______ ______ __ _______ ________.,ZdesÕ nam nelÕzia voditÕ na vysokoj skorosti.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0446.mp3,18
447,447,RU,9.78151E+12,Russian 5,7,,,U07-07,07Q_D,N,"Here, we need to fill out an application.",,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0447.mp3,8
448,448,RU,9.78151E+12,Russian 5,7,,,U07-07,07R_D,F,_____ ___ ____ _________ ______.,ZdesÕ nam nado zapolnitÕ anketu.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0448.mp3,8
449,449,RU,9.78151E+12,Russian 5,7,,,U07-08,08Q_A,N,"Luckily, no one badly suffered.",,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0449.mp3,7
450,450,RU,9.78151E+12,Russian 5,7,,,U07-08,08R_A,F,"_ _______, _____ ______ __ _________.","K schastÕiu, nikto silÕno ne postradal.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0450.mp3,7
451,451,RU,9.78151E+12,Russian 5,7,,,U07-08,08Q_B,N,"Luckily, no one badly got late.",,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0451.mp3,7
452,452,RU,9.78151E+12,Russian 5,7,,,U07-08,08R_B,F,"_ _______, _____ ______ __ _______.","K schastÕiu, nikto silÕno ne opozdal.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0452.mp3,7
453,453,RU,9.78151E+12,Russian 5,7,,,U07-08,08Q_C,N,"Luckily, no one badly got sick.",,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0453.mp3,8
454,454,RU,9.78151E+12,Russian 5,7,,,U07-08,08R_C,F,"_ _______, _____ ______ __ _______.","K schastÕiu, nikto silÕno ne zabolel.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0454.mp3,8
455,455,RU,9.78151E+12,Russian 5,7,,,U07-08,08Q_D,N,"Luckily, no one badly got upset.",,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0455.mp3,"7,18"
456,456,RU,9.78151E+12,Russian 5,7,,,U07-08,08R_D,M,"_ _______, _____ ______ _e ___________.","K schastÕiu, nikto silÕno ne rasstroilsia.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0456.mp3,"7,18"
457,457,RU,9.78151E+12,Russian 5,8,,,U08-01,01Q_A,N,WhereÕs the gas station here?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0457.mp3,"4,14,18"
458,458,RU,9.78151E+12,Russian 5,8,,,U08-01,01R_A,M,___ _____ ____________?,Gde zdesÕ avtozapravka?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0458.mp3,"4,14,18"
459,459,RU,9.78151E+12,Russian 5,8,,,U08-01,01Q_B,N,WhereÕs the mall here?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0459.mp3,"4,16"
460,460,RU,9.78151E+12,Russian 5,8,,,U08-01,01R_B,M,___ _____ ________ _____?,Gde zdesÕ torgovij tsentr?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0460.mp3,"4,16"
461,461,RU,9.78151E+12,Russian 5,8,,,U08-01,01Q_C,N,WhereÕs the ATM here?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0461.mp3,"4,16"
462,462,RU,9.78151E+12,Russian 5,8,,,U08-01,01R_C,M,___ _____ ________?,Gde zdesÕ bankomat?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0462.mp3,"4,16"
463,463,RU,9.78151E+12,Russian 5,8,,,U08-01,01Q_D,N,WhereÕs the exit here?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0463.mp3,"4,16"
464,464,RU,9.78151E+12,Russian 5,8,,,U08-01,01R_D,M,___ _____ _____?,Gde zdesÕ vyhod?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0464.mp3,"4,16"
465,465,RU,9.78151E+12,Russian 5,8,,,U08-02,02Q_A,N,IÕm afraid I wonÕt be able to handle it.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0465.mp3,7
466,466,RU,9.78151E+12,Russian 5,8,,,U08-02,02R_A,F,"_ _____, _ __ _________.","Ia boiusÕ, ia ne spravliusÕ.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0466.mp3,7
467,467,RU,9.78151E+12,Russian 5,8,,,U08-02,02Q_B,N,IÕm afraid I will waste a lot of strength.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0467.mp3,8
468,468,RU,9.78151E+12,Russian 5,8,,,U08-02,02R_B,F,"_ _____, _ _______ _____ ___.","Ia boiusÕ, ia potrachu mnogo sil.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0468.mp3,8
469,469,RU,9.78151E+12,Russian 5,8,,,U08-02,02Q_C,N,I hope IÕll be able to handle it.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0469.mp3,8
470,470,RU,9.78151E+12,Russian 5,8,,,U08-02,02R_C,F,"_ _______, _ _________.","Ia nadeiusÕ, ia spravliusÕ.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0470.mp3,8
471,471,RU,9.78151E+12,Russian 5,8,,,U08-02,02Q_D,N,I hope I wonÕt waste a lot of time.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0471.mp3,7
472,472,RU,9.78151E+12,Russian 5,8,,,U08-02,02R_D,F,"_ _______, _ __ _______ _____ _______.","Ia nadeiusÕ, ia ne potrachu mnogo vremeni.",,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0472.mp3,7
473,473,RU,9.78151E+12,Russian 5,8,,,U08-03,03Q_A,N,I need a gas station.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0473.mp3,18
474,474,RU,9.78151E+12,Russian 5,8,,,U08-03,03R_A,F,___ _____ ____________.,Mne nuzhna avtozapravka.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0474.mp3,18
475,475,RU,9.78151E+12,Russian 5,8,,,U08-03,03Q_B,N,I need help.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0475.mp3,16
476,476,RU,9.78151E+12,Russian 5,8,,,U08-03,03R_B,M,___ _____ ______.,Mne nuzhna pomoshchÕ.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0476.mp3,16
477,477,RU,9.78151E+12,Russian 5,8,,,U08-03,03Q_C,N,I need a doctor.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0477.mp3,8
478,478,RU,9.78151E+12,Russian 5,8,,,U08-03,03R_C,M,___ _____ ____.,Mne nuzhen vrach.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0478.mp3,8
479,479,RU,9.78151E+12,Russian 5,8,,,U08-03,03Q_D,N,I need medicine.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0479.mp3,8
480,480,RU,9.78151E+12,Russian 5,8,,,U08-03,03R_D,M,___ _____ _________.,Mne nuzhno lekarstvo.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0480.mp3,8
481,481,RU,9.78151E+12,Russian 5,8,,,U08-04,04Q_A,N,YouÕll quickly get used to it. (informal),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0481.mp3,13
482,482,RU,9.78151E+12,Russian 5,8,,,U08-04,04R_A,M,__ ______ __________.,Ty bystro privykneshÕ.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0482.mp3,13
483,483,RU,9.78151E+12,Russian 5,8,,,U08-04,04Q_B,N,YouÕll soon get used to it. (informal),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0483.mp3,13
484,484,RU,9.78151E+12,Russian 5,8,,,U08-04,04R_B,M,__ _____ __________.,Ty skoro privykneshÕ.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0484.mp3,13
485,485,RU,9.78151E+12,Russian 5,8,,,U08-04,04Q_C,N,You remember this hotel.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0485.mp3,18
486,486,RU,9.78151E+12,Russian 5,8,,,U08-04,04R_C,F,__ _______ ___ ________.,Ty pomnishÕ tu gostinitsu,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0486.mp3,18
487,487,RU,9.78151E+12,Russian 5,8,,,U08-04,04Q_D,N,You know this gas station.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0487.mp3,18
488,488,RU,9.78151E+12,Russian 5,8,,,U08-04,04R_D,F,__ ______ ___ ____________.,Ty znaeshÕ tu avtozapravku.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0488.mp3,18
489,489,RU,9.78151E+12,Russian 5,8,,,U08-05,05Q_A,N,IÕm badly tired of the fuss of the city.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0489.mp3,7
490,490,RU,9.78151E+12,Russian 5,8,,,U08-05,05R_A,F,_ ______ _____ __ _____ ______.,Ia silÕno ustal ot suety goroda.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0490.mp3,7
491,491,RU,9.78151E+12,Russian 5,8,,,U08-05,05Q_B,N,IÕm badly tired of going on foot.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0491.mp3,1
492,492,RU,9.78151E+12,Russian 5,8,,,U08-05,05R_B,F,_ ______ _____ ______ ______.,Ia silÕno ustal hoditÕ peshkom.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0492.mp3,1
493,493,RU,9.78151E+12,Russian 5,8,,,U08-05,05Q_C,N,I badly want to rest.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0493.mp3,8
494,494,RU,9.78151E+12,Russian 5,8,,,U08-05,05R_C,F,_ ______ ____ _________.,Ia silÕno hochu otdohnutÕ.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0494.mp3,8
495,495,RU,9.78151E+12,Russian 5,8,,,U08-05,05Q_D,N,I badly want to sleep.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0495.mp3,8
496,496,RU,9.78151E+12,Russian 5,8,,,U08-05,05R_D,M,_ ______ ____ _____.,Ia silÕno hochu spatÕ.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0496.mp3,8
497,497,RU,9.78151E+12,Russian 5,8,,,U08-06,06Q_A,N,Can I help you? (informal),,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0497.mp3,"13,16"
498,498,RU,9.78151E+12,Russian 5,8,,,U08-06,06R_A,M,_ ____ ____ ______?,Ia mogu tebe pomochÕ?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0498.mp3,"13,16"
499,499,RU,9.78151E+12,Russian 5,8,,,U08-06,06Q_B,N,Can I call on you? (informal),,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0499.mp3,"3,10,13,16"
500,500,RU,9.78151E+12,Russian 5,8,,,U08-06,06R_B,M,_ ____ ____ _________?,Ia mogu tebia navestitÕ?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0500.mp3,"3,10,13,16"
501,501,RU,9.78151E+12,Russian 5,8,,,U08-06,06Q_C,N,Can I call you? (informal),,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0501.mp3,3
502,502,RU,9.78151E+12,Russian 5,8,,,U08-06,06R_C,M,_ ____ ____ _________?,Ia mogu tebe pozvonitÕ?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0502.mp3,3
503,503,RU,9.78151E+12,Russian 5,8,,,U08-06,06Q_D,N,Can I write you? (informal),,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0503.mp3,3
504,504,RU,9.78151E+12,Russian 5,8,,,U08-06,06R_D,M,_ ____ ____ ________?,Ia mogu tebe napisatÕ?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0504.mp3,3
505,505,RU,9.78151E+12,Russian 5,8,,,U08-07,07Q_A,N,IÕll waste a lot of time.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0505.mp3,7
506,506,RU,9.78151E+12,Russian 5,8,,,U08-07,07R_A,F,_ _______ _____ _______.,Ia potrachu mnogo vremeni.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0506.mp3,7
507,507,RU,9.78151E+12,Russian 5,8,,,U08-07,07Q_B,N,IÕll waste a lot of water.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0507.mp3,7
508,508,RU,9.78151E+12,Russian 5,8,,,U08-07,07R_B,F,_ _______ _____ ____.,Ia potrachu mnogo vody.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0508.mp3,7
509,509,RU,9.78151E+12,Russian 5,8,,,U08-07,07Q_C,N,IÕll waste a lot of strength.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0509.mp3,8
510,510,RU,9.78151E+12,Russian 5,8,,,U08-07,07R_C,F,_ _______ _____ ___.,Ia potrachu mnogo sil.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0510.mp3,8
511,511,RU,9.78151E+12,Russian 5,8,,,U08-07,07Q_D,N,IÕll waste a lot of money.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0511.mp3,11
