Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills,,
141,FR,9781797109213,French 3,6,N/A,N/A,09Q,N/A,N,I took a lot of classes.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_141.mp3,7,,
142,FR,9781797109213,French 3,6,N/A,N/A,09R,N/A,M,J’ai pris beaucoup de cours.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_142.mp3,7,,
143,FR,9781797109213,French 3,6,N/A,N/A,10Q,N/A,N,When I was a student.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_143.mp3,7,,
144,FR,9781797109213,French 3,6,N/A,N/A,10R,N/A,M,Quand j’étais étudiant.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_144.mp3,7,,
145,FR,9781797109213,French 3,6,N/A,N/A,11Q,N/A,N,Because it wasn’t easy to learn.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_145.mp3,7,,
146,FR,9781797109213,French 3,6,N/A,N/A,11R,N/A,M,Parce que ce n’était pas facile d’apprendre.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_146.mp3,7,,
147,FR,9781797109213,French 3,6,N/A,N/A,12Q,N/A,N,We’re going to have a bottle of this white wine.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_147.mp3,6,,
148,FR,9781797109213,French 3,6,N/A,N/A,12R,N/A,M,On va prendre une bouteille de ce vin blanc.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_148.mp3,6,,
149,FR,9781797109213,French 3,7,N/A,N/A,01Q,N/A,N,That’s next to the university.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_149.mp3,4,,
150,FR,9781797109213,French 3,7,N/A,N/A,01R,N/A,M,C’est à côté de l’université.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_150.mp3,4,,
151,FR,9781797109213,French 3,7,N/A,N/A,02Q,N/A,N,"Is it yours, this pen?",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_151.mp3,7,,
152,FR,9781797109213,French 3,7,N/A,N/A,02R,N/A,F,"C’est à toi, ce stylo?",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_152.mp3,7,,
153,FR,9781797109213,French 3,7,N/A,N/A,03Q,N/A,N,It’s mine.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_153.mp3,16,,
154,FR,9781797109213,French 3,7,N/A,N/A,03R,N/A,F,C’est à moi.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_154.mp3,16,,
155,FR,9781797109213,French 3,7,N/A,N/A,04Q,N/A,N,That one is really good.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_155.mp3,7,,
156,FR,9781797109213,French 3,7,N/A,N/A,04R,N/A,F,Celui-là est vraiment bon.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_156.mp3,7,,
157,FR,9781797109213,French 3,7,N/A,N/A,05Q,N/A,N,Have you seen my papers?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_157.mp3,"7,16",,
158,FR,9781797109213,French 3,7,N/A,N/A,05R,N/A,F,Est-ce que tu as vu mes papiers?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_158.mp3,"7,16",,
159,FR,9781797109213,French 3,7,N/A,N/A,06Q,N/A,N,It’s next to your papers.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_159.mp3,7,,
160,FR,9781797109213,French 3,7,N/A,N/A,06R,N/A,F,Il est à côté de tes papiers.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_160.mp3,7,,
161,FR,9781797109213,French 3,7,N/A,N/A,07Q,N/A,N,They were under a book.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_161.mp3,7,,
162,FR,9781797109213,French 3,7,N/A,N/A,07R,N/A,M,Ils étaient sous un livre.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_162.mp3,7,,
163,FR,9781797109213,French 3,7,N/A,N/A,08Q,N/A,N,I learned English online.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_163.mp3,"3,15",,
164,FR,9781797109213,French 3,7,N/A,N/A,08R,N/A,M,J’ai appris l’anglais en ligne.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_164.mp3,"3,15",,
165,FR,9781797109213,French 3,7,N/A,N/A,09Q,N/A,N,I haven’t seen him for a long time.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_165.mp3,17,,
166,FR,9781797109213,French 3,7,N/A,N/A,09R,N/A,M,Je ne l’ai pas vu depuis longtemps.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_166.mp3,17,,
167,FR,9781797109213,French 3,7,N/A,N/A,10Q,N/A,N,"Can I have the check, please?",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_167.mp3,"6,16",,
168,FR,9781797109213,French 3,7,N/A,N/A,10R,N/A,M,"Je peux avoir l’addition, s’il vous plaît?",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_168.mp3,"6,16",,
169,FR,9781797109213,French 3,7,N/A,N/A,11Q,N/A,N,What if we ordered that one?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_169.mp3,6,,
170,FR,9781797109213,French 3,7,N/A,N/A,11R,N/A,M,Si on commandait celui-là?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_170.mp3,6,,
171,FR,9781797109213,French 3,8,N/A,N/A,01Q,N/A,N,"Medium-rare, thanks.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_171.mp3,"6,16",,
172,FR,9781797109213,French 3,8,N/A,N/A,01R,N/A,F,"À point, merci.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_172.mp3,"6,16",,
173,FR,9781797109213,French 3,8,N/A,N/A,02Q,N/A,N,That’s the specialty!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_173.mp3,6,,
174,FR,9781797109213,French 3,8,N/A,N/A,02R,N/A,F,C’est la spécialité!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_174.mp3,6,,
175,FR,9781797109213,French 3,8,N/A,N/A,03Q,N/A,N,This one and that one are very good.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_175.mp3,7,,
176,FR,9781797109213,French 3,8,N/A,N/A,03R,N/A,F,Celui-ci et celui-là sont très bons.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_176.mp3,7,,
177,FR,9781797109213,French 3,8,N/A,N/A,04Q,N/A,N,Do I know him?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_177.mp3,"10,16",,
178,FR,9781797109213,French 3,8,N/A,N/A,04R,N/A,F,Est-ce que je le connais?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_178.mp3,"10,16",,
179,FR,9781797109213,French 3,8,N/A,N/A,05Q,N/A,N,They were under a newspaper.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_179.mp3,7,,
180,FR,9781797109213,French 3,8,N/A,N/A,05R,N/A,F,Ils étaient sous un journal.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_180.mp3,7,,
181,FR,9781797109213,French 3,8,N/A,N/A,06Q,N/A,N,I remember this trip.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_181.mp3,18,,
182,FR,9781797109213,French 3,8,N/A,N/A,06R,N/A,M,Je me souviens de ce voyage.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_182.mp3,18,,
183,FR,9781797109213,French 3,8,N/A,N/A,07Q,N/A,N,I’m going to make the reservations online.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_183.mp3,"3,6,18",,
184,FR,9781797109213,French 3,8,N/A,N/A,07R,N/A,M,Je vais faire les réservations en ligne.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_184.mp3,"3,6,18",,
185,FR,9781797109213,French 3,8,N/A,N/A,08Q,N/A,N,I want to talk to you about the vacation.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_185.mp3,18,,
186,FR,9781797109213,French 3,8,N/A,N/A,08R,N/A,M,Je veux te parler des vacances.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_186.mp3,18,,
187,FR,9781797109213,French 3,8,N/A,N/A,09Q,N/A,N,We went there four years ago.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_187.mp3,"12,17,18",,
188,FR,9781797109213,French 3,8,N/A,N/A,09R,N/A,M,On y est allés il y a quatre ans.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_188.mp3,"12,17,18",,
189,FR,9781797109213,French 3,8,N/A,N/A,10Q,N/A,N,What do you recommend to us?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_189.mp3,"6,16",,
190,FR,9781797109213,French 3,8,N/A,N/A,10R,N/A,M,Qu’est-ce que vous nous recommandez?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_190.mp3,"6,16",,
191,FR,9781797109213,French 3,8,N/A,N/A,11Q,N/A,N,You don’t remember?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_191.mp3,7,,
192,FR,9781797109213,French 3,8,N/A,N/A,11R,N/A,F,Tu ne te souviens pas?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_192.mp3,7,,
193,FR,9781797109213,French 3,8,N/A,N/A,12Q,N/A,N,Are you having the rib steak?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_193.mp3,6,,
194,FR,9781797109213,French 3,8,N/A,N/A,12R,N/A,F,Tu prends l’entrecôte?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_194.mp3,6,,
195,FR,9781797109213,French 3,9,N/A,N/A,01Q,N/A,N,It was near a very good restaurant.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_195.mp3,6,,
196,FR,9781797109213,French 3,9,N/A,N/A,01R,N/A,F,C’était près d’un très bon restaurant.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_196.mp3,6,,
197,FR,9781797109213,French 3,9,N/A,N/A,02Q,N/A,N,What’s the hotel called?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_197.mp3,18,,
198,FR,9781797109213,French 3,9,N/A,N/A,02R,N/A,F,Comment s’appelle l’hôtel?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_198.mp3,18,,
199,FR,9781797109213,French 3,9,N/A,N/A,03Q,N/A,N,Did you book the plane tickets?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_199.mp3,18,,
200,FR,9781797109213,French 3,9,N/A,N/A,03R,N/A,F,Est-ce que tu as pris les billets d’avion?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_200.mp3,18,,
201,FR,9781797109213,French 3,9,N/A,N/A,04Q,N/A,N,It’s necessary to book them.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_201.mp3,"16,18",,
202,FR,9781797109213,French 3,9,N/A,N/A,04R,N/A,M,Il faut les prendre.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_202.mp3,"16,18",,
203,FR,9781797109213,French 3,9,N/A,N/A,05Q,N/A,N,I booked the plane tickets.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_203.mp3,18,,
204,FR,9781797109213,French 3,9,N/A,N/A,05R,N/A,M,J’ai pris les billets d’avion.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_204.mp3,18,,
205,FR,9781797109213,French 3,9,N/A,N/A,06Q,N/A,N,I saw them a minute ago.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_205.mp3,7,,
206,FR,9781797109213,French 3,9,N/A,N/A,06R,N/A,M,Je les ai vus il y a une minute.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_206.mp3,7,,
207,FR,9781797109213,French 3,9,N/A,N/A,07Q,N/A,N,I didn’t have my credit cards on me.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_207.mp3,"11,14,16",,
208,FR,9781797109213,French 3,9,N/A,N/A,07R,N/A,M,Je n’avais pas mes cartes de crédit sur moi.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_208.mp3,"11,14,16",,
209,FR,9781797109213,French 3,9,N/A,N/A,08Q,N/A,N,We made the reservations this morning.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_209.mp3,18,,
210,FR,9781797109213,French 3,9,N/A,N/A,08R,N/A,M,On a fait les réservations ce matin.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_210.mp3,18,,
211,FR,9781797109213,French 3,9,N/A,N/A,09Q,N/A,N,I’m going to book them tomorrow.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_211.mp3,17,,
212,FR,9781797109213,French 3,9,N/A,N/A,09R,N/A,F,Je vais les prendre demain.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_212.mp3,17,,
213,FR,9781797109213,French 3,9,N/A,N/A,10Q,N/A,N,I would quite like to go back there.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_213.mp3,18,,
214,FR,9781797109213,French 3,9,N/A,N/A,10R,N/A,F,J’aimerais bien y retourner.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_214.mp3,18,,
215,FR,9781797109213,French 3,10,N/A,N/A,01Q,N/A,N,It’s really a magnificent studio.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_215.mp3,7,,
216,FR,9781797109213,French 3,10,N/A,N/A,01R,N/A,F,C’est vraiment un atelier magnifique.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_216.mp3,7,,
217,FR,9781797109213,French 3,10,N/A,N/A,02Q,N/A,N,What’s that called?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_217.mp3,16,,
218,FR,9781797109213,French 3,10,N/A,N/A,02R,N/A,F,Comment ça s’appelle?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_218.mp3,16,,
219,FR,9781797109213,French 3,10,N/A,N/A,03Q,N/A,N,In the front of the studio.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_219.mp3,7,,
220,FR,9781797109213,French 3,10,N/A,N/A,03R,N/A,F,Devant l’atelier.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_220.mp3,7,,
221,FR,9781797109213,French 3,10,N/A,N/A,04Q,N/A,N,Do you park in the back?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_221.mp3,4,,
222,FR,9781797109213,French 3,10,N/A,N/A,04R,N/A,M,Est-ce que tu te gares derrière?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_222.mp3,4,,
223,FR,9781797109213,French 3,10,N/A,N/A,05Q,N/A,N,We should make them soon.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_223.mp3,7,,
224,FR,9781797109213,French 3,10,N/A,N/A,05R,N/A,M,Il faudrait les faire bientôt.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_224.mp3,7,,
225,FR,9781797109213,French 3,10,N/A,N/A,06Q,N/A,N,We should talk again about this trip.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_225.mp3,18,,
226,FR,9781797109213,French 3,10,N/A,N/A,06R,N/A,M,Il faudrait reparler de ce voyage.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_226.mp3,18,,
227,FR,9781797109213,French 3,10,N/A,N/A,07Q,N/A,N,There’s a small yard in the back.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_227.mp3,7,,
228,FR,9781797109213,French 3,10,N/A,N/A,07R,N/A,M,Il y a un petit jardin derrière.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_228.mp3,7,,
229,FR,9781797109213,French 3,10,N/A,N/A,08Q,N/A,N,I have them on me.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_229.mp3,7,,
230,FR,9781797109213,French 3,10,N/A,N/A,08R,N/A,M,Je les ai sur moi.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_230.mp3,7,,
231,FR,9781797109213,French 3,10,N/A,N/A,09Q,N/A,N,I wasn’t finding their website.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_231.mp3,"3,16",,
232,FR,9781797109213,French 3,10,N/A,N/A,09R,N/A,F,Je ne trouvais pas leur site web.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_232.mp3,"3,16",,
233,FR,9781797109213,French 3,10,N/A,N/A,10Q,N/A,N,Now it’s working again!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_233.mp3,7,,
234,FR,9781797109213,French 3,10,N/A,N/A,10R,N/A,F,Maintenant ça remarche!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_234.mp3,7,,
235,FR,9781797109213,French 3,10,N/A,N/A,11Q,N/A,N,We are going to The Castle?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_235.mp3,1,,
236,FR,9781797109213,French 3,10,N/A,N/A,11R,N/A,F,On va au Château?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_236.mp3,1,,
237,FR,9781797109213,French 3,10,N/A,N/A,12Q,N/A,N,Where do you park?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_237.mp3,"4,16",,
238,FR,9781797109213,French 3,10,N/A,N/A,12R,N/A,F,Où est-ce que tu te gares?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_238.mp3,"4,16",,
239,FR,9781797109213,French 3,10,N/A,N/A,13Q,N/A,N,You know what that’s called?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_239.mp3,7,,
240,FR,9781797109213,French 3,10,N/A,N/A,13R,N/A,F,Tu sais comment ça s’appelle?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_240.mp3,7,,
241,FR,9781797109213,French 3,11,N/A,N/A,01Q,N/A,N,"Ah, awesome, thanks!",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_241.mp3,"7,16",,
242,FR,9781797109213,French 3,11,N/A,N/A,01R,N/A,M,"Ah, génial, merci!",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_242.mp3,"7,16",,
243,FR,9781797109213,French 3,11,N/A,N/A,02Q,N/A,N,"Ah, here it is!",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_243.mp3,7,,
244,FR,9781797109213,French 3,11,N/A,N/A,02R,N/A,M,"Ah, le voilà!",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_244.mp3,7,,
245,FR,9781797109213,French 3,11,N/A,N/A,03Q,N/A,N,Are you interested?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_245.mp3,7,,
246,FR,9781797109213,French 3,11,N/A,N/A,03R,N/A,M,Ça te dit?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_246.mp3,7,,
247,FR,9781797109213,French 3,11,N/A,N/A,04Q,N/A,N,That’s really awesome!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_247.mp3,7,,
248,FR,9781797109213,French 3,11,N/A,N/A,04R,N/A,M,C’est vraiment génial!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_248.mp3,7,,
249,FR,9781797109213,French 3,11,N/A,N/A,05Q,N/A,N,"What’s more, the public garden is awesome!",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_249.mp3,1,,
250,FR,9781797109213,French 3,11,N/A,N/A,05R,N/A,M,"En plus, le jardin public est génial!",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_250.mp3,1,,
251,FR,9781797109213,French 3,11,N/A,N/A,06Q,N/A,N,Do you accept the Visa card?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_251.mp3,"11,14,16",,
252,FR,9781797109213,French 3,11,N/A,N/A,06R,N/A,F,Est-ce que vous acceptez la carte Visa?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_252.mp3,"11,14,16",,
253,FR,9781797109213,French 3,11,N/A,N/A,07Q,N/A,N,"It’s here, somewhere.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_253.mp3,4,,
254,FR,9781797109213,French 3,11,N/A,N/A,07R,N/A,F,"Il est ici, quelque part.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_254.mp3,4,,
255,FR,9781797109213,French 3,11,N/A,N/A,08Q,N/A,N,I’m looking for my glasses.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_255.mp3,"7,16",,
256,FR,9781797109213,French 3,11,N/A,N/A,08R,N/A,F,Je cherche mes lunettes.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_256.mp3,"7,16",,
257,FR,9781797109213,French 3,11,N/A,N/A,09Q,N/A,N,I think that they accept it.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_257.mp3,7,,
258,FR,9781797109213,French 3,11,N/A,N/A,09R,N/A,F,Je crois qu’ils l’acceptent.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_258.mp3,7,,
259,FR,9781797109213,French 3,11,N/A,N/A,10Q,N/A,N,I’m going to contact them today.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_259.mp3,"3,16",,
260,FR,9781797109213,French 3,11,N/A,N/A,10R,N/A,F,Je vais les contacter aujourd’hui.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_260.mp3,"3,16",,
261,FR,9781797109213,French 3,11,N/A,N/A,11Q,N/A,N,I still want to book the tickets.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_261.mp3,18,,
262,FR,9781797109213,French 3,11,N/A,N/A,11R,N/A,M,Je veux toujours prendre les billets.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_262.mp3,18,,
263,FR,9781797109213,French 3,11,N/A,N/A,12Q,N/A,N,What if we went to take a walk?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_263.mp3,1,,
264,FR,9781797109213,French 3,11,N/A,N/A,12R,N/A,M,Si on allait faire un tour?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_264.mp3,1,,
265,FR,9781797109213,French 3,11,N/A,N/A,13Q,N/A,N,You have a great apartment.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_265.mp3,7,,
266,FR,9781797109213,French 3,11,N/A,N/A,13R,N/A,M,Tu as un super appartement.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_266.mp3,7,,
267,FR,9781797109213,French 3,11,N/A,N/A,14Q,N/A,N,You can contact them online.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_267.mp3,3,,
268,FR,9781797109213,French 3,11,N/A,N/A,14R,N/A,M,Tu peux les contacter en ligne.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_268.mp3,3,,
269,FR,9781797109213,French 3,12,N/A,N/A,01Q,N/A,N,In the shade or in the sun?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_269.mp3,"6,16",,
270,FR,9781797109213,French 3,12,N/A,N/A,01R,N/A,M,À l’ombre ou au soleil?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_270.mp3,"6,16",,
271,FR,9781797109213,French 3,12,N/A,N/A,02Q,N/A,N,Are you interested?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_271.mp3,7,,
272,FR,9781797109213,French 3,12,N/A,N/A,02R,N/A,F,Ça vous dit?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_272.mp3,7,,
273,FR,9781797109213,French 3,12,N/A,N/A,03Q,N/A,N,"Inside, in the shade, that’s fine with me.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_273.mp3,6,,
274,FR,9781797109213,French 3,12,N/A,N/A,03R,N/A,F,"Dedans, à l’ombre, ça me va.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_274.mp3,6,,
275,FR,9781797109213,French 3,12,N/A,N/A,04Q,N/A,N,It would be necessary to contact them online.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_275.mp3,"3,16",,
276,FR,9781797109213,French 3,12,N/A,N/A,04R,N/A,F,Il faudrait les contacter en ligne.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_276.mp3,"3,16",,
277,FR,9781797109213,French 3,12,N/A,N/A,05Q,N/A,N,There’s a pretty table over there.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_277.mp3,6,,
278,FR,9781797109213,French 3,12,N/A,N/A,05R,N/A,F,Il y a une jolie table là-bas.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_278.mp3,6,,
279,FR,9781797109213,French 3,12,N/A,N/A,06Q,N/A,N,They accept credit cards.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_279.mp3,"11,14",,
280,FR,9781797109213,French 3,12,N/A,N/A,06R,N/A,F,Ils acceptent les cartes de crédit.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_280.mp3,"11,14",,
