"Control#","Rec #","Lang","Source Audio ISBN-13","Course","Unit Num","Start","Stop","QZ #","line #","Speaker","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"134","134","BP","9781442374140","BrazPort 1","7","","","05R","","F","Eu não quero nada.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_134.mp3","6,9,14"
"135","135","BP","9781442374140","BrazPort 1","7","","","06Q","","N","Let’s go.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_135.mp3","7"
"136","136","BP","9781442374140","BrazPort 1","7","","","06R","","F","Vamos.","1","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_136.mp3","7"
"137","137","BP","9781442374140","BrazPort 1","7","","","07Q","","N","No, I don’t want to eat anything.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_137.mp3","6"
"138","138","BP","9781442374140","BrazPort 1","7","","","07R","","F","Não, eu não quero comer nada.","6","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_138.mp3","6"
"139","139","BP","9781442374140","BrazPort 1","7","","","08Q","","N","Do you want a cheese bun?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_139.mp3","6"
"140","140","BP","9781442374140","BrazPort 1","7","","","08R","","M","Você quer um pão de queijo?","6","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_140.mp3","6"
"141","141","BP","9781442374140","BrazPort 1","7","","","09Q","","N","Where do you want to eat?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_141.mp3","4,6"
"142","142","BP","9781442374140","BrazPort 1","7","","","09R","","M","Onde você quer comer?","4","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_142.mp3","4,6"
"143","143","BP","9781442374140","BrazPort 1","7","","","10Q","","N","I want to eat something.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_143.mp3","6"
"144","144","BP","9781442374140","BrazPort 1","7","","","10R","","F","Eu quero comer alguma coisa.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_144.mp3","6"
"145","145","BP","9781442374140","BrazPort 1","8","","","01Q","","N","Let’s go to the hotel.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_145.mp3","1,18"
"146","146","BP","9781442374140","BrazPort 1","8","","","01R","","F","Vamos ao hotel.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_146.mp3","1,18"
"147","147","BP","9781442374140","BrazPort 1","8","","","02Q","","N","I want to drink something.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_147.mp3","6"
"148","148","BP","9781442374140","BrazPort 1","8","","","02R","","M","Eu quero beber alguma coisa.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_148.mp3","6"
"149","149","BP","9781442374140","BrazPort 1","8","","","03Q","","N","I want a bottled water.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_149.mp3","6,14"
"150","150","BP","9781442374140","BrazPort 1","8","","","03R","","M","Eu quero uma água mineral.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_150.mp3","6,14"
"151","151","BP","9781442374140","BrazPort 1","8","","","04Q","","N","How much does it cost?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_151.mp3","12,14,16"
"152","152","BP","9781442374140","BrazPort 1","8","","","04R","","F","Quanto custa?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_152.mp3","12,14,16"
"153","153","BP","9781442374140","BrazPort 1","8","","","05Q","","N","Where is the bathroom located?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_153.mp3","4,9,16"
"154","154","BP","9781442374140","BrazPort 1","8","","","05R","","F","Onde fica o banheiro?","4","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_154.mp3","4,9,16"
"155","155","BP","9781442374140","BrazPort 1","8","","","06Q","","N","I don’t know what I want to drink.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_155.mp3","6,7"
"156","156","BP","9781442374140","BrazPort 1","8","","","06R","","M","Eu não sei o que eu quero beber.","7","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_156.mp3","6,7"
"157","157","BP","9781442374140","BrazPort 1","8","","","07Q","","N","With ice or without ice?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_157.mp3","6,9"
"158","158","BP","9781442374140","BrazPort 1","8","","","07R","","F","Com gelo ou sem gelo?","5","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_158.mp3","6,9"
"159","159","BP","9781442374140","BrazPort 1","8","","","08Q","","N","Yes, I do.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_159.mp3","7,13"
"160","160","BP","9781442374140","BrazPort 1","8","","","08R","","F","Sim, quero.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_160.mp3","7,13"
"161","161","BP","9781442374140","BrazPort 1","8","","","09Q","","N","Don’t know.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_161.mp3","7"
"162","162","BP","9781442374140","BrazPort 1","8","","","09R","","M","Não sei.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_162.mp3","7"
"163","163","BP","9781442374140","BrazPort 1","8","","","10Q","","N","Let’s go to drink two bottled waters.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_163.mp3","6,12"
"164","164","BP","9781442374140","BrazPort 1","8","","","10R","","M","Vamos beber duas águas minerais.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_164.mp3","6,12"
"165","165","BP","9781442374140","BrazPort 1","9","","","01Q","","N","Only one minute?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_165.mp3","4,12"
"166","166","BP","9781442374140","BrazPort 1","9","","","01R","","M","Só um minuto?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_166.mp3","4,12"
"167","167","BP","9781442374140","BrazPort 1","9","","","02Q","","N","Only a little.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_167.mp3","7,12"
"168","168","BP","9781442374140","BrazPort 1","9","","","02R","","M","Só um pouco.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_168.mp3","7,12"
"169","169","BP","9781442374140","BrazPort 1","9","","","03Q","","N","We’re going to the restaurant.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_169.mp3","6"
"170","170","BP","9781442374140","BrazPort 1","9","","","03R","","M","Nós vamos ao restaurante.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_170.mp3","6"
"171","171","BP","9781442374140","BrazPort 1","9","","","04Q","","N","I’m going.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_171.mp3","7,18"
"172","172","BP","9781442374140","BrazPort 1","9","","","04R","","F","Eu vou.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_172.mp3","7,18"
"173","173","BP","9781442374140","BrazPort 1","9","","","05Q","","N","To where?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_173.mp3","4,18"
"174","174","BP","9781442374140","BrazPort 1","9","","","05R","","M","Aonde?","1","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_174.mp3","4,18"
"175","175","BP","9781442374140","BrazPort 1","9","","","06Q","","N","Are you going?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_175.mp3","4,18"
"176","176","BP","9781442374140","BrazPort 1","9","","","06R","","F","Você vai?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_176.mp3","4,18"
"177","177","BP","9781442374140","BrazPort 1","9","","","07Q","","N","You’re not going to pay.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_177.mp3","11,14"
"178","178","BP","9781442374140","BrazPort 1","9","","","07R","","M","Você não vai pagar.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_178.mp3","11,14"
"179","179","BP","9781442374140","BrazPort 1","9","","","08Q","","N","It’s a lot of money.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_179.mp3","11,14"
"180","180","BP","9781442374140","BrazPort 1","9","","","08R","","F","É muito dinheiro.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_180.mp3","11,14"
"181","181","BP","9781442374140","BrazPort 1","9","","","09Q","","N","How much time do you have?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_181.mp3","14,17"
"182","182","BP","9781442374140","BrazPort 1","9","","","09R","","M","Quanto tempo você tem?","4","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_182.mp3","14,17"
"183","183","BP","9781442374140","BrazPort 1","9","","","10Q","","N","It’s nothing.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_183.mp3","7"
"184","184","BP","9781442374140","BrazPort 1","9","","","10R","","M","Não é nada.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_184.mp3","7"
"185","185","BP","9781442374140","BrazPort 1","10","","","01Q","","N","How are you?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_185.mp3","10,13"
"186","186","BP","9781442374140","BrazPort 1","10","","","01R","","M","Como vai?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_186.mp3","10,13"
"187","187","BP","9781442374140","BrazPort 1","10","","","02Q","","N","I like to eat.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_187.mp3","6"
"188","188","BP","9781442374140","BrazPort 1","10","","","02R","","M","Eu gosto de comer.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_188.mp3","6"
"189","189","BP","9781442374140","BrazPort 1","10","","","03Q","","N","I like it.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_189.mp3","7"
"190","190","BP","9781442374140","BrazPort 1","10","","","03R","","F","Gosto.","1","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_190.mp3","7"
"191","191","BP","9781442374140","BrazPort 1","10","","","04Q","","N","I’m going to the United States.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_191.mp3","9,18"
"192","192","BP","9781442374140","BrazPort 1","10","","","04R","","M","Eu vou aos Estados Unidos.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_192.mp3","9,18"
"193","193","BP","9781442374140","BrazPort 1","10","","","05Q","","N","You’re welcome.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_193.mp3","7,13"
"194","194","BP","9781442374140","BrazPort 1","10","","","05R","","F","De nada.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_194.mp3","7,13"
"195","195","BP","9781442374140","BrazPort 1","10","","","06Q","","N","Hi.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_195.mp3","10,16"
"196","196","BP","9781442374140","BrazPort 1","10","","","06R","","M","Oi.","1","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_196.mp3","10,16"
"197","197","BP","9781442374140","BrazPort 1","10","","","07Q","","N","I don’t like smoothies.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_197.mp3","6,9"
"198","198","BP","9781442374140","BrazPort 1","10","","","07R","","F","Eu não gosto de vitaminas.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_198.mp3","6,9"
"199","199","BP","9781442374140","BrazPort 1","10","","","08Q","","N","Why?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_199.mp3","7"
"200","200","BP","9781442374140","BrazPort 1","10","","","08R","","F","Por quê?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_200.mp3","7"
"201","201","BP","9781442374140","BrazPort 1","10","","","09Q","","N","Here you have eleven reals.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_201.mp3","11,12"
"202","202","BP","9781442374140","BrazPort 1","10","","","09R","","F","Aqui você tem onze reais.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_202.mp3","11,12"
"203","203","BP","9781442374140","BrazPort 1","10","","","10Q","","N","Two smoothies don’t cost anything.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_203.mp3","6,12,14"
"204","204","BP","9781442374140","BrazPort 1","10","","","10R","","F","Duas vitaminas não custam nada.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_204.mp3","6,12,14"
"205","205","BP","9781442374140","BrazPort 1","11","","","01Q","","N","There are very good smoothies.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_205.mp3","6,9"
"206","206","BP","9781442374140","BrazPort 1","11","","","01R","","M","Há vitaminas muito boas.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_206.mp3","6,9"
"207","207","BP","9781442374140","BrazPort 1","11","","","02Q","","N","I’m going to buy many things.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_207.mp3","1,14"
"208","208","BP","9781442374140","BrazPort 1","11","","","02R","","F","Eu vou comprar muitas coisas.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_208.mp3","1,14"
"209","209","BP","9781442374140","BrazPort 1","11","","","03Q","","N","What are you going to buy?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_209.mp3","14"
"210","210","BP","9781442374140","BrazPort 1","11","","","03R","","M","O que você vai comprar?","4","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_210.mp3","14"
"211","211","BP","9781442374140","BrazPort 1","11","","","04Q","","N","There are good things over there.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_211.mp3","4,14"
"212","212","BP","9781442374140","BrazPort 1","11","","","04R","","F","Há coisas boas lá.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_212.mp3","4,14"
"213","213","BP","9781442374140","BrazPort 1","11","","","05Q","","N","You can buy things.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_213.mp3","1,14"
"214","214","BP","9781442374140","BrazPort 1","11","","","05R","","M","Você pode comprar coisas.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_214.mp3","1,14"
"215","215","BP","9781442374140","BrazPort 1","11","","","06Q","","N","Do you like Brazil?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_215.mp3","18"
"216","216","BP","9781442374140","BrazPort 1","11","","","06R","","M","Você gosta do Brasil?","4","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_216.mp3","18"
"217","217","BP","9781442374140","BrazPort 1","11","","","07Q","","N","Not many.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_217.mp3","9"
"218","218","BP","9781442374140","BrazPort 1","11","","","07R","","F","Não muitos.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_218.mp3","9"
"219","219","BP","9781442374140","BrazPort 1","12","","","01Q","","N","At what time?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_219.mp3","16,17"
"220","220","BP","9781442374140","BrazPort 1","12","","","01R","","M","A que horas?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_220.mp3","16,17"
"221","221","BP","9781442374140","BrazPort 1","12","","","02Q","","N","Why not?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_221.mp3","7,16"
"222","222","BP","9781442374140","BrazPort 1","12","","","02R","","F","Por que não?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_222.mp3","7,16"
"223","223","BP","9781442374140","BrazPort 1","12","","","03Q","","N","There’s not much time.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_223.mp3","9,17"
"224","224","BP","9781442374140","BrazPort 1","12","","","03R","","M","Não há muito tempo.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_224.mp3","9,17"
"225","225","BP","9781442374140","BrazPort 1","12","","","04Q","","N","Not me.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_225.mp3","7"
"226","226","BP","9781442374140","BrazPort 1","12","","","04R","","M","Eu não.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_226.mp3","7"
"227","227","BP","9781442374140","BrazPort 1","12","","","05Q","","N","If you wish.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_227.mp3","13"
"228","228","BP","9781442374140","BrazPort 1","12","","","05R","","M","Se você quiser.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_228.mp3","13"
"229","229","BP","9781442374140","BrazPort 1","12","","","06Q","","N","Not today.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_229.mp3","17"
"230","230","BP","9781442374140","BrazPort 1","12","","","06R","","F","Hoje não.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_230.mp3","17"
"231","231","BP","9781442374140","BrazPort 1","13","","","01Q","","N","I want to buy two cafezinhos.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_231.mp3","6,12,14"
"232","232","BP","9781442374140","BrazPort 1","13","","","01R","","F","Eu quero comprar dois cafezinhos.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_232.mp3","6,12,14"
"233","233","BP","9781442374140","BrazPort 1","13","","","02Q","","N","Two cafezinhos cost a lot.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_233.mp3","6,12,14"
"234","234","BP","9781442374140","BrazPort 1","13","","","02R","","F","Dois cafezinhos custam muito.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_234.mp3","6,12,14"
"235","235","BP","9781442374140","BrazPort 1","13","","","03Q","","N","I can pay for the cafezinhos.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_235.mp3","6,11,14"
"236","236","BP","9781442374140","BrazPort 1","13","","","03R","","M","Eu posso pagar os cafezinhos.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_236.mp3","6,11,14"
"237","237","BP","9781442374140","BrazPort 1","13","","","04Q","","N","You drink one and I drink one.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_237.mp3","6,12"
"238","238","BP","9781442374140","BrazPort 1","13","","","04R","","M","Você bebe um e eu bebo um.","7","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_238.mp3","6,12"
"239","239","BP","9781442374140","BrazPort 1","13","","","05Q","","N","At a quarter past eleven.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_239.mp3","12,17"
"240","240","BP","9781442374140","BrazPort 1","13","","","05R","","M","Às onze e quinze.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_240.mp3","12,17"
"241","241","BP","9781442374140","BrazPort 1","13","","","06Q","","N","At noon?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_241.mp3","17"
"242","242","BP","9781442374140","BrazPort 1","13","","","06R","","F","Ao meio-dia?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_242.mp3","17"
"243","243","BP","9781442374140","BrazPort 1","13","","","07Q","","N","Not now.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_243.mp3","17"
"244","244","BP","9781442374140","BrazPort 1","13","","","07R","","M","Agora não.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_244.mp3","17"
"245","245","BP","9781442374140","BrazPort 1","13","","","08Q","","N","At a quarter to eight.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_245.mp3","12,17"
"246","246","BP","9781442374140","BrazPort 1","13","","","08R","","F","Às quinze para as oito.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_246.mp3","12,17"
"247","247","BP","9781442374140","BrazPort 1","13","","","09Q","","N","Don’t like it much, no.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_247.mp3","6,9"
"248","248","BP","9781442374140","BrazPort 1","13","","","09R","","M","Não gosto muito, não.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_248.mp3","6,9"
"249","249","BP","9781442374140","BrazPort 1","13","","","10Q","","N","How many things?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_249.mp3","9,14"
"250","250","BP","9781442374140","BrazPort 1","13","","","10R","","M","Quantas coisas?","2","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_250.mp3","9,14"
"251","251","BP","9781442374140","BrazPort 1","13","","","11Q","","N","You don’t eat much.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_251.mp3","6"
"252","252","BP","9781442374140","BrazPort 1","13","","","11R","","F","Você não come muito.","4","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_252.mp3","6"
"253","253","BP","9781442374140","BrazPort 1","13","","","12Q","","N","Until tomorrow.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_253.mp3","7,17"
"254","254","BP","9781442374140","BrazPort 1","13","","","12R","","F","Até amanhã.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_254.mp3","7,17"
"255","255","BP","9781442374140","BrazPort 1","14","","","01Q","","N","What time is it?","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_255.mp3","17"
"256","256","BP","9781442374140","BrazPort 1","14","","","01R","","F","Que horas são?","3","Q","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_256.mp3","17"
"257","257","BP","9781442374140","BrazPort 1","14","","","02Q","","N","You eat little.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_257.mp3","6,12"
"258","258","BP","9781442374140","BrazPort 1","14","","","02R","","F","Você come pouco.","3","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_258.mp3","6,12"
"259","259","BP","9781442374140","BrazPort 1","14","","","03Q","","N","It’s a quarter to noon.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_259.mp3","12,17"
"260","260","BP","9781442374140","BrazPort 1","14","","","03R","","F","São quinze para o meio-dia.","5","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_260.mp3","12,17"
"261","261","BP","9781442374140","BrazPort 1","14","","","04Q","","N","Me too.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_261.mp3","7"
"262","262","BP","9781442374140","BrazPort 1","14","","","04R","","F","Eu também.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_262.mp3","7"
"263","263","BP","9781442374140","BrazPort 1","14","","","05Q","","N","I don’t have time for that now.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_263.mp3","1,17"
"264","264","BP","9781442374140","BrazPort 1","14","","","05R","","M","Eu não tenho tempo para isso agora.","7","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_264.mp3","1,17"
"265","265","BP","9781442374140","BrazPort 1","14","","","06Q","","N","It’s early.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_265.mp3","7,17"
"266","266","BP","9781442374140","BrazPort 1","14","","","06R","","F","É cedo.","2","S","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_266.mp3","7,17"
"267","267","BP","9781442374140","BrazPort 1","14","","","07Q","","N","It’s late.","","","Port (Braz) 1, Units 1 - 30 (2014)","9781442374980_Brazilian_Portuguese_1_QZ_267.mp3","7,17"
