Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,Cluster,QZ #,Speaker,Cue,Snippet Name,Skills
444,444,GR,978-1-4423-7056-2,German 4,7,,,U07-08,08R_B,F,Seit der Wiedervereinigung hat man viele Kirchen restauriert.,9781442370562_German_4_QZ_0444.mp3,"12,20"
445,445,GR,978-1-4423-7056-2,German 4,7,,,U07-08,08Q_C,N,Since the Reunification one has restored the old city.,9781442370562_German_4_QZ_0445.mp3,20
446,446,GR,978-1-4423-7056-2,German 4,7,,,U07-08,08R_C,M,Seit der Wiedervereinigung hat man die Altstadt restauriert.,9781442370562_German_4_QZ_0446.mp3,20
447,447,GR,978-1-4423-7056-2,German 4,7,,,U07-08,08Q_D,N,Since the Reunification one has restored the market square.,9781442370562_German_4_QZ_0447.mp3,"7,20"
448,448,GR,978-1-4423-7056-2,German 4,7,,,U07-08,08R_D,F,Seit der Wiedervereinigung hat man den Marktplatz restauriert.,9781442370562_German_4_QZ_0448.mp3,"7,20"
449,449,GR,978-1-4423-7056-2,German 4,8,,,U08-01,01Q_A,N,I just bought one.,9781442370562_German_4_QZ_0449.mp3,"12,14"
450,450,GR,978-1-4423-7056-2,German 4,8,,,U08-01,01R_A,M,Ich habe gerade einen gekauft.,9781442370562_German_4_QZ_0450.mp3,"12,14"
451,451,GR,978-1-4423-7056-2,German 4,8,,,U08-01,01Q_B,N,I just bought mine.,9781442370562_German_4_QZ_0451.mp3,14
452,452,GR,978-1-4423-7056-2,German 4,8,,,U08-01,01R_B,F,Ich habe gerade meinen gekauft.,9781442370562_German_4_QZ_0452.mp3,14
453,453,GR,978-1-4423-7056-2,German 4,8,,,U08-01,01Q_C,N,I did not buy one yesterday.,9781442370562_German_4_QZ_0453.mp3,"12,14,17"
454,454,GR,978-1-4423-7056-2,German 4,8,,,U08-01,01R_C,M,Ich habe gestern keinen gekauft.,9781442370562_German_4_QZ_0454.mp3,"12,14,17"
455,455,GR,978-1-4423-7056-2,German 4,8,,,U08-01,01Q_D,N,I never bought one.,9781442370562_German_4_QZ_0455.mp3,"12,14,17"
456,456,GR,978-1-4423-7056-2,German 4,8,,,U08-01,01R_D,F,Ich habe nie einen gekauft.,9781442370562_German_4_QZ_0456.mp3,"12,14,17"
457,457,GR,978-1-4423-7056-2,German 4,8,,,U08-02,02Q_A,N,Early tomorrow morning would be best.,9781442370562_German_4_QZ_0457.mp3,"9,17"
458,458,GR,978-1-4423-7056-2,German 4,8,,,U08-02,02R_A,F,Morgen früh wäre am besten.,9781442370562_German_4_QZ_0458.mp3,"9,17"
459,459,GR,978-1-4423-7056-2,German 4,8,,,U08-02,02Q_B,N,Early tomorrow morning is best.,9781442370562_German_4_QZ_0459.mp3,"9,17"
460,460,GR,978-1-4423-7056-2,German 4,8,,,U08-02,02R_B,M,Morgen früh ist am besten.,9781442370562_German_4_QZ_0460.mp3,"9,17"
461,461,GR,978-1-4423-7056-2,German 4,8,,,U08-02,02Q_C,N,Tomorrow mid-morning would be best.,9781442370562_German_4_QZ_0461.mp3,"9,17"
462,462,GR,978-1-4423-7056-2,German 4,8,,,U08-02,02R_C,M,Morgen Vormittag wäre am besten.,9781442370562_German_4_QZ_0462.mp3,"9,17"
463,463,GR,978-1-4423-7056-2,German 4,8,,,U08-02,02Q_D,N,Early tomorrow morning would be better.,9781442370562_German_4_QZ_0463.mp3,"9,17"
464,464,GR,978-1-4423-7056-2,German 4,8,,,U08-02,02R_D,F,Morgen früh wäre besser.,9781442370562_German_4_QZ_0464.mp3,"9,17"
465,465,GR,978-1-4423-7056-2,German 4,8,,,U08-03,03Q_A,N,I had planned to call you.,9781442370562_German_4_QZ_0465.mp3,3
466,466,GR,978-1-4423-7056-2,German 4,8,,,U08-03,03R_A,F,Ich hatte vor dich anzurufen.,9781442370562_German_4_QZ_0466.mp3,3
467,467,GR,978-1-4423-7056-2,German 4,8,,,U08-03,03Q_B,N,You had planned to call me.,9781442370562_German_4_QZ_0467.mp3,3
468,468,GR,978-1-4423-7056-2,German 4,8,,,U08-03,03R_B,M,Du hattest vor mich anzurufen.,9781442370562_German_4_QZ_0468.mp3,3
469,469,GR,978-1-4423-7056-2,German 4,8,,,U08-03,03Q_C,N,She had planned to call you.,9781442370562_German_4_QZ_0469.mp3,3
470,470,GR,978-1-4423-7056-2,German 4,8,,,U08-03,03R_C,F,Sie hatte vor dich anzurufen.,9781442370562_German_4_QZ_0470.mp3,3
471,471,GR,978-1-4423-7056-2,German 4,8,,,U08-03,03Q_D,N,I called you.,9781442370562_German_4_QZ_0471.mp3,3
472,472,GR,978-1-4423-7056-2,German 4,8,,,U08-03,03R_D,M,Ich habe dich angerufen.,9781442370562_German_4_QZ_0472.mp3,3
473,473,GR,978-1-4423-7056-2,German 4,8,,,U08-04,04Q_A,N,They don’t fit so well.,9781442370562_German_4_QZ_0473.mp3,"9,14"
474,474,GR,978-1-4423-7056-2,German 4,8,,,U08-04,04R_A,F,Sie passen nicht so gut.,9781442370562_German_4_QZ_0474.mp3,"9,14"
475,475,GR,978-1-4423-7056-2,German 4,8,,,U08-04,04Q_B,N,They really fit very well.,9781442370562_German_4_QZ_0475.mp3,"9,14"
476,476,GR,978-1-4423-7056-2,German 4,8,,,U08-04,04R_B,F,Sie passen wirklich sehr gut.,9781442370562_German_4_QZ_0476.mp3,"9,14"
477,477,GR,978-1-4423-7056-2,German 4,8,,,U08-04,04Q_C,N,They don’t fit very well.,9781442370562_German_4_QZ_0477.mp3,"9,14"
478,478,GR,978-1-4423-7056-2,German 4,8,,,U08-04,04R_C,M,Sie passen nicht sehr gut.,9781442370562_German_4_QZ_0478.mp3,"9,14"
479,479,GR,978-1-4423-7056-2,German 4,8,,,U08-04,04Q_D,N,They fit pretty well.,9781442370562_German_4_QZ_0479.mp3,"9,14"
480,480,GR,978-1-4423-7056-2,German 4,8,,,U08-04,04R_D,M,Sie passen ziemlich gut.,9781442370562_German_4_QZ_0480.mp3,"9,14"
481,481,GR,978-1-4423-7056-2,German 4,8,,,U08-05,05Q_A,N,Are you standing in this line?,9781442370562_German_4_QZ_0481.mp3,"14,18"
482,482,GR,978-1-4423-7056-2,German 4,8,,,U08-05,05R_A,F,Stehen Sie in dieser Schlange?,9781442370562_German_4_QZ_0482.mp3,"14,18"
483,483,GR,978-1-4423-7056-2,German 4,8,,,U08-05,05Q_B,N,Are you standing in the line?,9781442370562_German_4_QZ_0483.mp3,"14,18"
484,484,GR,978-1-4423-7056-2,German 4,8,,,U08-05,05R_B,M,Stehen Sie in der Schlange?,9781442370562_German_4_QZ_0484.mp3,"14,18"
485,485,GR,978-1-4423-7056-2,German 4,8,,,U08-05,05Q_C,N,Is she standing in this line?,9781442370562_German_4_QZ_0485.mp3,"14,18"
486,486,GR,978-1-4423-7056-2,German 4,8,,,U08-05,05R_C,M,Steht sie in dieser Schlange?,9781442370562_German_4_QZ_0486.mp3,"14,18"
487,487,GR,978-1-4423-7056-2,German 4,8,,,U08-05,05Q_D,N,Why are you standing in this line?,9781442370562_German_4_QZ_0487.mp3,"14,18"
488,488,GR,978-1-4423-7056-2,German 4,8,,,U08-05,05R_D,F,Warum stehen Sie in dieser Schlange?,9781442370562_German_4_QZ_0488.mp3,"14,18"
489,489,GR,978-1-4423-7056-2,German 4,8,,,U08-06,06Q_A,N,"If we have time, we’d like to visit a couple of galleries.",9781442370562_German_4_QZ_0489.mp3,"1,17,18"
490,490,GR,978-1-4423-7056-2,German 4,8,,,U08-06,06R_A,F,"Wenn wir Zeit haben, möchten wir ein paar Galerien besichtigen.",9781442370562_German_4_QZ_0490.mp3,"1,17,18"
491,491,GR,978-1-4423-7056-2,German 4,8,,,U08-06,06Q_B,N,"Whenever we had time, we visited a couple of galleries.",9781442370562_German_4_QZ_0491.mp3,"1,12,17,18"
492,492,GR,978-1-4423-7056-2,German 4,8,,,U08-06,06R_B,M,"Wenn wir Zeit hatten, haben wir ein paar Galerien besichtigt.",9781442370562_German_4_QZ_0492.mp3,"1,12,17,18"
493,493,GR,978-1-4423-7056-2,German 4,8,,,U08-06,06Q_C,N,"If we had time, we would enjoy visiting a couple of galleries.",9781442370562_German_4_QZ_0493.mp3,"1,12,17,18"
494,494,GR,978-1-4423-7056-2,German 4,8,,,U08-06,06R_C,M,"Wenn wir Zeit haben, würden wir gern ein paar Galerien besichtigen.",9781442370562_German_4_QZ_0494.mp3,"1,12,17,18"
495,495,GR,978-1-4423-7056-2,German 4,8,,,U08-06,06Q_D,N,"If we have time, we should visit a couple of galleries.",9781442370562_German_4_QZ_0495.mp3,"12,17,18"
496,496,GR,978-1-4423-7056-2,German 4,8,,,U08-06,06R_D,M,"Wenn wir Zeit haben, sollten wir ein paar Galerien besichtigen.",9781442370562_German_4_QZ_0496.mp3,"12,17,18"
497,497,GR,978-1-4423-7056-2,German 4,8,,,U08-07,07Q_A,N,First we went to the market square.,9781442370562_German_4_QZ_0497.mp3,"1,12,14"
498,498,GR,978-1-4423-7056-2,German 4,8,,,U08-07,07R_A,F,Erst sind wir zum Marktplatz gegangen.,9781442370562_German_4_QZ_0498.mp3,"1,12,14"
499,499,GR,978-1-4423-7056-2,German 4,8,,,U08-07,07Q_B,N,First she went to the market square.,9781442370562_German_4_QZ_0499.mp3,"1,12,14"
500,500,GR,978-1-4423-7056-2,German 4,8,,,U08-07,07R_B,F,Erst ist sie zum Marktplatz gegangen.,9781442370562_German_4_QZ_0500.mp3,"1,12,14"
501,501,GR,978-1-4423-7056-2,German 4,8,,,U08-07,07Q_C,N,Today we went to the market square.,9781442370562_German_4_QZ_0501.mp3,"1,14,17"
502,502,GR,978-1-4423-7056-2,German 4,8,,,U08-07,07R_C,F,Heute sind wir zum Marktplatz gegangen.,9781442370562_German_4_QZ_0502.mp3,"1,14,17"
503,503,GR,978-1-4423-7056-2,German 4,8,,,U08-07,07Q_D,N,First we saw the market square.,9781442370562_German_4_QZ_0503.mp3,"1,12,14"
504,504,GR,978-1-4423-7056-2,German 4,8,,,U08-07,07R_D,F,Erst haben wir den Marktplatz gesehen.,9781442370562_German_4_QZ_0504.mp3,"1,12,14"
505,505,GR,978-1-4423-7056-2,German 4,8,,,U08-08,08Q_A,N,That was in October nineteen hundred ninety.,9781442370562_German_4_QZ_0505.mp3,"12,17"
506,506,GR,978-1-4423-7056-2,German 4,8,,,U08-08,08R_A,M,Das war im Oktober neunzehnhundertneunzig.,9781442370562_German_4_QZ_0506.mp3,"12,17"
507,507,GR,978-1-4423-7056-2,German 4,8,,,U08-08,08Q_B,N,That was in October nineteen hundred nineteen.,9781442370562_German_4_QZ_0507.mp3,"12,17"
508,508,GR,978-1-4423-7056-2,German 4,8,,,U08-08,08R_B,F,Das war im Oktober neunzehnhundertneunzehn.,9781442370562_German_4_QZ_0508.mp3,"12,17"
509,509,GR,978-1-4423-7056-2,German 4,8,,,U08-08,08Q_C,N,That was in October eighteen hundred ninety.,9781442370562_German_4_QZ_0509.mp3,"12,17"
510,510,GR,978-1-4423-7056-2,German 4,8,,,U08-08,08R_C,M,Das war im Oktober achtzehnhundertneunzig.,9781442370562_German_4_QZ_0510.mp3,"12,17"
511,511,GR,978-1-4423-7056-2,German 4,8,,,U08-08,08Q_D,N,That was definitely in October nineteen hundred ninety.,9781442370562_German_4_QZ_0511.mp3,"12,17"
512,512,GR,978-1-4423-7056-2,German 4,8,,,U08-08,08R_D,F,Das war bestimmt im Oktober neunzehnhundertneunzig.,9781442370562_German_4_QZ_0512.mp3,"12,17"
513,513,GR,978-1-4423-7056-2,German 4,9,,,U09-01,01Q_A,N,We arrive by subway.,9781442370562_German_4_QZ_0513.mp3,"1,18"
514,514,GR,978-1-4423-7056-2,German 4,9,,,U09-01,01R_A,M,Wir kommen mit der U-Bahn an.,9781442370562_German_4_QZ_0514.mp3,"1,18"
515,515,GR,978-1-4423-7056-2,German 4,9,,,U09-01,01Q_B,N,We arrived by subway.,9781442370562_German_4_QZ_0515.mp3,"1,18"
516,516,GR,978-1-4423-7056-2,German 4,9,,,U09-01,01R_B,F,Wir sind mit der U-Bahn angekommen.,9781442370562_German_4_QZ_0516.mp3,"1,18"
517,517,GR,978-1-4423-7056-2,German 4,9,,,U09-01,01Q_C,N,They arrive by subway.,9781442370562_German_4_QZ_0517.mp3,"1,18"
518,518,GR,978-1-4423-7056-2,German 4,9,,,U09-01,01R_C,M,Sie kommen mit der U-Bahn an.,9781442370562_German_4_QZ_0518.mp3,"1,18"
519,519,GR,978-1-4423-7056-2,German 4,9,,,U09-01,01Q_D,N,They arrived by subway.,9781442370562_German_4_QZ_0519.mp3,"1,18"
520,520,GR,978-1-4423-7056-2,German 4,9,,,U09-01,01R_D,F,Sie sind mit der U-Bahn angekommen.,9781442370562_German_4_QZ_0520.mp3,"1,18"
521,521,GR,978-1-4423-7056-2,German 4,9,,,U09-02,02Q_A,N,That I did.,9781442370562_German_4_QZ_0521.mp3,"1,7"
522,522,GR,978-1-4423-7056-2,German 4,9,,,U09-02,02R_A,M,Das habe ich gemacht.,9781442370562_German_4_QZ_0522.mp3,"1,7"
523,523,GR,978-1-4423-7056-2,German 4,9,,,U09-02,02Q_B,N,That you did.,9781442370562_German_4_QZ_0523.mp3,"1,7"
524,524,GR,978-1-4423-7056-2,German 4,9,,,U09-02,02R_B,F,Das haben Sie gemacht.,9781442370562_German_4_QZ_0524.mp3,"1,7"
525,525,GR,978-1-4423-7056-2,German 4,9,,,U09-02,02Q_C,N,That I didn’t.,9781442370562_German_4_QZ_0525.mp3,"1,7"
526,526,GR,978-1-4423-7056-2,German 4,9,,,U09-02,02R_C,M,Das habe ich nicht gemacht.,9781442370562_German_4_QZ_0526.mp3,"1,7"
527,527,GR,978-1-4423-7056-2,German 4,9,,,U09-02,02Q_D,N,That she did.,9781442370562_German_4_QZ_0527.mp3,"1,7"
528,528,GR,978-1-4423-7056-2,German 4,9,,,U09-02,02R_D,F,Das hat sie gemacht.,9781442370562_German_4_QZ_0528.mp3,"1,7"
529,529,GR,978-1-4423-7056-2,German 4,9,,,U09-03,03Q_A,N,I don’t need any dark red gloves.,9781442370562_German_4_QZ_0529.mp3,"9,14"
530,530,GR,978-1-4423-7056-2,German 4,9,,,U09-03,03R_A,M,Ich brauche keine dunkelroten Handschuhe.,9781442370562_German_4_QZ_0530.mp3,"9,14"
531,531,GR,978-1-4423-7056-2,German 4,9,,,U09-03,03Q_B,N,I don’t need any blue gloves.,9781442370562_German_4_QZ_0531.mp3,"9,14"
532,532,GR,978-1-4423-7056-2,German 4,9,,,U09-03,03R_B,F,Ich brauche keine blauen Handschuhe.,9781442370562_German_4_QZ_0532.mp3,"9,14"
533,533,GR,978-1-4423-7056-2,German 4,9,,,U09-03,03Q_C,N,I don’t need any dark blue gloves.,9781442370562_German_4_QZ_0533.mp3,"9,14"
534,534,GR,978-1-4423-7056-2,German 4,9,,,U09-03,03R_C,M,Ich brauche keine dunkelblauen Handschuhe.,9781442370562_German_4_QZ_0534.mp3,"9,14"
535,535,GR,978-1-4423-7056-2,German 4,9,,,U09-03,03Q_D,N,I don’t need any black gloves.,9781442370562_German_4_QZ_0535.mp3,"9,14"
536,536,GR,978-1-4423-7056-2,German 4,9,,,U09-03,03R_D,F,Ich brauche keine schwarzen Handschuhe.,9781442370562_German_4_QZ_0536.mp3,"9,14"
537,537,GR,978-1-4423-7056-2,German 4,9,,,U09-04,04Q_A,N,Do we arrive before it gets dark?,9781442370562_German_4_QZ_0537.mp3,18
538,538,GR,978-1-4423-7056-2,German 4,9,,,U09-04,04R_A,M,"Kommen wir an, bevor es dunkel wird?",9781442370562_German_4_QZ_0538.mp3,18
539,539,GR,978-1-4423-7056-2,German 4,9,,,U09-04,04Q_B,N,Do we arrive before it gets too late?,9781442370562_German_4_QZ_0539.mp3,"17,18"
540,540,GR,978-1-4423-7056-2,German 4,9,,,U09-04,04R_B,F,"Kommen wir an, bevor es zu spät wird?",9781442370562_German_4_QZ_0540.mp3,"17,18"
541,541,GR,978-1-4423-7056-2,German 4,9,,,U09-04,04Q_C,N,Does he arrive before it gets dark?,9781442370562_German_4_QZ_0541.mp3,18
542,542,GR,978-1-4423-7056-2,German 4,9,,,U09-04,04R_C,M,"Kommt er an, bevor es dunkel wird?",9781442370562_German_4_QZ_0542.mp3,18
543,543,GR,978-1-4423-7056-2,German 4,9,,,U09-04,04Q_D,N,Do we arrive before you leave?,9781442370562_German_4_QZ_0543.mp3,18
544,544,GR,978-1-4423-7056-2,German 4,9,,,U09-04,04R_D,F,"Kommen wir an, bevor du wegfährst?",9781442370562_German_4_QZ_0544.mp3,18
545,545,GR,978-1-4423-7056-2,German 4,9,,,U09-05,05Q_A,N,That you can.,9781442370562_German_4_QZ_0545.mp3,"1,7"
546,546,GR,978-1-4423-7056-2,German 4,9,,,U09-05,05R_A,M,Das können Sie.,9781442370562_German_4_QZ_0546.mp3,"1,7"
547,547,GR,978-1-4423-7056-2,German 4,9,,,U09-05,05Q_B,N,That you could.,9781442370562_German_4_QZ_0547.mp3,"1,7"
548,548,GR,978-1-4423-7056-2,German 4,9,,,U09-05,05R_B,F,Das könnten Sie.,9781442370562_German_4_QZ_0548.mp3,"1,7"
549,549,GR,978-1-4423-7056-2,German 4,9,,,U09-05,05Q_C,N,That you have already.,9781442370562_German_4_QZ_0549.mp3,"7,17"
550,550,GR,978-1-4423-7056-2,German 4,9,,,U09-05,05R_C,M,Das haben Sie schon.,9781442370562_German_4_QZ_0550.mp3,"7,17"
551,551,GR,978-1-4423-7056-2,German 4,9,,,U09-05,05Q_D,N,That you cannot.,9781442370562_German_4_QZ_0551.mp3,"1,7"
552,552,GR,978-1-4423-7056-2,German 4,9,,,U09-05,05R_D,F,Das können Sie nicht.,9781442370562_German_4_QZ_0552.mp3,"1,7"
553,553,GR,978-1-4423-7056-2,German 4,9,,,U09-06,06Q_A,N,Did you call him beforehand?,9781442370562_German_4_QZ_0553.mp3,"3,17"
554,554,GR,978-1-4423-7056-2,German 4,9,,,U09-06,06R_A,M,Hast du ihn vorher angerufen?,9781442370562_German_4_QZ_0554.mp3,"3,17"
555,555,GR,978-1-4423-7056-2,German 4,9,,,U09-06,06Q_B,N,Did you call him afterwards?,9781442370562_German_4_QZ_0555.mp3,"3,17"
556,556,GR,978-1-4423-7056-2,German 4,9,,,U09-06,06R_B,F,Hast du ihn nachher angerufen?,9781442370562_German_4_QZ_0556.mp3,"3,17"
557,557,GR,978-1-4423-7056-2,German 4,9,,,U09-06,06Q_C,N,Do you have to call him beforehand?,9781442370562_German_4_QZ_0557.mp3,"3,17"
558,558,GR,978-1-4423-7056-2,German 4,9,,,U09-06,06R_C,M,Musst du ihn vorher anrufen?,9781442370562_German_4_QZ_0558.mp3,"3,17"
559,559,GR,978-1-4423-7056-2,German 4,9,,,U09-06,06Q_D,N,Can you call him afterwards?,9781442370562_German_4_QZ_0559.mp3,"3,17"
560,560,GR,978-1-4423-7056-2,German 4,9,,,U09-06,06R_D,F,Kannst du ihn nachher anrufen?,9781442370562_German_4_QZ_0560.mp3,"3,17"
561,561,GR,978-1-4423-7056-2,German 4,9,,,U09-07,07Q_A,N,We arrive at about six o’clock.,9781442370562_German_4_QZ_0561.mp3,"12,17,18"
562,562,GR,978-1-4423-7056-2,German 4,9,,,U09-07,07R_A,F,Wir kommen ungefähr um sechs Uhr an.,9781442370562_German_4_QZ_0562.mp3,"12,17,18"
563,563,GR,978-1-4423-7056-2,German 4,9,,,U09-07,07Q_B,N,We arrive at about sixteen o’clock.,9781442370562_German_4_QZ_0563.mp3,"12,17,18"
564,564,GR,978-1-4423-7056-2,German 4,9,,,U09-07,07R_B,M,Wir kommen ungefähr um sechzehn Uhr an.,9781442370562_German_4_QZ_0564.mp3,"12,17,18"
565,565,GR,978-1-4423-7056-2,German 4,9,,,U09-07,07Q_C,N,They arrive at about six o’clock.,9781442370562_German_4_QZ_0565.mp3,"12,17,18"
566,566,GR,978-1-4423-7056-2,German 4,9,,,U09-07,07R_C,M,Sie kommen ungefähr um sechs Uhr an.,9781442370562_German_4_QZ_0566.mp3,"12,17,18"
567,567,GR,978-1-4423-7056-2,German 4,9,,,U09-07,07Q_D,N,He arrives at about sixteen o’clock.,9781442370562_German_4_QZ_0567.mp3,"12,17,18"
568,568,GR,978-1-4423-7056-2,German 4,9,,,U09-07,07R_D,F,Er kommt ungefähr um sechzehn Uhr an.,9781442370562_German_4_QZ_0568.mp3,"12,17,18"
569,569,GR,978-1-4423-7056-2,German 4,9,,,U09-08,08Q_A,N,The trade fair is not far from the main train station.,9781442370562_German_4_QZ_0569.mp3,"4,18,20"
570,570,GR,978-1-4423-7056-2,German 4,9,,,U09-08,08R_A,M,Die Fachmesse ist nicht weit vom Hauptbahnhof.,9781442370562_German_4_QZ_0570.mp3,"4,18,20"
571,571,GR,978-1-4423-7056-2,German 4,9,,,U09-08,08Q_B,N,The main train station is not far from here.,9781442370562_German_4_QZ_0571.mp3,"4,18"
572,572,GR,978-1-4423-7056-2,German 4,9,,,U09-08,08R_B,F,Der Hauptbahnhof ist nicht weit von hier.,9781442370562_German_4_QZ_0572.mp3,"4,18"
573,573,GR,978-1-4423-7056-2,German 4,9,,,U09-08,08Q_C,N,The exhibits are far from the main train station.,9781442370562_German_4_QZ_0573.mp3,"1,4,18"
574,574,GR,978-1-4423-7056-2,German 4,9,,,U09-08,08R_C,M,Die Ausstellungen sind weit vom Hauptbahnhof.,9781442370562_German_4_QZ_0574.mp3,"1,4,18"
575,575,GR,978-1-4423-7056-2,German 4,9,,,U09-08,08Q_D,N,The main train station is nearby.,9781442370562_German_4_QZ_0575.mp3,"4,18"
576,576,GR,978-1-4423-7056-2,German 4,9,,,U09-08,08R_D,F,Der Hauptbahnhof ist in der Nähe.,9781442370562_German_4_QZ_0576.mp3,"4,18"
577,577,GR,978-1-4423-7056-2,German 4,10,,,U10-01,01Q_A,N,I’m still hungry.,9781442370562_German_4_QZ_0577.mp3,6
578,578,GR,978-1-4423-7056-2,German 4,10,,,U10-01,01R_A,M,Ich habe noch Hunger.,9781442370562_German_4_QZ_0578.mp3,6
579,579,GR,978-1-4423-7056-2,German 4,10,,,U10-01,01Q_B,N,I was still hungry.,9781442370562_German_4_QZ_0579.mp3,6
580,580,GR,978-1-4423-7056-2,German 4,10,,,U10-01,01R_B,F,Ich hatte noch Hunger.,9781442370562_German_4_QZ_0580.mp3,6
581,581,GR,978-1-4423-7056-2,German 4,10,,,U10-01,01Q_C,N,I’m hungry too.,9781442370562_German_4_QZ_0581.mp3,6
582,582,GR,978-1-4423-7056-2,German 4,10,,,U10-01,01R_C,M,Ich habe auch Hunger.,9781442370562_German_4_QZ_0582.mp3,6
583,583,GR,978-1-4423-7056-2,German 4,10,,,U10-01,01Q_D,N,I wasn’t hungry.,9781442370562_German_4_QZ_0583.mp3,6
584,584,GR,978-1-4423-7056-2,German 4,10,,,U10-01,01R_D,F,Ich hatte keinen Hunger.,9781442370562_German_4_QZ_0584.mp3,6
585,585,GR,978-1-4423-7056-2,German 4,10,,,U10-02,02Q_A,N,Is the ICE the fastest?,9781442370562_German_4_QZ_0585.mp3,"18,20"
586,586,GR,978-1-4423-7056-2,German 4,10,,,U10-02,02R_A,M,Ist der ICE der Schnellste?,9781442370562_German_4_QZ_0586.mp3,"18,20"
587,587,GR,978-1-4423-7056-2,German 4,10,,,U10-02,02Q_B,N,Is the ICE fastest?,9781442370562_German_4_QZ_0587.mp3,"18,20"
588,588,GR,978-1-4423-7056-2,German 4,10,,,U10-02,02R_B,F,Ist der ICE am schnellsten?,9781442370562_German_4_QZ_0588.mp3,"18,20"
589,589,GR,978-1-4423-7056-2,German 4,10,,,U10-02,02Q_C,N,Is the ICE fast?,9781442370562_German_4_QZ_0589.mp3,"18,20"
590,590,GR,978-1-4423-7056-2,German 4,10,,,U10-02,02R_C,M,Ist der ICE schnell?,9781442370562_German_4_QZ_0590.mp3,"18,20"
591,591,GR,978-1-4423-7056-2,German 4,10,,,U10-02,02Q_D,N,Is the ICE faster?,9781442370562_German_4_QZ_0591.mp3,"18,20"
592,592,GR,978-1-4423-7056-2,German 4,10,,,U10-02,02R_D,F,Ist der ICE schneller?,9781442370562_German_4_QZ_0592.mp3,"18,20"
593,593,GR,978-1-4423-7056-2,German 4,10,,,U10-03,03Q_A,N,My new suitcase isn’t heavy.,9781442370562_German_4_QZ_0593.mp3,"12,18"
594,594,GR,978-1-4423-7056-2,German 4,10,,,U10-03,03R_A,M,Mein neuer Koffer ist nicht schwer.,9781442370562_German_4_QZ_0594.mp3,"12,18"
595,595,GR,978-1-4423-7056-2,German 4,10,,,U10-03,03Q_B,N,Your new suitcase isn’t heavy.,9781442370562_German_4_QZ_0595.mp3,"12,18"
596,596,GR,978-1-4423-7056-2,German 4,10,,,U10-03,03R_B,F,Dein neuer Koffer ist nicht schwer.,9781442370562_German_4_QZ_0596.mp3,"12,18"
597,597,GR,978-1-4423-7056-2,German 4,10,,,U10-03,03Q_C,N,My new suitcase is very heavy.,9781442370562_German_4_QZ_0597.mp3,"12,18"
598,598,GR,978-1-4423-7056-2,German 4,10,,,U10-03,03R_C,M,Mein neuer Koffer ist sehr schwer.,9781442370562_German_4_QZ_0598.mp3,"12,18"
599,599,GR,978-1-4423-7056-2,German 4,10,,,U10-03,03Q_D,N,My new suitcase is rather heavy.,9781442370562_German_4_QZ_0599.mp3,"12,18"
600,600,GR,978-1-4423-7056-2,German 4,10,,,U10-03,03R_D,F,Mein neuer Koffer ist ziemlich schwer.,9781442370562_German_4_QZ_0600.mp3,"12,18"
601,601,GR,978-1-4423-7056-2,German 4,10,,,U10-04,04Q_A,N,The ICE departs at ten o’clock.,9781442370562_German_4_QZ_0601.mp3,"12,17,18"
602,602,GR,978-1-4423-7056-2,German 4,10,,,U10-04,04R_A,M,Der ICE fährt um zehn Uhr ab.,9781442370562_German_4_QZ_0602.mp3,"12,17,18"
603,603,GR,978-1-4423-7056-2,German 4,10,,,U10-04,04Q_B,N,The ICE departs in ten minutes.,9781442370562_German_4_QZ_0603.mp3,"12,17,18"
604,604,GR,978-1-4423-7056-2,German 4,10,,,U10-04,04R_B,F,Der ICE fährt in zehn Minuten ab.,9781442370562_German_4_QZ_0604.mp3,"12,17,18"
605,605,GR,978-1-4423-7056-2,German 4,10,,,U10-04,04Q_C,N,The ICE is departing soon.,9781442370562_German_4_QZ_0605.mp3,"17,18"
606,606,GR,978-1-4423-7056-2,German 4,10,,,U10-04,04R_C,M,Der ICE fährt bald ab.,9781442370562_German_4_QZ_0606.mp3,"17,18"
607,607,GR,978-1-4423-7056-2,German 4,10,,,U10-04,04Q_D,N,The ICE is departing right away.,9781442370562_German_4_QZ_0607.mp3,"17,18"
608,608,GR,978-1-4423-7056-2,German 4,10,,,U10-04,04R_D,F,Der ICE fährt sofort ab.,9781442370562_German_4_QZ_0608.mp3,"17,18"
609,609,GR,978-1-4423-7056-2,German 4,10,,,U10-05,05Q_A,N,Tomorrow mid-morning would be best.,9781442370562_German_4_QZ_0609.mp3,17
610,610,GR,978-1-4423-7056-2,German 4,10,,,U10-05,05R_A,M,Morgen Vormittag wäre am besten.,9781442370562_German_4_QZ_0610.mp3,17
611,611,GR,978-1-4423-7056-2,German 4,10,,,U10-05,05Q_B,N,Tomorrow afternoon would be best.,9781442370562_German_4_QZ_0611.mp3,17
612,612,GR,978-1-4423-7056-2,German 4,10,,,U10-05,05R_B,F,Morgen Nachmittag wäre am besten.,9781442370562_German_4_QZ_0612.mp3,17
613,613,GR,978-1-4423-7056-2,German 4,10,,,U10-05,05Q_C,N,Tomorrow mid-morning would be better.,9781442370562_German_4_QZ_0613.mp3,17
