Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,QZ #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
158,158,JP,9781442310223,Japanese 1,8,03R,F,ビール、二本,"biiru, ni hon",3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0158.mp3,"6,12"
159,159,JP,9781442310223,Japanese 1,8,04Q,N,"Beer or sake, could you please.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0159.mp3,"6,13"
160,160,JP,9781442310223,Japanese 1,8,04R,F,ビールかお酒、お願いします。,"biiru ka osake, onegai shimasu.",5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0160.mp3,"6,13"
161,161,JP,9781442310223,Japanese 1,8,05Q,N,"Two beers, could you please.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0161.mp3,"6,12,13"
162,162,JP,9781442310223,Japanese 1,8,05R,F,ビール二本、お願いします。,"biiru ni hon, onegai shimasu.",5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0162.mp3,"6,12,13"
163,163,JP,9781442310223,Japanese 1,8,06Q,N,What are you going to do?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0163.mp3,"1,9"
164,164,JP,9781442310223,Japanese 1,8,06R,F,何をしますか。,nani o shimasu ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0164.mp3,"1,9"
165,165,JP,9781442310223,Japanese 1,8,07Q,N,I’m going to buy something.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0165.mp3,14
166,166,JP,9781442310223,Japanese 1,8,07R,M,何か買います。,nanika ka kaimasu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0166.mp3,14
167,167,JP,9781442310223,Japanese 1,8,08Q,N,I’m going to buy some beer.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0167.mp3,"6,14"
168,168,JP,9781442310223,Japanese 1,8,08R,M,ビールを買います。,biiru o kaimasu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0168.mp3,"6,14"
169,169,JP,9781442310223,Japanese 1,8,09Q,N,I don’t want any now.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0169.mp3,"7,17"
170,170,JP,9781442310223,Japanese 1,8,09R,M,今ほしくありません。,ima hoshiku arimasen.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0170.mp3,"7,17"
171,171,JP,9781442310223,Japanese 1,8,10Q,N,With whom?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0171.mp3,9
172,172,JP,9781442310223,Japanese 1,8,10R,M,誰と？,dare to?,2,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0172.mp3,9
173,173,JP,9781442310223,Japanese 1,8,11Q,N,With you.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0173.mp3,9
174,174,JP,9781442310223,Japanese 1,8,11R,M,あなたと。,anata to.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0174.mp3,9
175,175,JP,9781442310223,Japanese 1,9,01Q,N,At what time?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0175.mp3,"7,9,16,17"
176,176,JP,9781442310223,Japanese 1,9,01R,M,何時に？,nan ji ni?,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0176.mp3,"7,9,16,17"
177,177,JP,9781442310223,Japanese 1,9,02Q,N,At one o’clock.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0177.mp3,"9,12,17"
178,178,JP,9781442310223,Japanese 1,9,02R,F,一時に。,ichi ji ni.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0178.mp3,"9,12,17"
179,179,JP,9781442310223,Japanese 1,9,03Q,N,At two o’clock.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0179.mp3,"9,12,17"
180,180,JP,9781442310223,Japanese 1,9,03R,F,二時に。,ni ji ni.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0180.mp3,"9,12,17"
181,181,JP,9781442310223,Japanese 1,9,04Q,N,At nine o’clock.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0181.mp3,"9,12,17"
182,182,JP,9781442310223,Japanese 1,9,04R,F,九時に。,ku ji ni.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0182.mp3,"9,12,17"
183,183,JP,9781442310223,Japanese 1,9,05Q,N,"At one o’clock, or two o’clock.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0183.mp3,"9,12,17"
184,184,JP,9781442310223,Japanese 1,9,05R,F,一時か二時に。,ichi ji ka ni ji ni.,6,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0184.mp3,"9,12,17"
185,185,JP,9781442310223,Japanese 1,9,06Q,N,Or nine o’clock?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0185.mp3,"9,12,17"
186,186,JP,9781442310223,Japanese 1,9,06R,F,それとも九時？,soretomo ku ji?,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0186.mp3,"9,12,17"
187,187,JP,9781442310223,Japanese 1,9,07Q,N,Eight o’clock or nine o’clock.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0187.mp3,"9,12,17"
188,188,JP,9781442310223,Japanese 1,9,07R,M,八時か九時。,hachi ji ka ku ji.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0188.mp3,"9,12,17"
189,189,JP,9781442310223,Japanese 1,9,08Q,N,Understood.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0189.mp3,"9,16"
190,190,JP,9781442310223,Japanese 1,9,08R,M,わかりました。,wakarimashita.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0190.mp3,"9,16"
191,191,JP,9781442310223,Japanese 1,9,09Q,N,Or later?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0191.mp3,"7,17"
192,192,JP,9781442310223,Japanese 1,9,09R,M,それともあとで？,soretomo atode?,2,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0192.mp3,"7,17"
195,195,JP,9781442310223,Japanese 1,9,11Q,N,With Mr. Tanaka.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0195.mp3,9
196,196,JP,9781442310223,Japanese 1,9,11R,M,田中さんと。,tanaka san to.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0196.mp3,9
197,197,JP,9781442310223,Japanese 1,10,01Q,N,It’s five o’clock.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0197.mp3,"12,17"
198,198,JP,9781442310223,Japanese 1,10,01R,M,五時です。,go ji desu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0198.mp3,"12,17"
199,199,JP,9781442310223,Japanese 1,10,02Q,N,It’s three o’clock.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0199.mp3,"12,17"
200,200,JP,9781442310223,Japanese 1,10,02R,F,三時です。,san ji desu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0200.mp3,"12,17"
201,201,JP,9781442310223,Japanese 1,10,03Q,N,Nine o’clock is a little bit ---,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0201.mp3,"12,13,17"
202,202,JP,9781442310223,Japanese 1,10,03R,F,九時はちょっと---,ku ji wa chotto ---,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0202.mp3,"12,13,17"
203,203,JP,9781442310223,Japanese 1,10,04Q,N,How about eight o’clock?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0203.mp3,"12,17"
204,204,JP,9781442310223,Japanese 1,10,04R,F,八時は？,hachi ji wa?,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0204.mp3,"12,17"
205,205,JP,9781442310223,Japanese 1,10,05Q,N,I want to eat something.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0205.mp3,6
206,206,JP,9781442310223,Japanese 1,10,05R,F,何か食べたいです。,nanika tabetai desu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0206.mp3,6
207,207,JP,9781442310223,Japanese 1,10,06Q,N,I don’t want to eat.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0207.mp3,6
208,208,JP,9781442310223,Japanese 1,10,06R,F,食べたくありません。,tabetaku arimasen.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0208.mp3,6
209,209,JP,9781442310223,Japanese 1,10,07Q,N,Do you want to eat something?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0209.mp3,6
210,210,JP,9781442310223,Japanese 1,10,07R,M,何か食べますか。,nanika tabemasu ka.,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0210.mp3,6
211,211,JP,9781442310223,Japanese 1,10,08Q,N,I don’t want to drink.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0211.mp3,6
212,212,JP,9781442310223,Japanese 1,10,08R,M,飲みたくありません。,nomitaku arimasen.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0212.mp3,6
213,213,JP,9781442310223,Japanese 1,10,09Q,N,I want to drink.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0213.mp3,6
214,214,JP,9781442310223,Japanese 1,10,09R,M,飲みたいです。,nomitai desu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0214.mp3,6
215,215,JP,9781442310223,Japanese 1,10,10Q,N,Eight o'clock is a little bit ---,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0215.mp3,"12,13,17"
216,216,JP,9781442310223,Japanese 1,10,10R,M,八時はちょっと---,hachi ji wa chotto ---,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0216.mp3,"12,13,17"
217,217,JP,9781442310223,Japanese 1,10,11Q,N,What time is it?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0217.mp3,"7,9,12,17"
218,218,JP,9781442310223,Japanese 1,10,11R,M,何時ですか。,nan ji desu ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0218.mp3,"7,9,12,17"
219,219,JP,9781442310223,Japanese 1,11,01Q,N,Or at four o'clock?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0219.mp3,"12,17"
220,220,JP,9781442310223,Japanese 1,11,01R,M,それとも４時に？,soretomo yo ji ni?,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0220.mp3,"12,17"
221,221,JP,9781442310223,Japanese 1,11,02Q,N,At three o’clock I want to drink.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0221.mp3,"6,12,17"
222,222,JP,9781442310223,Japanese 1,11,02R,F,三時に飲みたいです。,san ji ni nomitai desu.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0222.mp3,"6,12,17"
223,223,JP,9781442310223,Japanese 1,11,03Q,N,What time is it now?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0223.mp3,"7,9,16,17"
224,224,JP,9781442310223,Japanese 1,11,03R,F,今何時ですか。,ima nan ji desu ka.,5,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0224.mp3,"7,9,16,17"
225,225,JP,9781442310223,Japanese 1,11,04Q,N,Won’t you have dinner?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0225.mp3,6
226,226,JP,9781442310223,Japanese 1,11,04R,F,晩ご飯を食べませんか。,bangohan o tabemasen ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0226.mp3,6
227,227,JP,9781442310223,Japanese 1,11,05Q,N,I want to eat at ten o’clock.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0227.mp3,"6,12,17"
228,228,JP,9781442310223,Japanese 1,11,05R,F,十時に食べたいです。,ju ji ni tabetai desu.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0228.mp3,"6,12,17"
229,229,JP,9781442310223,Japanese 1,11,06Q,N,How about tomorrow?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0229.mp3,"7,17"
230,230,JP,9781442310223,Japanese 1,11,06R,F,明日は？,ashita wa?,2,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0230.mp3,"7,17"
231,231,JP,9781442310223,Japanese 1,11,07Q,N,Tomorrow evening at seven o’clock.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0231.mp3,"9,12,17"
232,232,JP,9781442310223,Japanese 1,11,07R,F,明日の晩七時に。,ashita no ban shichi ji ni.,6,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0232.mp3,"9,12,17"
233,233,JP,9781442310223,Japanese 1,11,08Q,N,"Listen, please.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0233.mp3,"7,16"
234,234,JP,9781442310223,Japanese 1,11,08R,M,聞いて下さい。,kiite kudasai.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0234.mp3,"7,16"
235,235,JP,9781442310223,Japanese 1,11,09Q,N,"Repeat, please.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0235.mp3,"7,16"
236,236,JP,9781442310223,Japanese 1,11,09R,M,繰り返して下さい。,kurikaeshite kudasai.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0236.mp3,"7,16"
237,237,JP,9781442310223,Japanese 1,11,10Q,N,Tomorrow is a little bit ---,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0237.mp3,"7,13,17"
238,238,JP,9781442310223,Japanese 1,11,10R,M,明日はちょっと ---,ashita wa chotto ---,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0238.mp3,"7,13,17"
239,239,JP,9781442310223,Japanese 1,11,11Q,N,"Then, how about tomorrow evening?",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0239.mp3,"7,17"
240,240,JP,9781442310223,Japanese 1,11,11R,M,じゃあ、明日の晩は？,"jaa, ashita no ban wa?",5,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0240.mp3,"7,17"
241,241,JP,9781442310223,Japanese 1,12,01Q,N,"In that case, later.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0241.mp3,"7,17"
242,242,JP,9781442310223,Japanese 1,12,01R,M,じゃあ、あとで。,"jaa, atode.",2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0242.mp3,"7,17"
243,243,JP,9781442310223,Japanese 1,12,02Q,N,See you tomorrow.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0243.mp3,"7,16,17"
244,244,JP,9781442310223,Japanese 1,12,02R,F,じゃあ、また明日。,"jaa, mata ashita.",3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0244.mp3,"7,16,17"
245,245,JP,9781442310223,Japanese 1,12,03Q,N,Hello (on the phone).,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0245.mp3,"7,10,16"
246,246,JP,9781442310223,Japanese 1,12,03R,F,もしもし。,moshi moshi.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0246.mp3,"7,10,16"
247,247,JP,9781442310223,Japanese 1,12,04Q,N,I want to eat with you.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0247.mp3,6
248,248,JP,9781442310223,Japanese 1,12,04R,F,あなたと食べたいです。,anata to tabetai desu.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0248.mp3,6
249,249,JP,9781442310223,Japanese 1,12,05Q,N,"As for today, I’m not going to have lunch.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0249.mp3,"6,17"
250,250,JP,9781442310223,Japanese 1,12,05R,F,今日は昼ご飯を食べません。,kyo wa hirugohan o tabemasen.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0250.mp3,"6,17"
251,251,JP,9781442310223,Japanese 1,12,06Q,N,"As for today, I don't want to eat.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0251.mp3,"6,17"
252,252,JP,9781442310223,Japanese 1,12,06R,F,今日は食べたくありません。,kyo wa tabetaku arimasen.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0252.mp3,"6,17"
253,253,JP,9781442310223,Japanese 1,12,07Q,N,Would you like to drink sake too?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0253.mp3,"6,7,17"
254,254,JP,9781442310223,Japanese 1,12,07R,F,お酒も飲みますか。,osake mo nomimasu ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0254.mp3,"6,7,17"
255,255,JP,9781442310223,Japanese 1,12,08Q,N,"As for tonight, I don’t want to drink.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0255.mp3,"6,17"
256,256,JP,9781442310223,Japanese 1,12,08R,M,今晩は飲みたくありません。,konban wa nomitaku arimasen.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0256.mp3,"6,17"
257,257,JP,9781442310223,Japanese 1,12,09Q,N,How much is it?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0257.mp3,"9,14,16"
258,258,JP,9781442310223,Japanese 1,12,09R,M,いくらですか。,ikura desu ka.,3,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0258.mp3,"9,14,16"
259,259,JP,9781442310223,Japanese 1,12,10Q,N,It's two thousand yen.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0259.mp3,"11,12"
260,260,JP,9781442310223,Japanese 1,12,10R,M,二千円です。,ni sen en desu.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0260.mp3,"11,12"
261,261,JP,9781442310223,Japanese 1,12,11Q,N,Is it six thousand yen?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0261.mp3,"11,12"
262,262,JP,9781442310223,Japanese 1,12,11R,M,六千円ですか。,roku sen en desu ka.,5,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0262.mp3,"11,12"
263,263,JP,9781442310223,Japanese 1,13,01Q,N,How many yen do you have?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0263.mp3,"9,11"
264,264,JP,9781442310223,Japanese 1,13,01R,M,円をいくら持っていますか。,en o ikura motte imasu ka.,6,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0264.mp3,"9,11"
265,265,JP,9781442310223,Japanese 1,13,02Q,N,I don’t have any yen.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0265.mp3,"9,11"
266,266,JP,9781442310223,Japanese 1,13,02R,F,円を持っていません。,en o motte imasen.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0266.mp3,"9,11"
267,267,JP,9781442310223,Japanese 1,13,03Q,N,I have fifteen dollars.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0267.mp3,"9,11,12"
268,268,JP,9781442310223,Japanese 1,13,03R,F,十五ドル持っています。,ju go doru motte imasu.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0268.mp3,"9,11,12"
269,269,JP,9781442310223,Japanese 1,13,04Q,N,Good evening.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0269.mp3,"7,10,16"
270,270,JP,9781442310223,Japanese 1,13,04R,F,今晩は。,konbanwa.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0270.mp3,"7,10,16"
271,271,JP,9781442310223,Japanese 1,13,05Q,N,"As for today, what are you going to do?",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0271.mp3,17
272,272,JP,9781442310223,Japanese 1,13,05R,F,今日は何をしますか。,kyo wa nani o shimasu ka.,6,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0272.mp3,17
273,273,JP,9781442310223,Japanese 1,13,06Q,N,"As for tonight, what are you going to do?",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0273.mp3,17
274,274,JP,9781442310223,Japanese 1,13,06R,F,今晩は何をしますか。,konban wa nani o shimasu ka.,6,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0274.mp3,17
275,275,JP,9781442310223,Japanese 1,13,07Q,N,How much money do you have?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0275.mp3,"9,11,14"
276,276,JP,9781442310223,Japanese 1,13,07R,M,お金をいくら持っていますか。,okane o ikura motte imasu ka.,6,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0276.mp3,"9,11,14"
277,277,JP,9781442310223,Japanese 1,13,08Q,N,I have three thousand yen.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0277.mp3,"11,12"
278,278,JP,9781442310223,Japanese 1,13,08R,M,三千円もっています。,san zen en motte imasu.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0278.mp3,"11,12"
279,279,JP,9781442310223,Japanese 1,13,09Q,N,"In dollars, how much is it?",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0279.mp3,"11,14"
280,280,JP,9781442310223,Japanese 1,13,09R,M,ドルでいくらですか。,doru de ikura desu ka.,5,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0280.mp3,"11,14"
281,281,JP,9781442310223,Japanese 1,13,10Q,N,Here you are.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0281.mp3,"7,13,16"
282,282,JP,9781442310223,Japanese 1,13,10R,M,はい、どうぞ。,"hai, dozo.",2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0282.mp3,"7,13,16"
283,283,JP,9781442310223,Japanese 1,13,11Q,N,I don’t have any.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0283.mp3,9
284,284,JP,9781442310223,Japanese 1,13,11R,M,持っていません。,motte imasen.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0284.mp3,9
285,285,JP,9781442310223,Japanese 1,14,01Q,N,"Give me a beer, please.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0285.mp3,"6,13"
286,286,JP,9781442310223,Japanese 1,14,01R,M,ビールを下さい。,biiru o kudasai.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0286.mp3,"6,13"
287,287,JP,9781442310223,Japanese 1,14,02Q,N,Is there beer?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0287.mp3,"6,9"
288,288,JP,9781442310223,Japanese 1,14,02R,F,ビールはありますか。,biiru wa arimasu ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0288.mp3,"6,9"
289,289,JP,9781442310223,Japanese 1,14,03Q,N,I’ll give you fifteen dollars.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0289.mp3,"11,12"
290,290,JP,9781442310223,Japanese 1,14,03R,F,十五ドル上げます。,ju go doru agemasu.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0290.mp3,"11,12"
291,291,JP,9781442310223,Japanese 1,14,04Q,N,I’m giving you ten dollars.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0291.mp3,"11,12"
292,292,JP,9781442310223,Japanese 1,14,04R,F,十ドルあげます。,ju doru agemasu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0292.mp3,"11,12"
293,293,JP,9781442310223,Japanese 1,14,05Q,N,I have a few yen.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0293.mp3,"11,14"
294,294,JP,9781442310223,Japanese 1,14,05R,F,円を少し持っています。,en o sukoshi motte imasu.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0294.mp3,"11,14"
295,295,JP,9781442310223,Japanese 1,14,06Q,N,I want three thousand yen.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0295.mp3,"11,12"
296,296,JP,9781442310223,Japanese 1,14,06R,F,三千円ほしいです。,san zen en hoshii desu.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0296.mp3,"11,12"
297,297,JP,9781442310223,Japanese 1,14,07Q,N,Here are five thousand yen.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0297.mp3,"11,12"
298,298,JP,9781442310223,Japanese 1,14,07R,F,はい、五千円です。,"hai, go sen en desu.",5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0298.mp3,"11,12"
299,299,JP,9781442310223,Japanese 1,14,08Q,N,I have a lot of yen.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0299.mp3,"9,11"
300,300,JP,9781442310223,Japanese 1,14,08R,M,円をたくさん持っています。,en o takusan motte imasu.,5,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0300.mp3,"9,11"
301,301,JP,9781442310223,Japanese 1,14,09Q,N,"As for sake, is there any?",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0301.mp3,"6,9"
302,302,JP,9781442310223,Japanese 1,14,09R,M,お酒はありますか。,osake wa arimasu ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0302.mp3,"6,9"
303,303,JP,9781442310223,Japanese 1,14,10Q,N,"Give me a few dollars, please.",,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0303.mp3,"11,14"
304,304,JP,9781442310223,Japanese 1,14,10R,M,ドルを少し下さい。,doru o sukoshi kudasai.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0304.mp3,"11,14"
305,305,JP,9781442310223,Japanese 1,14,11Q,N,I'll give you a few yen.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0305.mp3,"7,11"
