"Rec #","Lang","ISBN-13","Course","Unit Num","start","stop","QZ #","line #","spkr","Cue","#of words","Q or S","Course Name (Source)","Skills"
"160","IT","978-1-4423-5036-6","Italian 2","8","0:22:10","0:22:12","06R","231","M","Per i miei amici americani.","5","S","Italian Phase 2, units 1 - 30 (2004)","5"
"161","IT","978-1-4423-5036-6","Italian 2","8","0:23:43","0:23:45","07Q","246","N","Until seven o’clock.","","","Italian Phase 2, units 1 - 30 (2004)","12,17"
"162","IT","978-1-4423-5036-6","Italian 2","8","0:23:47","0:23:48","07R","247","F","Fino alle sette.","3","S","Italian Phase 2, units 1 - 30 (2004)","12,17"
"163","IT","978-1-4423-5036-6","Italian 2","8","0:24:15","0:24:17","08Q","251","N","Would you like to drink something afterward?","","","Italian Phase 2, units 1 - 30 (2004)","6"
"164","IT","978-1-4423-5036-6","Italian 2","8","0:24:21","0:24:23","08R","252","M","Vorrebbe bere qualcosa dopo?","4","Q","Italian Phase 2, units 1 - 30 (2004)","6"
"165","IT","978-1-4423-5036-6","Italian 2","8","0:24:55","0:24:56","09Q","257","N","Why not before?","","","Italian Phase 2, units 1 - 30 (2004)","7"
"166","IT","978-1-4423-5036-6","Italian 2","8","0:25:00","0:25:01","09R","258","F","Perché non prima?","3","Q","Italian Phase 2, units 1 - 30 (2004)","7"
"167","IT","978-1-4423-5036-6","Italian 2","9","0:09:50","0:09:51","01Q","112","N","Here’s a letter for you.","","","Italian Phase 2, units 1 - 30 (2004)","3"
"168","IT","978-1-4423-5036-6","Italian 2","9","0:09:55","0:09:56","01R","113","F","Ecco una lettera per Lei.","5","S","Italian Phase 2, units 1 - 30 (2004)","3"
"169","IT","978-1-4423-5036-6","Italian 2","9","0:10:01","0:10:02","02Q","114","N","For whom?","","","Italian Phase 2, units 1 - 30 (2004)","7,16"
"170","IT","978-1-4423-5036-6","Italian 2","9","0:10:05","0:10:05","02R","115","M","Per chi?","2","Q","Italian Phase 2, units 1 - 30 (2004)","7,16"
"171","IT","978-1-4423-5036-6","Italian 2","9","0:10:27","0:10:27","03Q","120","N","From whom?","","","Italian Phase 2, units 1 - 30 (2004)","7,16"
"172","IT","978-1-4423-5036-6","Italian 2","9","0:10:30","0:10:31","03R","121","M","Di chi?","2","Q","Italian Phase 2, units 1 - 30 (2004)","7,16"
"173","IT","978-1-4423-5036-6","Italian 2","9","0:12:43","0:12:44","04Q","140","N","Is he coming by himself?","","","Italian Phase 2, units 1 - 30 (2004)","7,18"
"174","IT","978-1-4423-5036-6","Italian 2","9","0:12:47","0:12:48","04R","141","F","Viene da solo?","3","Q","Italian Phase 2, units 1 - 30 (2004)","7,18"
"175","IT","978-1-4423-5036-6","Italian 2","9","0:13:32","0:13:33","05Q","148","N","He likes Italy.","","","Italian Phase 2, units 1 - 30 (2004)","9"
"176","IT","978-1-4423-5036-6","Italian 2","9","0:13:37","0:13:38","05R","149","M","Gli piace l’italia.","3","S","Italian Phase 2, units 1 - 30 (2004)","9"
"177","IT","978-1-4423-5036-6","Italian 2","9","0:14:56","0:14:57","06Q","162","N","When are they arriving?","","","Italian Phase 2, units 1 - 30 (2004)","9,16,17,18"
"178","IT","978-1-4423-5036-6","Italian 2","9","0:14:59","0:15:00","06R","163","F","Quando arrivano?","2","Q","Italian Phase 2, units 1 - 30 (2004)","9,16,17,18"
"179","IT","978-1-4423-5036-6","Italian 2","9","0:15:25","0:15:25","07Q","167","N","Monday.","","","Italian Phase 2, units 1 - 30 (2004)","17"
"180","IT","978-1-4423-5036-6","Italian 2","9","0:15:28","0:15:29","07R","168","M","Lunedì.","1","S","Italian Phase 2, units 1 - 30 (2004)","17"
"181","IT","978-1-4423-5036-6","Italian 2","9","0:18:50","0:18:51","08Q","197","N","At ten to five.","","","Italian Phase 2, units 1 - 30 (2004)","12"
"182","IT","978-1-4423-5036-6","Italian 2","9","0:18:56","0:18:58","08R","198","M","Alle cinque meno dieci.","4","S","Italian Phase 2, units 1 - 30 (2004)","12"
"183","IT","978-1-4423-5036-6","Italian 2","9","0:23:43","0:23:43","09Q","246","N","Tuesday.","","","Italian Phase 2, units 1 - 30 (2004)","17"
"184","IT","978-1-4423-5036-6","Italian 2","9","0:23:45","0:23:46","09R","247","M","Martedì.","1","S","Italian Phase 2, units 1 - 30 (2004)","17"
"185","IT","978-1-4423-5036-6","Italian 2","10","0:04:20","0:04:21","01Q","59","N","Let’s go into town together.","","","Italian Phase 2, units 1 - 30 (2004)","1,18"
"186","IT","978-1-4423-5036-6","Italian 2","10","0:04:24","0:04:26","01R","60","M","Andiamo in città insieme.","4","S","Italian Phase 2, units 1 - 30 (2004)","1,18"
"187","IT","978-1-4423-5036-6","Italian 2","10","0:04:51","0:04:52","02Q","65","N","I don’t want to take the subway.","","","Italian Phase 2, units 1 - 30 (2004)","18"
"188","IT","978-1-4423-5036-6","Italian 2","10","0:04:57","0:04:59","02R","66","F","Non voglio prendere la metropolitana.","5","S","Italian Phase 2, units 1 - 30 (2004)","18"
"189","IT","978-1-4423-5036-6","Italian 2","10","0:05:20","0:05:21","03Q","71","N","Let’s take your car.","","","Italian Phase 2, units 1 - 30 (2004)","18"
"190","IT","978-1-4423-5036-6","Italian 2","10","0:05:24","0:05:25","03R","72","M","Prendiamo la Sua macchina.","4","S","Italian Phase 2, units 1 - 30 (2004)","18"
"191","IT","978-1-4423-5036-6","Italian 2","10","0:11:12","0:11:13","04Q","132","N","Can we eat a little later?","","","Italian Phase 2, units 1 - 30 (2004)","6,12,17"
"192","IT","978-1-4423-5036-6","Italian 2","10","0:11:17","0:11:19","04R","133","M","Possiamo mangiare un po’ più tardi?","6","Q","Italian Phase 2, units 1 - 30 (2004)","6,12,17"
"193","IT","978-1-4423-5036-6","Italian 2","10","0:11:59","0:12:01","05Q","141","N","The shops are open until eight o’clock.","","","Italian Phase 2, units 1 - 30 (2004)","12,14,17"
"194","IT","978-1-4423-5036-6","Italian 2","10","0:12:06","0:12:08","05R","142","M","I negozi sono aperti fino alle otto.","7","S","Italian Phase 2, units 1 - 30 (2004)","12,14,17"
"195","IT","978-1-4423-5036-6","Italian 2","10","0:13:00","0:13:01","06Q","150","N","It doesn’t matter.","","","Italian Phase 2, units 1 - 30 (2004)","7,16"
"196","IT","978-1-4423-5036-6","Italian 2","10","0:13:09","0:13:10","06R","151","F","Non importa.","2","S","Italian Phase 2, units 1 - 30 (2004)","7,16"
"197","IT","978-1-4423-5036-6","Italian 2","10","0:15:33","0:15:34","07Q","177","N","He doesn’t like to travel.","","","Italian Phase 2, units 1 - 30 (2004)","9,18"
"198","IT","978-1-4423-5036-6","Italian 2","10","0:15:36","0:15:38","07R","178","F","Non gli piace viaggiare.","4","S","Italian Phase 2, units 1 - 30 (2004)","9,18"
"199","IT","978-1-4423-5036-6","Italian 2","10","0:23:01","0:23:02","08Q","249","N","He prefers to stay at home.","","","Italian Phase 2, units 1 - 30 (2004)","18"
"200","IT","978-1-4423-5036-6","Italian 2","10","0:23:06","0:23:08","08R","250","F","Preferisce restare a casa.","4","S","Italian Phase 2, units 1 - 30 (2004)","18"
"201","IT","978-1-4423-5036-6","Italian 2","10","0:23:43","0:23:44","09Q","256","N","I prefer to travel.","","","Italian Phase 2, units 1 - 30 (2004)","9,18"
"202","IT","978-1-4423-5036-6","Italian 2","10","0:23:47","0:23:48","09R","257","F","Preferisco viaggiare.","2","S","Italian Phase 2, units 1 - 30 (2004)","9,18"
"203","IT","978-1-4423-5036-6","Italian 2","10","0:25:11","0:25:14","10Q","272","N","Would you like to go to the movies with me Friday?","","","Italian Phase 2, units 1 - 30 (2004)","1,17"
"204","IT","978-1-4423-5036-6","Italian 2","10","0:25:19","0:25:21","10R","273","M","Vorrebbe andare al cinema con me venerdì?","7","Q","Italian Phase 2, units 1 - 30 (2004)","1,17"
"205","IT","978-1-4423-5036-6","Italian 2","11","0:07:41","0:07:42","01Q","95","N","Who’s this letter from?","","","Italian Phase 2, units 1 - 30 (2004)","3"
"206","IT","978-1-4423-5036-6","Italian 2","11","0:07:48","0:07:50","01R","96","M","Di chi è questa lettera?","5","Q","Italian Phase 2, units 1 - 30 (2004)","3"
"207","IT","978-1-4423-5036-6","Italian 2","11","0:08:16","0:08:18","02Q","101","N","She’s coming here with some friends.","","","Italian Phase 2, units 1 - 30 (2004)","5,18"
"208","IT","978-1-4423-5036-6","Italian 2","11","0:08:21","0:08:23","02R","102","F","Viene qui con degli amici.","5","S","Italian Phase 2, units 1 - 30 (2004)","5,18"
"209","IT","978-1-4423-5036-6","Italian 2","11","0:11:30","0:11:30","03Q","134","N","When are you going?","","","Italian Phase 2, units 1 - 30 (2004)","16,17"
"210","IT","978-1-4423-5036-6","Italian 2","11","0:11:35","0:11:36","03R","135","F","Quando vai?","2","Q","Italian Phase 2, units 1 - 30 (2004)","16,17"
"211","IT","978-1-4423-5036-6","Italian 2","11","0:16:45","0:16:46","04Q","185","N","That’s nice of you.","","","Italian Phase 2, units 1 - 30 (2004)","13,16"
"212","IT","978-1-4423-5036-6","Italian 2","11","0:16:48","0:16:50","04R","186","F","È gentile da parte tua.","5","S","Italian Phase 2, units 1 - 30 (2004)","13,16"
"213","IT","978-1-4423-5036-6","Italian 2","11","0:17:26","0:17:28","05Q","190","N","I like to go to the movies.","","","Italian Phase 2, units 1 - 30 (2004)","1"
"214","IT","978-1-4423-5036-6","Italian 2","11","0:17:31","0:17:33","05R","191","F","Mi piace andare al cinema.","5","S","Italian Phase 2, units 1 - 30 (2004)","1"
"215","IT","978-1-4423-5036-6","Italian 2","11","0:18:14","0:18:16","06Q","199","N","You can invite me to go to the concert.","","","Italian Phase 2, units 1 - 30 (2004)","1"
"216","IT","978-1-4423-5036-6","Italian 2","11","0:18:19","0:18:21","06R","200","F","Mi puoi invitare ad andare al concerto.","7","S","Italian Phase 2, units 1 - 30 (2004)","1"
"217","IT","978-1-4423-5036-6","Italian 2","11","0:19:55","0:19:57","07Q","214","N","At what time does the concert begin?","","","Italian Phase 2, units 1 - 30 (2004)","1,17"
"218","IT","978-1-4423-5036-6","Italian 2","11","0:19:59","0:20:01","07R","215","F","A che ora comincia il concerto?","6","Q","Italian Phase 2, units 1 - 30 (2004)","1,17"
"219","IT","978-1-4423-5036-6","Italian 2","11","0:21:09","0:21:09","08Q","226","N","Nine P.M.","","","Italian Phase 2, units 1 - 30 (2004)","12"
"220","IT","978-1-4423-5036-6","Italian 2","11","0:21:14","0:21:15","08R","227","F","Le ventuno","2","S","Italian Phase 2, units 1 - 30 (2004)","12"
"221","IT","978-1-4423-5036-6","Italian 2","11","0:21:37","0:21:38","09Q","230","N","At seven P.M.?","","","Italian Phase 2, units 1 - 30 (2004)","12"
"222","IT","978-1-4423-5036-6","Italian 2","11","0:21:41","0:21:42","09R","231","M","Alle diciannove?","2","Q","Italian Phase 2, units 1 - 30 (2004)","12"
"223","IT","978-1-4423-5036-6","Italian 2","11","0:28:30","0:28:32","10Q","290","N","You can come at five o’clock.","","","Italian Phase 2, units 1 - 30 (2004)","12,17"
"224","IT","978-1-4423-5036-6","Italian 2","11","0:28:37","0:28:38","10R","291","M","Puoi venire alle cinque.","4","S","Italian Phase 2, units 1 - 30 (2004)","12,17"
"225","IT","978-1-4423-5036-6","Italian 2","12","0:01:59","0:02:02","01Q","34","N","Would you like to go to a concert with me on Saturday?","","","Italian Phase 2, units 1 - 30 (2004)","1,17"
"226","IT","978-1-4423-5036-6","Italian 2","12","0:02:06","0:02:08","01R","35","F","Vorresti andare al concerto con me sabato?","7","Q","Italian Phase 2, units 1 - 30 (2004)","1,17"
"227","IT","978-1-4423-5036-6","Italian 2","12","0:06:06","0:06:08","02Q","74","N","Do you have time for a coffee on Friday?","","","Italian Phase 2, units 1 - 30 (2004)","6,17"
"228","IT","978-1-4423-5036-6","Italian 2","12","0:06:12","0:06:13","02R","75","M","Hai tempo per un caffè venerdì?","6","Q","Italian Phase 2, units 1 - 30 (2004)","6,17"
"229","IT","978-1-4423-5036-6","Italian 2","12","0:12:11","0:12:13","03Q","135","N","Would you like to come visit her at my place?","","","Italian Phase 2, units 1 - 30 (2004)","1,18"
"230","IT","978-1-4423-5036-6","Italian 2","12","0:12:17","0:12:19","03R","136","F","La vorresti venire a trovare da me?","7","Q","Italian Phase 2, units 1 - 30 (2004)","1,18"
"231","IT","978-1-4423-5036-6","Italian 2","12","0:20:10","0:20:11","04Q","210","N","He’s coming in a few minutes.","","","Italian Phase 2, units 1 - 30 (2004)","12,17,18"
"232","IT","978-1-4423-5036-6","Italian 2","12","0:20:15","0:20:16","04R","211","F","Viene fra qualche minuto.","4","S","Italian Phase 2, units 1 - 30 (2004)","12,17,18"
"233","IT","978-1-4423-5036-6","Italian 2","12","0:20:20","0:20:21","05Q","212","N","He’s not here at the moment.","","","Italian Phase 2, units 1 - 30 (2004)","7,10"
"234","IT","978-1-4423-5036-6","Italian 2","12","0:20:24","0:20:27","05R","213","F","Non è qui in questo momento.","6","S","Italian Phase 2, units 1 - 30 (2004)","7,10"
"235","IT","978-1-4423-5036-6","Italian 2","12","0:25:01","0:25:02","06Q","261","N","Would you like a cup of coffee?","","","Italian Phase 2, units 1 - 30 (2004)","6,16"
"236","IT","978-1-4423-5036-6","Italian 2","12","0:25:06","0:25:07","06R","262","F","Vorrebbe una tazza di caffè?","5","Q","Italian Phase 2, units 1 - 30 (2004)","6,16"
"237","IT","978-1-4423-5036-6","Italian 2","12","0:26:08","0:26:10","07Q","272","N","I prefer coffee without sugar.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"238","IT","978-1-4423-5036-6","Italian 2","12","0:26:14","0:26:16","07R","273","M","Preferisco il caffè senza zucchero.","5","S","Italian Phase 2, units 1 - 30 (2004)","6"
"239","IT","978-1-4423-5036-6","Italian 2","12","0:27:02","0:27:05","08Q","282","N","With a little milk, but without sugar.","","","Italian Phase 2, units 1 - 30 (2004)","6,12"
"240","IT","978-1-4423-5036-6","Italian 2","12","0:27:08","0:27:11","08R","283","M","Con un po’ di latte, ma senza zucchero.","5","S","Italian Phase 2, units 1 - 30 (2004)","6,12"
"241","IT","978-1-4423-5036-6","Italian 2","12","0:29:15","0:29:18","09Q","303","N","I have to work in the office until six o’clock.","","","Italian Phase 2, units 1 - 30 (2004)","12,17,20"
"242","IT","978-1-4423-5036-6","Italian 2","12","0:29:22","0:29:25","09R","304","M","Devo lavorare in ufficio fino alle sei.","7","S","Italian Phase 2, units 1 - 30 (2004)","12,17,20"
"243","IT","978-1-4423-5036-6","Italian 2","12","0:29:37","0:29:38","10Q","306","N","You like to work a lot.","","","Italian Phase 2, units 1 - 30 (2004)","12,20"
"244","IT","978-1-4423-5036-6","Italian 2","12","0:29:41","0:29:43","10R","307","F","Ti piace lavorare molto.","4","S","Italian Phase 2, units 1 - 30 (2004)","12,20"
"245","IT","978-1-4423-5036-6","Italian 2","13","0:05:12","0:05:14","01Q","66","N","Can we go to see a movie this evening?","","","Italian Phase 2, units 1 - 30 (2004)","1,17"
"246","IT","978-1-4423-5036-6","Italian 2","13","0:05:18","0:05:20","01R","67","F","Possiamo andare a vedere un film questa sera?","8","Q","Italian Phase 2, units 1 - 30 (2004)","1,17"
"247","IT","978-1-4423-5036-6","Italian 2","13","0:10:50","0:10:52","02Q","124","N","Would you like some chocolate cake?","","","Italian Phase 2, units 1 - 30 (2004)","6"
"248","IT","978-1-4423-5036-6","Italian 2","13","0:10:56","0:10:58","02R","125","M","Vorresti della torta al cioccolato?","5","Q","Italian Phase 2, units 1 - 30 (2004)","6"
"249","IT","978-1-4423-5036-6","Italian 2","13","0:12:40","0:12:41","03Q","143","N","Here’s your coffee.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"250","IT","978-1-4423-5036-6","Italian 2","13","0:12:43","0:12:44","03R","144","M","Ecco il tuo caffè.","4","S","Italian Phase 2, units 1 - 30 (2004)","6"
"251","IT","978-1-4423-5036-6","Italian 2","13","0:13:21","0:13:23","04Q","150","N","The chocolate cake is very good.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"252","IT","978-1-4423-5036-6","Italian 2","13","0:13:25","0:13:27","04R","151","F","La torta al cioccolato è molto buona.","7","S","Italian Phase 2, units 1 - 30 (2004)","6"
"253","IT","978-1-4423-5036-6","Italian 2","13","0:13:59","0:14:00","05Q","156","N","Is there any sugar?","","","Italian Phase 2, units 1 - 30 (2004)","6"
"254","IT","978-1-4423-5036-6","Italian 2","13","0:14:02","0:14:03","05R","157","F","C’è dello zucchero?","3","Q","Italian Phase 2, units 1 - 30 (2004)","6"
"255","IT","978-1-4423-5036-6","Italian 2","13","0:15:21","0:15:23","06Q","170","N","I take coffee without milk.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"256","IT","978-1-4423-5036-6","Italian 2","13","0:15:27","0:15:29","06R","171","F","Prendo il caffè senza latte.","5","S","Italian Phase 2, units 1 - 30 (2004)","6"
"257","IT","978-1-4423-5036-6","Italian 2","13","0:19:54","0:19:57","07Q","219","N","I’m going on vacation in January or February.","","","Italian Phase 2, units 1 - 30 (2004)","17,18"
"258","IT","978-1-4423-5036-6","Italian 2","13","0:20:02","0:20:05","07R","220","F","Vado in vacanza in gennaio o febbraio.","7","S","Italian Phase 2, units 1 - 30 (2004)","17,18"
"259","IT","978-1-4423-5036-6","Italian 2","13","0:25:08","0:25:09","08Q","271","N","Can you wait a few minutes?","","","Italian Phase 2, units 1 - 30 (2004)","12,17"
"260","IT","978-1-4423-5036-6","Italian 2","13","0:25:13","0:25:14","08R","272","M","Puoi aspettare qualche minuto?","4","Q","Italian Phase 2, units 1 - 30 (2004)","12,17"
"261","IT","978-1-4423-5036-6","Italian 2","13","0:27:01","0:27:03","09Q","291","N","Or perhaps you prefer some water?","","","Italian Phase 2, units 1 - 30 (2004)","6"
"262","IT","978-1-4423-5036-6","Italian 2","13","0:27:07","0:27:08","09R","292","M","O forse preferisce dell’acqua?","4","Q","Italian Phase 2, units 1 - 30 (2004)","6"
"263","IT","978-1-4423-5036-6","Italian 2","13","0:29:23","0:29:27","10Q","361","N","I think that I can go on Thursday.","","","Italian Phase 2, units 1 - 30 (2004)","17"
"264","IT","978-1-4423-5036-6","Italian 2","13","0:29:30","0:29:31","10R","362","M","Credo che posso andare giovedì.","5","S","Italian Phase 2, units 1 - 30 (2004)","17"
"265","IT","978-1-4423-5036-6","Italian 2","14","0:14:09","0:14:11","01Q","156","N","Well then, have a good trip!","","","Italian Phase 2, units 1 - 30 (2004)","13,16,18"
"266","IT","978-1-4423-5036-6","Italian 2","14","0:14:13","0:14:15","01R","157","F","Allora, buon viaggio!","3","S","Italian Phase 2, units 1 - 30 (2004)","13,16,18"
"267","IT","978-1-4423-5036-6","Italian 2","14","0:18:22","0:18:22","02Q","197","N","Let’s go.","","","Italian Phase 2, units 1 - 30 (2004)","16,18"
"268","IT","978-1-4423-5036-6","Italian 2","14","0:18:24","0:18:25","02R","198","F","Andiamo.","1","S","Italian Phase 2, units 1 - 30 (2004)","16,18"
"269","IT","978-1-4423-5036-6","Italian 2","14","0:19:10","0:19:11","03Q","207","N","That’s too bad!","","","Italian Phase 2, units 1 - 30 (2004)","13,16"
"270","IT","978-1-4423-5036-6","Italian 2","14","0:19:13","0:19:13","03R","208","M","Che peccato!","2","S","Italian Phase 2, units 1 - 30 (2004)","13,16"
"271","IT","978-1-4423-5036-6","Italian 2","14","0:20:30","0:20:32","04Q","221","N","His coffee isn’t cold.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"272","IT","978-1-4423-5036-6","Italian 2","14","0:20:35","0:20:37","04R","222","M","Il suo caffè non è freddo.","6","S","Italian Phase 2, units 1 - 30 (2004)","6"
"273","IT","978-1-4423-5036-6","Italian 2","14","0:22:25","0:22:27","05Q","238","N","Can you give this coffee to him?","","","Italian Phase 2, units 1 - 30 (2004)","6"
"274","IT","978-1-4423-5036-6","Italian 2","14","0:22:29","0:22:30","05R","239","M","Gli può dare questo caffè?","5","Q","Italian Phase 2, units 1 - 30 (2004)","6"
"275","IT","978-1-4423-5036-6","Italian 2","14","0:23:04","0:23:06","06Q","245","N","Is his coffee still hot?","","","Italian Phase 2, units 1 - 30 (2004)","6"
"276","IT","978-1-4423-5036-6","Italian 2","14","0:23:09","0:23:11","06R","246","F","Il suo caffè è ancora caldo?","6","Q","Italian Phase 2, units 1 - 30 (2004)","6"
"277","IT","978-1-4423-5036-6","Italian 2","14","0:23:40","0:23:42","07Q","252","N","His coffee is hot and it’s very good.","","","Italian Phase 2, units 1 - 30 (2004)","5,6"
"278","IT","978-1-4423-5036-6","Italian 2","14","0:23:46","0:23:49","07R","253","M","Il suo caffè è caldo ed è molto buono.","9","S","Italian Phase 2, units 1 - 30 (2004)","5,6"
"279","IT","978-1-4423-5036-6","Italian 2","14","0:26:34","0:26:36","08Q","283","N","I’m going with a friend.","","","Italian Phase 2, units 1 - 30 (2004)","5"
"280","IT","978-1-4423-5036-6","Italian 2","14","0:26:40","0:26:41","08R","284","M","Vado con un’amica.","3","S","Italian Phase 2, units 1 - 30 (2004)","5"
"281","IT","978-1-4423-5036-6","Italian 2","15","0:05:38","0:05:39","01Q","75","N","There are many things to see.","","","Italian Phase 2, units 1 - 30 (2004)","1,12,18"
"282","IT","978-1-4423-5036-6","Italian 2","15","0:05:42","0:05:44","01R","76","M","Ci sono molte cose da vedere.","6","S","Italian Phase 2, units 1 - 30 (2004)","1,12,18"
"283","IT","978-1-4423-5036-6","Italian 2","15","0:07:21","0:07:23","02Q","92","N","I’d like to leave next week.","","","Italian Phase 2, units 1 - 30 (2004)","9,17,18"
"284","IT","978-1-4423-5036-6","Italian 2","15","0:07:27","0:07:29","02R","93","M","Vorrei partire la settimana prossima.","5","S","Italian Phase 2, units 1 - 30 (2004)","9,17,18"
"285","IT","978-1-4423-5036-6","Italian 2","15","0:09:01","0:09:02","03Q","108","N","How’s the weather?","","","Italian Phase 2, units 1 - 30 (2004)","16"
"286","IT","978-1-4423-5036-6","Italian 2","15","0:09:04","0:09:05","03R","109","F","Che tempo fa?","3","Q","Italian Phase 2, units 1 - 30 (2004)","16"
"287","IT","978-1-4423-5036-6","Italian 2","15","0:11:18","0:11:19","04Q","131","N","The weather is very nice.","","","Italian Phase 2, units 1 - 30 (2004)","9"
"288","IT","978-1-4423-5036-6","Italian 2","15","0:11:22","0:11:23","04R","132","M","Fa molto bello.","3","S","Italian Phase 2, units 1 - 30 (2004)","9"
"289","IT","978-1-4423-5036-6","Italian 2","15","0:13:47","0:13:48","05Q","155","N","When are you going on vacation?","","","Italian Phase 2, units 1 - 30 (2004)","17,18"
"290","IT","978-1-4423-5036-6","Italian 2","15","0:13:51","0:13:52","05R","156","M","Quando va in vacanza?","4","Q","Italian Phase 2, units 1 - 30 (2004)","17,18"
"291","IT","978-1-4423-5036-6","Italian 2","15","0:14:02","0:14:05","06Q","159","N","I prefer to wait because I have too much work.","","","Italian Phase 2, units 1 - 30 (2004)","12,20"
"292","IT","978-1-4423-5036-6","Italian 2","15","0:14:10","0:14:12","06R","160","F","Preferisco aspettare perché ho troppo lavoro.","6","S","Italian Phase 2, units 1 - 30 (2004)","12,20"
"293","IT","978-1-4423-5036-6","Italian 2","15","0:17:33","0:17:34","07Q","195","N","Where do you want to go?","","","Italian Phase 2, units 1 - 30 (2004)","4,16,18"
"294","IT","978-1-4423-5036-6","Italian 2","15","0:17:37","0:17:38","07R","196","M","Dove vuole andare?","3","Q","Italian Phase 2, units 1 - 30 (2004)","4,16,18"
"295","IT","978-1-4423-5036-6","Italian 2","15","0:18:33","0:18:35","08Q","207","N","We know Switzerland very well.","","","Italian Phase 2, units 1 - 30 (2004)","18"
"296","IT","978-1-4423-5036-6","Italian 2","15","0:18:41","0:18:43","08R","208","F","Conosciamo molto bene la Svizzera.","5","S","Italian Phase 2, units 1 - 30 (2004)","18"
"297","IT","978-1-4423-5036-6","Italian 2","15","0:24:01","0:24:02","09Q","260","N","One chocolate ice cream, please.","","","Italian Phase 2, units 1 - 30 (2004)","6,12,13,16"
"298","IT","978-1-4423-5036-6","Italian 2","15","0:24:07","0:24:09","09R","261","M","Un gelato al cioccolato, per favore.","4","S","Italian Phase 2, units 1 - 30 (2004)","6,12,13,16"
"299","IT","978-1-4423-5036-6","Italian 2","15","0:24:56","0:24:59","10Q","268","N","A cake, and an iced coffee for me.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"300","IT","978-1-4423-5036-6","Italian 2","15","0:25:03","0:25:06","10R","269","F","Una torta, ed un caffè freddo per me.","8","S","Italian Phase 2, units 1 - 30 (2004)","6"
"301","IT","978-1-4423-5036-6","Italian 2","16","0:01:57","0:01:59","01Q","33","N","We’d like to invite you to have something to drink.","","","Italian Phase 2, units 1 - 30 (2004)","6"
"302","IT","978-1-4423-5036-6","Italian 2","16","0:02:04","0:02:06","01R","34","F","La vorremmo invitare a prendere qualcosa da bere.","8","S","Italian Phase 2, units 1 - 30 (2004)","6"
"303","IT","978-1-4423-5036-6","Italian 2","16","0:02:48","0:02:49","02Q","40","N","Can you come to our place tomorrow?","","","Italian Phase 2, units 1 - 30 (2004)","1,17"
"304","IT","978-1-4423-5036-6","Italian 2","16","0:02:53","0:02:54","02R","41","F","Può venire da noi domani?","5","Q","Italian Phase 2, units 1 - 30 (2004)","1,17"
"305","IT","978-1-4423-5036-6","Italian 2","16","0:11:19","0:11:19","03Q","123","N","Who knows?","","","Italian Phase 2, units 1 - 30 (2004)","16"
"306","IT","978-1-4423-5036-6","Italian 2","16","0:11:22","0:11:22","03R","124","F","Chissà?","1","Q","Italian Phase 2, units 1 - 30 (2004)","16"
"307","IT","978-1-4423-5036-6","Italian 2","16","0:13:14","0:13:16","04Q","141","N","She doesn’t have many vacations this year.","","","Italian Phase 2, units 1 - 30 (2004)","12,17,18"
"308","IT","978-1-4423-5036-6","Italian 2","16","0:13:20","0:13:22","04R","142","M","Non ha molte vacanze quest’anno.","5","S","Italian Phase 2, units 1 - 30 (2004)","12,17,18"
"309","IT","978-1-4423-5036-6","Italian 2","16","0:14:53","0:14:55","05Q","157","N","I don’t like it when it’s hot.","","","Italian Phase 2, units 1 - 30 (2004)","7"
"310","IT","978-1-4423-5036-6","Italian 2","16","0:14:59","0:15:00","05R","158","F","Non mi piace quando fa caldo.","6","S","Italian Phase 2, units 1 - 30 (2004)","7"
"311","IT","978-1-4423-5036-6","Italian 2","16","0:15:18","0:15:19","06Q","162","N","The trip is very beautiful.","","","Italian Phase 2, units 1 - 30 (2004)","18"
"312","IT","978-1-4423-5036-6","Italian 2","16","0:15:23","0:15:24","06R","163","M","Il viaggio è molto bello.","5","S","Italian Phase 2, units 1 - 30 (2004)","18"
"313","IT","978-1-4423-5036-6","Italian 2","16","0:20:16","0:20:18","07Q","214","N","Would you like an ice cream?","","","Italian Phase 2, units 1 - 30 (2004)","6"
"314","IT","978-1-4423-5036-6","Italian 2","16","0:20:21","0:20:22","07R","215","M","Vorrebbe un gelato?","3","Q","Italian Phase 2, units 1 - 30 (2004)","6"
"315","IT","978-1-4423-5036-6","Italian 2","16","0:20:34","0:20:35","08Q","218","N","It’s not really very hot.","","","Italian Phase 2, units 1 - 30 (2004)","9"
"316","IT","978-1-4423-5036-6","Italian 2","16","0:20:39","0:20:41","08R","219","F","Non fa veramente molto caldo.","5","S","Italian Phase 2, units 1 - 30 (2004)","9"
"317","IT","978-1-4423-5036-6","Italian 2","16","0:22:36","0:22:39","09Q","241","N","It wasn’t very expensive at one time.","","","Italian Phase 2, units 1 - 30 (2004)","11,14,17"
"318","IT","978-1-4423-5036-6","Italian 2","16","0:22:42","0:22:44","09R","242","M","Non era molto caro una volta.","6","S","Italian Phase 2, units 1 - 30 (2004)","11,14,17"
