Control #,Rec,Lang,Source ISBN,Course,Unit Num,StartTime,StopTime,Cluster,Qz #,Spkr,Cue,Snippet Name,Skills
349,349,IT,978-1-4423-6191-1,Italian 4,6,,,U06-04,04Q_C,N,It was an extraordinary painting.,9781442370579_Italian_4_QZ_0349.mp3,7
350,350,IT,978-1-4423-6191-1,Italian 4,6,,,U06-04,04R_C,M,Era un quadro straordinario.,9781442370579_Italian_4_QZ_0350.mp3,7
351,351,IT,978-1-4423-6191-1,Italian 4,6,,,U06-04,04Q_D,N,That’s an extraordinary story.,9781442370579_Italian_4_QZ_0351.mp3,3
352,352,IT,978-1-4423-6191-1,Italian 4,6,,,U06-04,04R_D,F,È una storia straordinaria.,9781442370579_Italian_4_QZ_0352.mp3,3
353,353,IT,978-1-4423-6191-1,Italian 4,6,,,U06-05,05Q_A,N,"While she was in Tuscany, something happened.",9781442370579_Italian_4_QZ_0353.mp3,18
354,354,IT,978-1-4423-6191-1,Italian 4,6,,,U06-05,05R_A,M,"Mentre era in Toscana, è successo qualcosa.",9781442370579_Italian_4_QZ_0354.mp3,18
355,355,IT,978-1-4423-6191-1,Italian 4,6,,,U06-05,05Q_B,N,"While she was in Tuscany, she got married.",9781442370579_Italian_4_QZ_0355.mp3,"1,5,18"
356,356,IT,978-1-4423-6191-1,Italian 4,6,,,U06-05,05R_B,F,"Mentre era in Toscana, si è sposata.",9781442370579_Italian_4_QZ_0356.mp3,"1,5,18"
357,357,IT,978-1-4423-6191-1,Italian 4,6,,,U06-05,05Q_C,N,"When she was little, something happened.",9781442370579_Italian_4_QZ_0357.mp3,"12,17"
358,358,IT,978-1-4423-6191-1,Italian 4,6,,,U06-05,05R_C,M,"Quando era piccola, è successo qualcosa.",9781442370579_Italian_4_QZ_0358.mp3,"12,17"
359,359,IT,978-1-4423-6191-1,Italian 4,6,,,U06-05,05Q_D,N,"While she was in Tuscany, she painted every day.",9781442370579_Italian_4_QZ_0359.mp3,"1,18"
360,360,IT,978-1-4423-6191-1,Italian 4,6,,,U06-05,05R_D,F,"Mentre era in Toscana, ha dipinto tutti i giorni.",9781442370579_Italian_4_QZ_0360.mp3,"1,18"
361,361,IT,978-1-4423-6191-1,Italian 4,6,,,U06-06,06Q_A,N,Thanks for coming.,9781442370579_Italian_4_QZ_0361.mp3,"13,16"
362,362,IT,978-1-4423-6191-1,Italian 4,6,,,U06-06,06R_A,M,Grazie di essere venuta.,9781442370579_Italian_4_QZ_0362.mp3,"13,16"
363,363,IT,978-1-4423-6191-1,Italian 4,6,,,U06-06,06Q_B,N,Pleased to meet you.,9781442370579_Italian_4_QZ_0363.mp3,"10,13,16"
364,364,IT,978-1-4423-6191-1,Italian 4,6,,,U06-06,06R_B,F,Piacere di conoscerLa.,9781442370579_Italian_4_QZ_0364.mp3,"10,13,16"
365,365,IT,978-1-4423-6191-1,Italian 4,6,,,U06-06,06Q_C,N,"Thank you, I see it.",9781442370579_Italian_4_QZ_0365.mp3,"13,16"
366,366,IT,978-1-4423-6191-1,Italian 4,6,,,U06-06,06R_C,M,"Grazie, la vedo.",9781442370579_Italian_4_QZ_0366.mp3,"13,16"
367,367,IT,978-1-4423-6191-1,Italian 4,6,,,U06-06,06Q_D,N,Thank you for the invitation.,9781442370579_Italian_4_QZ_0367.mp3,"13,16"
368,368,IT,978-1-4423-6191-1,Italian 4,6,,,U06-06,06R_D,F,Grazie per l’invito.,9781442370579_Italian_4_QZ_0368.mp3,"13,16"
369,369,IT,978-1-4423-6191-1,Italian 4,6,,,U06-07,07Q_A,N,She got married in Cortona.,9781442370579_Italian_4_QZ_0369.mp3,"1,18"
370,370,IT,978-1-4423-6191-1,Italian 4,6,,,U06-07,07R_A,M,Si è sposata a Cortona.,9781442370579_Italian_4_QZ_0370.mp3,"1,18"
371,371,IT,978-1-4423-6191-1,Italian 4,6,,,U06-07,07Q_B,N,She was born in Tuscany.,9781442370579_Italian_4_QZ_0371.mp3,"5,9,18"
372,372,IT,978-1-4423-6191-1,Italian 4,6,,,U06-07,07R_B,F,È nata in Toscana.,9781442370579_Italian_4_QZ_0372.mp3,"5,9,18"
373,373,IT,978-1-4423-6191-1,Italian 4,6,,,U06-07,07Q_C,N,Her husband lives in Cortona.,9781442370579_Italian_4_QZ_0373.mp3,5
374,374,IT,978-1-4423-6191-1,Italian 4,6,,,U06-07,07R_C,M,Suo marito abita a Cortona.,9781442370579_Italian_4_QZ_0374.mp3,5
375,375,IT,978-1-4423-6191-1,Italian 4,6,,,U06-07,07Q_D,N,She’s married to a chef from Cortona.,9781442370579_Italian_4_QZ_0375.mp3,"5,6,20"
376,376,IT,978-1-4423-6191-1,Italian 4,6,,,U06-07,07R_D,F,È sposata con uno chef di Cortona.,9781442370579_Italian_4_QZ_0376.mp3,"5,6,20"
377,377,IT,978-1-4423-6191-1,Italian 4,6,,,U06-08,08Q_A,N,Her friends introduced her to a chef.,9781442370579_Italian_4_QZ_0377.mp3,"5,6,10,20"
378,378,IT,978-1-4423-6191-1,Italian 4,6,,,U06-08,08R_A,M,I suoi amici le hanno presentato uno chef.,9781442370579_Italian_4_QZ_0378.mp3,"5,6,10,20"
379,379,IT,978-1-4423-6191-1,Italian 4,6,,,U06-08,08Q_B,N,Her parents introduced her to a chef.,9781442370579_Italian_4_QZ_0379.mp3,"5,6,10,20"
380,380,IT,978-1-4423-6191-1,Italian 4,6,,,U06-08,08R_B,F,I suoi genitori le hanno presentato uno chef.,9781442370579_Italian_4_QZ_0380.mp3,"5,6,10,20"
381,381,IT,978-1-4423-6191-1,Italian 4,6,,,U06-08,08Q_C,N,They introduced her to some friends.,9781442370579_Italian_4_QZ_0381.mp3,"5,10"
382,382,IT,978-1-4423-6191-1,Italian 4,6,,,U06-08,08R_C,M,Le hanno presentato degli amici.,9781442370579_Italian_4_QZ_0382.mp3,"5,10"
383,383,IT,978-1-4423-6191-1,Italian 4,6,,,U06-08,08Q_D,N,Her friends introduced her to her husband.,9781442370579_Italian_4_QZ_0383.mp3,"5,10"
384,384,IT,978-1-4423-6191-1,Italian 4,6,,,U06-08,08R_D,F,I suoi amici l’hanno presentata a suo marito.,9781442370579_Italian_4_QZ_0384.mp3,"5,10"
385,385,IT,978-1-4423-6191-1,Italian 4,7,,,U07-01,01Q_A,N,What is an agriturismo?,9781442370579_Italian_4_QZ_0385.mp3,"14,20"
386,386,IT,978-1-4423-6191-1,Italian 4,7,,,U07-01,01R_A,M,Che cos’è un agriturismo?,9781442370579_Italian_4_QZ_0386.mp3,"14,20"
387,387,IT,978-1-4423-6191-1,Italian 4,7,,,U07-01,01Q_B,N,What do you do in an agriturismo?,9781442370579_Italian_4_QZ_0387.mp3,"14,20"
388,388,IT,978-1-4423-6191-1,Italian 4,7,,,U07-01,01R_B,F,Di che cosa si occupa in un agriturismo?,9781442370579_Italian_4_QZ_0388.mp3,"14,20"
389,389,IT,978-1-4423-6191-1,Italian 4,7,,,U07-01,01Q_C,N,Did they open an agriturismo?,9781442370579_Italian_4_QZ_0389.mp3,"14,20"
390,390,IT,978-1-4423-6191-1,Italian 4,7,,,U07-01,01R_C,M,Hanno aperto un agriturismo?,9781442370579_Italian_4_QZ_0390.mp3,"14,20"
391,391,IT,978-1-4423-6191-1,Italian 4,7,,,U07-01,01Q_D,N,What is an aperitif?,9781442370579_Italian_4_QZ_0391.mp3,6
392,392,IT,978-1-4423-6191-1,Italian 4,7,,,U07-01,01R_D,F,Che cos’è un aperitivo?,9781442370579_Italian_4_QZ_0392.mp3,6
393,393,IT,978-1-4423-6191-1,Italian 4,7,,,U07-02,02Q_A,N,She remained in a small village.,9781442370579_Italian_4_QZ_0393.mp3,"5,9"
394,394,IT,978-1-4423-6191-1,Italian 4,7,,,U07-02,02R_A,M,È rimasta in un piccolo paese.,9781442370579_Italian_4_QZ_0394.mp3,"5,9"
395,395,IT,978-1-4423-6191-1,Italian 4,7,,,U07-02,02Q_B,N,She remained for six months.,9781442370579_Italian_4_QZ_0395.mp3,"12,17"
396,396,IT,978-1-4423-6191-1,Italian 4,7,,,U07-02,02R_B,F,È rimasta per sei mesi.,9781442370579_Italian_4_QZ_0396.mp3,"12,17"
397,397,IT,978-1-4423-6191-1,Italian 4,7,,,U07-02,02Q_C,N,They remained in a small village.,9781442370579_Italian_4_QZ_0397.mp3,"5,12"
398,398,IT,978-1-4423-6191-1,Italian 4,7,,,U07-02,02R_C,M,Sono rimasti in un piccolo paese.,9781442370579_Italian_4_QZ_0398.mp3,"5,12"
399,399,IT,978-1-4423-6191-1,Italian 4,7,,,U07-02,02Q_D,N,She remained in the village with the little boy.,9781442370579_Italian_4_QZ_0399.mp3,12
400,400,IT,978-1-4423-6191-1,Italian 4,7,,,U07-02,02R_D,F,È rimasta nel paese con il piccolo figlio.,9781442370579_Italian_4_QZ_0400.mp3,12
401,401,IT,978-1-4423-6191-1,Italian 4,7,,,U07-03,03Q_A,N,It’s a hotel in the countryside.,9781442370579_Italian_4_QZ_0401.mp3,18
402,402,IT,978-1-4423-6191-1,Italian 4,7,,,U07-03,03R_A,M,È un albergo in campagna.,9781442370579_Italian_4_QZ_0402.mp3,18
403,403,IT,978-1-4423-6191-1,Italian 4,7,,,U07-03,03Q_B,N,My hotel is in the countryside.,9781442370579_Italian_4_QZ_0403.mp3,18
404,404,IT,978-1-4423-6191-1,Italian 4,7,,,U07-03,03R_B,F,Il mio albergo è in campagna.,9781442370579_Italian_4_QZ_0404.mp3,18
405,405,IT,978-1-4423-6191-1,Italian 4,7,,,U07-03,03Q_C,N,They bought a hotel in the countryside.,9781442370579_Italian_4_QZ_0405.mp3,"14,18"
406,406,IT,978-1-4423-6191-1,Italian 4,7,,,U07-03,03R_C,M,Hanno comprato un albergo in campagna.,9781442370579_Italian_4_QZ_0406.mp3,"14,18"
407,407,IT,978-1-4423-6191-1,Italian 4,7,,,U07-03,03Q_D,N,They opened a hotel in the countryside.,9781442370579_Italian_4_QZ_0407.mp3,"18,20"
408,408,IT,978-1-4423-6191-1,Italian 4,7,,,U07-03,03R_D,F,Hanno aperto un hotel in campagna.,9781442370579_Italian_4_QZ_0408.mp3,"18,20"
409,409,IT,978-1-4423-6191-1,Italian 4,7,,,U07-04,04Q_A,N,Did they open a restaurant?,9781442370579_Italian_4_QZ_0409.mp3,"5,6,20"
410,410,IT,978-1-4423-6191-1,Italian 4,7,,,U07-04,04R_A,M,Hanno aperto un ristorante?,9781442370579_Italian_4_QZ_0410.mp3,"5,6,20"
411,411,IT,978-1-4423-6191-1,Italian 4,7,,,U07-04,04Q_B,N,Is their restaurant open now?,9781442370579_Italian_4_QZ_0411.mp3,"5,6,17"
412,412,IT,978-1-4423-6191-1,Italian 4,7,,,U07-04,04R_B,F,Il loro ristorante è aperto adesso?,9781442370579_Italian_4_QZ_0412.mp3,"5,6,17"
413,413,IT,978-1-4423-6191-1,Italian 4,7,,,U07-04,04Q_C,N,Did you open a restaurant?,9781442370579_Italian_4_QZ_0413.mp3,"5,6,20"
414,414,IT,978-1-4423-6191-1,Italian 4,7,,,U07-04,04R_C,M,Ha aperto un ristorante?,9781442370579_Italian_4_QZ_0414.mp3,"5,6,20"
415,415,IT,978-1-4423-6191-1,Italian 4,7,,,U07-04,04Q_D,N,The restaurant is open now?,9781442370579_Italian_4_QZ_0415.mp3,"5,6,17"
416,416,IT,978-1-4423-6191-1,Italian 4,7,,,U07-04,04R_D,F,Il ristorante è aperto adesso?,9781442370579_Italian_4_QZ_0416.mp3,"5,6,17"
417,417,IT,978-1-4423-6191-1,Italian 4,7,,,U07-05,05Q_A,N,They bought a farm.,9781442370579_Italian_4_QZ_0417.mp3,"9,14,20"
418,418,IT,978-1-4423-6191-1,Italian 4,7,,,U07-05,05R_A,M,Hanno comprato una fattoria.,9781442370579_Italian_4_QZ_0418.mp3,"9,14,20"
419,419,IT,978-1-4423-6191-1,Italian 4,7,,,U07-05,05Q_B,N,They moved to a farm.,9781442370579_Italian_4_QZ_0419.mp3,"5,9,20"
420,420,IT,978-1-4423-6191-1,Italian 4,7,,,U07-05,05R_B,F,Si sono trasferiti in una fattoria.,9781442370579_Italian_4_QZ_0420.mp3,"5,9,20"
421,421,IT,978-1-4423-6191-1,Italian 4,7,,,U07-05,05Q_C,N,You bought the farm.,9781442370579_Italian_4_QZ_0421.mp3,"9,14,20"
422,422,IT,978-1-4423-6191-1,Italian 4,7,,,U07-05,05R_C,M,Ha comprato la fattoria.,9781442370579_Italian_4_QZ_0422.mp3,"9,14,20"
423,423,IT,978-1-4423-6191-1,Italian 4,7,,,U07-05,05Q_D,N,She loves the farm.,9781442370579_Italian_4_QZ_0423.mp3,9
424,424,IT,978-1-4423-6191-1,Italian 4,7,,,U07-05,05R_D,F,Lei ama la fattoria.,9781442370579_Italian_4_QZ_0424.mp3,9
425,425,IT,978-1-4423-6191-1,Italian 4,7,,,U07-06,06Q_A,N,My assistant knows the artist.,9781442370579_Italian_4_QZ_0425.mp3,20
426,426,IT,978-1-4423-6191-1,Italian 4,7,,,U07-06,06R_A,M,La mia assistente conosce l’artista.,9781442370579_Italian_4_QZ_0426.mp3,20
427,427,IT,978-1-4423-6191-1,Italian 4,7,,,U07-06,06Q_B,N,Your assistant told me that the artist is well known.,9781442370579_Italian_4_QZ_0427.mp3,20
428,428,IT,978-1-4423-6191-1,Italian 4,7,,,U07-06,06R_B,F,La sua assistente mi ha detto che l’artista è molto conosciuta.,9781442370579_Italian_4_QZ_0428.mp3,20
429,429,IT,978-1-4423-6191-1,Italian 4,7,,,U07-06,06Q_C,N,The artist will be there with her assistant.,9781442370579_Italian_4_QZ_0429.mp3,20
430,430,IT,978-1-4423-6191-1,Italian 4,7,,,U07-06,06R_C,M,L’artista sarà lì con la sua assistente.,9781442370579_Italian_4_QZ_0430.mp3,20
431,431,IT,978-1-4423-6191-1,Italian 4,7,,,U07-06,06Q_D,N,My assistant met the artist.,9781442370579_Italian_4_QZ_0431.mp3,"9,20"
432,432,IT,978-1-4423-6191-1,Italian 4,7,,,U07-06,06R_D,F,La mia assistente ha incontrato l’artista.,9781442370579_Italian_4_QZ_0432.mp3,"9,20"
433,433,IT,978-1-4423-6191-1,Italian 4,7,,,U07-07,07Q_A,N,She doesn’t travel much now.,9781442370579_Italian_4_QZ_0433.mp3,"12,17,18"
434,434,IT,978-1-4423-6191-1,Italian 4,7,,,U07-07,07R_A,M,Non viaggia molto adesso.,9781442370579_Italian_4_QZ_0434.mp3,"12,17,18"
435,435,IT,978-1-4423-6191-1,Italian 4,7,,,U07-07,07Q_B,N,She travels a lot now.,9781442370579_Italian_4_QZ_0435.mp3,"12,17,18"
436,436,IT,978-1-4423-6191-1,Italian 4,7,,,U07-07,07R_B,F,Viaggia molto adesso.,9781442370579_Italian_4_QZ_0436.mp3,"12,17,18"
437,437,IT,978-1-4423-6191-1,Italian 4,7,,,U07-07,07Q_C,N,She didn’t travel this year.,9781442370579_Italian_4_QZ_0437.mp3,"17,18"
438,438,IT,978-1-4423-6191-1,Italian 4,7,,,U07-07,07R_C,M,Non ha viaggiato quest’anno.,9781442370579_Italian_4_QZ_0438.mp3,"17,18"
439,439,IT,978-1-4423-6191-1,Italian 4,7,,,U07-07,07Q_D,N,She traveled all over the world.,9781442370579_Italian_4_QZ_0439.mp3,18
440,440,IT,978-1-4423-6191-1,Italian 4,7,,,U07-07,07R_D,F,Ha viaggiato in tutto il mondo.,9781442370579_Italian_4_QZ_0440.mp3,18
441,441,IT,978-1-4423-6191-1,Italian 4,7,,,U07-08,08Q_A,N,They moved to the countryside.,9781442370579_Italian_4_QZ_0441.mp3,5
442,442,IT,978-1-4423-6191-1,Italian 4,7,,,U07-08,08R_A,M,Si sono trasferiti in campagna.,9781442370579_Italian_4_QZ_0442.mp3,5
443,443,IT,978-1-4423-6191-1,Italian 4,7,,,U07-08,08Q_B,N,They got married in the countryside.,9781442370579_Italian_4_QZ_0443.mp3,"1,5"
444,444,IT,978-1-4423-6191-1,Italian 4,7,,,U07-08,08R_B,F,Si sono sposati in campagna.,9781442370579_Italian_4_QZ_0444.mp3,"1,5"
445,445,IT,978-1-4423-6191-1,Italian 4,7,,,U07-08,08Q_C,N,They went to the countryside.,9781442370579_Italian_4_QZ_0445.mp3,"1,5,18"
446,446,IT,978-1-4423-6191-1,Italian 4,7,,,U07-08,08R_C,M,Sono andati in campagna.,9781442370579_Italian_4_QZ_0446.mp3,"1,5,18"
447,447,IT,978-1-4423-6191-1,Italian 4,7,,,U07-08,08Q_D,N,They traveled in the countryside.,9781442370579_Italian_4_QZ_0447.mp3,18
448,448,IT,978-1-4423-6191-1,Italian 4,7,,,U07-08,08R_D,F,Hanno viaggiato in campagna.,9781442370579_Italian_4_QZ_0448.mp3,18
449,449,IT,978-1-4423-6191-1,Italian 4,8,,,U08-01,01Q_A,N,We have a beautiful room for you with a view.,9781442370579_Italian_4_QZ_0449.mp3,18
450,450,IT,978-1-4423-6191-1,Italian 4,8,,,U08-01,01R_A,M,Abbiamo una bella camera per voi con una vista.,9781442370579_Italian_4_QZ_0450.mp3,18
451,451,IT,978-1-4423-6191-1,Italian 4,8,,,U08-01,01Q_B,N,We have a beautiful room with a view.,9781442370579_Italian_4_QZ_0451.mp3,18
452,452,IT,978-1-4423-6191-1,Italian 4,8,,,U08-01,01R_B,F,Abbiamo una bella camera con una vista.,9781442370579_Italian_4_QZ_0452.mp3,18
453,453,IT,978-1-4423-6191-1,Italian 4,8,,,U08-01,01Q_C,N,We have a room with a beautiful view.,9781442370579_Italian_4_QZ_0453.mp3,18
454,454,IT,978-1-4423-6191-1,Italian 4,8,,,U08-01,01R_C,M,Abbiamo una camera con una bella vista.,9781442370579_Italian_4_QZ_0454.mp3,18
455,455,IT,978-1-4423-6191-1,Italian 4,8,,,U08-01,01Q_D,N,Your room has a beautiful view.,9781442370579_Italian_4_QZ_0455.mp3,18
456,456,IT,978-1-4423-6191-1,Italian 4,8,,,U08-01,01R_D,F,La sua camera ha una bella vista.,9781442370579_Italian_4_QZ_0456.mp3,18
457,457,IT,978-1-4423-6191-1,Italian 4,8,,,U08-02,02Q_A,N,What a great vacation!,9781442370579_Italian_4_QZ_0457.mp3,18
458,458,IT,978-1-4423-6191-1,Italian 4,8,,,U08-02,02R_A,M,Che vacanza fantastica!,9781442370579_Italian_4_QZ_0458.mp3,18
459,459,IT,978-1-4423-6191-1,Italian 4,8,,,U08-02,02Q_B,N,It was an exciting vacation!,9781442370579_Italian_4_QZ_0459.mp3,"1,18"
460,460,IT,978-1-4423-6191-1,Italian 4,8,,,U08-02,02R_B,F,È stata una vacanza emozionante!,9781442370579_Italian_4_QZ_0460.mp3,"1,18"
461,461,IT,978-1-4423-6191-1,Italian 4,8,,,U08-02,02Q_C,N,What an extraordinary vacation!,9781442370579_Italian_4_QZ_0461.mp3,18
462,462,IT,978-1-4423-6191-1,Italian 4,8,,,U08-02,02R_C,M,Che vacanza straordinaria!,9781442370579_Italian_4_QZ_0462.mp3,18
463,463,IT,978-1-4423-6191-1,Italian 4,8,,,U08-02,02Q_D,N,What a vacation!,9781442370579_Italian_4_QZ_0463.mp3,18
464,464,IT,978-1-4423-6191-1,Italian 4,8,,,U08-02,02R_D,F,Che vacanza!,9781442370579_Italian_4_QZ_0464.mp3,18
465,465,IT,978-1-4423-6191-1,Italian 4,8,,,U08-03,03Q_A,N,The room is on the second floor.,9781442370579_Italian_4_QZ_0465.mp3,18
466,466,IT,978-1-4423-6191-1,Italian 4,8,,,U08-03,03R_A,M,La camera è al secondo piano.,9781442370579_Italian_4_QZ_0466.mp3,18
467,467,IT,978-1-4423-6191-1,Italian 4,8,,,U08-03,03Q_B,N,My room is on the second floor.,9781442370579_Italian_4_QZ_0467.mp3,18
468,468,IT,978-1-4423-6191-1,Italian 4,8,,,U08-03,03R_B,F,La mia camera è al secondo piano.,9781442370579_Italian_4_QZ_0468.mp3,18
469,469,IT,978-1-4423-6191-1,Italian 4,8,,,U08-03,03Q_C,N,Your room was on the second floor,9781442370579_Italian_4_QZ_0469.mp3,"16,18"
470,470,IT,978-1-4423-6191-1,Italian 4,8,,,U08-03,03R_C,M,La sua camera era al secondo piano,9781442370579_Italian_4_QZ_0470.mp3,"16,18"
471,471,IT,978-1-4423-6191-1,Italian 4,8,,,U08-03,03Q_D,N,I had a huge room on the second floor.,9781442370579_Italian_4_QZ_0471.mp3,9
472,472,IT,978-1-4423-6191-1,Italian 4,8,,,U08-03,03R_D,F,Avevo una camera enorme al secondo piano.,9781442370579_Italian_4_QZ_0472.mp3,9
473,473,IT,978-1-4423-6191-1,Italian 4,8,,,U08-04,04Q_A,N,It has a beautiful view.,9781442370579_Italian_4_QZ_0473.mp3,18
474,474,IT,978-1-4423-6191-1,Italian 4,8,,,U08-04,04R_A,M,Ha una bella vista.,9781442370579_Italian_4_QZ_0474.mp3,18
475,475,IT,978-1-4423-6191-1,Italian 4,8,,,U08-04,04Q_B,N,It had a beautiful view.,9781442370579_Italian_4_QZ_0475.mp3,18
476,476,IT,978-1-4423-6191-1,Italian 4,8,,,U08-04,04R_B,F,Aveva una bella vista.,9781442370579_Italian_4_QZ_0476.mp3,18
477,477,IT,978-1-4423-6191-1,Italian 4,8,,,U08-04,04Q_C,N,The view was beautiful.,9781442370579_Italian_4_QZ_0477.mp3,18
478,478,IT,978-1-4423-6191-1,Italian 4,8,,,U08-04,04R_C,M,La vista era bellissima.,9781442370579_Italian_4_QZ_0478.mp3,18
479,479,IT,978-1-4423-6191-1,Italian 4,8,,,U08-04,04Q_D,N,There was a beautiful view.,9781442370579_Italian_4_QZ_0479.mp3,18
480,480,IT,978-1-4423-6191-1,Italian 4,8,,,U08-04,04R_D,F,C’era una bella vista.,9781442370579_Italian_4_QZ_0480.mp3,18
481,481,IT,978-1-4423-6191-1,Italian 4,8,,,U08-05,05Q_A,N,His sister’s husband is a local chef.,9781442370579_Italian_4_QZ_0481.mp3,"5,6,20"
482,482,IT,978-1-4423-6191-1,Italian 4,8,,,U08-05,05R_A,M,Il marito di sua sorella è uno chef locale.,9781442370579_Italian_4_QZ_0482.mp3,"5,6,20"
483,483,IT,978-1-4423-6191-1,Italian 4,8,,,U08-05,05Q_B,N,Her husband’s sister is a local chef.,9781442370579_Italian_4_QZ_0483.mp3,"5,6,20"
484,484,IT,978-1-4423-6191-1,Italian 4,8,,,U08-05,05R_B,F,La sorella di suo marito è uno chef locale.,9781442370579_Italian_4_QZ_0484.mp3,"5,6,20"
485,485,IT,978-1-4423-6191-1,Italian 4,8,,,U08-05,05Q_C,N,The local chef is married to her sister.,9781442370579_Italian_4_QZ_0485.mp3,"5,6,20"
486,486,IT,978-1-4423-6191-1,Italian 4,8,,,U08-05,05R_C,M,Lo chef locale è sposato con sua sorella.,9781442370579_Italian_4_QZ_0486.mp3,"5,6,20"
487,487,IT,978-1-4423-6191-1,Italian 4,8,,,U08-05,05Q_D,N,His wife’s brother is a local chef.,9781442370579_Italian_4_QZ_0487.mp3,"5,6,20"
488,488,IT,978-1-4423-6191-1,Italian 4,8,,,U08-05,05R_D,F,Il fratello di sua moglie è uno chef locale.,9781442370579_Italian_4_QZ_0488.mp3,"5,6,20"
489,489,IT,978-1-4423-6191-1,Italian 4,8,,,U08-06,06Q_A,N,One can eat locally-grown food.,9781442370579_Italian_4_QZ_0489.mp3,"6,12"
490,490,IT,978-1-4423-6191-1,Italian 4,8,,,U08-06,06R_A,M,Si possono mangiare prodotti locali.,9781442370579_Italian_4_QZ_0490.mp3,"6,12"
491,491,IT,978-1-4423-6191-1,Italian 4,8,,,U08-06,06Q_B,N,You’ve already seen the local produce.,9781442370579_Italian_4_QZ_0491.mp3,"6,14"
492,492,IT,978-1-4423-6191-1,Italian 4,8,,,U08-06,06R_B,F,Ha già visto i prodotti locali.,9781442370579_Italian_4_QZ_0492.mp3,"6,14"
493,493,IT,978-1-4423-6191-1,Italian 4,8,,,U08-06,06Q_C,N,You would like to taste our local produce.,9781442370579_Italian_4_QZ_0493.mp3,"1,6"
494,494,IT,978-1-4423-6191-1,Italian 4,8,,,U08-06,06R_C,M,Vorrebbe assaggiare i prodotti locali.,9781442370579_Italian_4_QZ_0494.mp3,"1,6"
495,495,IT,978-1-4423-6191-1,Italian 4,8,,,U08-06,06Q_D,N,One can’t eat the local produce.,9781442370579_Italian_4_QZ_0495.mp3,"6,12"
496,496,IT,978-1-4423-6191-1,Italian 4,8,,,U08-06,06R_D,F,Non si possono mangiare prodotti locali.,9781442370579_Italian_4_QZ_0496.mp3,"6,12"
497,497,IT,978-1-4423-6191-1,Italian 4,8,,,U08-07,07Q_A,N,I prefer to sit next to the pool.,9781442370579_Italian_4_QZ_0497.mp3,1
498,498,IT,978-1-4423-6191-1,Italian 4,8,,,U08-07,07R_A,M,Preferisco sedermi accanto alla piscina.,9781442370579_Italian_4_QZ_0498.mp3,1
499,499,IT,978-1-4423-6191-1,Italian 4,8,,,U08-07,07Q_B,N,You would like to sit next to the pool.,9781442370579_Italian_4_QZ_0499.mp3,1
500,500,IT,978-1-4423-6191-1,Italian 4,8,,,U08-07,07R_B,F,Vorrebbe sedersi accanto alla piscina.,9781442370579_Italian_4_QZ_0500.mp3,1
501,501,IT,978-1-4423-6191-1,Italian 4,8,,,U08-07,07Q_C,N,He prefers to sit next to the pool.,9781442370579_Italian_4_QZ_0501.mp3,1
502,502,IT,978-1-4423-6191-1,Italian 4,8,,,U08-07,07R_C,M,Preferisce sedersi accanto alla piscina.,9781442370579_Italian_4_QZ_0502.mp3,1
503,503,IT,978-1-4423-6191-1,Italian 4,8,,,U08-07,07Q_D,N,I prefer to sit outside.,9781442370579_Italian_4_QZ_0503.mp3,1
504,504,IT,978-1-4423-6191-1,Italian 4,8,,,U08-07,07R_D,F,Preferisco sedermi all’aperto.,9781442370579_Italian_4_QZ_0504.mp3,1
505,505,IT,978-1-4423-6191-1,Italian 4,8,,,U08-08,08Q_A,N,It was a vacation on a farm.,9781442370579_Italian_4_QZ_0505.mp3,"9,18"
506,506,IT,978-1-4423-6191-1,Italian 4,8,,,U08-08,08R_A,M,Era una vacanza in una fattoria.,9781442370579_Italian_4_QZ_0506.mp3,"9,18"
507,507,IT,978-1-4423-6191-1,Italian 4,8,,,U08-08,08Q_B,N,I’m going on a vacation to a farm.,9781442370579_Italian_4_QZ_0507.mp3,"1,18"
508,508,IT,978-1-4423-6191-1,Italian 4,8,,,U08-08,08R_B,F,Vado in vacanza in una fattoria.,9781442370579_Italian_4_QZ_0508.mp3,"1,18"
509,509,IT,978-1-4423-6191-1,Italian 4,8,,,U08-08,08Q_C,N,I’d like to go on vacation on a farm.,9781442370579_Italian_4_QZ_0509.mp3,18
510,510,IT,978-1-4423-6191-1,Italian 4,8,,,U08-08,08R_C,M,Vorrei andare in vacanza in una fattoria.,9781442370579_Italian_4_QZ_0510.mp3,18
511,511,IT,978-1-4423-6191-1,Italian 4,8,,,U08-08,08Q_D,N,I went on a vacation to a farm.,9781442370579_Italian_4_QZ_0511.mp3,"5,18"
512,512,IT,978-1-4423-6191-1,Italian 4,8,,,U08-08,08R_D,F,Sono andata in vacanza in una fattoria.,9781442370579_Italian_4_QZ_0512.mp3,"5,18"
513,513,IT,978-1-4423-6191-1,Italian 4,9,,,U09-01,01Q_A,N,There’s a bike path by the lake.,9781442370579_Italian_4_QZ_0513.mp3,"1,4"
514,514,IT,978-1-4423-6191-1,Italian 4,9,,,U09-01,01R_A,M,C’è una pista ciclabile accanto al lago.,9781442370579_Italian_4_QZ_0514.mp3,"1,4"
515,515,IT,978-1-4423-6191-1,Italian 4,9,,,U09-01,01Q_B,N,Next to the lake there was a bike path.,9781442370579_Italian_4_QZ_0515.mp3,"1,4"
