"Control#","Rec #","Lang","Audio Source ISBN-13","Course","Unit Num","start","stop","QZ #","line #","spkr","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"131","131","BP","9781442312081","BrazPort 3","7","","","06Q","","N","It’s not as interesting as you think. (f)","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_131.mp3","1,7"
"132","132","BP","9781442312081","BrazPort 3","7","","","06R","198","M","Não é tão interessante quanto a senhora acha.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_132.mp3","1,7"
"133","133","BP","9781442312081","BrazPort 3","7","","","07Q","","N","Who paid for the taxis?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_133.mp3","11,14,18"
"134","134","BP","9781442312081","BrazPort 3","7","","","07R","247","F","Quem pagou os táxis?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_134.mp3","11,14,18"
"135","135","BP","9781442312081","BrazPort 3","7","","","08Q","","N","I couldn’t travel.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_135.mp3","18"
"136","136","BP","9781442312081","BrazPort 3","7","","","08R","184","F","Eu não pude viajar.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_136.mp3","18"
"137","137","BP","9781442312081","BrazPort 3","7","","","09Q","","N","I paid for the hotel.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_137.mp3","11,14,18"
"138","138","BP","9781442312081","BrazPort 3","7","","","09R","240","M","Eu paguei o hotel.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_138.mp3","11,14,18"
"139","139","BP","9781442312081","BrazPort 3","7","","","10Q","","N","Besides, it’s expensive.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_139.mp3","11,14"
"140","140","BP","9781442312081","BrazPort 3","7","","","10R","201","M","Além disso, é caro.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_140.mp3","11,14"
"141","141","BP","9781442312081","BrazPort 3","8","","","01Q","","N","In back there’s a patio.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_141.mp3","4,9"
"142","142","BP","9781442312081","BrazPort 3","8","","","01R","169","F","Atrás tem um terraço.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_142.mp3","4,9"
"143","143","BP","9781442312081","BrazPort 3","8","","","02Q","","N","It’s safer than a house.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_143.mp3","9,16,18"
"144","144","BP","9781442312081","BrazPort 3","8","","","02R","192","F","É mais seguro do que uma casa.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_144.mp3","9,16,18"
"145","145","BP","9781442312081","BrazPort 3","8","","","03Q","","N","It’s safe there.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_145.mp3","9,16,18"
"146","146","BP","9781442312081","BrazPort 3","8","","","03R","232","F","É seguro lá.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_146.mp3","9,16,18"
"147","147","BP","9781442312081","BrazPort 3","8","","","04Q","","N","It doesn’t work.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_147.mp3","7,18"
"148","148","BP","9781442312081","BrazPort 3","8","","","04R","244","F","Está quebrado.","2","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_148.mp3","7,18"
"149","149","BP","9781442312081","BrazPort 3","8","","","05Q","","N","I park the car in front.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_149.mp3","4,18"
"150","150","BP","9781442312081","BrazPort 3","8","","","05R","214","F","Eu estaciono o carro na frente.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_150.mp3","4,18"
"151","151","BP","9781442312081","BrazPort 3","8","","","06Q","","N","I like this apartment.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_151.mp3","9,16"
"152","152","BP","9781442312081","BrazPort 3","8","","","06R","151","M","Eu gosto deste apartamento.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_152.mp3","9,16"
"153","153","BP","9781442312081","BrazPort 3","8","","","07Q","","N","I rent it.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_153.mp3","9,16"
"154","154","BP","9781442312081","BrazPort 3","8","","","07R","178","F","Eu o alugo.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_154.mp3","9,16"
"155","155","BP","9781442312081","BrazPort 3","8","","","08Q","","N","I have to repair it.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_155.mp3","1,9,16"
"156","156","BP","9781442312081","BrazPort 3","8","","","08R","237","F","Eu tenho que consertá-lo.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_156.mp3","1,9,16"
"157","157","BP","9781442312081","BrazPort 3","8","","","09Q","","N","It isn’t as expensive as a house.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_157.mp3","11,14"
"158","158","BP","9781442312081","BrazPort 3","8","","","09R","180","F","Não é tão caro quanto uma casa.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_158.mp3","11,14"
"159","159","BP","9781442312081","BrazPort 3","8","","","10Q","","N","The apartment is very beautiful.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_159.mp3","9"
"160","160","BP","9781442312081","BrazPort 3","8","","","10R","138","M","O apartamento é muito bonito.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_160.mp3","9"
"161","161","BP","9781442312081","BrazPort 3","8","","","11Q","","N","How long has it been that you live here?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_161.mp3","9,10,17"
"162","162","BP","9781442312081","BrazPort 3","8","","","11R","144","M","Quanto tempo faz que você mora aqui?","7","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_162.mp3","9,10,17"
"163","163","BP","9781442312081","BrazPort 3","8","","","12Q","","N","Do you rent the apartment?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_163.mp3","9"
"164","164","BP","9781442312081","BrazPort 3","8","","","12R","175","M","Você aluga o apartamento?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_164.mp3","9"
"165","165","BP","9781442312081","BrazPort 3","8","","","13Q","","N","Do you like to walk?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_165.mp3","1"
"166","166","BP","9781442312081","BrazPort 3","8","","","13R","255","M","Você gosta de andar?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_166.mp3","1"
"167","167","BP","9781442312081","BrazPort 3","9","","","01Q","","N","I don’t know the details.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_167.mp3","7,20"
"168","168","BP","9781442312081","BrazPort 3","9","","","01R","193","M","Eu não sei dos detalhes.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_168.mp3","7,20"
"169","169","BP","9781442312081","BrazPort 3","9","","","02Q","","N","I asked for the list.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_169.mp3","7,14,20"
"170","170","BP","9781442312081","BrazPort 3","9","","","02R","273","M","Eu pedi a lista.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_170.mp3","7,14,20"
"171","171","BP","9781442312081","BrazPort 3","9","","","03Q","","N","The managers told me.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_171.mp3","9,20"
"172","172","BP","9781442312081","BrazPort 3","9","","","03R","168","M","Os gerentes me contaram.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_172.mp3","9,20"
"173","173","BP","9781442312081","BrazPort 3","9","","","04Q","","N","When they told me of the meeting.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_173.mp3","17,20"
"174","174","BP","9781442312081","BrazPort 3","9","","","04R","280","M","Quando eles me contaram da reunião.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_174.mp3","17,20"
"175","175","BP","9781442312081","BrazPort 3","9","","","05Q","","N","Who was invited?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_175.mp3","1,10,13"
"176","176","BP","9781442312081","BrazPort 3","9","","","05R","184","F","Quem foi convidado?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_176.mp3","1,10,13"
"177","177","BP","9781442312081","BrazPort 3","9","","","06Q","","N","Did you ask for the list?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_177.mp3","9,14,20"
"178","178","BP","9781442312081","BrazPort 3","9","","","06R","268","F","Você pediu a lista?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_178.mp3","9,14,20"
"179","179","BP","9781442312081","BrazPort 3","9","","","07Q","","N","I don’t know how many persons.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_179.mp3","9,12"
"180","180","BP","9781442312081","BrazPort 3","9","","","07R","254","M","Eu não sei quantas pessoas.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_180.mp3","9,12"
"181","181","BP","9781442312081","BrazPort 3","9","","","08Q","","N","I have to ask for the list.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_181.mp3","7,14,20"
"182","182","BP","9781442312081","BrazPort 3","9","","","08R","244","M","Eu tenho que pedir a lista.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_182.mp3","7,14,20"
"183","183","BP","9781442312081","BrazPort 3","9","","","09Q","","N","The engineers were invited.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_183.mp3","9,20"
"184","184","BP","9781442312081","BrazPort 3","9","","","09R","210","M","Os engenheiros foram convidados.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_184.mp3","9,20"
"185","185","BP","9781442312081","BrazPort 3","10","","","10Qa","","N","There’s going to be an important meeting.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_185.mp3","20"
"186","186","BP","9781442312081","BrazPort 3","10","","","10Ra","146","M","Vai ter uma reunião importante.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_186.mp3","20"
"187","187","BP","9781442312081","BrazPort 3","10","","","01Q","","N","Was the party enjoyable?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_187.mp3","1,9"
"188","188","BP","9781442312081","BrazPort 3","10","","","01R","199","M","A festa foi divertida?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_188.mp3","1,9"
"189","189","BP","9781442312081","BrazPort 3","10","","","02Q","","N","They went dancing.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_189.mp3","1"
"190","190","BP","9781442312081","BrazPort 3","10","","","02R","252","F","Eles foram dançar.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_190.mp3","1"
"191","191","BP","9781442312081","BrazPort 3","10","","","03Q","","N","I would have liked it.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_191.mp3","1,7"
"192","192","BP","9781442312081","BrazPort 3","10","","","03R","201","F","Eu teria gostado.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_192.mp3","1,7"
"193","193","BP","9781442312081","BrazPort 3","10","","","04Q","","N","I would have liked to go.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_193.mp3","1,7"
"194","194","BP","9781442312081","BrazPort 3","10","","","04R","215","M","Eu teria gostado de ir.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_194.mp3","1,7"
"195","195","BP","9781442312081","BrazPort 3","10","","","05Q","","N","No one told me of the party.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_195.mp3","1"
"196","196","BP","9781442312081","BrazPort 3","10","","","05R","182","M","Ninguém me contou da festa.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_196.mp3","1"
"197","197","BP","9781442312081","BrazPort 3","10","","","06Q","","N","What did Paulo and Ana say?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_197.mp3","7"
"198","198","BP","9781442312081","BrazPort 3","10","","","06R","203","M","O que o Paulo e a Ana disseram?","6","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_198.mp3","7"
"199","199","BP","9781442312081","BrazPort 3","10","","","07Q","","N","That I would have liked it.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_199.mp3","1,7"
"200","200","BP","9781442312081","BrazPort 3","10","","","07R","201","F","Que eu teria gostado.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_200.mp3","1,7"
"201","201","BP","9781442312081","BrazPort 3","10","","","08Q","","N","There was a lot of delicious food","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_201.mp3","6"
"202","202","BP","9781442312081","BrazPort 3","10","","","08R","235","F","Tinha muita comida deliciosa.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_202.mp3","6"
"203","203","BP","9781442312081","BrazPort 3","10","","","09Q","","N","Did you go, too?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_203.mp3","1,9"
"204","204","BP","9781442312081","BrazPort 3","10","","","09R","169","M","Você foi também?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_204.mp3","1,9"
"205","205","BP","9781442312081","BrazPort 3","10","","","10Qb","","N","It’s always broken down.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_205.mp3","16,17"
"206","206","BP","9781442312081","BrazPort 3","10","","","10Rb","88","F","Sempre está quebrado.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_206.mp3","16,17"
"207","207","BP","9781442312081","BrazPort 3","11","","","01Q","","N","They left.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_207.mp3","1,18"
"208","208","BP","9781442312081","BrazPort 3","11","","","01R","184","M","Eles foram embora.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_208.mp3","1,18"
"209","209","BP","9781442312081","BrazPort 3","11","","","02Q","","N","I didn’t hear the speech.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_209.mp3","1,20"
"210","210","BP","9781442312081","BrazPort 3","11","","","02R","201","F","Eu não ouvi o discurso.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_210.mp3","1,20"
"211","211","BP","9781442312081","BrazPort 3","11","","","03Q","","N","Everybody went to work?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_211.mp3","1,20"
"212","212","BP","9781442312081","BrazPort 3","11","","","03R","278","F","Todos foram trabalhar?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_212.mp3","1,20"
"213","213","BP","9781442312081","BrazPort 3","11","","","04Q","","N","You didn’t hear the speech?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_213.mp3","1,20"
"214","214","BP","9781442312081","BrazPort 3","11","","","04R","201","M","Você não ouviu o discurso?","5","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_214.mp3","1,20"
"215","215","BP","9781442312081","BrazPort 3","11","","","05Q","","N","What is it that the manager said?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_215.mp3","7,20"
"216","216","BP","9781442312081","BrazPort 3","11","","","05R","221","F","O que é que o gerente disse?","6","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_216.mp3","7,20"
"217","217","BP","9781442312081","BrazPort 3","11","","","06Q","","N","There are lot of things to do.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_217.mp3","1,7,18"
"218","218","BP","9781442312081","BrazPort 3","11","","","06R","252","M","Tem muitas coisas para fazer.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_218.mp3","1,7,18"
"219","219","BP","9781442312081","BrazPort 3","11","","","07Q","","N","They went to work.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_219.mp3","1,20"
"220","220","BP","9781442312081","BrazPort 3","11","","","07R","282","M","Eles foram trabalhar.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_220.mp3","1,20"
"221","221","BP","9781442312081","BrazPort 3","11","","","08Q","","N","We have to rest less.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_221.mp3","1,12"
"222","222","BP","9781442312081","BrazPort 3","11","","","08R","268","M","Nós temos que descansar menos.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_222.mp3","1,12"
"223","223","BP","9781442312081","BrazPort 3","11","","","09Q","","N","We have to work more.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_223.mp3","12,20"
"224","224","BP","9781442312081","BrazPort 3","11","","","09R","261","M","Nós temos que trabalhar mais.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_224.mp3","12,20"
"225","225","BP","9781442312081","BrazPort 3","12","","","01Q","","N","I think that you are going to be happy.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_225.mp3","9,13"
"226","226","BP","9781442312081","BrazPort 3","12","","","01R","149","F","Eu acho que o senhor vai ficar contente.","7","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_226.mp3","9,13"
"227","227","BP","9781442312081","BrazPort 3","12","","","02Q","","N","You are going to be happy.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_227.mp3","9,13"
"228","228","BP","9781442312081","BrazPort 3","12","","","02R","146","F","O senhor vai ficar contente.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_228.mp3","9,13"
"229","229","BP","9781442312081","BrazPort 3","12","","","03Q","","N","Which one is located near downtown?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_229.mp3","4,9"
"230","230","BP","9781442312081","BrazPort 3","12","","","03R","166","M","Qual fica perto do centro?","5","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_230.mp3","4,9"
"231","231","BP","9781442312081","BrazPort 3","12","","","04Q","","N","There were a lot of toys.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_231.mp3","9,12,14"
"232","232","BP","9781442312081","BrazPort 3","12","","","04R","205","F","Tinha muitos brinquedos.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_232.mp3","9,12,14"
"233","233","BP","9781442312081","BrazPort 3","12","","","05Q","","N","Do all have parking?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_233.mp3","9,16,18"
"234","234","BP","9781442312081","BrazPort 3","12","","","05R","153","M","Todos têm estacionamento?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_234.mp3","9,16,18"
"235","235","BP","9781442312081","BrazPort 3","12","","","06Q","","N","In this store one sells toys?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_235.mp3","9,14"
"236","236","BP","9781442312081","BrazPort 3","12","","","06R","284","M","Nesta loja se vende brinquedos?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_236.mp3","9,14"
"237","237","BP","9781442312081","BrazPort 3","12","","","07Q","","N","You’re not going to be happy there.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_237.mp3","7,20"
"238","238","BP","9781442312081","BrazPort 3","12","","","07R","181","F","O senhor não vai ficar contente lá.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_238.mp3","7,20"
"239","239","BP","9781442312081","BrazPort 3","12","","","08Q","","N","In back of the building.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_239.mp3","4"
"240","240","BP","9781442312081","BrazPort 3","12","","","08R","269","F","Atrás do prédio.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_240.mp3","4"
"241","241","BP","9781442312081","BrazPort 3","12","","","09Q","","N","But there are offices in the building.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_241.mp3","20"
"242","242","BP","9781442312081","BrazPort 3","12","","","09R","178","F","Mas há escritórios no prédio.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_242.mp3","20"
"243","243","BP","9781442312081","BrazPort 3","12","","","10Q","","N","It’s located near a big plaza.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_243.mp3","4,18"
"244","244","BP","9781442312081","BrazPort 3","12","","","10R","231","F","Fica perto de uma praça grande.","6","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_244.mp3","4,18"
"245","245","BP","9781442312081","BrazPort 3","13","","","01Q","","N","It lasted four hours.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_245.mp3","12,17"
"246","246","BP","9781442312081","BrazPort 3","13","","","01R","256","M","Durou quatro horas.","3","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_246.mp3","12,17"
"247","247","BP","9781442312081","BrazPort 3","13","","","02Q","","N","I like the apartment a lot.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_247.mp3","16"
"248","248","BP","9781442312081","BrazPort 3","13","","","02R","115","M","Eu gosto muito do apartamento.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_248.mp3","16"
"249","249","BP","9781442312081","BrazPort 3","13","","","03Q","","N","It can’t last that long.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_249.mp3","7,17"
"250","250","BP","9781442312081","BrazPort 3","13","","","03R","226","F","Não pode durar tanto assim.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_250.mp3","7,17"
"251","251","BP","9781442312081","BrazPort 3","13","","","04Q","","N","The whole department is invited.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_251.mp3","1,20"
"252","252","BP","9781442312081","BrazPort 3","13","","","04R","171","F","O departamento todo está convidado.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_252.mp3","1,20"
"253","253","BP","9781442312081","BrazPort 3","13","","","05Q","","N","How long is it going to last?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_253.mp3","7,17"
"254","254","BP","9781442312081","BrazPort 3","13","","","05R","156","M","Quanto tempo vai durar?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_254.mp3","7,17"
"255","255","BP","9781442312081","BrazPort 3","13","","","06Q","","N","It’s going to last two hours.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_255.mp3","12,17"
"256","256","BP","9781442312081","BrazPort 3","13","","","06R","164","F","Vai durar duas horas.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_256.mp3","12,17"
"257","257","BP","9781442312081","BrazPort 3","13","","","07Q","","N","Do you want to do it?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_257.mp3","1,7"
"258","258","BP","9781442312081","BrazPort 3","13","","","07R","189","F","Você quer fazê-lo?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_258.mp3","1,7"
"259","259","BP","9781442312081","BrazPort 3","13","","","08Q","","N","In your place?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_259.mp3","4,7"
"260","260","BP","9781442312081","BrazPort 3","13","","","08R","207","M","No seu lugar?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_260.mp3","4,7"
