Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,#of words,_Q_or_S,Course Name _Source_,Skills
160,SP,978-1-4423-5039-7,Spanish 3,8,0:13:12,0:13:15,06R,132,F,También es bastante cómodo.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
161,SP,978-1-4423-5039-7,Spanish 3,8,0:13:35,0:13:38,07Q,135,N,In back there’s not much space.,,,"Spanish Phase 3, Units 1-30 (2004)",9
162,SP,978-1-4423-5039-7,Spanish 3,8,0:13:41,0:13:44,07R,136,F,Atrás no hay mucho espacio.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
163,SP,978-1-4423-5039-7,Spanish 3,8,0:14:59,0:15:01,08Q,149,N,Where do you park the car?,,,"Spanish Phase 3, Units 1-30 (2004)","16,18"
164,SP,978-1-4423-5039-7,Spanish 3,8,0:15:05,0:15:08,08R,150,M,¿Dónde estaciona el coche?,4,Q,"Spanish Phase 3, Units 1-30 (2004)","16,18"
165,SP,978-1-4423-5039-7,Spanish 3,8,0:15:59,0:16:02,09Q,159,N,I park the car in the parking garage.,,,"Spanish Phase 3, Units 1-30 (2004)",18
166,SP,978-1-4423-5039-7,Spanish 3,8,0:16:07,0:16:12,09R,160,F,Estaciono el coche en el estacionamiento.,6,S,"Spanish Phase 3, Units 1-30 (2004)",18
167,SP,978-1-4423-5039-7,Spanish 3,8,0:17:26,0:17:30,10Q,171,N,A parking garage is better than the street.,,,"Spanish Phase 3, Units 1-30 (2004)",4
168,SP,978-1-4423-5039-7,Spanish 3,8,0:17:35,0:17:38,10R,172,F,Un estacionamiento es mejor que la calle.,7,S,"Spanish Phase 3, Units 1-30 (2004)",4
169,SP,978-1-4423-5039-7,Spanish 3,8,0:18:58,0:19:01,11Q,183,N,Because one must repair my car.,,,"Spanish Phase 3, Units 1-30 (2004)",18
170,SP,978-1-4423-5039-7,Spanish 3,8,0:19:04,0:19:07,11R,184,F,Porque hay que reparar mi coche.,6,S,"Spanish Phase 3, Units 1-30 (2004)",18
171,SP,978-1-4423-5039-7,Spanish 3,8,0:21:09,0:21:11,12Q,203,N,We can walk there.,,,"Spanish Phase 3, Units 1-30 (2004)","1,4,9"
172,SP,978-1-4423-5039-7,Spanish 3,8,0:21:14,0:21:16,12R,204,F,Podemos caminar allí.,3,S,"Spanish Phase 3, Units 1-30 (2004)","1,4,9"
173,SP,978-1-4423-5039-7,Spanish 3,8,0:24:33,0:24:37,13Q,235,N,But there’s not enough space for my books.,,,"Spanish Phase 3, Units 1-30 (2004)",1
174,SP,978-1-4423-5039-7,Spanish 3,8,0:24:41,0:24:46,13R,236,M,Pero no hay suficiente espacio para mis libros.,8,S,"Spanish Phase 3, Units 1-30 (2004)",1
175,SP,978-1-4423-5039-7,Spanish 3,9,0:02:40,0:02:43,01Q,40,N,In front there’s a beautiful patio.,,,"Spanish Phase 3, Units 1-30 (2004)",7
176,SP,978-1-4423-5039-7,Spanish 3,9,0:02:48,0:02:51,01R,41,M,Enfrente hay un patio bonito.,5,S,"Spanish Phase 3, Units 1-30 (2004)",7
177,SP,978-1-4423-5039-7,Spanish 3,9,0:04:29,0:04:33,02Q,57,N,To repair it (m) is going to be expensive.,,,"Spanish Phase 3, Units 1-30 (2004)",14
178,SP,978-1-4423-5039-7,Spanish 3,9,0:04:36,0:04:39,02R,58,F,Repararlo va a ser caro.,4,S,"Spanish Phase 3, Units 1-30 (2004)",14
179,SP,978-1-4423-5039-7,Spanish 3,9,0:05:36,0:05:39,03Q,67,N,Everything is located nearby.,,,"Spanish Phase 3, Units 1-30 (2004)",4
180,SP,978-1-4423-5039-7,Spanish 3,9,0:05:42,0:05:44,03R,68,M,Todo queda cerca.,3,S,"Spanish Phase 3, Units 1-30 (2004)",4
181,SP,978-1-4423-5039-7,Spanish 3,9,0:05:47,0:05:49,04Q,69,N,You can walk to the stores.,,,"Spanish Phase 3, Units 1-30 (2004)","4,14"
182,SP,978-1-4423-5039-7,Spanish 3,9,0:05:53,0:05:56,04R,70,M,Puede caminar a las tiendas.,4,S,"Spanish Phase 3, Units 1-30 (2004)","4,14"
183,SP,978-1-4423-5039-7,Spanish 3,9,0:10:26,0:10:28,05Q,112,N,A lot of people are coming.,,,"Spanish Phase 3, Units 1-30 (2004)",9
184,SP,978-1-4423-5039-7,Spanish 3,9,0:10:34,0:10:37,05R,113,F,Viene mucha gente.,3,S,"Spanish Phase 3, Units 1-30 (2004)",9
185,SP,978-1-4423-5039-7,Spanish 3,9,0:11:40,0:11:42,06Q,124,N,Who else?,,,"Spanish Phase 3, Units 1-30 (2004)",9
186,SP,978-1-4423-5039-7,Spanish 3,9,0:11:43,0:11:45,06R,125,M,¿Quiénes más?,2,Q,"Spanish Phase 3, Units 1-30 (2004)",9
187,SP,978-1-4423-5039-7,Spanish 3,9,0:13:34,0:13:36,07Q,143,N,I don’t know the details.,,,"Spanish Phase 3, Units 1-30 (2004)",9
188,SP,978-1-4423-5039-7,Spanish 3,9,0:13:39,0:13:41,07R,144,F,No sé los detalles.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
189,SP,978-1-4423-5039-7,Spanish 3,9,0:15:54,0:15:57,08Q,163,N,Let’s go to have a coffee.,,,"Spanish Phase 3, Units 1-30 (2004)",6
190,SP,978-1-4423-5039-7,Spanish 3,9,0:16:01,0:16:04,08R,164,M,Vamos a tomar un café.,4,S,"Spanish Phase 3, Units 1-30 (2004)",6
191,SP,978-1-4423-5039-7,Spanish 3,9,0:17:57,0:18:00,09Q,181,N,A list of the persons that are coming.,,,"Spanish Phase 3, Units 1-30 (2004)",9
192,SP,978-1-4423-5039-7,Spanish 3,9,0:18:04,0:18:08,09R,182,M,Una lista de las personas que vienen.,7,S,"Spanish Phase 3, Units 1-30 (2004)",9
193,SP,978-1-4423-5039-7,Spanish 3,9,0:20:16,0:20:19,10Q,203,N,When did you ask for the list?,,,"Spanish Phase 3, Units 1-30 (2004)",9
194,SP,978-1-4423-5039-7,Spanish 3,9,0:20:21,0:20:24,10R,204,M,¿Cuándo pidió la lista?,4,Q,"Spanish Phase 3, Units 1-30 (2004)",9
195,SP,978-1-4423-5039-7,Spanish 3,9,0:20:55,0:20:58,11Q,209,N,I asked for it immediately.,,,"Spanish Phase 3, Units 1-30 (2004)",9
196,SP,978-1-4423-5039-7,Spanish 3,9,0:21:01,0:21:05,11R,210,F,La pedí inmediatamente.,3,S,"Spanish Phase 3, Units 1-30 (2004)",9
197,SP,978-1-4423-5039-7,Spanish 3,9,0:24:49,0:24:52,12Q,240,N,It’s pretty far from the office.,,,"Spanish Phase 3, Units 1-30 (2004)","4,18"
198,SP,978-1-4423-5039-7,Spanish 3,9,0:24:56,0:24:59,12R,241,M,Es bastante lejos de la oficina.,6,S,"Spanish Phase 3, Units 1-30 (2004)","4,18"
199,SP,978-1-4423-5039-7,Spanish 3,10,0:03:10,0:03:12,01Q,42,N,You ordered a taxi?,,,"Spanish Phase 3, Units 1-30 (2004)",18
200,SP,978-1-4423-5039-7,Spanish 3,10,0:03:15,0:03:17,01R,43,M,¿Pidió un taxi?,3,Q,"Spanish Phase 3, Units 1-30 (2004)",18
201,SP,978-1-4423-5039-7,Spanish 3,10,0:05:30,0:05:34,02Q,66,N,I don’t know who else is coming.,,,"Spanish Phase 3, Units 1-30 (2004)",7
202,SP,978-1-4423-5039-7,Spanish 3,10,0:05:36,0:05:39,02R,67,F,No sé quiénes más vienen.,5,S,"Spanish Phase 3, Units 1-30 (2004)",7
203,SP,978-1-4423-5039-7,Spanish 3,10,0:07:52,0:07:53,03Q,86,N,Where did you go?,,,"Spanish Phase 3, Units 1-30 (2004)",7
204,SP,978-1-4423-5039-7,Spanish 3,10,0:07:55,0:07:59,03R,87,M,¿Adónde fuiste?,2,Q,"Spanish Phase 3, Units 1-30 (2004)",7
205,SP,978-1-4423-5039-7,Spanish 3,10,0:08:16,0:08:18,04Q,90,N,In Pablo’s new apartment.,,,"Spanish Phase 3, Units 1-30 (2004)",9
206,SP,978-1-4423-5039-7,Spanish 3,10,0:08:24,0:08:28,04R,91,F,En el apartamento nuevo de Pablo.,6,S,"Spanish Phase 3, Units 1-30 (2004)",9
207,SP,978-1-4423-5039-7,Spanish 3,10,0:10:37,0:10:39,05Q,110,N,Was the party fun?,,,"Spanish Phase 3, Units 1-30 (2004)",9
208,SP,978-1-4423-5039-7,Spanish 3,10,0:10:42,0:10:44,05R,111,M,¿Fue divertida la fiesta?,4,Q,"Spanish Phase 3, Units 1-30 (2004)",9
209,SP,978-1-4423-5039-7,Spanish 3,10,0:11:19,0:11:20,06Q,116,N,You would have liked it.,,,"Spanish Phase 3, Units 1-30 (2004)",7
210,SP,978-1-4423-5039-7,Spanish 3,10,0:11:23,0:11:25,06R,117,F,Te hubiera gustado.,3,S,"Spanish Phase 3, Units 1-30 (2004)",7
211,SP,978-1-4423-5039-7,Spanish 3,10,0:12:10,0:12:12,07Q,122,F,The party was a lot of fun.,,,"Spanish Phase 3, Units 1-30 (2004)",9
212,SP,978-1-4423-5039-7,Spanish 3,10,0:12:15,0:12:18,07R,123,N,La fiesta fue muy divertida.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
213,SP,978-1-4423-5039-7,Spanish 3,10,0:13:07,0:13:09,08Q,132,N,I want to know the details.,,,"Spanish Phase 3, Units 1-30 (2004)",9
214,SP,978-1-4423-5039-7,Spanish 3,10,0:13:12,0:13:15,08R,133,M,Quiero saber los detalles.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
215,SP,978-1-4423-5039-7,Spanish 3,10,0:14:26,0:14:29,09Q,143,N,There was a lot of spicy food.,,,"Spanish Phase 3, Units 1-30 (2004)",6
216,SP,978-1-4423-5039-7,Spanish 3,10,0:14:32,0:14:35,09R,144,F,Había mucha comida picante.,4,S,"Spanish Phase 3, Units 1-30 (2004)",6
217,SP,978-1-4423-5039-7,Spanish 3,10,0:15:42,0:15:44,10Q,154,N,We went dancing.,,,"Spanish Phase 3, Units 1-30 (2004)","1,9"
218,SP,978-1-4423-5039-7,Spanish 3,10,0:15:46,0:15:49,10R,155,M,Fuimos a bailar.,2,S,"Spanish Phase 3, Units 1-30 (2004)","1,9"
219,SP,978-1-4423-5039-7,Spanish 3,10,0:17:47,0:17:50,11Q,175,N,I would have liked to go to the party.,,,"Spanish Phase 3, Units 1-30 (2004)",9
220,SP,978-1-4423-5039-7,Spanish 3,10,0:17:53,0:17:56,11R,176,M,Me hubiera gustado ir a la fiesta.,6,S,"Spanish Phase 3, Units 1-30 (2004)",9
221,SP,978-1-4423-5039-7,Spanish 3,10,0:17:59,0:18:03,12Q,177,N,I’m sure that it was a lot of fun.,,,"Spanish Phase 3, Units 1-30 (2004)",9
222,SP,978-1-4423-5039-7,Spanish 3,10,0:18:06,0:18:09,12R,178,M,Estoy seguro que fue muy divertida.,6,S,"Spanish Phase 3, Units 1-30 (2004)",9
223,SP,978-1-4423-5039-7,Spanish 3,10,0:25:02,0:25:05,13Q,241,N,I don’t park in front.,,,"Spanish Phase 3, Units 1-30 (2004)",9
224,SP,978-1-4423-5039-7,Spanish 3,10,0:25:07,0:25:10,13R,242,M,No estaciono enfrente.,3,S,"Spanish Phase 3, Units 1-30 (2004)",9
225,SP,978-1-4423-5039-7,Spanish 3,11,0:01:48,0:01:51,01Q,30,N,Last night I went to a party.,,,"Spanish Phase 3, Units 1-30 (2004)",9
226,SP,978-1-4423-5039-7,Spanish 3,11,0:01:53,0:01:56,01R,31,F,Anoche fui a una fiesta.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
227,SP,978-1-4423-5039-7,Spanish 3,11,0:03:04,0:03:06,02Q,41,N,There was a lot of food.,,,"Spanish Phase 3, Units 1-30 (2004)",6
228,SP,978-1-4423-5039-7,Spanish 3,11,0:03:08,0:03:11,02R,42,M,Había mucha comida.,3,S,"Spanish Phase 3, Units 1-30 (2004)",6
229,SP,978-1-4423-5039-7,Spanish 3,11,0:05:07,0:05:08,03Q,58,N,Why didn’t you go?,,,"Spanish Phase 3, Units 1-30 (2004)",7
230,SP,978-1-4423-5039-7,Spanish 3,11,0:05:11,0:05:13,03R,59,F,¿Por qué no fuiste?,4,Q,"Spanish Phase 3, Units 1-30 (2004)",7
231,SP,978-1-4423-5039-7,Spanish 3,11,0:06:20,0:06:23,04Q,70,N,I had to stay until late.,,,"Spanish Phase 3, Units 1-30 (2004)","17,18"
232,SP,978-1-4423-5039-7,Spanish 3,11,0:06:25,0:06:29,04R,71,M,Tuve que quedarme hasta tarde.,5,S,"Spanish Phase 3, Units 1-30 (2004)","17,18"
233,SP,978-1-4423-5039-7,Spanish 3,11,0:06:41,0:06:43,05Q,73,N,The engineers stayed too.,,,"Spanish Phase 3, Units 1-30 (2004)","18,20"
234,SP,978-1-4423-5039-7,Spanish 3,11,0:06:45,0:06:49,05R,74,M,Los ingenieros se quedaron también.,5,S,"Spanish Phase 3, Units 1-30 (2004)","18,20"
235,SP,978-1-4423-5039-7,Spanish 3,11,0:10:11,0:10:14,06Q,106,N,I need the list of the persons that are coming.,,,"Spanish Phase 3, Units 1-30 (2004)",9
236,SP,978-1-4423-5039-7,Spanish 3,11,0:10:18,0:10:22,06R,107,M,Necesito la lista de las personas que vienen.,8,S,"Spanish Phase 3, Units 1-30 (2004)",9
237,SP,978-1-4423-5039-7,Spanish 3,11,0:13:03,0:13:05,07Q,134,N,They left after the speech.,,,"Spanish Phase 3, Units 1-30 (2004)",9
238,SP,978-1-4423-5039-7,Spanish 3,11,0:13:08,0:13:12,07R,135,M,Se fueron después del discurso.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
239,SP,978-1-4423-5039-7,Spanish 3,11,0:15:29,0:15:31,08Q,155,N,I didn’t hear the speech.,,,"Spanish Phase 3, Units 1-30 (2004)",9
240,SP,978-1-4423-5039-7,Spanish 3,11,0:15:33,0:15:36,08R,156,M,No oí el discurso.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
241,SP,978-1-4423-5039-7,Spanish 3,11,0:17:02,0:17:04,09Q,167,N,You didn’t hear the speech?,,,"Spanish Phase 3, Units 1-30 (2004)",9
242,SP,978-1-4423-5039-7,Spanish 3,11,0:17:07,0:17:10,09R,168,M,¿No oyó el discurso?,4,Q,"Spanish Phase 3, Units 1-30 (2004)",9
243,SP,978-1-4423-5039-7,Spanish 3,11,0:18:41,0:18:44,10Q,181,N,Everyone talked among themselves.,,,"Spanish Phase 3, Units 1-30 (2004)",9
244,SP,978-1-4423-5039-7,Spanish 3,11,0:18:47,0:18:50,10R,182,M,Todos hablaron entre ellos.,4,S,"Spanish Phase 3, Units 1-30 (2004)",9
245,SP,978-1-4423-5039-7,Spanish 3,11,0:20:54,0:20:57,11Q,201,N,He said that we have to work more.,,,"Spanish Phase 3, Units 1-30 (2004)",20
246,SP,978-1-4423-5039-7,Spanish 3,11,0:21:01,0:21:05,11R,202,M,Dijo que tenemos que trabajar más.,6,S,"Spanish Phase 3, Units 1-30 (2004)",20
247,SP,978-1-4423-5039-7,Spanish 3,11,0:22:23,0:22:26,12Q,214,N,They didn’t stay for the lunch.,,,"Spanish Phase 3, Units 1-30 (2004)","6,18"
248,SP,978-1-4423-5039-7,Spanish 3,11,0:22:28,0:22:31,12R,215,M,No se quedaron para el almuerzo.,6,S,"Spanish Phase 3, Units 1-30 (2004)","6,18"
249,SP,978-1-4423-5039-7,Spanish 3,11,0:24:22,0:24:25,13Q,234,N,I believe that there are many problems.,,,"Spanish Phase 3, Units 1-30 (2004)",9
250,SP,978-1-4423-5039-7,Spanish 3,11,0:24:28,0:24:31,13R,235,M,Creo que hay muchos problemas.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
251,SP,978-1-4423-5039-7,Spanish 3,12,0:08:41,0:08:43,01Q,94,N,I believe that you’re going to be pleased.,,,"Spanish Phase 3, Units 1-30 (2004)",9
252,SP,978-1-4423-5039-7,Spanish 3,12,0:08:47,0:08:50,01R,95,F,Creo que va a estar contento.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
253,SP,978-1-4423-5039-7,Spanish 3,12,0:10:11,0:10:15,02Q,109,N,I believe that you are not going to be happy there.,,,"Spanish Phase 3, Units 1-30 (2004)",9
254,SP,978-1-4423-5039-7,Spanish 3,12,0:10:18,0:10:22,02R,110,F,Creo que no va a estar contento allí.,7,S,"Spanish Phase 3, Units 1-30 (2004)",9
255,SP,978-1-4423-5039-7,Spanish 3,12,0:10:56,0:10:58,03Q,116,N,It’s not very quiet.,,,"Spanish Phase 3, Units 1-30 (2004)",7
256,SP,978-1-4423-5039-7,Spanish 3,12,0:11:00,0:11:03,03R,117,F,No es muy tranquilo.,4,S,"Spanish Phase 3, Units 1-30 (2004)",7
257,SP,978-1-4423-5039-7,Spanish 3,12,0:11:34,0:11:37,04Q,122,N,I didn’t hear what you said.,,,"Spanish Phase 3, Units 1-30 (2004)",7
258,SP,978-1-4423-5039-7,Spanish 3,12,0:11:39,0:11:41,04R,124,M,No oí lo que dijo.,5,S,"Spanish Phase 3, Units 1-30 (2004)",7
259,SP,978-1-4423-5039-7,Spanish 3,12,0:14:11,0:14:13,05Q,146,N,In front of the building.,,,"Spanish Phase 3, Units 1-30 (2004)",9
260,SP,978-1-4423-5039-7,Spanish 3,12,0:14:17,0:14:20,05R,147,F,Enfrente del edificio.,3,S,"Spanish Phase 3, Units 1-30 (2004)",9
261,SP,978-1-4423-5039-7,Spanish 3,12,0:15:40,0:15:42,06Q,158,N,It’s difficult to rest.,,,"Spanish Phase 3, Units 1-30 (2004)",9
262,SP,978-1-4423-5039-7,Spanish 3,12,0:15:44,0:15:47,06R,159,F,Es difícil descansar.,3,S,"Spanish Phase 3, Units 1-30 (2004)",9
263,SP,978-1-4423-5039-7,Spanish 3,12,0:21:08,0:21:12,07Q,207,N,The plaza where they sell handicrafts.,,,"Spanish Phase 3, Units 1-30 (2004)",14
264,SP,978-1-4423-5039-7,Spanish 3,12,0:21:16,0:21:19,07R,208,F,La plaza donde venden artesanías.,5,S,"Spanish Phase 3, Units 1-30 (2004)",14
265,SP,978-1-4423-5039-7,Spanish 3,12,0:22:16,0:22:19,08Q,217,N,You can rest after working.,,,"Spanish Phase 3, Units 1-30 (2004)",20
266,SP,978-1-4423-5039-7,Spanish 3,12,0:22:22,0:22:26,08R,218,F,Puede descansar después de trabajar.,5,S,"Spanish Phase 3, Units 1-30 (2004)",20
267,SP,978-1-4423-5039-7,Spanish 3,12,0:25:51,0:25:53,09Q,248,N,Where is it located?,,,"Spanish Phase 3, Units 1-30 (2004)","4,16"
268,SP,978-1-4423-5039-7,Spanish 3,12,0:25:55,0:25:57,09R,249,F,¿Dónde queda?,2,Q,"Spanish Phase 3, Units 1-30 (2004)","4,16"
269,SP,978-1-4423-5039-7,Spanish 3,12,0:26:18,0:26:21,10Q,252,N,It’s a very quiet street.,,,"Spanish Phase 3, Units 1-30 (2004)",9
270,SP,978-1-4423-5039-7,Spanish 3,12,0:26:23,0:26:26,10R,253,M,Es una calle muy tranquila.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
271,SP,978-1-4423-5039-7,Spanish 3,13,0:05:46,0:05:48,01Q,67,N,I believe that she’s going to be pleased.,,,"Spanish Phase 3, Units 1-30 (2004)",9
272,SP,978-1-4423-5039-7,Spanish 3,13,0:05:51,0:05:54,01R,68,M,Creo que va a estar contenta.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
273,SP,978-1-4423-5039-7,Spanish 3,13,0:06:31,0:06:33,02Q,75,N,What’s wrong with you?,,,"Spanish Phase 3, Units 1-30 (2004)",7
274,SP,978-1-4423-5039-7,Spanish 3,13,0:06:37,0:06:39,02R,77,M,¿Qué le pasa?,3,Q,"Spanish Phase 3, Units 1-30 (2004)",7
275,SP,978-1-4423-5039-7,Spanish 3,13,0:07:38,0:07:40,03Q,85,N,I wish to ask you a favor.,,,"Spanish Phase 3, Units 1-30 (2004)","7,13,16"
276,SP,978-1-4423-5039-7,Spanish 3,13,0:07:43,0:07:46,03R,86,F,Quisiera pedirle un favor.,4,S,"Spanish Phase 3, Units 1-30 (2004)","7,13,16"
277,SP,978-1-4423-5039-7,Spanish 3,13,0:07:49,0:07:52,04Q,87,F,"Can you bring me water, please?",,,"Spanish Phase 3, Units 1-30 (2004)","6,16"
278,SP,978-1-4423-5039-7,Spanish 3,13,0:07:55,0:07:58,04R,88,N,"¿Puede traerme agua, por favor?",5,Q,"Spanish Phase 3, Units 1-30 (2004)","6,16"
279,SP,978-1-4423-5039-7,Spanish 3,13,0:12:27,0:12:30,05Q,129,N,How long is the meeting going to last?,,,"Spanish Phase 3, Units 1-30 (2004)",20
280,SP,978-1-4423-5039-7,Spanish 3,13,0:12:32,0:12:35,05R,130,M,¿Cuánto va a durar la reunión?,5,Q,"Spanish Phase 3, Units 1-30 (2004)",20
281,SP,978-1-4423-5039-7,Spanish 3,13,0:13:34,0:13:37,06Q,139,N,It’s for the whole department.,,,"Spanish Phase 3, Units 1-30 (2004)",9
282,SP,978-1-4423-5039-7,Spanish 3,13,0:13:38,0:13:42,06R,140,F,Es para todo el departamento.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
283,SP,978-1-4423-5039-7,Spanish 3,13,0:15:30,0:15:32,07Q,157,N,Instead of me.,,,"Spanish Phase 3, Units 1-30 (2004)",7
284,SP,978-1-4423-5039-7,Spanish 3,13,0:15:37,0:15:39,07R,158,F,En mi lugar.,3,S,"Spanish Phase 3, Units 1-30 (2004)",7
285,SP,978-1-4423-5039-7,Spanish 3,13,0:16:59,0:17:02,08Q,169,N,Instead of you.,,,"Spanish Phase 3, Units 1-30 (2004)",7
286,SP,978-1-4423-5039-7,Spanish 3,13,0:17:03,0:17:05,08R,170,M,En su lugar.,3,S,"Spanish Phase 3, Units 1-30 (2004)",7
287,SP,978-1-4423-5039-7,Spanish 3,13,0:18:34,0:18:37,09Q,185,N,So it could last longer.,,,"Spanish Phase 3, Units 1-30 (2004)",9
288,SP,978-1-4423-5039-7,Spanish 3,13,0:18:43,0:18:46,09R,186,M,Así que podría durar más.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
289,SP,978-1-4423-5039-7,Spanish 3,13,0:18:56,0:18:59,10Q,187,N,Instead of two hours.,,,"Spanish Phase 3, Units 1-30 (2004)","12,17"
290,SP,978-1-4423-5039-7,Spanish 3,13,0:19:10,0:19:13,10R,188,M,En lugar de dos horas.,5,S,"Spanish Phase 3, Units 1-30 (2004)","12,17"
291,SP,978-1-4423-5039-7,Spanish 3,13,0:19:15,0:19:19,11Q,190,N,It could last three or four hours.,,,"Spanish Phase 3, Units 1-30 (2004)","12,17"
292,SP,978-1-4423-5039-7,Spanish 3,13,0:19:22,0:19:26,11R,191,M,Podría durar tres o cuatro horas.,5,S,"Spanish Phase 3, Units 1-30 (2004)","12,17"
293,SP,978-1-4423-5039-7,Spanish 3,13,0:20:54,0:20:57,12Q,203,N,It lasted four hours.,,,"Spanish Phase 3, Units 1-30 (2004)","12,17"
294,SP,978-1-4423-5039-7,Spanish 3,13,0:20:59,0:21:02,12R,204,M,Duró cuatro horas.,3,S,"Spanish Phase 3, Units 1-30 (2004)","12,17"
295,SP,978-1-4423-5039-7,Spanish 3,13,0:21:48,0:21:50,13Q,212,N,I was sick.,,,"Spanish Phase 3, Units 1-30 (2004)","9,16"
296,SP,978-1-4423-5039-7,Spanish 3,13,0:21:53,0:21:56,13R,213,F,Estaba enferma.,2,S,"Spanish Phase 3, Units 1-30 (2004)","9,16"
297,SP,978-1-4423-5039-7,Spanish 3,13,0:28:01,0:28:04,14Q,269,N,I know a quiet restaurant near here.,,,"Spanish Phase 3, Units 1-30 (2004)","4,6"
298,SP,978-1-4423-5039-7,Spanish 3,13,0:28:09,0:28:13,14R,270,F,Conozco un restaurante tranquilo cerca de aquí.,6,S,"Spanish Phase 3, Units 1-30 (2004)","4,6"
299,SP,978-1-4423-5039-7,Spanish 3,14,0:03:07,0:03:09,01Q,41,N,It lasted too long.,,,"Spanish Phase 3, Units 1-30 (2004)",9
300,SP,978-1-4423-5039-7,Spanish 3,14,0:03:14,0:03:17,01R,42,M,Duró demasiado.,2,S,"Spanish Phase 3, Units 1-30 (2004)",9
301,SP,978-1-4423-5039-7,Spanish 3,14,0:03:45,0:03:47,02Q,47,N,It lasted almost three hours.,,,"Spanish Phase 3, Units 1-30 (2004)","12,17"
302,SP,978-1-4423-5039-7,Spanish 3,14,0:03:50,0:03:53,02R,48,M,Duró casi tres horas.,4,S,"Spanish Phase 3, Units 1-30 (2004)","12,17"
303,SP,978-1-4423-5039-7,Spanish 3,14,0:07:16,0:07:18,03Q,81,N,Mr. Rivera is our best client.,,,"Spanish Phase 3, Units 1-30 (2004)","9,20"
304,SP,978-1-4423-5039-7,Spanish 3,14,0:07:21,0:07:25,03R,82,M,El señor Rivera es nuestro mejor cliente.,7,S,"Spanish Phase 3, Units 1-30 (2004)","9,20"
305,SP,978-1-4423-5039-7,Spanish 3,14,0:13:30,0:13:33,04Q,136,N,Almost the whole afternoon.,,,"Spanish Phase 3, Units 1-30 (2004)",7
306,SP,978-1-4423-5039-7,Spanish 3,14,0:13:35,0:13:38,04R,137,F,Casi toda la tarde.,4,S,"Spanish Phase 3, Units 1-30 (2004)",7
307,SP,978-1-4423-5039-7,Spanish 3,14,0:14:30,0:14:32,05Q,144,N,I need an interpreter.,,,"Spanish Phase 3, Units 1-30 (2004)","7,16"
308,SP,978-1-4423-5039-7,Spanish 3,14,0:14:35,0:14:38,05R,145,M,Necesito un intérprete.,3,S,"Spanish Phase 3, Units 1-30 (2004)","7,16"
309,SP,978-1-4423-5039-7,Spanish 3,14,0:15:45,0:15:48,06Q,156,N,Can you get me an interpreter?,,,"Spanish Phase 3, Units 1-30 (2004)","7,16"
310,SP,978-1-4423-5039-7,Spanish 3,14,0:15:51,0:15:54,06R,157,M,¿Puede conseguirme un intérprete?,4,Q,"Spanish Phase 3, Units 1-30 (2004)","7,16"
311,SP,978-1-4423-5039-7,Spanish 3,14,0:16:07,0:16:10,07Q,160,N,The meeting is going to be at three.,,,"Spanish Phase 3, Units 1-30 (2004)","12,20"
312,SP,978-1-4423-5039-7,Spanish 3,14,0:16:12,0:16:16,07R,161,F,La reunión va a ser a las tres.,8,S,"Spanish Phase 3, Units 1-30 (2004)","12,20"
313,SP,978-1-4423-5039-7,Spanish 3,14,0:17:36,0:17:39,08Q,173,N,But it’s better to get an interpreter.,,,"Spanish Phase 3, Units 1-30 (2004)","7,16"
314,SP,978-1-4423-5039-7,Spanish 3,14,0:17:42,0:17:45,08R,174,M,Pero es mejor conseguir un intérprete.,6,S,"Spanish Phase 3, Units 1-30 (2004)","7,16"
315,SP,978-1-4423-5039-7,Spanish 3,14,0:20:22,0:20:26,09Q,196,N,I need a translation of this report.,,,"Spanish Phase 3, Units 1-30 (2004)",9
316,SP,978-1-4423-5039-7,Spanish 3,14,0:20:30,0:20:34,09R,197,M,Necesito una traducción de este informe.,6,S,"Spanish Phase 3, Units 1-30 (2004)",9
317,SP,978-1-4423-5039-7,Spanish 3,14,0:21:21,0:21:23,10Q,203,N,And I can get you an interpreter.,,,"Spanish Phase 3, Units 1-30 (2004)",9
318,SP,978-1-4423-5039-7,Spanish 3,14,0:21:28,0:21:31,10R,204,F,Y puedo conseguirle un intérprete.,5,S,"Spanish Phase 3, Units 1-30 (2004)",9
319,SP,978-1-4423-5039-7,Spanish 3,14,0:26:48,0:26:51,11Q,253,N,It’s the best restaurant near here.,,,"Spanish Phase 3, Units 1-30 (2004)","4,6"
